index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.005,0.039,0.006,1434131117
2,20150612,0.006,0.028,0.008,1434131118
3,20150612,0.006,0.040,0.008,1434131119
4,20150612,0.005,0.036,0.008,1434131120
5,20150612,0.005,0.030,0.006,1434131121
6,20150612,0.002,0.024,0.003,1434131122
7,20150612,0.002,0.036,0.004,1434131123
8,20150612,0.001,0.024,0.003,1434131124
9,20150612,0.001,0.020,0.001,1434131125
10,20150612,0.001,0.013,0.002,1434131126
11,20150612,0.002,0.008,0.002,1434131127
12,20150612,0.002,0.006,0.005,1434131128
13,20150612,0.001,0.006,0.004,1434131129
14,20150612,0.001,0.004,0.003,1434131130
15,20150612,0.001,0.004,0.002,1434131131
16,20150612,0.005,0.023,0.005,1434131132
17,20150612,0.006,0.038,0.012,1434131133
18,20150612,0.007,0.026,0.059,1434131134
19,20150612,0.008,0.039,0.055,1434131135
20,20150612,0.009,0.034,0.036,1434131136
21,20150612,0.011,0.023,0.028,1434131137
22,20150612,0.011,0.016,0.021,1434131138
23,20150612,0.011,0.011,0.019,1434131139
24,20150612,0.009,0.008,0.016,1434131140
25,20150612,0.013,0.007,0.014,1434131141
26,20150612,0.026,0.007,0.015,1434131142
27,20150612,0.046,0.007,0.016,1434131143
28,20150612,0.032,0.009,0.017,1434131144
29,20150612,0.023,0.010,0.017,1434131145
30,20150612,0.015,0.010,0.017,1434131146
31,20150612,0.013,0.010,0.017,1434131147
32,20150612,0.013,0.009,0.016,1434131148
33,20150612,0.012,0.009,0.017,1434131149
34,20150612,0.014,0.009,0.016,1434131150
35,20150612,0.014,0.010,0.017,1434131151
36,20150612,0.013,0.011,0.018,1434131152
37,20150612,0.012,0.010,0.018,1434131153
38,20150612,0.013,0.010,0.016,1434131154
39,20150612,0.013,0.009,0.018,1434131155
40,20150612,0.013,0.009,0.018,1434131156
41,20150612,0.013,0.008,0.016,1434131157
42,20150612,0.015,0.008,0.017,1434131158
43,20150612,0.011,0.007,0.018,1434131159
44,20150612,0.014,0.007,0.015,1434131160
45,20150612,0.012,0.009,0.014,1434131161
46,20150612,0.013,0.009,0.017,1434131162
47,20150612,0.013,0.009,0.017,1434131163
48,20150612,0.013,0.008,0.016,1434131164
49,20150612,0.012,0.008,0.017,1434131165
50,20150612,0.013,0.007,0.018,1434131166
51,20150612,0.013,0.008,0.018,1434131167
52,20150612,0.014,0.008,0.018,1434131168
53,20150612,0.013,0.010,0.016,1434131169
54,20150612,0.013,0.009,0.016,1434131170
55,20150612,0.014,0.009,0.016,1434131171
56,20150612,0.016,0.008,0.017,1434131172
57,20150612,0.014,0.008,0.017,1434131173
58,20150612,0.013,0.008,0.017,1434131174
59,20150612,0.015,0.008,0.018,1434131175
60,20150612,0.012,0.008,0.018,1434131176
61,20150612,0.014,0.007,0.017,1434131177
62,20150612,0.014,0.009,0.018,1434131178
63,20150612,0.013,0.007,0.018,1434131179
64,20150612,0.014,0.009,0.017,1434131180
65,20150612,0.014,0.009,0.017,1434131181
66,20150612,0.014,0.009,0.018,1434131182
67,20150612,0.015,0.008,0.017,1434131183
68,20150612,0.014,0.007,0.018,1434131184
69,20150612,0.014,0.006,0.018,1434131185
70,20150612,0.013,0.007,0.018,1434131186
71,20150612,0.014,0.006,0.019,1434131187
72,20150612,0.014,0.007,0.019,1434131188
73,20150612,0.013,0.008,0.020,1434131189
74,20150612,0.013,0.007,0.018,1434131190
75,20150612,0.014,0.008,0.017,1434131191
76,20150612,0.013,0.008,0.016,1434131192
77,20150612,0.015,0.008,0.018,1434131193
78,20150612,0.013,0.007,0.018,1434131194
79,20150612,0.013,0.007,0.018,1434131195
80,20150612,0.014,0.006,0.019,1434131196
81,20150612,0.013,0.007,0.019,1434131197
82,20150612,0.013,0.006,0.018,1434131198
83,20150612,0.013,0.007,0.018,1434131199
84,20150612,0.013,0.007,0.019,1434131200
85,20150612,0.013,0.007,0.016,1434131201
86,20150612,0.013,0.008,0.016,1434131202
87,20150612,0.014,0.008,0.017,1434131203
88,20150612,0.014,0.007,0.017,1434131204
89,20150612,0.014,0.008,0.019,1434131205
90,20150612,0.014,0.008,0.018,1434131206
91,20150612,0.013,0.007,0.018,1434131207
92,20150612,0.014,0.008,0.018,1434131208
93,20150612,0.013,0.010,0.019,1434131209
94,20150612,0.015,0.008,0.017,1434131210
95,20150612,0.014,0.008,0.017,1434131211
96,20150612,0.014,0.008,0.017,1434131212
97,20150612,0.014,0.006,0.018,1434131213
98,20150612,0.014,0.007,0.017,1434131214
99,20150612,0.014,0.008,0.017,1434131215
100,20150612,0.013,0.007,0.017,1434131216
101,20150612,0.013,0.008,0.019,1434131217
102,20150612,0.013,0.007,0.018,1434131218
103,20150612,0.014,0.009,0.018,1434131219
104,20150612,0.016,0.010,0.017,1434131220
105,20150612,0.014,0.008,0.019,1434131221
106,20150612,0.014,0.008,0.016,1434131222
107,20150612,0.014,0.012,0.018,1434131223
108,20150612,0.014,0.010,0.017,1434131224
109,20150612,0.014,0.010,0.015,1434131225
110,20150612,0.014,0.012,0.016,1434131226
111,20150612,0.014,0.009,0.017,1434131227
112,20150612,0.013,0.012,0.020,1434131228
113,20150612,0.015,0.011,0.017,1434131229
114,20150612,0.014,0.010,0.016,1434131230
115,20150612,0.013,0.010,0.014,1434131231
116,20150612,0.015,0.012,0.017,1434131232
117,20150612,0.012,0.009,0.018,1434131233
118,20150612,0.016,0.009,0.017,1434131234
119,20150612,0.015,0.010,0.016,1434131235
120,20150612,0.014,0.009,0.017,1434131236
121,20150612,0.014,0.009,0.017,1434131237
122,20150612,0.013,0.009,0.016,1434131238
123,20150612,0.014,0.010,0.017,1434131239
124,20150612,0.014,0.010,0.017,1434131240
125,20150612,0.014,0.011,0.018,1434131241
126,20150612,0.014,0.011,0.016,1434131242
127,20150612,0.014,0.009,0.016,1434131243
128,20150612,0.014,0.014,0.017,1434131244
129,20150612,0.014,0.014,0.015,1434131245
130,20150612,0.015,0.013,0.017,1434131246
131,20150612,0.014,0.010,0.020,1434131247
132,20150612,0.014,0.010,0.018,1434131248
133,20150612,0.014,0.008,0.018,1434131249
134,20150612,0.013,0.007,0.017,1434131250
135,20150612,0.014,0.010,0.018,1434131251
136,20150612,0.015,0.009,0.017,1434131252
137,20150612,0.014,0.009,0.017,1434131253
138,20150612,0.014,0.014,0.019,1434131254
139,20150612,0.015,0.010,0.020,1434131255
140,20150612,0.018,0.011,0.019,1434131256
141,20150612,0.019,0.009,0.017,1434131257
142,20150612,0.016,0.012,0.018,1434131258
143,20150612,0.019,0.016,0.021,1434131259
144,20150612,0.020,0.011,0.022,1434131260
145,20150612,0.019,0.013,0.024,1434131261
146,20150612,0.020,0.012,0.026,1434131262
147,20150612,0.017,0.009,0.024,1434131263
