index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150616,0.040,-1.000,0.031,1434466210
2,20150616,0.025,-1.000,0.019,1434466211
3,20150616,0.015,-1.000,0.012,1434466212
4,20150616,0.009,0.041,0.008,1434466213
5,20150616,0.005,0.025,0.005,1434466214
6,20150616,0.003,0.015,0.003,1434466215
7,20150616,0.002,0.009,0.001,1434466216
8,20150616,0.001,0.007,0.002,1434466217
9,20150616,0.001,0.003,0.001,1434466218
10,20150616,0.001,0.002,0.001,1434466219
11,20150616,0.001,0.001,0.001,1434466220
12,20150616,0.001,0.001,0.001,1434466221
13,20150616,0.001,0.002,0.001,1434466222
14,20150616,0.001,0.001,0.001,1434466223
15,20150616,0.020,0.028,0.012,1434466224
16,20150616,0.018,0.023,0.018,1434466225
17,20150616,0.007,0.015,0.006,1434466226
18,20150616,0.005,0.010,0.004,1434466227
19,20150616,0.002,0.005,0.001,1434466228
20,20150616,0.002,0.005,0.001,1434466229
21,20150616,0.001,0.003,0.001,1434466230
22,20150616,0.001,0.002,0.001,1434466231
23,20150616,0.001,0.002,0.001,1434466232
24,20150616,0.002,0.002,0.001,1434466233
25,20150616,0.002,0.003,0.001,1434466234
26,20150616,0.001,0.003,0.002,1434466235
27,20150616,0.001,0.002,0.002,1434466236
28,20150616,0.001,0.001,0.002,1434466237
29,20150616,0.002,0.001,0.001,1434466238
30,20150616,0.001,0.001,0.001,1434466239
31,20150616,0.001,0.001,0.002,1434466240
32,20150616,0.006,0.024,0.008,1434466241
33,20150616,0.008,0.026,0.005,1434466242
34,20150616,0.004,0.016,0.012,1434466243
35,20150616,0.003,0.014,0.009,1434466244
36,20150616,0.001,0.009,0.009,1434466245
37,20150616,0.001,0.005,0.004,1434466246
38,20150616,0.002,0.014,0.005,1434466247
39,20150616,0.005,0.022,0.007,1434466248
40,20150616,0.013,0.025,0.016,1434466249
41,20150616,0.021,0.025,0.035,1434466250
42,20150616,0.031,0.033,0.058,1434466251
43,20150616,0.024,0.016,0.040,1434466252
44,20150616,0.011,0.021,0.026,1434466253
45,20150616,0.009,0.019,0.011,1434466254
46,20150616,0.024,0.035,0.014,1434466255
47,20150616,0.033,0.033,0.011,1434466256
48,20150616,0.023,0.021,0.012,1434466257
49,20150616,0.026,0.010,0.007,1434466258
50,20150616,0.015,0.014,0.004,1434466259
51,20150616,0.011,0.023,0.003,1434466260
52,20150616,0.012,0.017,0.003,1434466261
53,20150616,0.011,0.039,0.005,1434466262
54,20150616,0.014,0.045,0.004,1434466263
55,20150616,0.019,0.027,0.002,1434466264
56,20150616,0.013,0.018,0.001,1434466265
57,20150616,0.022,0.017,0.002,1434466266
58,20150616,0.017,0.024,0.003,1434466267
59,20150616,0.006,0.026,0.002,1434466268
60,20150616,0.009,0.020,0.002,1434466269
61,20150616,0.027,0.038,0.001,1434466270
62,20150616,0.022,0.032,0.002,1434466271
63,20150616,0.011,0.022,0.001,1434466272
64,20150616,0.011,0.027,0.001,1434466273
65,20150616,0.013,0.027,0.001,1434466274
66,20150616,0.012,0.025,0.001,1434466275
67,20150616,0.017,0.014,0.001,1434466276
68,20150616,0.013,0.031,0.001,1434466277
69,20150616,0.013,0.025,0.001,1434466278
70,20150616,0.008,0.009,0.001,1434466279
71,20150616,0.010,0.023,0.001,1434466280
72,20150616,0.007,0.024,0.001,1434466281
73,20150616,0.010,0.019,0.001,1434466282
74,20150616,0.015,0.027,0.001,1434466283
75,20150616,0.004,0.031,0.001,1434466284
76,20150616,0.004,0.023,0.001,1434466285
77,20150616,0.008,0.039,0.001,1434466286
78,20150616,0.008,0.018,0.001,1434466287
79,20150616,0.015,0.017,0.002,1434466288
80,20150616,0.038,0.012,0.004,1434466289
81,20150616,0.014,0.021,0.004,1434466290
82,20150616,0.022,0.034,0.004,1434466291
83,20150616,0.010,0.024,0.001,1434466292
84,20150616,0.015,0.052,0.001,1434466293
85,20150616,0.014,0.055,0.001,1434466294
86,20150616,0.018,0.032,0.003,1434466295
87,20150616,0.018,0.026,0.007,1434466296
88,20150616,0.009,0.029,0.005,1434466297
89,20150616,0.016,0.036,0.004,1434466298
90,20150616,0.010,0.030,0.002,1434466299
91,20150616,0.007,0.035,0.002,1434466300
92,20150616,0.033,0.017,0.002,1434466301
93,20150616,0.018,0.020,0.001,1434466302
94,20150616,0.025,0.036,0.003,1434466303
95,20150616,0.013,0.029,0.001,1434466304
96,20150616,0.013,0.025,0.001,1434466305
97,20150616,0.016,0.017,0.001,1434466306
98,20150616,0.005,0.017,0.001,1434466307
99,20150616,0.009,0.016,0.001,1434466308
100,20150616,0.011,0.042,0.001,1434466309
101,20150616,0.009,0.035,0.001,1434466310
102,20150616,0.007,0.030,0.001,1434466311
103,20150616,0.003,0.023,0.001,1434466312
104,20150616,0.003,0.027,0.001,1434466313
105,20150616,0.004,0.015,0.001,1434466314
106,20150616,0.010,0.037,0.001,1434466315
107,20150616,0.012,0.024,0.001,1434466316
108,20150616,0.010,0.020,0.001,1434466317
109,20150616,0.016,0.030,0.001,1434466318
110,20150616,0.062,0.033,0.004,1434466319
111,20150616,0.041,0.025,0.005,1434466320
112,20150616,0.043,0.016,0.003,1434466321
113,20150616,0.013,0.009,0.004,1434466322
114,20150616,0.019,0.040,0.003,1434466323
115,20150616,0.025,0.065,0.002,1434466324
116,20150616,0.012,0.040,0.003,1434466325
117,20150616,0.010,0.024,0.003,1434466326
118,20150616,0.042,0.035,0.002,1434466327
119,20150616,0.011,0.037,0.001,1434466328
120,20150616,0.023,0.037,0.002,1434466329
121,20150616,0.008,0.028,0.002,1434466330
122,20150616,0.010,0.026,0.001,1434466331
123,20150616,0.008,0.020,0.001,1434466332
124,20150616,0.004,0.028,0.001,1434466333
125,20150616,0.004,0.016,0.001,1434466334
126,20150616,0.004,0.014,0.001,1434466335
127,20150616,0.012,0.044,0.000,1434466336
128,20150616,0.022,0.032,0.001,1434466337
129,20150616,0.006,0.020,0.001,1434466338
130,20150616,0.010,0.027,0.000,1434466339
131,20150616,0.013,0.041,0.001,1434466340
132,20150616,0.012,0.038,0.001,1434466341
133,20150616,0.016,0.031,0.001,1434466342
134,20150616,0.009,0.024,0.002,1434466343
135,20150616,0.008,0.018,0.003,1434466344
136,20150616,0.007,0.022,0.004,1434466345
137,20150616,0.009,0.030,0.003,1434466346
138,20150616,0.010,0.025,0.003,1434466347
139,20150616,0.022,0.028,0.002,1434466348
140,20150616,0.006,0.026,0.002,1434466349
141,20150616,0.004,0.026,0.001,1434466350
142,20150616,0.014,0.022,0.002,1434466351
143,20150616,0.009,0.023,0.001,1434466352
144,20150616,0.012,0.031,0.001,1434466353
145,20150616,0.006,0.033,0.001,1434466354
146,20150616,0.005,0.031,0.001,1434466355
147,20150616,0.011,0.030,0.001,1434466356
148,20150616,0.029,0.041,0.001,1434466357
149,20150616,0.009,0.038,0.001,1434466358
150,20150616,0.008,0.023,0.001,1434466359
151,20150616,0.009,0.033,0.001,1434466360
152,20150616,0.013,0.028,0.001,1434466361
153,20150616,0.014,0.021,0.002,1434466362
154,20150616,0.008,0.019,0.002,1434466363
155,20150616,0.023,0.015,0.004,1434466364
156,20150616,0.034,0.008,0.005,1434466365
157,20150616,0.022,0.017,0.005,1434466366
158,20150616,0.011,0.015,0.004,1434466367
159,20150616,0.006,0.022,0.004,1434466368
160,20150616,0.020,0.034,0.003,1434466369
161,20150616,0.027,0.034,0.002,1434466370
162,20150616,0.018,0.024,0.003,1434466371
163,20150616,0.018,0.026,0.005,1434466372
164,20150616,0.012,0.050,0.007,1434466373
165,20150616,0.007,0.031,0.005,1434466374
166,20150616,0.007,0.017,0.002,1434466375
167,20150616,0.006,0.015,0.002,1434466376
168,20150616,0.004,0.018,0.003,1434466377
169,20150616,0.005,0.013,0.005,1434466378
170,20150616,0.004,0.017,0.003,1434466379
171,20150616,0.016,0.055,0.004,1434466380
172,20150616,0.030,0.038,0.004,1434466381
173,20150616,0.015,0.029,0.004,1434466382
174,20150616,0.020,0.028,0.002,1434466383
175,20150616,0.011,0.050,0.002,1434466384
176,20150616,0.028,0.030,0.005,1434466385
177,20150616,0.028,0.054,0.002,1434466386
178,20150616,0.031,0.028,0.002,1434466387
179,20150616,0.032,0.016,0.001,1434466388
180,20150616,0.016,0.028,0.001,1434466389
181,20150616,0.020,0.047,0.001,1434466390
182,20150616,0.021,0.041,0.002,1434466391
183,20150616,0.022,0.021,0.002,1434466392
184,20150616,0.010,0.030,0.001,1434466393
185,20150616,0.011,0.030,0.001,1434466394
186,20150616,0.018,0.019,0.002,1434466395
187,20150616,0.016,0.021,0.002,1434466396
188,20150616,0.009,0.019,0.001,1434466397
