index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150616,0.036,0.050,0.035,1434473295
2,20150616,0.022,0.036,0.025,1434473296
3,20150616,0.013,0.021,0.015,1434473297
4,20150616,0.008,0.013,0.010,1434473298
5,20150616,0.004,0.007,0.007,1434473299
6,20150616,0.003,0.012,0.016,1434473300
7,20150616,0.002,0.008,0.009,1434473301
8,20150616,0.001,0.007,0.005,1434473302
9,20150616,0.001,0.003,0.003,1434473303
10,20150616,0.000,0.002,0.004,1434473304
11,20150616,0.000,0.004,0.007,1434473305
12,20150616,0.000,0.006,0.006,1434473306
13,20150616,0.000,0.006,0.004,1434473307
14,20150616,0.001,0.004,0.018,1434473308
15,20150616,0.000,0.002,0.008,1434473309
16,20150616,0.000,0.005,0.013,1434473310
17,20150616,0.001,0.004,0.006,1434473311
18,20150616,0.000,0.003,0.004,1434473312
19,20150616,0.000,0.002,0.003,1434473313
20,20150616,0.000,0.003,0.009,1434473314
21,20150616,0.000,0.002,0.004,1434473315
22,20150616,0.007,0.001,0.002,1434473316
23,20150616,0.008,0.002,0.004,1434473317
24,20150616,0.003,0.002,0.004,1434473318
25,20150616,0.006,0.006,0.012,1434473319
26,20150616,0.008,0.007,0.010,1434473320
27,20150616,0.013,0.006,0.009,1434473321
28,20150616,0.014,0.005,0.008,1434473322
29,20150616,0.005,0.005,0.006,1434473323
30,20150616,0.002,0.003,0.004,1434473324
31,20150616,0.003,0.002,0.004,1434473325
32,20150616,0.042,0.025,0.023,1434473326
33,20150616,0.060,0.063,0.024,1434473327
34,20150616,0.030,0.019,0.032,1434473328
35,20150616,0.032,0.012,0.051,1434473329
36,20150616,0.018,0.020,0.032,1434473330
37,20150616,0.014,0.032,0.026,1434473331
38,20150616,0.020,0.020,0.021,1434473332
39,20150616,0.028,0.034,0.020,1434473333
40,20150616,0.028,0.024,0.022,1434473334
41,20150616,0.019,0.023,0.021,1434473335
42,20150616,0.021,0.029,0.016,1434473336
43,20150616,0.041,0.020,0.015,1434473337
44,20150616,0.036,0.036,0.014,1434473338
45,20150616,0.025,0.021,0.010,1434473339
46,20150616,0.029,0.018,0.011,1434473340
47,20150616,0.031,0.029,0.005,1434473341
48,20150616,0.032,0.024,0.008,1434473342
49,20150616,0.025,0.021,0.012,1434473343
50,20150616,0.029,0.016,0.010,1434473344
51,20150616,0.025,0.022,0.009,1434473345
52,20150616,0.053,0.027,0.007,1434473346
53,20150616,0.039,0.028,0.009,1434473347
54,20150616,0.028,0.031,0.010,1434473348
55,20150616,0.022,0.027,0.008,1434473349
56,20150616,0.018,0.028,0.007,1434473350
57,20150616,0.016,0.018,0.011,1434473351
58,20150616,0.019,0.023,0.012,1434473352
59,20150616,0.017,0.018,0.010,1434473353
60,20150616,0.017,0.018,0.009,1434473354
61,20150616,0.014,0.017,0.009,1434473355
62,20150616,0.012,0.018,0.013,1434473356
63,20150616,0.011,0.027,0.011,1434473357
64,20150616,0.013,0.014,0.006,1434473358
65,20150616,0.021,0.025,0.012,1434473359
66,20150616,0.019,0.024,0.009,1434473360
67,20150616,0.014,0.020,0.010,1434473361
68,20150616,0.016,0.018,0.007,1434473362
69,20150616,0.021,0.023,0.009,1434473363
70,20150616,0.017,0.023,0.022,1434473364
71,20150616,0.020,0.017,0.009,1434473365
72,20150616,0.010,0.012,0.011,1434473366
73,20150616,0.014,0.017,0.009,1434473367
74,20150616,0.014,0.018,0.011,1434473368
75,20150616,0.019,0.020,0.012,1434473369
76,20150616,0.014,0.017,0.010,1434473370
77,20150616,0.011,0.013,0.008,1434473371
78,20150616,0.011,0.018,0.008,1434473372
79,20150616,0.011,0.015,0.012,1434473373
80,20150616,0.009,0.026,0.010,1434473374
81,20150616,0.007,0.049,0.007,1434473375
82,20150616,0.008,0.023,0.007,1434473376
83,20150616,0.014,0.019,0.006,1434473377
84,20150616,0.021,0.015,0.009,1434473378
85,20150616,0.020,0.034,0.015,1434473379
86,20150616,0.015,0.019,0.016,1434473380
87,20150616,0.018,0.022,0.012,1434473381
88,20150616,0.026,0.025,0.010,1434473382
89,20150616,0.019,0.019,0.007,1434473383
90,20150616,0.017,0.017,0.014,1434473384
91,20150616,0.018,0.019,0.017,1434473385
92,20150616,0.011,0.016,0.012,1434473386
93,20150616,0.029,0.027,0.013,1434473387
94,20150616,0.034,0.019,0.006,1434473388
95,20150616,0.021,0.019,0.012,1434473389
96,20150616,0.014,0.018,0.005,1434473390
97,20150616,0.016,0.029,0.008,1434473391
98,20150616,0.018,0.020,0.008,1434473392
99,20150616,0.028,0.018,0.014,1434473393
100,20150616,0.028,0.027,0.022,1434473394
101,20150616,0.014,0.017,0.021,1434473395
102,20150616,0.024,0.020,0.008,1434473396
103,20150616,0.020,0.022,0.016,1434473397
104,20150616,0.018,0.015,0.024,1434473398
105,20150616,0.025,0.032,0.019,1434473399
106,20150616,0.012,0.018,0.013,1434473400
