index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150616,0.003,0.023,0.003,1434465731
2,20150616,0.002,0.008,0.002,1434465732
3,20150616,0.001,0.006,0.002,1434465733
4,20150616,0.001,0.004,0.001,1434465734
5,20150616,0.000,0.005,0.001,1434465735
6,20150616,0.000,0.003,0.002,1434465736
7,20150616,0.000,0.002,0.003,1434465737
8,20150616,0.000,0.002,0.001,1434465738
9,20150616,0.000,0.002,0.002,1434465739
10,20150616,0.001,0.003,0.002,1434465740
11,20150616,0.001,0.002,0.002,1434465741
12,20150616,0.001,0.002,0.002,1434465742
13,20150616,0.001,0.005,0.001,1434465743
14,20150616,0.000,0.002,0.001,1434465744
15,20150616,0.000,0.002,0.001,1434465745
16,20150616,0.000,0.003,0.001,1434465746
17,20150616,0.001,0.006,0.001,1434465747
18,20150616,0.000,0.005,0.001,1434465748
19,20150616,0.002,0.008,0.004,1434465749
20,20150616,0.006,0.034,0.008,1434465750
21,20150616,0.003,0.031,0.007,1434465751
22,20150616,0.004,0.017,0.006,1434465752
23,20150616,0.005,0.014,0.006,1434465753
24,20150616,0.002,0.012,0.003,1434465754
25,20150616,0.002,0.007,0.003,1434465755
26,20150616,0.007,0.019,0.010,1434465756
27,20150616,0.036,0.034,0.029,1434465757
28,20150616,0.031,0.026,0.036,1434465758
29,20150616,0.020,0.023,0.018,1434465759
30,20150616,0.010,0.021,0.016,1434465760
31,20150616,0.014,0.037,0.017,1434465761
32,20150616,0.023,0.034,0.011,1434465762
33,20150616,0.015,0.031,0.012,1434465763
34,20150616,0.006,0.021,0.005,1434465764
35,20150616,0.002,0.014,0.001,1434465765
36,20150616,0.001,0.007,0.001,1434465766
37,20150616,0.002,0.034,0.002,1434465767
38,20150616,0.005,0.021,0.002,1434465768
39,20150616,0.004,0.026,0.002,1434465769
40,20150616,0.002,0.016,0.004,1434465770
41,20150616,0.001,0.005,0.002,1434465771
42,20150616,0.003,0.003,0.001,1434465772
43,20150616,0.006,0.005,0.002,1434465773
44,20150616,0.003,0.005,0.002,1434465774
45,20150616,0.003,0.005,0.001,1434465775
46,20150616,0.003,0.010,0.001,1434465776
47,20150616,0.004,0.021,0.002,1434465777
48,20150616,0.002,0.028,0.003,1434465778
49,20150616,0.001,0.022,0.003,1434465779
50,20150616,0.003,0.037,0.002,1434465780
51,20150616,0.002,0.021,0.001,1434465781
52,20150616,0.001,0.013,0.001,1434465782
53,20150616,0.003,0.019,0.001,1434465783
54,20150616,0.002,0.018,0.001,1434465784
55,20150616,0.002,0.039,0.004,1434465785
56,20150616,0.002,0.021,0.003,1434465786
57,20150616,0.001,0.020,0.001,1434465787
58,20150616,0.002,0.020,0.004,1434465788
59,20150616,0.001,0.017,0.004,1434465789
60,20150616,0.001,0.023,0.002,1434465790
61,20150616,0.005,0.055,0.002,1434465791
62,20150616,0.004,0.033,0.002,1434465792
63,20150616,0.002,0.021,0.001,1434465793
64,20150616,0.001,0.020,0.001,1434465794
65,20150616,0.003,0.043,0.003,1434465795
66,20150616,0.002,0.030,0.002,1434465796
67,20150616,0.002,0.022,0.001,1434465797
68,20150616,0.005,0.023,0.004,1434465798
69,20150616,0.004,0.026,0.007,1434465799
70,20150616,0.003,0.019,0.005,1434465800
71,20150616,0.002,0.011,0.005,1434465801
72,20150616,0.002,0.045,0.003,1434465802
73,20150616,0.003,0.051,0.002,1434465803
74,20150616,0.002,0.026,0.001,1434465804
75,20150616,0.002,0.050,0.001,1434465805
76,20150616,0.003,0.023,0.001,1434465806
77,20150616,0.005,0.022,0.004,1434465807
78,20150616,0.005,0.023,0.008,1434465808
79,20150616,0.003,0.028,0.006,1434465809
80,20150616,0.003,0.027,0.005,1434465810
81,20150616,0.001,0.029,0.002,1434465811
82,20150616,0.001,0.013,0.001,1434465812
83,20150616,0.001,0.024,0.001,1434465813
84,20150616,0.002,0.030,0.002,1434465814
85,20150616,0.003,0.018,0.007,1434465815
86,20150616,0.010,0.009,0.016,1434465816
87,20150616,0.007,0.019,0.008,1434465817
88,20150616,0.005,0.018,0.010,1434465818
89,20150616,0.005,0.012,0.008,1434465819
90,20150616,0.003,0.018,0.003,1434465820
91,20150616,0.003,0.019,0.005,1434465821
92,20150616,0.002,0.016,0.005,1434465822
93,20150616,0.002,0.022,0.005,1434465823
94,20150616,0.002,0.054,0.006,1434465824
95,20150616,0.002,0.026,0.005,1434465825
96,20150616,0.003,0.022,0.004,1434465826
97,20150616,0.004,0.014,0.008,1434465827
98,20150616,0.006,0.005,0.003,1434465828
99,20150616,0.002,0.008,0.002,1434465829
100,20150616,0.001,0.013,0.002,1434465830
101,20150616,0.001,0.004,0.002,1434465831
102,20150616,0.002,0.007,0.002,1434465832
103,20150616,0.003,0.012,0.001,1434465833
104,20150616,0.002,0.014,0.001,1434465834
105,20150616,0.003,0.025,0.013,1434465835
106,20150616,0.004,0.016,0.006,1434465836
107,20150616,0.003,0.008,0.003,1434465837
108,20150616,0.002,0.017,0.001,1434465838
109,20150616,0.002,0.017,0.003,1434465839
110,20150616,0.002,0.021,0.005,1434465840
111,20150616,0.004,0.010,0.012,1434465841
112,20150616,0.003,0.028,0.010,1434465842
113,20150616,0.002,0.019,0.006,1434465843
114,20150616,0.003,0.040,0.004,1434465844
115,20150616,0.006,0.047,0.003,1434465845
116,20150616,0.002,0.022,0.002,1434465846
117,20150616,0.002,0.015,0.002,1434465847
118,20150616,0.003,0.014,0.001,1434465848
119,20150616,0.002,0.023,0.002,1434465849
120,20150616,0.004,0.024,0.005,1434465850
121,20150616,0.003,0.022,0.003,1434465851
122,20150616,0.003,0.020,0.004,1434465852
123,20150616,0.002,0.011,0.003,1434465853
124,20150616,0.003,0.016,0.003,1434465854
125,20150616,0.003,0.010,0.002,1434465855
126,20150616,0.002,0.040,0.002,1434465856
127,20150616,0.003,0.041,0.002,1434465857
128,20150616,0.005,0.049,0.008,1434465858
129,20150616,0.006,0.018,0.017,1434465859
130,20150616,0.012,0.013,0.013,1434465860
131,20150616,0.004,0.027,0.008,1434465861
132,20150616,0.002,0.030,0.006,1434465862
133,20150616,0.003,0.033,0.003,1434465863
134,20150616,0.002,0.019,0.003,1434465864
135,20150616,0.001,0.013,0.001,1434465865
136,20150616,0.002,0.007,0.001,1434465866
137,20150616,0.001,0.024,0.001,1434465867
138,20150616,0.002,0.018,0.001,1434465868
139,20150616,0.006,0.015,0.001,1434465869
140,20150616,0.002,0.025,0.001,1434465870
141,20150616,0.002,0.016,0.000,1434465871
142,20150616,0.002,0.012,0.001,1434465872
143,20150616,0.003,0.057,0.001,1434465873
144,20150616,0.002,0.038,0.002,1434465874
145,20150616,0.003,0.039,0.002,1434465875
146,20150616,0.002,0.029,0.002,1434465876
147,20150616,0.002,0.019,0.002,1434465877
148,20150616,0.002,0.028,0.002,1434465878
149,20150616,0.003,0.030,0.002,1434465879
150,20150616,0.002,0.020,0.001,1434465880
151,20150616,0.002,0.018,0.001,1434465881
152,20150616,0.004,0.036,0.002,1434465882
153,20150616,0.002,0.055,0.001,1434465883
154,20150616,0.002,0.022,0.001,1434465884
155,20150616,0.002,0.023,0.001,1434465885
156,20150616,0.001,0.016,0.001,1434465886
157,20150616,0.002,0.031,0.001,1434465887
158,20150616,0.004,0.031,0.004,1434465888
159,20150616,0.002,0.019,0.002,1434465889
160,20150616,0.003,0.018,0.002,1434465890
161,20150616,0.003,0.014,0.001,1434465891
162,20150616,0.004,0.027,0.008,1434465892
163,20150616,0.008,0.016,0.005,1434465893
164,20150616,0.004,0.010,0.003,1434465894
165,20150616,0.002,0.015,0.002,1434465895
166,20150616,0.002,0.023,0.002,1434465896
167,20150616,0.002,0.021,0.001,1434465897
168,20150616,0.002,0.022,0.001,1434465898
169,20150616,0.004,0.050,0.001,1434465899
170,20150616,0.003,0.039,0.001,1434465900
171,20150616,0.001,0.035,0.001,1434465901
172,20150616,0.002,0.029,0.001,1434465902
173,20150616,0.002,0.024,0.001,1434465903
174,20150616,0.004,0.026,0.001,1434465904
175,20150616,0.005,0.030,0.003,1434465905
176,20150616,0.006,0.022,0.001,1434465906
