index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150616,0.021,0.024,0.017,1434476936
2,20150616,0.012,0.014,0.016,1434476937
3,20150616,0.014,0.009,0.009,1434476938
4,20150616,0.050,0.034,0.026,1434476939
5,20150616,0.027,0.028,0.013,1434476940
6,20150616,0.016,0.025,0.008,1434476941
7,20150616,0.013,0.016,0.005,1434476942
8,20150616,0.011,0.011,0.003,1434476943
9,20150616,0.007,0.007,0.002,1434476944
10,20150616,0.004,0.004,0.001,1434476945
11,20150616,0.024,0.006,0.001,1434476946
12,20150616,0.037,0.018,0.000,1434476947
13,20150616,0.064,0.040,0.000,1434476948
14,20150616,0.061,0.039,0.000,1434476949
15,20150616,0.041,0.032,0.000,1434476950
16,20150616,0.030,0.018,0.000,1434476951
17,20150616,0.026,0.025,0.000,1434476952
18,20150616,0.026,0.017,0.000,1434476953
19,20150616,0.040,0.018,0.000,1434476954
20,20150616,0.035,0.027,0.000,1434476955
21,20150616,0.046,0.035,0.000,1434476956
22,20150616,0.023,0.058,0.000,1434476957
23,20150616,0.023,0.049,0.000,1434476958
24,20150616,0.025,0.040,0.000,1434476959
25,20150616,0.017,0.023,0.000,1434476960
26,20150616,0.008,0.024,0.000,1434476961
27,20150616,0.009,0.040,0.000,1434476962
28,20150616,0.007,0.021,0.000,1434476963
29,20150616,0.004,0.021,0.000,1434476964
30,20150616,0.002,0.017,0.000,1434476965
31,20150616,0.002,0.011,0.000,1434476966
32,20150616,0.001,0.006,0.000,1434476967
33,20150616,0.001,0.003,0.000,1434476968
34,20150616,0.001,0.003,0.000,1434476969
35,20150616,0.001,0.003,0.000,1434476970
36,20150616,0.002,0.003,0.000,1434476971
37,20150616,0.002,0.003,0.000,1434476972
38,20150616,0.002,0.023,0.000,1434476973
39,20150616,0.004,0.016,0.000,1434476974
40,20150616,0.005,0.020,0.030,1434476975
41,20150616,0.014,0.023,0.050,1434476976
42,20150616,0.012,0.019,0.043,1434476977
43,20150616,0.006,0.012,0.030,1434476978
44,20150616,0.005,0.014,0.019,1434476979
45,20150616,0.004,0.012,0.014,1434476980
46,20150616,0.006,0.024,0.012,1434476981
47,20150616,0.010,0.061,0.011,1434476982
48,20150616,0.005,0.053,0.006,1434476983
49,20150616,0.007,0.045,0.007,1434476984
50,20150616,0.005,0.031,0.005,1434476985
51,20150616,0.005,0.026,0.005,1434476986
52,20150616,0.009,0.046,0.009,1434476987
53,20150616,0.024,0.051,0.011,1434476988
54,20150616,0.020,0.052,0.009,1434476989
55,20150616,0.014,0.063,0.004,1434476990
56,20150616,0.008,0.076,0.003,1434476991
