index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150616,0.043,0.051,0.035,1434475466
2,20150616,0.026,0.035,0.021,1434475467
3,20150616,0.016,0.021,0.013,1434475468
4,20150616,0.009,0.013,0.008,1434475469
5,20150616,0.005,0.008,0.008,1434475470
6,20150616,0.003,0.005,0.005,1434475471
7,20150616,0.002,0.003,0.003,1434475472
8,20150616,0.001,0.002,0.002,1434475473
9,20150616,0.001,0.001,0.001,1434475474
10,20150616,0.001,0.003,0.005,1434475475
11,20150616,0.001,0.002,0.002,1434475476
12,20150616,0.001,0.002,0.004,1434475477
13,20150616,0.003,0.008,0.002,1434475478
14,20150616,0.005,0.010,0.005,1434475479
15,20150616,0.003,0.004,0.002,1434475480
16,20150616,0.007,0.013,0.005,1434475481
17,20150616,0.008,0.031,0.008,1434475482
18,20150616,0.012,0.031,0.008,1434475483
19,20150616,0.012,0.027,0.003,1434475484
20,20150616,0.008,0.024,0.002,1434475485
21,20150616,0.005,0.017,0.003,1434475486
22,20150616,0.007,0.009,0.004,1434475487
23,20150616,0.007,0.012,0.002,1434475488
24,20150616,0.003,0.010,0.002,1434475489
25,20150616,0.007,0.038,0.012,1434475490
26,20150616,0.029,0.031,0.040,1434475491
27,20150616,0.018,0.017,0.046,1434475492
28,20150616,0.010,0.019,0.032,1434475493
29,20150616,0.008,0.025,0.024,1434475494
30,20150616,0.016,0.025,0.017,1434475495
31,20150616,0.024,0.028,0.019,1434475496
32,20150616,0.021,0.049,0.008,1434475497
33,20150616,0.014,0.036,0.004,1434475498
34,20150616,0.010,0.055,0.003,1434475499
35,20150616,0.014,0.051,0.014,1434475500
36,20150616,0.033,0.037,0.021,1434475501
37,20150616,0.019,0.057,0.016,1434475502
38,20150616,0.012,0.038,0.007,1434475503
39,20150616,0.005,0.049,0.002,1434475504
40,20150616,0.005,0.039,0.002,1434475505
41,20150616,0.014,0.063,0.002,1434475506
42,20150616,0.010,0.036,0.003,1434475507
43,20150616,0.011,0.023,0.002,1434475508
44,20150616,0.008,0.034,0.004,1434475509
45,20150616,0.026,0.041,0.008,1434475510
46,20150616,0.031,0.030,0.007,1434475511
47,20150616,0.018,0.023,0.004,1434475512
48,20150616,0.014,0.041,0.018,1434475513
49,20150616,0.017,0.052,0.010,1434475514
50,20150616,0.018,0.050,0.008,1434475515
51,20150616,0.031,0.041,0.002,1434475516
52,20150616,0.018,0.035,0.001,1434475517
53,20150616,0.011,0.051,0.002,1434475518
54,20150616,0.007,0.044,0.001,1434475519
55,20150616,0.026,0.021,0.002,1434475520
56,20150616,0.019,0.027,0.005,1434475521
57,20150616,0.013,0.029,0.003,1434475522
58,20150616,0.013,0.037,0.004,1434475523
59,20150616,0.013,0.040,0.005,1434475524
60,20150616,0.011,0.027,0.005,1434475525
61,20150616,0.020,0.047,0.010,1434475526
62,20150616,0.026,0.051,0.012,1434475527
63,20150616,0.019,0.054,0.010,1434475528
64,20150616,0.023,0.039,0.005,1434475529
65,20150616,0.017,0.051,0.004,1434475530
66,20150616,0.014,0.050,0.003,1434475531
67,20150616,0.007,0.037,0.002,1434475532
68,20150616,0.011,0.031,0.002,1434475533
69,20150616,0.017,0.039,0.003,1434475534
70,20150616,0.012,0.050,0.005,1434475535
71,20150616,0.025,0.057,0.011,1434475536
72,20150616,0.027,0.034,0.010,1434475537
73,20150616,0.018,0.035,0.008,1434475538
74,20150616,0.033,0.058,0.011,1434475539
75,20150616,0.019,0.036,0.007,1434475540
76,20150616,0.028,0.023,0.009,1434475541
77,20150616,0.020,0.021,0.006,1434475542
78,20150616,0.015,0.016,0.005,1434475543
79,20150616,0.010,0.026,0.007,1434475544
80,20150616,0.016,0.028,0.009,1434475545
81,20150616,0.012,0.046,0.007,1434475546
82,20150616,0.012,0.056,0.004,1434475547
83,20150616,0.008,0.030,0.002,1434475548
84,20150616,0.008,0.028,0.003,1434475549
85,20150616,0.008,0.023,0.002,1434475550
86,20150616,0.013,0.022,0.007,1434475551
87,20150616,0.008,0.032,0.006,1434475552
88,20150616,0.018,0.061,0.003,1434475553
89,20150616,0.020,0.035,0.002,1434475554
90,20150616,0.010,0.034,0.002,1434475555
91,20150616,0.007,0.054,0.002,1434475556
92,20150616,0.012,0.027,0.003,1434475557
93,20150616,0.011,0.021,0.008,1434475558
94,20150616,0.009,0.022,0.003,1434475559
95,20150616,0.005,0.038,0.002,1434475560
96,20150616,0.003,0.026,0.002,1434475561
97,20150616,0.004,0.017,0.002,1434475562
98,20150616,0.005,0.026,0.005,1434475563
99,20150616,0.008,0.031,0.005,1434475564
100,20150616,0.007,0.023,0.005,1434475565
101,20150616,0.004,0.033,0.003,1434475566
102,20150616,0.013,0.021,0.006,1434475567
103,20150616,0.018,0.029,0.009,1434475568
104,20150616,0.024,0.048,0.006,1434475569
105,20150616,0.013,0.038,0.007,1434475570
106,20150616,0.015,0.029,0.007,1434475571
107,20150616,0.014,0.062,0.005,1434475572
108,20150616,0.007,0.028,0.003,1434475573
109,20150616,0.010,0.023,0.004,1434475574
110,20150616,0.010,0.037,0.005,1434475575
111,20150616,0.017,0.044,0.008,1434475576
112,20150616,0.018,0.037,0.009,1434475577
113,20150616,0.020,0.029,0.004,1434475578
114,20150616,0.013,0.019,0.002,1434475579
115,20150616,0.010,0.014,0.001,1434475580
116,20150616,0.012,0.016,0.001,1434475581
117,20150616,0.007,0.036,0.001,1434475582
118,20150616,0.007,0.034,0.004,1434475583
119,20150616,0.010,0.038,0.004,1434475584
120,20150616,0.014,0.029,0.005,1434475585
121,20150616,0.006,0.034,0.005,1434475586
122,20150616,0.003,0.034,0.003,1434475587
123,20150616,0.002,0.028,0.003,1434475588
124,20150616,0.009,0.028,0.007,1434475589
125,20150616,0.010,0.032,0.006,1434475590
126,20150616,0.030,0.049,0.011,1434475591
127,20150616,0.026,0.033,0.011,1434475592
128,20150616,0.015,0.029,0.005,1434475593
129,20150616,0.019,0.049,0.011,1434475594
130,20150616,0.019,0.026,0.007,1434475595
131,20150616,0.015,0.049,0.006,1434475596
