index,session,leftEnergy,rightEnergy,phoneEnergy,time
249,20150617,0.040,-1.000,0.031,1434573943
250,20150617,0.043,0.032,0.027,1434573944
251,20150617,0.023,0.021,0.017,1434573945
252,20150617,0.014,0.013,0.010,1434573946
253,20150617,0.008,0.008,0.006,1434573947
254,20150617,0.005,0.004,0.004,1434573948
255,20150617,0.003,0.003,0.002,1434573949
256,20150617,0.002,0.002,0.001,1434573950
257,20150617,0.001,0.001,0.001,1434573951
258,20150617,0.001,0.001,0.001,1434573952
259,20150617,0.000,0.000,0.000,1434573953
260,20150617,0.000,0.000,0.000,1434573954
261,20150617,0.000,0.051,0.000,1434573955
262,20150617,0.000,0.064,0.000,1434573956
263,20150617,0.000,0.045,0.000,1434573957
264,20150617,0.000,0.031,0.000,1434573958
265,20150617,0.000,0.024,0.000,1434573959
266,20150617,0.000,0.030,0.000,1434573960
267,20150617,0.000,0.052,0.000,1434573961
268,20150617,0.000,0.035,0.000,1434573962
269,20150617,0.000,0.034,0.000,1434573963
270,20150617,0.005,0.051,0.000,1434573964
271,20150617,0.062,0.037,0.000,1434573965
272,20150617,0.049,0.034,0.000,1434573966
273,20150617,0.045,0.026,0.000,1434573967
274,20150617,0.051,0.019,0.000,1434573968
275,20150617,0.033,0.012,0.000,1434573969
276,20150617,0.060,0.025,0.000,1434573970
277,20150617,0.037,0.024,0.000,1434573971
278,20150617,0.025,0.017,0.000,1434573972
279,20150617,0.054,0.022,0.000,1434573973
280,20150617,0.041,0.020,0.000,1434573974
281,20150617,0.030,0.020,0.000,1434573975
282,20150617,0.046,0.026,0.000,1434573976
283,20150617,0.036,0.031,0.000,1434573977
284,20150617,0.036,0.020,0.000,1434573978
285,20150617,0.031,0.025,0.000,1434573979
286,20150617,0.037,0.032,0.028,1434573980
287,20150617,0.038,0.016,0.036,1434573981
288,20150617,0.038,0.046,0.036,1434573982
289,20150617,0.021,0.028,0.029,1434573983
290,20150617,0.013,0.022,0.024,1434573984
291,20150617,0.007,0.015,0.013,1434573985
292,20150617,0.004,0.009,0.009,1434573986
293,20150617,0.003,0.006,0.007,1434573987
294,20150617,0.002,0.004,0.009,1434573988
295,20150617,0.001,0.002,0.007,1434573989
296,20150617,0.002,0.002,0.009,1434573990
297,20150617,0.003,0.002,0.005,1434573991
298,20150617,0.002,0.001,0.003,1434573992
299,20150617,0.001,0.001,0.004,1434573993
300,20150617,0.001,0.000,0.001,1434573994
301,20150617,0.001,0.001,0.001,1434573995
302,20150617,0.001,0.002,0.002,1434573996
303,20150617,0.001,0.000,0.001,1434573997
304,20150617,0.001,0.000,0.001,1434573998
305,20150617,0.001,0.001,0.005,1434573999
306,20150617,0.001,0.001,0.002,1434574000
307,20150617,0.001,0.001,0.002,1434574001
308,20150617,0.001,0.001,0.003,1434574002
309,20150617,0.000,0.001,0.004,1434574003
310,20150617,0.001,0.001,0.004,1434574004
311,20150617,0.018,0.041,0.021,1434574005
312,20150617,0.026,0.037,0.022,1434574006
313,20150617,0.015,0.047,0.016,1434574007
314,20150617,0.011,0.039,0.011,1434574008
315,20150617,0.008,0.022,0.008,1434574009
316,20150617,0.004,0.012,0.005,1434574010
317,20150617,0.002,0.007,0.003,1434574011
318,20150617,0.001,0.005,0.002,1434574012
319,20150617,0.006,0.005,0.011,1434574013
320,20150617,0.013,0.003,0.013,1434574014
321,20150617,0.009,0.005,0.009,1434574015
322,20150617,0.006,0.009,0.001,1434574016
323,20150617,0.004,0.006,0.002,1434574017
324,20150617,0.008,0.003,0.005,1434574018
325,20150617,0.005,0.002,0.001,1434574019
326,20150617,0.004,0.001,0.002,1434574020
327,20150617,0.003,0.003,0.001,1434574021
328,20150617,0.002,0.001,0.002,1434574022
329,20150617,0.017,0.009,0.030,1434574023
330,20150617,0.034,0.048,0.026,1434574024
331,20150617,0.021,0.033,0.016,1434574025
332,20150617,0.015,0.040,0.010,1434574026
333,20150617,0.021,0.017,0.009,1434574027
334,20150617,0.013,0.017,0.020,1434574028
335,20150617,0.015,0.015,0.040,1434574029
336,20150617,0.009,0.010,0.032,1434574030
337,20150617,0.007,0.018,0.020,1434574031
338,20150617,0.036,0.023,0.035,1434574032
339,20150617,0.040,0.023,0.035,1434574033
340,20150617,0.040,0.026,0.017,1434574034
341,20150617,0.024,0.024,0.013,1434574035
342,20150617,0.016,0.015,0.024,1434574036
343,20150617,0.007,0.015,0.023,1434574037
344,20150617,0.007,0.007,0.020,1434574038
345,20150617,0.006,0.020,0.012,1434574039
346,20150617,0.020,0.007,0.011,1434574040
347,20150617,0.007,0.007,0.016,1434574041
348,20150617,0.020,0.005,0.017,1434574042
349,20150617,0.019,0.006,0.020,1434574043
350,20150617,0.027,0.026,0.038,1434574044
351,20150617,0.015,0.016,0.022,1434574045
352,20150617,0.007,0.008,0.013,1434574046
353,20150617,0.004,0.005,0.008,1434574047
354,20150617,0.002,0.003,0.005,1434574048
355,20150617,0.001,0.002,0.003,1434574049
356,20150617,0.001,0.001,0.002,1434574050
357,20150617,0.001,0.001,0.001,1434574051
358,20150617,0.000,0.000,0.001,1434574052
359,20150617,0.000,0.000,0.000,1434574053
360,20150617,0.000,0.000,0.000,1434574054
361,20150617,0.000,0.000,0.000,1434574055
362,20150617,0.000,0.000,0.000,1434574056
363,20150617,0.000,0.000,0.000,1434574057
364,20150617,0.000,0.000,0.000,1434574058
365,20150617,0.000,0.000,0.000,1434574059
366,20150617,0.000,0.000,0.000,1434574060
367,20150617,0.000,0.000,0.000,1434574061
368,20150617,0.000,0.000,0.000,1434574062
369,20150617,0.000,0.000,0.000,1434574063
370,20150617,0.000,0.000,0.000,1434574064
371,20150617,0.000,0.000,0.000,1434574065
372,20150617,0.000,0.000,0.000,1434574066
373,20150617,0.000,0.000,0.000,1434574067
374,20150617,0.000,0.000,0.000,1434574068
375,20150617,0.000,0.000,0.000,1434574069
376,20150617,0.000,0.000,0.000,1434574070
377,20150617,0.000,0.000,0.000,1434574071
378,20150617,0.000,0.000,0.000,1434574072
379,20150617,0.000,0.000,0.000,1434574073
380,20150617,0.000,0.000,0.000,1434574074
381,20150617,0.000,0.000,0.000,1434574075
382,20150617,0.000,0.000,0.000,1434574076
383,20150617,0.000,0.000,0.000,1434574077
384,20150617,0.000,0.000,0.000,1434574078
385,20150617,0.000,0.000,0.000,1434574079
386,20150617,0.000,0.000,0.000,1434574080
387,20150617,0.000,0.000,0.000,1434574081
388,20150617,0.000,0.000,0.000,1434574082
389,20150617,0.000,0.000,0.000,1434574083
390,20150617,0.000,0.000,0.000,1434574084
391,20150617,0.000,0.000,0.000,1434574085
392,20150617,0.000,0.000,0.000,1434574086
393,20150617,0.000,0.000,0.000,1434574087
394,20150617,0.000,0.000,0.000,1434574088
395,20150617,0.000,0.000,0.000,1434574089
396,20150617,0.000,0.000,0.000,1434574090
397,20150617,0.000,0.000,0.000,1434574091
398,20150617,0.000,0.000,0.000,1434574092
399,20150617,0.000,0.000,0.000,1434574093
400,20150617,0.000,0.000,0.000,1434574094
401,20150617,0.000,0.000,0.000,1434574095
402,20150617,0.000,0.000,0.000,1434574096
403,20150617,0.000,0.000,0.000,1434574097
404,20150617,0.000,0.000,0.000,1434574098
405,20150617,0.000,0.000,0.000,1434574099
406,20150617,0.000,0.000,0.000,1434574100
407,20150617,0.000,0.000,0.000,1434574101
408,20150617,0.000,0.000,0.000,1434574102
409,20150617,0.000,0.000,0.000,1434574103
410,20150617,0.000,0.000,0.000,1434574104
411,20150617,0.000,0.000,0.000,1434574105
412,20150617,0.000,0.000,0.000,1434574106
413,20150617,0.000,0.000,0.000,1434574107
414,20150617,0.000,0.000,0.000,1434574108
415,20150617,0.000,0.000,0.000,1434574109
416,20150617,0.000,0.000,0.000,1434574110
417,20150617,0.000,0.000,0.000,1434574111
418,20150617,0.000,0.000,0.000,1434574112
419,20150617,0.000,0.000,0.000,1434574113
420,20150617,0.000,0.000,0.000,1434574114
421,20150617,0.000,0.000,0.000,1434574115
422,20150617,0.000,0.000,0.000,1434574116
423,20150617,0.000,0.000,0.000,1434574117
424,20150617,0.000,0.000,0.000,1434574118
425,20150617,0.000,0.000,0.001,1434574119
426,20150617,0.000,0.000,0.000,1434574120
427,20150617,0.000,0.000,0.000,1434574121
428,20150617,0.000,0.000,0.000,1434574122
429,20150617,0.000,0.000,0.000,1434574123
430,20150617,0.000,0.000,0.000,1434574124
431,20150617,0.000,0.000,0.000,1434574125
432,20150617,0.000,0.000,0.000,1434574126
433,20150617,0.000,0.000,0.000,1434574127
434,20150617,0.000,0.000,0.000,1434574128
435,20150617,0.000,0.000,0.000,1434574129
436,20150617,0.000,0.000,0.000,1434574130
437,20150617,0.000,0.000,0.000,1434574131
438,20150617,0.000,0.000,0.000,1434574132
439,20150617,0.000,0.000,0.000,1434574133
440,20150617,0.000,0.000,0.000,1434574134
441,20150617,0.000,0.000,0.000,1434574135
442,20150617,0.000,0.000,0.000,1434574136
443,20150617,0.000,0.000,0.000,1434574137
444,20150617,0.000,0.000,0.000,1434574138
445,20150617,0.000,0.000,0.000,1434574139
446,20150617,0.000,0.000,0.000,1434574140
447,20150617,0.000,0.000,0.000,1434574141
448,20150617,0.000,0.000,0.000,1434574142
449,20150617,0.000,0.000,0.000,1434574143
450,20150617,0.000,0.000,0.000,1434574144
451,20150617,0.000,0.000,0.000,1434574145
452,20150617,0.000,0.000,0.000,1434574146
453,20150617,0.000,0.000,0.000,1434574147
454,20150617,0.000,0.000,0.000,1434574148
455,20150617,0.000,0.000,0.001,1434574149
456,20150617,0.000,0.000,0.000,1434574150
457,20150617,0.000,0.000,0.000,1434574151
458,20150617,0.000,0.000,0.000,1434574152
459,20150617,0.000,0.000,0.000,1434574153
460,20150617,0.000,0.000,0.001,1434574154
461,20150617,0.000,0.000,0.000,1434574155
462,20150617,0.000,0.000,0.000,1434574156
463,20150617,0.000,0.000,0.000,1434574157
464,20150617,0.000,0.000,0.000,1434574158
465,20150617,0.000,0.000,0.000,1434574159
466,20150617,0.000,0.000,0.000,1434574160
467,20150617,0.000,0.000,0.000,1434574161
468,20150617,0.000,0.000,0.000,1434574162
469,20150617,0.000,0.000,0.000,1434574163
470,20150617,0.000,0.000,0.001,1434574164
471,20150617,0.000,0.000,0.000,1434574165
472,20150617,0.000,0.000,0.000,1434574166
473,20150617,0.000,0.000,0.000,1434574167
474,20150617,0.000,0.000,0.000,1434574168
475,20150617,0.000,0.000,0.001,1434574169
476,20150617,0.000,0.000,0.000,1434574170
477,20150617,0.000,0.000,0.000,1434574171
478,20150617,0.000,0.000,0.000,1434574172
479,20150617,0.000,0.000,0.000,1434574173
480,20150617,0.000,0.000,0.000,1434574174
481,20150617,0.000,0.000,0.000,1434574175
482,20150617,0.000,0.000,0.000,1434574176
483,20150617,0.000,0.000,0.000,1434574177
484,20150617,0.000,0.000,0.001,1434574178
485,20150617,0.000,0.000,0.000,1434574179
486,20150617,0.000,0.000,0.000,1434574180
487,20150617,0.000,0.000,0.000,1434574181
488,20150617,0.000,0.000,0.000,1434574182
489,20150617,0.000,0.000,0.000,1434574183
490,20150617,0.000,0.000,0.000,1434574184
491,20150617,0.000,0.000,0.000,1434574185
492,20150617,0.000,0.000,0.000,1434574186
493,20150617,0.000,0.000,0.000,1434574187
494,20150617,0.000,0.000,0.000,1434574188
495,20150617,0.000,0.000,0.000,1434574189
496,20150617,0.000,0.000,0.000,1434574190
497,20150617,0.000,0.000,0.000,1434574191
498,20150617,0.000,0.000,0.000,1434574192
499,20150617,0.000,0.000,0.000,1434574193
500,20150617,0.000,0.000,0.000,1434574194
501,20150617,0.000,0.000,0.000,1434574195
502,20150617,0.000,0.000,0.000,1434574196
503,20150617,0.000,0.000,0.000,1434574197
504,20150617,0.000,0.000,0.000,1434574198
505,20150617,0.000,0.000,0.000,1434574199
506,20150617,0.000,0.000,0.000,1434574200
507,20150617,0.000,0.000,0.000,1434574201
508,20150617,0.000,0.000,0.000,1434574202
509,20150617,0.000,0.000,0.000,1434574203
510,20150617,0.000,0.000,0.000,1434574204
511,20150617,0.000,0.000,0.000,1434574205
512,20150617,0.000,0.000,0.000,1434574206
513,20150617,0.000,0.000,0.000,1434574207
514,20150617,0.000,0.000,0.000,1434574208
515,20150617,0.000,0.000,0.000,1434574209
516,20150617,0.000,0.000,0.000,1434574210
517,20150617,0.000,0.000,0.000,1434574211
518,20150617,0.000,0.000,0.000,1434574212
519,20150617,0.000,0.000,0.000,1434574213
520,20150617,0.000,0.000,0.000,1434574214
521,20150617,0.000,0.000,0.000,1434574215
522,20150617,0.000,0.000,0.000,1434574216
523,20150617,0.000,0.000,0.000,1434574217
524,20150617,0.000,0.000,0.000,1434574218
525,20150617,0.000,0.000,0.000,1434574219
526,20150617,0.000,0.000,0.000,1434574220
527,20150617,0.000,0.000,0.000,1434574221
528,20150617,0.000,0.000,0.000,1434574222
529,20150617,0.000,0.000,0.000,1434574223
530,20150617,0.000,0.000,0.000,1434574224
531,20150617,0.000,0.000,0.000,1434574225
532,20150617,0.000,0.000,0.000,1434574226
533,20150617,0.000,0.000,0.000,1434574227
534,20150617,0.000,0.000,0.000,1434574228
535,20150617,0.000,0.000,0.000,1434574229
536,20150617,0.000,0.000,0.000,1434574230
537,20150617,0.000,0.000,0.000,1434574231
538,20150617,0.000,0.000,0.000,1434574232
539,20150617,0.000,0.000,0.000,1434574233
540,20150617,0.000,0.000,0.000,1434574234
541,20150617,0.000,0.000,0.000,1434574235
542,20150617,0.000,0.000,0.000,1434574236
543,20150617,0.000,0.000,0.000,1434574237
544,20150617,0.000,0.000,0.000,1434574238
545,20150617,0.000,0.000,0.000,1434574239
546,20150617,0.000,0.000,0.000,1434574240
547,20150617,0.000,0.000,0.000,1434574241
548,20150617,0.000,0.000,0.000,1434574242
549,20150617,0.000,0.000,0.000,1434574243
550,20150617,0.000,0.000,0.000,1434574244
551,20150617,0.000,0.000,0.000,1434574245
