index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150617,0.028,0.050,0.020,1434562754
2,20150617,0.017,0.031,0.016,1434562755
3,20150617,0.010,0.018,0.011,1434562756
4,20150617,0.007,0.011,0.006,1434562757
5,20150617,0.004,0.007,0.005,1434562758
6,20150617,0.002,0.005,0.002,1434562759
7,20150617,0.002,0.004,0.003,1434562760
8,20150617,0.004,0.004,0.006,1434562761
9,20150617,0.002,0.004,0.002,1434562762
10,20150617,0.001,0.003,0.003,1434562763
11,20150617,0.001,0.003,0.003,1434562764
12,20150617,0.003,0.004,0.003,1434562765
13,20150617,0.003,0.005,0.004,1434562766
14,20150617,0.008,0.012,0.007,1434562767
15,20150617,0.007,0.016,0.009,1434562768
16,20150617,0.009,0.014,0.011,1434562769
17,20150617,0.014,0.019,0.016,1434562770
18,20150617,0.018,0.027,0.019,1434562771
19,20150617,0.020,0.021,0.015,1434562772
20,20150617,0.009,0.020,0.007,1434562773
21,20150617,0.005,0.017,0.003,1434562774
22,20150617,0.003,0.010,0.006,1434562775
23,20150617,0.002,0.006,0.003,1434562776
24,20150617,0.002,0.003,0.002,1434562777
25,20150617,0.002,0.003,0.006,1434562778
26,20150617,0.003,0.002,0.003,1434562779
27,20150617,0.005,0.002,0.005,1434562780
28,20150617,0.007,0.004,0.007,1434562781
29,20150617,0.012,0.005,0.012,1434562782
30,20150617,0.012,0.003,0.003,1434562783
31,20150617,0.009,0.002,0.005,1434562784
32,20150617,0.007,0.002,0.008,1434562785
33,20150617,0.010,0.006,0.012,1434562786
34,20150617,0.006,0.005,0.006,1434562787
35,20150617,0.003,0.013,0.005,1434562788
36,20150617,0.001,0.009,0.002,1434562789
37,20150617,0.002,0.006,0.007,1434562790
38,20150617,0.007,0.019,0.020,1434562791
39,20150617,0.012,0.013,0.013,1434562792
40,20150617,0.009,0.008,0.007,1434562793
41,20150617,0.005,0.005,0.004,1434562794
42,20150617,0.003,0.004,0.004,1434562795
43,20150617,0.002,0.004,0.004,1434562796
44,20150617,0.002,0.002,0.002,1434562797
45,20150617,0.005,0.002,0.003,1434562798
46,20150617,0.003,0.001,0.002,1434562799
47,20150617,0.002,0.001,0.001,1434562800
48,20150617,0.003,0.002,0.002,1434562801
49,20150617,0.003,0.002,0.002,1434562802
50,20150617,0.003,0.002,0.002,1434562803
51,20150617,0.001,0.001,0.001,1434562804
52,20150617,0.002,0.001,0.001,1434562805
53,20150617,0.003,0.002,0.003,1434562806
54,20150617,0.001,0.001,0.001,1434562807
55,20150617,0.001,0.001,0.001,1434562808
56,20150617,0.001,0.001,0.001,1434562809
57,20150617,0.001,0.001,0.001,1434562810
58,20150617,0.001,0.001,0.001,1434562811
59,20150617,0.002,0.002,0.002,1434562812
60,20150617,0.001,0.001,0.001,1434562813
61,20150617,0.001,0.001,0.001,1434562814
62,20150617,0.001,0.001,0.001,1434562815
63,20150617,0.001,0.001,0.001,1434562816
64,20150617,0.001,0.001,0.001,1434562817
65,20150617,0.001,0.001,0.001,1434562818
66,20150617,0.001,0.001,0.001,1434562819
67,20150617,0.001,0.001,0.001,1434562820
68,20150617,0.001,0.001,0.001,1434562821
69,20150617,0.001,0.001,0.001,1434562822
70,20150617,0.001,0.001,0.001,1434562823
71,20150617,0.001,0.001,0.001,1434562824
72,20150617,0.001,0.001,0.001,1434562825
73,20150617,0.001,0.001,0.001,1434562826
74,20150617,0.001,0.001,0.001,1434562827
75,20150617,0.001,0.001,0.001,1434562828
76,20150617,0.001,0.001,0.001,1434562829
77,20150617,0.000,0.000,0.000,1434562830
78,20150617,0.000,0.000,0.000,1434562831
79,20150617,0.000,0.000,0.000,1434562832
80,20150617,0.000,0.001,0.000,1434562833
81,20150617,0.000,0.002,0.000,1434562834
82,20150617,0.000,0.001,0.000,1434562835
83,20150617,0.001,0.002,0.001,1434562836
84,20150617,0.001,0.002,0.001,1434562837
85,20150617,0.001,0.002,0.001,1434562838
86,20150617,0.001,0.001,0.001,1434562839
87,20150617,0.001,0.001,0.001,1434562840
88,20150617,0.001,0.001,0.001,1434562841
89,20150617,0.003,0.003,0.003,1434562842
90,20150617,0.002,0.002,0.002,1434562843
91,20150617,0.001,0.001,0.001,1434562844
92,20150617,0.001,0.001,0.001,1434562845
93,20150617,0.000,0.000,0.000,1434562846
94,20150617,0.000,0.000,0.000,1434562847
95,20150617,0.000,0.000,0.000,1434562848
96,20150617,0.000,0.000,0.000,1434562849
97,20150617,0.000,0.000,0.000,1434562850
98,20150617,0.000,0.000,0.000,1434562851
99,20150617,0.000,0.000,0.000,1434562852
100,20150617,0.000,0.000,0.000,1434562853
101,20150617,0.000,0.000,0.000,1434562854
102,20150617,0.000,0.000,0.000,1434562855
103,20150617,0.000,0.000,0.000,1434562856
104,20150617,0.000,0.000,0.000,1434562857
105,20150617,0.000,0.000,0.000,1434562858
106,20150617,0.003,0.003,0.002,1434562859
107,20150617,0.004,0.004,0.003,1434562860
108,20150617,0.003,0.002,0.002,1434562861
109,20150617,0.001,0.001,0.001,1434562862
