index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150617,-1.000,-1.000,0.023,1434564223
2,20150617,-1.000,-1.000,0.015,1434564224
3,20150617,0.049,0.041,0.009,1434564225
4,20150617,0.036,0.041,0.007,1434564226
5,20150617,0.022,0.025,0.005,1434564227
6,20150617,0.013,0.017,0.003,1434564228
7,20150617,0.008,0.010,0.002,1434564229
8,20150617,0.006,0.006,0.005,1434564230
9,20150617,0.003,0.005,0.002,1434564231
10,20150617,0.003,0.004,0.003,1434564232
11,20150617,0.012,0.049,0.010,1434564233
12,20150617,0.019,0.072,0.015,1434564234
13,20150617,0.005,0.041,0.008,1434564235
14,20150617,0.011,0.028,0.012,1434564236
15,20150617,0.008,0.018,0.011,1434564237
16,20150617,0.009,0.014,0.008,1434564238
17,20150617,0.006,0.010,0.008,1434564239
18,20150617,0.004,0.005,0.005,1434564240
19,20150617,0.008,0.007,0.012,1434564241
20,20150617,0.007,0.009,0.009,1434564242
21,20150617,0.013,0.019,0.025,1434564243
22,20150617,0.038,0.034,0.044,1434564244
23,20150617,0.022,0.026,0.033,1434564245
24,20150617,0.021,0.029,0.018,1434564246
25,20150617,0.017,0.037,0.013,1434564247
26,20150617,0.015,0.033,0.014,1434564248
27,20150617,0.025,0.025,0.007,1434564249
28,20150617,0.055,0.039,0.011,1434564250
29,20150617,0.041,0.047,0.011,1434564251
30,20150617,0.035,0.052,0.007,1434564252
31,20150617,0.040,0.036,0.010,1434564253
32,20150617,0.043,0.048,0.014,1434564254
33,20150617,0.024,0.027,0.012,1434564255
34,20150617,0.032,0.029,0.015,1434564256
35,20150617,0.057,0.041,0.014,1434564257
36,20150617,0.039,0.034,0.008,1434564258
37,20150617,0.022,0.017,0.004,1434564259
38,20150617,0.010,0.009,0.003,1434564260
39,20150617,0.011,0.022,0.003,1434564261
40,20150617,0.012,0.016,0.003,1434564262
41,20150617,0.018,0.011,0.002,1434564263
42,20150617,0.022,0.016,0.003,1434564264
43,20150617,0.009,0.019,0.002,1434564265
44,20150617,0.011,0.016,0.003,1434564266
45,20150617,0.024,0.016,0.003,1434564267
46,20150617,0.025,0.012,0.003,1434564268
47,20150617,0.021,0.014,0.002,1434564269
48,20150617,0.015,0.010,0.002,1434564270
49,20150617,0.010,0.008,0.001,1434564271
50,20150617,0.008,0.004,0.001,1434564272
