index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150617,0.045,-1.000,0.023,1434563121
2,20150617,0.027,-1.000,0.014,1434563122
3,20150617,0.016,-1.000,0.009,1434563123
4,20150617,0.009,-1.000,0.006,1434563124
5,20150617,0.005,-1.000,0.006,1434563125
6,20150617,0.003,-1.000,0.003,1434563126
7,20150617,0.002,-1.000,0.005,1434563127
8,20150617,0.002,-1.000,0.007,1434563128
9,20150617,0.002,-1.000,0.005,1434563129
10,20150617,0.002,-1.000,0.003,1434563130
11,20150617,0.003,-1.000,0.005,1434563131
12,20150617,0.002,-1.000,0.003,1434563132
13,20150617,0.002,0.051,0.002,1434563133
14,20150617,0.001,0.037,0.001,1434563134
15,20150617,0.022,0.023,0.027,1434563135
16,20150617,0.031,0.032,0.038,1434563136
17,20150617,0.020,0.014,0.036,1434563137
18,20150617,0.018,0.012,0.038,1434563138
19,20150617,0.011,0.012,0.019,1434563139
20,20150617,0.009,0.021,0.011,1434563140
21,20150617,0.024,0.042,0.005,1434563141
22,20150617,0.029,0.028,0.003,1434563142
23,20150617,0.019,0.018,0.004,1434563143
24,20150617,0.007,0.011,0.002,1434563144
25,20150617,0.004,0.006,0.002,1434563145
26,20150617,0.003,0.004,0.002,1434563146
27,20150617,0.002,0.003,0.001,1434563147
28,20150617,0.002,0.001,0.001,1434563148
29,20150617,0.001,0.001,0.001,1434563149
30,20150617,0.001,0.001,0.001,1434563150
31,20150617,0.001,0.001,0.001,1434563151
32,20150617,0.001,0.002,0.001,1434563152
33,20150617,0.003,0.001,0.002,1434563153
34,20150617,0.003,0.001,0.002,1434563154
35,20150617,0.001,0.000,0.001,1434563155
36,20150617,0.001,0.001,0.001,1434563156
37,20150617,0.002,0.001,0.001,1434563157
38,20150617,0.001,0.002,0.002,1434563158
39,20150617,0.002,0.001,0.001,1434563159
40,20150617,0.003,0.003,0.004,1434563160
41,20150617,0.003,0.003,0.003,1434563161
42,20150617,0.003,0.005,0.002,1434563162
43,20150617,0.001,0.003,0.001,1434563163
44,20150617,0.001,0.003,0.001,1434563164
45,20150617,0.001,0.002,0.001,1434563165
46,20150617,0.001,0.001,0.000,1434563166
47,20150617,0.001,0.001,0.000,1434563167
48,20150617,0.002,0.005,0.000,1434563168
49,20150617,0.003,0.002,0.000,1434563169
50,20150617,0.002,0.001,0.000,1434563170
51,20150617,0.001,0.001,0.000,1434563171
52,20150617,0.001,0.001,0.000,1434563172
53,20150617,0.001,0.000,0.000,1434563173
54,20150617,0.001,0.001,0.000,1434563174
55,20150617,0.001,0.000,0.000,1434563175
56,20150617,0.001,0.001,0.000,1434563176
57,20150617,0.001,0.001,0.000,1434563177
58,20150617,0.001,0.001,0.000,1434563178
59,20150617,0.002,0.001,0.001,1434563179
60,20150617,0.003,0.003,0.004,1434563180
61,20150617,0.004,0.005,0.007,1434563181
62,20150617,0.002,0.002,0.004,1434563182
63,20150617,0.001,0.001,0.002,1434563183
64,20150617,0.001,0.001,0.001,1434563184
65,20150617,0.001,0.000,0.001,1434563185
66,20150617,0.001,0.001,0.001,1434563186
67,20150617,0.001,0.001,0.002,1434563187
68,20150617,0.002,0.002,0.002,1434563188
69,20150617,0.003,0.002,0.002,1434563189
70,20150617,0.002,0.001,0.002,1434563190
71,20150617,0.002,0.003,0.004,1434563191
72,20150617,0.003,0.001,0.002,1434563192
73,20150617,0.002,0.001,0.002,1434563193
74,20150617,0.002,0.001,0.002,1434563194
75,20150617,0.002,0.001,0.002,1434563195
76,20150617,0.002,0.001,0.001,1434563196
77,20150617,0.001,0.001,0.001,1434563197
78,20150617,0.002,0.001,0.000,1434563198
79,20150617,0.002,0.001,0.002,1434563199
80,20150617,0.002,0.002,0.001,1434563200
81,20150617,0.002,0.002,0.002,1434563201
82,20150617,0.001,0.001,0.001,1434563202
83,20150617,0.001,0.001,0.001,1434563203
84,20150617,0.001,0.001,0.001,1434563204
85,20150617,0.001,0.001,0.001,1434563205
86,20150617,0.001,0.001,0.001,1434563206
87,20150617,0.001,0.001,0.000,1434563207
88,20150617,0.003,0.002,0.003,1434563208
89,20150617,0.005,0.001,0.005,1434563209
90,20150617,0.003,0.002,0.003,1434563210
91,20150617,0.004,0.003,0.002,1434563211
92,20150617,0.004,0.002,0.002,1434563212
93,20150617,0.001,0.001,0.001,1434563213
94,20150617,0.001,0.001,0.001,1434563214
95,20150617,0.005,0.002,0.002,1434563215
96,20150617,0.004,0.003,0.001,1434563216
97,20150617,0.002,0.002,0.001,1434563217
98,20150617,0.001,0.001,0.001,1434563218
99,20150617,0.001,0.001,0.001,1434563219
100,20150617,0.001,0.001,0.001,1434563220
101,20150617,0.004,0.003,0.003,1434563221
102,20150617,0.002,0.002,0.003,1434563222
103,20150617,0.002,0.001,0.001,1434563223
104,20150617,0.001,0.001,0.001,1434563224
105,20150617,0.001,0.000,0.001,1434563225
106,20150617,0.001,0.000,0.001,1434563226
107,20150617,0.001,0.001,0.000,1434563227
108,20150617,0.001,0.002,0.000,1434563228
109,20150617,0.000,0.001,0.000,1434563229
110,20150617,0.000,0.000,0.000,1434563230
111,20150617,0.000,0.000,0.000,1434563231
112,20150617,0.000,0.000,0.000,1434563232
113,20150617,0.000,0.000,0.000,1434563233
114,20150617,0.000,0.000,0.000,1434563234
115,20150617,0.000,0.000,0.000,1434563235
116,20150617,0.002,0.003,0.004,1434563236
117,20150617,0.003,0.002,0.005,1434563237
118,20150617,0.002,0.003,0.004,1434563238
119,20150617,0.001,0.002,0.002,1434563239
120,20150617,0.001,0.001,0.002,1434563240
121,20150617,0.001,0.001,0.001,1434563241
122,20150617,0.001,0.001,0.001,1434563242
123,20150617,0.001,0.002,0.003,1434563243
124,20150617,0.002,0.004,0.007,1434563244
125,20150617,0.004,0.002,0.004,1434563245
126,20150617,0.002,0.001,0.002,1434563246
127,20150617,0.002,0.001,0.002,1434563247
128,20150617,0.002,0.001,0.001,1434563248
129,20150617,0.001,0.001,0.001,1434563249
130,20150617,0.001,0.002,0.003,1434563250
131,20150617,0.001,0.001,0.002,1434563251
132,20150617,0.002,0.001,0.002,1434563252
133,20150617,0.003,0.002,0.002,1434563253
134,20150617,0.002,0.002,0.001,1434563254
135,20150617,0.003,0.001,0.002,1434563255
136,20150617,0.002,0.001,0.001,1434563256
137,20150617,0.001,0.001,0.001,1434563257
138,20150617,0.001,0.002,0.002,1434563258
139,20150617,0.001,0.001,0.001,1434563259
140,20150617,0.001,0.002,0.002,1434563260
141,20150617,0.001,0.001,0.001,1434563261
142,20150617,0.001,0.001,0.001,1434563262
143,20150617,0.000,0.001,0.001,1434563263
144,20150617,0.001,0.001,0.001,1434563264
145,20150617,0.001,0.001,0.001,1434563265
146,20150617,0.002,0.002,0.002,1434563266
147,20150617,0.002,0.003,0.003,1434563267
148,20150617,0.002,0.002,0.001,1434563268
149,20150617,0.002,0.003,0.001,1434563269
150,20150617,0.003,0.002,0.001,1434563270
151,20150617,0.001,0.002,0.001,1434563271
152,20150617,0.001,0.001,0.001,1434563272
153,20150617,0.001,0.001,0.000,1434563273
154,20150617,0.000,0.000,0.000,1434563274
155,20150617,0.001,0.000,0.000,1434563275
156,20150617,0.001,0.001,0.000,1434563276
157,20150617,0.000,0.001,0.000,1434563277
158,20150617,0.001,0.001,0.000,1434563278
159,20150617,0.000,0.002,0.000,1434563279
160,20150617,0.001,0.001,0.000,1434563280
161,20150617,0.000,0.000,0.000,1434563281
162,20150617,0.000,0.000,0.000,1434563282
163,20150617,0.000,0.000,0.000,1434563283
164,20150617,0.000,0.000,0.000,1434563284
165,20150617,0.000,0.000,0.000,1434563285
166,20150617,0.000,0.000,0.000,1434563286
167,20150617,0.001,0.001,0.000,1434563287
168,20150617,0.001,0.001,0.000,1434563288
169,20150617,0.001,0.001,0.001,1434563289
170,20150617,0.001,0.001,0.000,1434563290
171,20150617,0.001,0.002,0.002,1434563291
172,20150617,0.002,0.005,0.006,1434563292
173,20150617,0.002,0.003,0.005,1434563293
174,20150617,0.001,0.002,0.003,1434563294
175,20150617,0.001,0.001,0.002,1434563295
176,20150617,0.000,0.001,0.001,1434563296
177,20150617,0.000,0.001,0.000,1434563297
178,20150617,0.001,0.002,0.001,1434563298
179,20150617,0.002,0.005,0.005,1434563299
180,20150617,0.002,0.002,0.002,1434563300
181,20150617,0.001,0.002,0.002,1434563301
182,20150617,0.002,0.001,0.001,1434563302
183,20150617,0.001,0.001,0.001,1434563303
184,20150617,0.001,0.001,0.001,1434563304
185,20150617,0.001,0.001,0.001,1434563305
186,20150617,0.001,0.001,0.001,1434563306
187,20150617,0.001,0.001,0.001,1434563307
188,20150617,0.001,0.001,0.001,1434563308
189,20150617,0.001,0.001,0.001,1434563309
190,20150617,0.001,0.003,0.003,1434563310
191,20150617,0.002,0.002,0.004,1434563311
192,20150617,0.002,0.002,0.002,1434563312
193,20150617,0.002,0.001,0.001,1434563313
194,20150617,0.001,0.001,0.001,1434563314
195,20150617,0.001,0.001,0.001,1434563315
196,20150617,0.000,0.001,0.000,1434563316
197,20150617,0.001,0.001,0.001,1434563317
198,20150617,0.001,0.001,0.001,1434563318
199,20150617,0.001,0.002,0.001,1434563319
200,20150617,0.002,0.001,0.001,1434563320
201,20150617,0.001,0.001,0.001,1434563321
202,20150617,0.001,0.001,0.001,1434563322
203,20150617,0.001,0.002,0.002,1434563323
204,20150617,0.000,0.003,0.001,1434563324
205,20150617,0.001,0.006,0.001,1434563325
206,20150617,0.001,0.003,0.001,1434563326
207,20150617,0.004,0.003,0.005,1434563327
208,20150617,0.002,0.002,0.003,1434563328
209,20150617,0.002,0.001,0.002,1434563329
210,20150617,0.001,0.001,0.001,1434563330
211,20150617,0.001,0.001,0.001,1434563331
212,20150617,0.001,0.000,0.001,1434563332
213,20150617,0.000,0.000,0.000,1434563333
214,20150617,0.000,0.000,0.000,1434563334
215,20150617,0.000,0.000,0.000,1434563335
216,20150617,0.000,0.000,0.000,1434563336
217,20150617,0.000,0.001,0.000,1434563337
218,20150617,0.000,0.001,0.000,1434563338
219,20150617,0.000,0.000,0.000,1434563339
220,20150617,0.000,0.001,0.000,1434563340
221,20150617,0.000,0.000,0.000,1434563341
222,20150617,0.000,0.001,0.000,1434563342
223,20150617,0.000,0.001,0.000,1434563343
224,20150617,0.001,0.001,0.000,1434563344
225,20150617,0.000,0.001,0.000,1434563345
226,20150617,0.001,0.001,0.000,1434563346
227,20150617,0.001,0.000,0.000,1434563347
228,20150617,0.001,0.000,0.001,1434563348
229,20150617,0.001,0.001,0.000,1434563349
230,20150617,0.000,0.001,0.000,1434563350
231,20150617,0.000,0.000,0.000,1434563351
232,20150617,0.000,0.000,0.000,1434563352
233,20150617,0.000,0.001,0.001,1434563353
234,20150617,0.001,0.002,0.001,1434563354
235,20150617,0.001,0.005,0.001,1434563355
236,20150617,0.002,0.004,0.001,1434563356
237,20150617,0.003,0.005,0.003,1434563357
238,20150617,0.003,0.004,0.004,1434563358
239,20150617,0.002,0.003,0.002,1434563359
240,20150617,0.001,0.002,0.001,1434563360
241,20150617,0.001,0.001,0.001,1434563361
242,20150617,0.000,0.000,0.001,1434563362
243,20150617,0.003,0.004,0.004,1434563363
244,20150617,0.003,0.003,0.003,1434563364
245,20150617,0.003,0.005,0.002,1434563365
246,20150617,0.004,0.005,0.003,1434563366
247,20150617,0.005,0.002,0.003,1434563367
248,20150617,0.004,0.002,0.002,1434563368
249,20150617,0.001,0.003,0.002,1434563369
250,20150617,0.002,0.001,0.001,1434563370
251,20150617,0.002,0.001,0.002,1434563371
252,20150617,0.002,0.003,0.003,1434563372
253,20150617,0.003,0.002,0.002,1434563373
254,20150617,0.002,0.001,0.002,1434563374
255,20150617,0.001,0.001,0.001,1434563375
256,20150617,0.003,0.002,0.003,1434563376
257,20150617,0.002,0.002,0.002,1434563377
258,20150617,0.003,0.006,0.002,1434563378
259,20150617,0.003,0.002,0.002,1434563379
260,20150617,0.003,0.001,0.001,1434563380
261,20150617,0.002,0.001,0.001,1434563381
262,20150617,0.001,0.002,0.001,1434563382
263,20150617,0.001,0.003,0.001,1434563383
264,20150617,0.001,0.002,0.001,1434563384
265,20150617,0.001,0.001,0.001,1434563385
266,20150617,0.001,0.001,0.001,1434563386
267,20150617,0.001,0.002,0.003,1434563387
268,20150617,0.001,0.001,0.002,1434563388
269,20150617,0.001,0.001,0.001,1434563389
270,20150617,0.001,0.001,0.001,1434563390
271,20150617,0.001,0.001,0.001,1434563391
272,20150617,0.001,0.001,0.001,1434563392
273,20150617,0.001,0.000,0.000,1434563393
