index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150617,0.010,0.010,0.014,1434562224
2,20150617,0.009,0.009,0.011,1434562225
3,20150617,0.010,0.010,0.009,1434562226
4,20150617,0.012,0.010,0.010,1434562227
5,20150617,0.010,0.008,0.008,1434562228
6,20150617,0.008,0.006,0.009,1434562229
7,20150617,0.006,0.006,0.008,1434562230
8,20150617,0.006,0.006,0.006,1434562231
9,20150617,0.005,0.005,0.004,1434562232
10,20150617,0.005,0.005,0.007,1434562233
11,20150617,0.004,0.006,0.006,1434562234
12,20150617,0.001,0.003,0.005,1434562235
13,20150617,0.001,0.005,0.006,1434562236
14,20150617,0.001,0.002,0.002,1434562237
15,20150617,0.003,0.003,0.004,1434562238
16,20150617,0.009,0.004,0.006,1434562239
17,20150617,0.009,0.005,0.006,1434562240
18,20150617,0.003,0.004,0.006,1434562241
19,20150617,0.006,0.003,0.004,1434562242
20,20150617,0.008,0.002,0.001,1434562243
21,20150617,0.003,0.003,0.003,1434562244
22,20150617,0.005,0.002,0.002,1434562245
23,20150617,0.010,0.004,0.008,1434562246
24,20150617,0.008,0.002,0.006,1434562247
25,20150617,0.005,0.003,0.007,1434562248
26,20150617,0.001,0.002,0.003,1434562249
27,20150617,0.004,0.003,0.002,1434562250
28,20150617,0.007,0.026,0.042,1434562251
29,20150617,0.006,0.038,0.053,1434562252
30,20150617,0.004,0.020,0.034,1434562253
31,20150617,0.001,0.026,0.038,1434562254
32,20150617,0.005,0.038,0.023,1434562255
33,20150617,0.005,0.017,0.020,1434562256
34,20150617,0.010,0.031,0.014,1434562257
35,20150617,0.014,0.034,0.012,1434562258
36,20150617,0.019,0.029,0.013,1434562259
37,20150617,0.013,0.020,0.013,1434562260
38,20150617,0.011,0.013,0.013,1434562261
39,20150617,0.013,0.012,0.014,1434562262
40,20150617,0.013,0.012,0.014,1434562263
41,20150617,0.013,0.012,0.014,1434562264
42,20150617,0.014,0.012,0.014,1434562265
43,20150617,0.014,0.012,0.015,1434562266
44,20150617,0.014,0.013,0.015,1434562267
45,20150617,0.014,0.012,0.015,1434562268
46,20150617,0.014,0.013,0.015,1434562269
47,20150617,0.014,0.012,0.015,1434562270
48,20150617,0.013,0.012,0.014,1434562271
49,20150617,0.013,0.012,0.015,1434562272
50,20150617,0.013,0.012,0.014,1434562273
51,20150617,0.013,0.012,0.014,1434562274
52,20150617,0.014,0.012,0.014,1434562275
53,20150617,0.013,0.012,0.015,1434562276
54,20150617,0.014,0.012,0.015,1434562277
55,20150617,0.014,0.012,0.014,1434562278
56,20150617,0.013,0.012,0.015,1434562279
57,20150617,0.014,0.012,0.015,1434562280
58,20150617,0.013,0.012,0.015,1434562281
59,20150617,0.014,0.013,0.015,1434562282
60,20150617,0.014,0.012,0.014,1434562283
61,20150617,0.014,0.013,0.015,1434562284
62,20150617,0.014,0.013,0.015,1434562285
63,20150617,0.013,0.012,0.015,1434562286
64,20150617,0.014,0.013,0.015,1434562287
65,20150617,0.013,0.012,0.015,1434562288
66,20150617,0.014,0.013,0.015,1434562289
67,20150617,0.014,0.013,0.015,1434562290
68,20150617,0.014,0.013,0.015,1434562291
69,20150617,0.015,0.013,0.015,1434562292
70,20150617,0.014,0.012,0.015,1434562293
71,20150617,0.014,0.013,0.014,1434562294
72,20150617,0.014,0.013,0.016,1434562295
73,20150617,0.015,0.013,0.015,1434562296
74,20150617,0.013,0.012,0.015,1434562297
75,20150617,0.013,0.012,0.014,1434562298
76,20150617,0.014,0.013,0.015,1434562299
77,20150617,0.014,0.013,0.015,1434562300
78,20150617,0.014,0.013,0.015,1434562301
79,20150617,0.014,0.013,0.015,1434562302
80,20150617,0.014,0.013,0.015,1434562303
81,20150617,0.014,0.012,0.015,1434562304
82,20150617,0.014,0.013,0.015,1434562305
83,20150617,0.014,0.013,0.015,1434562306
84,20150617,0.014,0.013,0.015,1434562307
85,20150617,0.014,0.013,0.014,1434562308
86,20150617,0.014,0.013,0.015,1434562309
87,20150617,0.013,0.012,0.015,1434562310
88,20150617,0.015,0.014,0.015,1434562311
89,20150617,0.014,0.013,0.016,1434562312
90,20150617,0.015,0.014,0.015,1434562313
91,20150617,0.014,0.013,0.016,1434562314
92,20150617,0.015,0.014,0.016,1434562315
93,20150617,0.014,0.013,0.015,1434562316
94,20150617,0.014,0.013,0.015,1434562317
95,20150617,0.014,0.012,0.015,1434562318
96,20150617,0.014,0.012,0.015,1434562319
97,20150617,0.014,0.013,0.014,1434562320
98,20150617,0.014,0.013,0.014,1434562321
99,20150617,0.014,0.013,0.015,1434562322
100,20150617,0.014,0.013,0.014,1434562323
101,20150617,0.014,0.013,0.015,1434562324
102,20150617,0.014,0.013,0.014,1434562325
103,20150617,0.015,0.013,0.015,1434562326
104,20150617,0.015,0.013,0.015,1434562327
105,20150617,0.014,0.013,0.014,1434562328
106,20150617,0.014,0.013,0.015,1434562329
107,20150617,0.014,0.013,0.014,1434562330
108,20150617,0.014,0.012,0.015,1434562331
109,20150617,0.014,0.013,0.015,1434562332
110,20150617,0.013,0.012,0.015,1434562333
111,20150617,0.014,0.013,0.014,1434562334
112,20150617,0.014,0.013,0.015,1434562335
113,20150617,0.014,0.013,0.015,1434562336
114,20150617,0.014,0.013,0.014,1434562337
115,20150617,0.014,0.013,0.016,1434562338
116,20150617,0.015,0.013,0.015,1434562339
117,20150617,0.014,0.012,0.015,1434562340
118,20150617,0.014,0.013,0.016,1434562341
119,20150617,0.014,0.012,0.016,1434562342
120,20150617,0.014,0.013,0.016,1434562343
121,20150617,0.013,0.012,0.016,1434562344
122,20150617,0.013,0.012,0.015,1434562345
123,20150617,0.013,0.013,0.015,1434562346
124,20150617,0.013,0.012,0.016,1434562347
125,20150617,0.015,0.014,0.017,1434562348
126,20150617,0.016,0.015,0.018,1434562349
127,20150617,0.016,0.016,0.019,1434562350
128,20150617,0.015,0.014,0.016,1434562351
129,20150617,0.014,0.013,0.015,1434562352
130,20150617,0.014,0.013,0.014,1434562353
131,20150617,0.014,0.014,0.014,1434562354
132,20150617,0.014,0.012,0.014,1434562355
133,20150617,0.015,0.013,0.014,1434562356
134,20150617,0.014,0.013,0.016,1434562357
135,20150617,0.014,0.013,0.015,1434562358
136,20150617,0.014,0.013,0.015,1434562359
137,20150617,0.016,0.015,0.016,1434562360
138,20150617,0.016,0.015,0.015,1434562361
139,20150617,0.014,0.013,0.014,1434562362
140,20150617,0.015,0.013,0.015,1434562363
141,20150617,0.015,0.013,0.015,1434562364
142,20150617,0.014,0.014,0.015,1434562365
143,20150617,0.014,0.013,0.015,1434562366
144,20150617,0.013,0.012,0.014,1434562367
145,20150617,0.013,0.012,0.014,1434562368
146,20150617,0.014,0.013,0.014,1434562369
147,20150617,0.013,0.012,0.014,1434562370
148,20150617,0.013,0.012,0.014,1434562371
149,20150617,0.014,0.013,0.015,1434562372
150,20150617,0.014,0.013,0.014,1434562373
151,20150617,0.014,0.012,0.014,1434562374
152,20150617,0.014,0.013,0.015,1434562375
153,20150617,0.014,0.013,0.015,1434562376
154,20150617,0.014,0.013,0.014,1434562377
155,20150617,0.014,0.013,0.015,1434562378
156,20150617,0.014,0.013,0.014,1434562379
157,20150617,0.014,0.014,0.015,1434562380
158,20150617,0.013,0.013,0.015,1434562381
159,20150617,0.013,0.012,0.015,1434562382
160,20150617,0.014,0.012,0.015,1434562383
161,20150617,0.014,0.012,0.014,1434562384
162,20150617,0.014,0.013,0.015,1434562385
163,20150617,0.014,0.013,0.015,1434562386
164,20150617,0.014,0.013,0.014,1434562387
165,20150617,0.013,0.013,0.015,1434562388
166,20150617,0.013,0.012,0.015,1434562389
167,20150617,0.013,0.013,0.014,1434562390
168,20150617,0.012,0.012,0.013,1434562391
169,20150617,0.014,0.013,0.014,1434562392
170,20150617,0.013,0.012,0.014,1434562393
