index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150617,-1.000,0.051,0.019,1434563554
2,20150617,-1.000,0.032,0.012,1434563555
3,20150617,-1.000,0.019,0.007,1434563556
4,20150617,-1.000,0.011,0.006,1434563557
5,20150617,-1.000,0.007,0.004,1434563558
6,20150617,-1.000,0.005,0.003,1434563559
7,20150617,-1.000,0.004,0.002,1434563560
8,20150617,-1.000,0.005,0.002,1434563561
9,20150617,-1.000,0.003,0.001,1434563562
10,20150617,-1.000,0.003,0.001,1434563563
11,20150617,-1.000,0.002,0.001,1434563564
12,20150617,0.028,0.002,0.002,1434563565
13,20150617,0.047,0.003,0.002,1434563566
14,20150617,0.029,0.002,0.002,1434563567
15,20150617,0.017,0.011,0.002,1434563568
16,20150617,0.010,0.010,0.003,1434563569
17,20150617,0.009,0.017,0.007,1434563570
18,20150617,0.007,0.030,0.007,1434563571
19,20150617,0.007,0.016,0.009,1434563572
20,20150617,0.009,0.017,0.011,1434563573
21,20150617,0.010,0.016,0.020,1434563574
22,20150617,0.018,0.020,0.016,1434563575
23,20150617,0.012,0.013,0.017,1434563576
24,20150617,0.012,0.010,0.012,1434563577
25,20150617,0.010,0.008,0.009,1434563578
26,20150617,0.014,0.008,0.010,1434563579
27,20150617,0.013,0.008,0.008,1434563580
28,20150617,0.009,0.008,0.008,1434563581
29,20150617,0.010,0.010,0.009,1434563582
30,20150617,0.027,0.026,0.038,1434563583
31,20150617,0.017,0.028,0.043,1434563584
32,20150617,0.010,0.025,0.046,1434563585
33,20150617,0.015,0.039,0.028,1434563586
34,20150617,0.016,0.024,0.022,1434563587
35,20150617,0.020,0.026,0.017,1434563588
36,20150617,0.014,0.019,0.017,1434563589
37,20150617,0.010,0.018,0.017,1434563590
38,20150617,0.010,0.021,0.015,1434563591
39,20150617,0.011,0.019,0.014,1434563592
40,20150617,0.025,0.036,0.012,1434563593
41,20150617,0.033,0.043,0.013,1434563594
42,20150617,0.038,0.047,0.014,1434563595
43,20150617,0.028,0.035,0.014,1434563596
44,20150617,0.028,0.029,0.014,1434563597
45,20150617,0.024,0.028,0.013,1434563598
46,20150617,0.029,0.026,0.014,1434563599
