index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.001,0.003,0.009,1434123749
2,20150612,0.001,0.004,0.008,1434123750
3,20150612,0.001,0.004,0.007,1434123751
4,20150612,0.004,0.002,0.003,1434123752
5,20150612,0.005,0.003,0.004,1434123753
6,20150612,0.004,0.003,0.007,1434123754
7,20150612,0.005,0.003,0.004,1434123755
8,20150612,0.002,0.002,0.002,1434123756
9,20150612,0.001,0.006,0.010,1434123757
10,20150612,0.001,0.009,0.012,1434123758
11,20150612,0.001,0.003,0.005,1434123759
12,20150612,0.001,0.008,0.010,1434123760
13,20150612,0.007,0.044,0.057,1434123761
14,20150612,0.004,0.032,0.060,1434123762
15,20150612,0.008,0.031,0.032,1434123763
16,20150612,0.008,0.037,0.018,1434123764
17,20150612,0.006,0.027,0.011,1434123765
18,20150612,0.007,0.029,0.007,1434123766
19,20150612,0.008,0.043,0.005,1434123767
20,20150612,0.005,0.053,0.003,1434123768
21,20150612,0.010,0.042,0.003,1434123769
22,20150612,0.010,0.025,0.008,1434123770
23,20150612,0.013,0.023,0.007,1434123771
24,20150612,0.007,0.021,0.007,1434123772
25,20150612,0.008,0.018,0.011,1434123773
26,20150612,0.007,0.077,0.010,1434123774
27,20150612,0.008,0.042,0.011,1434123775
28,20150612,0.009,0.051,0.012,1434123776
29,20150612,0.005,0.032,0.006,1434123777
30,20150612,0.006,0.040,0.007,1434123778
31,20150612,0.005,0.027,0.007,1434123779
32,20150612,0.006,0.023,0.009,1434123780
33,20150612,0.005,0.025,0.007,1434123781
34,20150612,0.005,0.023,0.008,1434123782
35,20150612,0.003,0.020,0.007,1434123783
36,20150612,0.009,0.035,0.015,1434123784
37,20150612,0.005,0.025,0.012,1434123785
38,20150612,0.003,0.031,0.009,1434123786
39,20150612,0.007,0.024,0.012,1434123787
40,20150612,0.003,0.024,0.009,1434123788
41,20150612,0.007,0.015,0.009,1434123789
42,20150612,0.006,0.024,0.007,1434123790
43,20150612,0.007,0.030,0.007,1434123791
44,20150612,0.007,0.028,0.007,1434123792
45,20150612,0.010,0.032,0.008,1434123793
46,20150612,0.012,0.019,0.011,1434123794
47,20150612,0.007,0.017,0.010,1434123795
48,20150612,0.006,0.024,0.009,1434123796
49,20150612,0.009,0.018,0.008,1434123797
50,20150612,0.007,0.016,0.008,1434123798
51,20150612,0.008,0.024,0.007,1434123799
52,20150612,0.006,0.018,0.009,1434123800
53,20150612,0.006,0.043,0.009,1434123801
54,20150612,0.008,0.023,0.008,1434123802
55,20150612,0.005,0.026,0.009,1434123803
56,20150612,0.010,0.019,0.008,1434123804
57,20150612,0.009,0.036,0.011,1434123805
58,20150612,0.006,0.049,0.008,1434123806
59,20150612,0.007,0.051,0.011,1434123807
60,20150612,0.008,0.047,0.007,1434123808
61,20150612,0.006,0.043,0.009,1434123809
62,20150612,0.007,0.042,0.012,1434123810
63,20150612,0.010,0.043,0.008,1434123811
64,20150612,0.005,0.041,0.010,1434123812
65,20150612,0.008,0.039,0.008,1434123813
66,20150612,0.009,0.038,0.007,1434123814
67,20150612,0.012,0.039,0.006,1434123815
68,20150612,0.013,0.039,0.007,1434123816
69,20150612,0.016,0.051,0.006,1434123817
70,20150612,0.008,0.049,0.013,1434123818
71,20150612,0.008,0.038,0.009,1434123819
72,20150612,0.011,0.049,0.011,1434123820
73,20150612,0.010,0.049,0.008,1434123821
74,20150612,0.005,0.040,0.007,1434123822
75,20150612,0.006,0.027,0.010,1434123823
76,20150612,0.009,0.019,0.011,1434123824
77,20150612,0.008,0.037,0.010,1434123825
78,20150612,0.007,0.029,0.011,1434123826
79,20150612,0.007,0.025,0.010,1434123827
80,20150612,0.009,0.038,0.006,1434123828
81,20150612,0.007,0.074,0.007,1434123829
82,20150612,0.010,0.044,0.010,1434123830
83,20150612,0.005,0.053,0.007,1434123831
84,20150612,0.005,0.047,0.012,1434123832
85,20150612,0.006,0.047,0.008,1434123833
86,20150612,0.003,0.043,0.008,1434123834
87,20150612,0.004,0.035,0.007,1434123835
88,20150612,0.005,0.037,0.010,1434123836
89,20150612,0.005,0.028,0.006,1434123837
90,20150612,0.005,0.023,0.008,1434123838
91,20150612,0.007,0.055,0.010,1434123839
92,20150612,0.007,0.049,0.007,1434123840
93,20150612,0.006,0.050,0.013,1434123841
94,20150612,0.008,0.023,0.012,1434123842
95,20150612,0.007,0.012,0.010,1434123843
96,20150612,0.006,0.012,0.011,1434123844
97,20150612,0.007,0.012,0.010,1434123845
98,20150612,0.006,0.032,0.012,1434123846
99,20150612,0.005,0.045,0.011,1434123847
100,20150612,0.005,0.057,0.011,1434123848
101,20150612,0.004,0.038,0.011,1434123849
102,20150612,0.007,0.039,0.009,1434123850
103,20150612,0.005,0.037,0.009,1434123851
104,20150612,0.005,0.043,0.011,1434123852
105,20150612,0.004,0.036,0.009,1434123853
106,20150612,0.004,0.058,0.007,1434123854
107,20150612,0.004,0.034,0.007,1434123855
108,20150612,0.006,0.031,0.008,1434123856
109,20150612,0.007,0.036,0.009,1434123857
110,20150612,0.005,0.050,0.006,1434123858
111,20150612,0.004,0.041,0.011,1434123859
112,20150612,0.004,0.032,0.008,1434123860
113,20150612,0.010,0.059,0.010,1434123861
114,20150612,0.006,0.034,0.007,1434123862
115,20150612,0.005,0.054,0.009,1434123863
116,20150612,0.005,0.038,0.008,1434123864
117,20150612,0.004,0.028,0.008,1434123865
118,20150612,0.005,0.030,0.008,1434123866
119,20150612,0.008,0.059,0.010,1434123867
120,20150612,0.007,0.052,0.009,1434123868
121,20150612,0.007,0.030,0.013,1434123869
122,20150612,0.007,0.038,0.011,1434123870
123,20150612,0.006,0.014,0.010,1434123871
124,20150612,0.005,0.037,0.008,1434123872
125,20150612,0.007,0.021,0.005,1434123873
126,20150612,0.008,0.029,0.012,1434123874
127,20150612,0.006,0.026,0.013,1434123875
128,20150612,0.007,0.041,0.008,1434123876
129,20150612,0.005,0.046,0.009,1434123877
130,20150612,0.006,0.030,0.009,1434123878
131,20150612,0.006,0.027,0.009,1434123879
132,20150612,0.004,0.031,0.007,1434123880
133,20150612,0.006,0.030,0.011,1434123881
134,20150612,0.008,0.028,0.006,1434123882
135,20150612,0.005,0.031,0.011,1434123883
136,20150612,0.007,0.040,0.010,1434123884
137,20150612,0.006,0.028,0.009,1434123885
138,20150612,0.005,0.025,0.009,1434123886
139,20150612,0.006,0.034,0.009,1434123887
140,20150612,0.005,0.038,0.008,1434123888
141,20150612,0.006,0.019,0.008,1434123889
142,20150612,0.006,0.028,0.008,1434123890
143,20150612,0.007,0.046,0.006,1434123891
144,20150612,0.009,0.027,0.010,1434123892
145,20150612,0.006,0.038,0.008,1434123893
146,20150612,0.006,0.027,0.007,1434123894
147,20150612,0.005,0.043,0.013,1434123895
148,20150612,0.009,0.030,0.010,1434123896
149,20150612,0.009,0.025,0.013,1434123897
150,20150612,0.007,0.018,0.006,1434123898
151,20150612,0.007,0.032,0.011,1434123899
152,20150612,0.006,0.023,0.009,1434123900
153,20150612,0.006,0.029,0.010,1434123901
154,20150612,0.008,0.032,0.011,1434123902
155,20150612,0.009,0.018,0.008,1434123903
156,20150612,0.009,0.018,0.010,1434123904
157,20150612,0.007,0.018,0.010,1434123905
158,20150612,0.008,0.019,0.008,1434123906
159,20150612,0.008,0.019,0.010,1434123907
160,20150612,0.007,0.026,0.009,1434123908
161,20150612,0.009,0.017,0.013,1434123909
162,20150612,0.006,0.040,0.010,1434123910
163,20150612,0.007,0.028,0.011,1434123911
164,20150612,0.007,0.024,0.005,1434123912
165,20150612,0.007,0.022,0.006,1434123913
166,20150612,0.008,0.021,0.008,1434123914
167,20150612,0.006,0.022,0.008,1434123915
168,20150612,0.007,0.012,0.009,1434123916
169,20150612,0.005,0.014,0.007,1434123917
170,20150612,0.007,0.015,0.009,1434123918
171,20150612,0.006,0.011,0.006,1434123919
172,20150612,0.009,0.016,0.011,1434123920
173,20150612,0.005,0.013,0.009,1434123921
174,20150612,0.006,0.010,0.011,1434123922
175,20150612,0.007,0.018,0.009,1434123923
176,20150612,0.006,0.012,0.011,1434123924
177,20150612,0.008,0.015,0.010,1434123925
178,20150612,0.007,0.020,0.010,1434123926
179,20150612,0.008,0.025,0.010,1434123927
180,20150612,0.004,0.042,0.009,1434123928
181,20150612,0.009,0.033,0.010,1434123929
182,20150612,0.007,0.034,0.009,1434123930
183,20150612,0.008,0.030,0.011,1434123931
184,20150612,0.009,0.035,0.009,1434123932
185,20150612,0.009,0.027,0.010,1434123933
186,20150612,0.010,0.027,0.009,1434123934
187,20150612,0.008,0.024,0.009,1434123935
188,20150612,0.007,0.017,0.008,1434123936
189,20150612,0.009,0.020,0.011,1434123937
190,20150612,0.010,0.020,0.009,1434123938
191,20150612,0.006,0.042,0.010,1434123939
192,20150612,0.007,0.028,0.011,1434123940
193,20150612,0.008,0.032,0.008,1434123941
194,20150612,0.005,0.033,0.009,1434123942
195,20150612,0.006,0.024,0.011,1434123943
196,20150612,0.005,0.032,0.007,1434123944
197,20150612,0.007,0.035,0.011,1434123945
198,20150612,0.012,0.047,0.011,1434123946
199,20150612,0.011,0.029,0.010,1434123947
200,20150612,0.007,0.029,0.009,1434123948
201,20150612,0.007,0.020,0.006,1434123949
202,20150612,0.011,0.033,0.007,1434123950
203,20150612,0.004,0.024,0.007,1434123951
204,20150612,0.006,0.016,0.009,1434123952
