index,time,xAxis,yAxis,zAxis
0,1434123755430,0.00132,0.00254,0.01682
1,1434123755430,-0.01379,0.00828,0.04705
2,1434123755444,-0.02040,0.00037,0.04389
3,1434123755444,-0.00148,-0.00908,-0.00161
4,1434123755445,0.01444,-0.00726,-0.03800
5,1434123755491,0.01155,0.00982,-0.02728
6,1434123755492,-0.00013,0.00473,0.00552
7,1434123755539,-0.01495,0.00066,0.01692
8,1434123755541,0.00288,-0.00572,0.00103
9,1434123755542,0.00856,-0.00458,-0.01402
10,1434123755596,0.00372,0.00259,-0.01434
11,1434123755599,-0.00327,0.00207,-0.01147
12,1434123755640,0.00051,-0.00147,0.00020
13,1434123755642,0.00041,0.00195,0.00641
14,1434123755642,-0.00905,0.00468,0.00200
15,1434123755693,-0.00412,-0.00563,0.00160
16,1434123755694,0.00296,-0.00450,-0.00497
17,1434123755739,0.00862,-0.00048,-0.01335
18,1434123755741,-0.00873,0.00587,-0.00131
19,1434123755742,-0.01245,0.00470,0.02005
20,1434123755783,0.00488,0.00063,0.01916
21,1434123755786,0.00390,-0.00262,-0.00576
22,1434123755837,-0.00000,0.00728,-0.00148
23,1434123755839,-0.00000,0.00270,-0.00431
24,1434123755842,-0.00000,-0.00097,-0.00033
25,1434123755884,-0.00859,-0.00702,-0.00026
26,1434123755888,-0.00141,-0.00562,-0.00333
27,1434123755934,0.00825,0.00176,-0.01204
28,1434123755936,0.00972,0.00765,-0.00651
29,1434123755937,-0.00472,0.00300,-0.00208
30,1434123755987,-0.00378,-0.00073,0.01005
31,1434123755988,0.00010,0.00254,0.00257
32,1434123756081,-0.00851,-0.00109,0.00206
33,1434123756083,-0.00681,0.00538,-0.00460
34,1434123756085,0.00315,-0.00820,-0.00681
35,1434123756087,-0.00373,0.00594,0.01565
36,1434123756126,-0.00299,-0.00462,0.00939
37,1434123756129,-0.00239,-0.00057,0.00205
38,1434123756132,0.00434,-0.00671,0.00164
39,1434123756133,0.00347,0.00088,-0.00182
40,1434123756172,0.00590,0.00071,-0.01395
41,1434123756173,0.00160,0.00057,-0.01116
42,1434123756229,0.00440,-0.00580,-0.01830
43,1434123756230,0.00977,-0.00151,-0.00527
44,1434123756231,-0.00156,0.00816,0.01688
45,1434123756279,-0.00125,0.00341,0.01350
46,1434123756280,-0.00100,0.00273,0.00221
47,1434123756324,-0.01252,0.00843,-0.00136
48,1434123756324,-0.00142,-0.00576,-0.00421
49,1434123756325,0.00199,0.00165,-0.00962
50,1434123756379,0.00159,0.00132,0.00793
51,1434123756380,-0.00185,0.00105,0.01494
52,1434123756421,0.00164,-0.00541,0.00570
53,1434123756427,0.00444,-0.00745,-0.00403
54,1434123756428,0.00043,0.00029,-0.01260
55,1434123756465,0.00034,0.00336,-0.00383
56,1434123756468,-0.00285,-0.00044,0.00006
57,1434123756519,-0.00541,-0.00035,0.01177
58,1434123756521,-0.00120,-0.00341,0.00394
59,1434123756522,-0.00096,-0.00273,0.00003
60,1434123756566,0.00861,-0.00218,-0.00935
