index,time,xAxis,yAxis,zAxis
0,1434123755421,0.00857,0.01143,-0.03757
1,1434123755422,-0.00652,-0.00045,0.00581
2,1434123755426,-0.02165,-0.02113,0.05285
3,1434123755443,-0.01586,-0.01948,0.03017
4,1434123755457,-0.00674,-0.00017,-0.01276
5,1434123755489,0.00083,-0.00177,-0.01298
6,1434123755506,0.00104,-0.00461,0.00217
7,1434123755521,-0.00723,-0.01079,0.00322
8,1434123755537,-0.00321,-0.01529,0.01849
9,1434123755568,0.00908,0.00281,0.01330
10,1434123755585,0.02620,0.01630,-0.02607
11,1434123755599,0.02537,0.00992,-0.03449
12,1434123755631,0.00011,-0.00338,-0.00909
13,1434123755646,-0.00622,-0.01145,0.00888
14,1434123755662,-0.00188,-0.00774,-0.01288
15,1434123755680,0.02372,0.00639,-0.04394
16,1434123755708,0.04088,0.01445,-0.04164
17,1434123755724,0.02192,-0.00058,0.03480
18,1434123755740,-0.00383,-0.04072,0.06646
19,1434123755777,-0.01050,-0.05180,0.04278
20,1434123755787,0.00103,-0.02009,0.03062
21,1434123755804,0.02406,0.01656,-0.00657
22,1434123755821,0.03585,0.03093,-0.01899
23,1434123755857,0.00747,-0.00371,0.01353
24,1434123755865,-0.01547,-0.01730,0.02022
25,1434123755882,-0.01207,-0.01353,0.02534
26,1434123755914,-0.00066,0.00272,0.02673
27,1434123755929,0.00869,0.00879,-0.00626
28,1434123755944,0.01795,0.01608,-0.01188
29,1434123755960,0.00669,0.00962,-0.01889
30,1434123755991,-0.00835,-0.01092,-0.00980
31,1434123756007,-0.01392,-0.00996,0.01065
32,1434123756024,-0.00744,-0.00198,0.00371
33,1434123756055,0.00091,0.00306,-0.00326
34,1434123756070,0.01535,0.01048,-0.01638
35,1434123756085,0.01524,0.00419,-0.00162
36,1434123756102,0.00224,-0.01665,0.01670
37,1434123756133,-0.00770,-0.02323,-0.01591
38,1434123756147,-0.00072,-0.01177,-0.03591
39,1434123756167,0.01578,-0.00017,-0.02750
40,1434123756195,0.01921,0.01282,-0.02111
41,1434123756217,0.00790,0.00245,-0.02774
42,1434123756227,-0.00269,-0.04619,0.00179
43,1434123756242,-0.01704,-0.07611,0.05586
44,1434123756276,-0.02333,-0.06030,0.07384
45,1434123756290,0.00236,0.00971,0.04431
46,1434123756307,0.01433,0.02622,0.01019
47,1434123756336,0.01786,0.02316,-0.01043
48,1434123756354,0.00805,-0.02820,-0.00515
49,1434123756368,-0.02036,-0.08712,0.03794
50,1434123756383,-0.04816,-0.08650,0.04621
51,1434123756416,-0.03079,-0.04459,-0.00693
52,1434123756430,-0.02062,-0.02628,-0.08249
53,1434123756447,-0.00420,-0.05421,-0.04340
54,1434123756480,0.02649,-0.06284,0.07334
55,1434123756493,0.05571,-0.04580,0.13312
56,1434123756511,0.02678,-0.04838,0.05657
57,1434123756524,-0.01721,-0.04840,-0.05264
58,1434123756558,0.01802,-0.03737,-0.05350
59,1434123756572,0.04621,-0.03151,0.04844
60,1434123756589,0.04354,-0.03207,0.11176
61,1434123756620,0.00829,-0.02543,0.09452
62,1434123756635,-0.00348,-0.02784,0.02835
63,1434123756654,0.00482,-0.02776,0.01674
64,1434123756667,0.00964,-0.00229,0.02785
65,1434123756698,0.02249,0.00258,0.03677
66,1434123756717,0.00714,-0.01790,0.05731
67,1434123756729,-0.00115,-0.02693,0.05213
68,1434123756760,-0.00080,-0.02996,0.00629
69,1434123756775,0.00929,-0.02715,-0.00417
70,1434123756792,0.01798,-0.01569,-0.00425
71,1434123756818,0.01976,-0.00653,0.00822
72,1434123756840,0.01725,-0.00921,-0.00416
73,1434123756854,0.01190,-0.01666,-0.02187
74,1434123756871,0.01894,-0.01508,-0.01019
75,1434123756902,0.02561,-0.00728,0.00146
76,1434123756918,0.02943,0.00887,-0.01444
77,1434123756933,0.02929,0.00903,-0.00580
78,1434123756948,0.02142,-0.00350,0.03489
79,1434123756981,0.01602,-0.01193,0.02381
80,1434123756996,0.01751,-0.00621,-0.00304
81,1434123757011,0.01712,0.00617,-0.01273
82,1434123757026,0.02709,0.00923,-0.00017
83,1434123757059,0.02799,-0.00063,0.01263
84,1434123757074,0.00568,-0.01208,0.00674
85,1434123757091,-0.00622,-0.02440,0.01071
86,1434123757120,-0.01621,-0.01833,-0.00260
87,1434123757137,-0.00503,-0.00197,-0.02361
88,1434123757155,0.00326,0.00260,-0.02654
89,1434123757168,-0.00202,-0.00502,-0.01599
90,1434123757199,0.00187,-0.00765,-0.00244
91,1434123757215,0.00177,-0.00900,-0.00962
92,1434123757233,-0.00319,-0.00599,-0.00040
93,1434123757263,-0.00727,0.00118,-0.02348
94,1434123757280,0.00348,0.01087,-0.02808
95,1434123757297,0.01804,0.02059,-0.02590
96,1434123757310,0.01428,0.01436,-0.01519
97,1434123757348,-0.00361,-0.00235,-0.01591
98,1434123757356,-0.01072,-0.00201,-0.00113
99,1434123757373,-0.00160,0.00898,0.00575
100,1434123757404,0.00543,0.01735,-0.01076
101,1434123757421,0.00408,0.01702,-0.01943
102,1434123757435,-0.00992,0.00033,-0.00988
103,1434123757450,-0.01802,0.00017,0.01769
104,1434123757483,-0.01235,0.01042,0.01006
105,1434123757497,-0.00340,0.01708,-0.00342
106,1434123757514,-0.00155,0.01135,-0.00221
107,1434123757548,-0.00809,0.01132,-0.01740
108,1434123757561,-0.00706,0.00846,-0.01261
109,1434123757579,-0.00662,0.00476,0.00395
110,1434123757591,-0.00676,0.00475,0.00540
111,1434123757629,-0.01165,0.00281,-0.00239
112,1434123757638,-0.01412,-0.00458,-0.00473
113,1434123757654,-0.00630,0.00330,-0.01280
114,1434123757689,0.01042,0.01844,-0.01042
115,1434123757701,0.00371,0.00230,0.01084
116,1434123757717,-0.01513,-0.01022,0.01664
117,1434123757735,-0.01463,-0.00810,0.01292
118,1434123757766,0.00084,0.00984,-0.00785
119,1434123757779,0.01403,0.01992,-0.01030
120,1434123757795,0.01724,0.02183,-0.01102
121,1434123757828,0.01449,0.01436,-0.01125
122,1434123757842,0.00943,0.00767,-0.01684
123,1434123757860,0.01557,0.01212,-0.01448
124,1434123757875,0.02768,0.02261,-0.01878
125,1434123757907,0.01602,0.01893,-0.00744
126,1434123757921,0.00057,0.00510,0.01232
127,1434123757937,-0.00315,-0.00354,0.01465
128,1434123757971,-0.00574,-0.00390,-0.00436
129,1434123757983,0.00091,0.00009,-0.01086
