index,time,xAxis,yAxis,zAxis
0,1434123755427,-0.01041,0.03329,-0.01889
1,1434123755428,0.00417,0.00867,-0.01198
2,1434123755429,-0.00291,0.01006,-0.00334
3,1434123755437,0.01017,0.00180,0.02155
4,1434123755443,-0.00436,-0.00169,0.01490
5,1434123755484,-0.00349,0.00802,0.00254
6,1434123755488,-0.00279,-0.00296,-0.01047
7,1434123755490,0.01339,0.00701,-0.00525
8,1434123755533,0.01071,0.00248,-0.00732
9,1434123755534,0.00232,-0.00114,0.00664
10,1434123755593,0.00186,-0.00404,-0.00406
11,1434123755595,0.00461,0.00302,-0.00012
12,1434123755597,0.00369,-0.00383,-0.01260
13,1434123755636,0.00920,0.00631,-0.00383
14,1434123755641,-0.00201,0.00505,0.00631
15,1434123755692,0.00464,-0.00534,0.01442
16,1434123755693,0.00371,-0.00114,0.01154
17,1434123755695,0.00609,-0.00404,0.00611
18,1434123755730,0.01347,0.00302,-0.00761
19,1434123755735,0.00765,-0.01009,0.00016
20,1434123755781,0.00924,-0.00494,-0.00300
21,1434123755782,-0.03792,-0.00708,-0.02037
22,1434123755785,-0.02174,-0.00254,-0.01629
23,1434123755833,0.00136,-0.00516,-0.00757
24,1434123755840,0.01046,0.00212,-0.01152
25,1434123755841,0.01384,0.00170,-0.00922
26,1434123755878,-0.00065,-0.00177,0.00122
27,1434123755880,-0.01302,0.00171,-0.00215
28,1434123755934,-0.00416,-0.00175,-0.01031
29,1434123755935,-0.00333,0.00172,-0.02075
30,1434123755936,0.00358,0.00450,-0.02285
31,1434123755981,0.00599,-0.00265,-0.00578
32,1434123755991,-0.00146,-0.00212,0.01022
33,1434123756030,0.00509,0.00456,0.01443
34,1434123756031,0.00407,0.00364,0.00529
35,1434123756032,0.00013,0.00292,-0.00749
36,1434123756078,-0.00302,-0.00079,-0.01224
37,1434123756082,-0.00242,-0.00376,-0.00667
38,1434123756124,0.01057,-0.00301,0.00639
39,1434123756125,0.00845,-0.01178,0.02386
40,1434123756128,-0.00261,-0.01255,0.01909
41,1434123756170,-0.00834,-0.00691,0.00589
42,1434123756172,0.00270,-0.00866,-0.00700
43,1434123756224,0.01388,-0.00380,0.00299
44,1434123756230,0.02360,-0.01476,0.02114
45,1434123756232,0.00326,-0.01806,0.00129
46,1434123756271,-0.00286,-0.01132,-0.02319
47,1434123756281,-0.02104,-0.01843,-0.03652
48,1434123756321,-0.02621,-0.01475,-0.04484
49,1434123756323,-0.01159,-0.01180,-0.04837
50,1434123756325,0.00948,-0.01569,-0.01995
51,1434123756377,0.00758,-0.01255,-0.00424
52,1434123756381,0.02403,-0.00691,-0.00027
53,1434123756419,0.00126,-0.00241,-0.00334
54,1434123756423,-0.00837,-0.01443,0.00358
55,1434123756428,-0.00044,-0.01701,0.01224
56,1434123756462,-0.00661,-0.01986,-0.00818
57,1434123756467,-0.01153,-0.01589,-0.03779
58,1434123756518,0.00640,-0.03146,-0.03883
59,1434123756520,0.01059,-0.04314,-0.02794
60,1434123756521,0.00613,-0.03451,-0.00438
61,1434123756563,0.01662,-0.03386,0.01212
62,1434123756568,0.01955,-0.03646,-0.00905
63,1434123756611,0.02189,-0.03776,-0.05021
64,1434123756615,-0.00671,-0.03333,-0.07611
65,1434123756619,-0.01162,-0.03292,-0.06089
66,1434123756662,-0.00929,-0.02946,-0.03699
67,1434123756669,0.00116,-0.02357,-0.03819
68,1434123756706,0.00093,-0.01260,-0.03055
69,1434123756708,-0.00473,-0.02258,-0.03381
70,1434123756720,0.00794,-0.01494,-0.01533
71,1434123756752,-0.00849,-0.02367,-0.00602
72,1434123756753,-0.00680,-0.01894,0.00456
73,1434123756810,-0.01169,-0.02140,0.00677
74,1434123756818,-0.00622,-0.02337,0.00854
75,1434123756820,-0.00185,-0.02182,0.00996
76,1434123756860,-0.00461,-0.02371,0.01109
77,1434123756868,-0.02244,-0.02209,0.01122
78,1434123756906,-0.02654,-0.02080,0.00897
79,1434123756909,-0.00952,-0.01898,0.01655
80,1434123756912,0.00801,-0.01284,0.01637
81,1434123756951,-0.00609,-0.01574,0.00685
82,1434123756955,0.00763,-0.01572,0.01485
83,1434123757008,-0.01812,-0.01882,0.00563
84,1434123757013,-0.02387,-0.01506,-0.00721
85,1434123757018,-0.01284,-0.00892,-0.01515
86,1434123757047,-0.00481,-0.01026,-0.00040
87,1434123757050,-0.00072,-0.01446,-0.00266
88,1434123757100,0.01192,-0.01157,0.01271
89,1434123757104,0.00329,-0.01238,0.01330
90,1434123757105,-0.01534,-0.00678,-0.00186
91,1434123757153,-0.01540,-0.00855,-0.01008
92,1434123757158,-0.00607,-0.00996,-0.00494
93,1434123757198,0.00687,-0.00172,-0.00161
94,1434123757200,0.00862,-0.00138,0.00809
95,1434123757202,0.01939,-0.00110,0.01897
96,1434123757248,-0.00011,-0.00713,0.00893
97,1434123757251,-0.01181,0.00055,0.00402
98,1434123757302,-0.01570,-0.00894,-0.00304
99,1434123757303,-0.00084,0.00222,0.00382
100,1434123757308,0.01808,0.00803,0.00931
101,1434123757350,0.01759,0.00642,0.01057
102,1434123757353,0.00157,0.00201,0.00533
103,1434123757390,-0.01671,0.00474,-0.00199
104,1434123757393,-0.00165,0.00066,0.00466
105,1434123757395,0.00493,0.00053,-0.00252
106,1434123757441,0.01332,0.00980,-0.00514
107,1434123757446,0.00128,0.01096,-0.00411
108,1434123757491,0.00415,0.00877,0.00608
109,1434123757496,0.00019,0.01014,0.01112
110,1434123757498,0.00016,0.01358,0.00264
111,1434123757540,-0.00613,0.01087,-0.01038
112,1434123757550,0.00760,0.01182,0.00107
113,1434123757552,-0.00330,0.00633,0.00085
114,1434123757589,0.00986,0.01131,0.00693
115,1434123757590,0.00789,0.00905,0.00242
116,1434123757634,0.00631,0.00724,-0.00119
117,1434123757642,0.00818,0.00579,0.00217
118,1434123757642,-0.00283,0.00463,-0.00451
119,1434123757692,0.00086,0.00371,-0.00673
120,1434123757694,0.00381,0.00297,-0.00539
121,1434123757730,0.01242,0.00237,0.00819
122,1434123757739,-0.00569,0.00502,0.00968
123,1434123757743,-0.01080,0.00402,0.00462
124,1434123757777,-0.01489,0.00009,-0.00881
125,1434123757784,-0.00566,0.00945,-0.00705
126,1434123757831,0.00172,0.00443,0.00999
127,1434123757835,0.00138,0.00667,0.02283
128,1434123757837,-0.00202,0.00221,0.02452
129,1434123757882,-0.00787,-0.00136,0.01649
130,1434123757886,-0.00317,0.00204,0.00694
131,1434123757929,0.00371,0.01101,0.00243
132,1434123757933,-0.00015,0.00256,0.00507
133,1434123757938,-0.01809,-0.00108,0.00718
134,1434123757979,-0.01135,0.00226,0.00887
135,1434123758023,-0.00361,-0.00132,0.00084
136,1434123758028,0.00961,0.00832,-0.00792
137,1434123758030,0.00769,0.01213,-0.00633
138,1434123758032,0.00615,0.00736,0.00040
139,1434123758082,-0.00445,0.00823,-0.00202
140,1434123758086,-0.00903,0.00658,-0.00162
141,1434123758121,0.00137,0.00292,-0.00442
142,1434123758129,0.00734,0.00234,-0.00666
143,1434123758131,0.00900,-0.00125,0.00327
144,1434123758173,0.00720,0.00212,0.00886
145,1434123758176,-0.00049,-0.00143,0.00396
146,1434123758225,-0.00039,-0.00114,-0.00230
147,1434123758229,-0.00969,-0.00091,-0.00496
148,1434123758231,-0.01322,-0.00073,-0.01335
149,1434123758278,0.01052,0.00254,0.00182
150,1434123758280,0.01466,0.00438,-0.00167
151,1434123758320,0.00548,0.00350,0.00414
152,1434123758331,0.00751,0.00046,0.01268
153,1434123758333,-0.00962,0.00583,-0.00157
154,1434123758369,-0.01316,0.00779,-0.01688
155,1434123758372,-0.00194,0.00311,-0.01976
156,1434123758412,0.02033,0.00249,0.00607
157,1434123758417,0.01001,0.00199,0.01033
158,1434123758419,-0.00137,-0.00700,0.02076
159,1434123758470,-0.00109,0.00612,0.00411
160,1434123758472,-0.01025,0.00177,-0.02093
161,1434123758515,-0.02617,0.00454,-0.03784
162,1434123758520,-0.01468,-0.00262,-0.02168
163,1434123758523,0.00310,-0.00209,0.00766
164,1434123758559,0.02982,0.00145,0.03034
165,1434123758566,0.02151,0.00741,0.02428
166,1434123758619,-0.00154,-0.00345,0.00145
167,1434123758621,-0.01373,0.00349,-0.01759
168,1434123758624,-0.01099,-0.00033,-0.01095
169,1434123758663,0.00059,-0.00339,0.00374
170,1434123758668,0.01922,0.00041,0.01159
171,1434123758717,0.01225,0.00346,0.01240
172,1434123758723,-0.00582,0.00276,-0.00493
173,1434123758724,-0.00778,-0.00404,-0.01332
174,1434123758760,-0.00935,-0.00323,-0.00753
175,1434123758762,0.00502,0.00054,0.00648
176,1434123758817,-0.00224,0.00043,0.00518
177,1434123758820,0.00759,0.00347,0.00649
178,1434123758823,-0.00643,-0.00347,0.00519
179,1434123758859,-0.00514,0.00035,-0.00757
180,1434123758867,-0.00412,0.00028,-0.00605
181,1434123758900,-0.00642,0.00335,0.00141
182,1434123758902,0.01362,0.00580,0.00972
183,1434123758905,-0.00161,-0.00473,0.01090
184,1434123758945,0.00184,-0.00379,0.00013
185,1434123758946,-0.00478,-0.00537,-0.00927
186,1434123759001,-0.00695,0.00117,-0.01367
187,1434123759005,-0.00243,-0.00219,-0.00468
188,1434123759051,0.00743,0.00450,0.00797
189,1434123759053,0.01532,0.00047,0.00638
190,1434123759053,-0.00025,-0.00509,-0.00349
191,1434123759101,-0.01504,-0.00173,-0.00592
192,1434123759109,-0.01203,-0.00373,0.00151
193,1434123759110,-0.00728,-0.00064,0.00121
194,1434123759150,0.00667,0.00262,0.00409
195,1434123759154,0.01784,0.00209,0.00328
196,1434123759203,0.01427,0.00167,0.01746
197,1434123759205,-0.01358,-0.00179,0.00460
198,1434123759208,-0.01634,-0.00143,-0.00492
