index,time,xAxis,yAxis,zAxis
0,1434120044275,0.00117,0.01740,0.01557
1,1434120044276,-0.05688,0.00767,0.04292
2,1434120044303,-0.02363,-0.02746,0.00699
3,1434120044305,-0.05249,-0.01884,0.02435
4,1434120044307,-0.01465,-0.01820,-0.02662
5,1434120044351,0.04922,-0.02081,-0.02754
6,1434120044353,0.04562,-0.01665,-0.00954
7,1434120044400,-0.02131,-0.00082,-0.00138
8,1434120044401,-0.04518,0.02044,0.01999
9,1434120044402,0.00683,0.01323,0.00974
10,1434120044457,0.05702,0.00511,-0.00705
11,1434120044460,0.01203,0.00956,-0.02751
12,1434120044505,-0.06304,0.01077,-0.01576
13,1434120044507,-0.04730,0.00862,0.00302
14,1434120044508,0.00122,0.00143,0.01101
15,1434120044547,0.03457,-0.00511,-0.02166
16,1434120044549,0.06437,0.00216,-0.03842
17,1434120044596,-0.04928,0.02907,-0.02136
18,1434120044599,-0.09099,0.01388,0.04385
19,1434120044603,-0.02435,-0.00686,0.03820
20,1434120044646,0.08755,-0.03596,-0.00928
21,1434120044648,0.02707,-0.02642,-0.03789
22,1434120044705,-0.06662,-0.01489,-0.01235
23,1434120044707,-0.06267,-0.02363,-0.01535
24,1434120044709,-0.01030,-0.02203,-0.01853
25,1434120044748,0.03786,-0.02075,-0.01170
26,1434120044750,0.06388,-0.01347,-0.00389
27,1434120044799,0.03860,-0.01390,-0.00545
28,1434120044801,-0.00271,-0.01112,-0.03561
29,1434120044802,-0.02326,-0.01827,-0.03396
30,1434120044840,-0.00377,-0.02712,-0.03029
31,1434120044841,0.04933,-0.02169,-0.06720
32,1434120044891,-0.00038,0.02561,-0.06626
33,1434120044893,-0.07999,0.05096,-0.03113
34,1434120044894,-0.08509,0.03452,-0.00381
35,1434120044943,-0.09229,0.03386,-0.02102
36,1434120044946,-0.15039,0.06693,-0.04728
37,1434120044991,-0.20547,0.06917,-0.04720
38,1434120044992,-0.05735,0.04596,-0.03464
39,1434120044993,-0.01228,0.04849,-0.02458
40,1434120045035,0.02064,0.04504,-0.04467
41,1434120045037,0.03448,0.02978,-0.03808
42,1434120045087,0.00024,0.03320,-0.03984
43,1434120045087,-0.09121,0.03906,-0.05062
44,1434120045088,-0.10344,0.04922,-0.10143
45,1434120045143,-0.07103,0.05812,-0.08974
46,1434120045145,-0.02323,0.04650,-0.03820
47,1434120045194,-0.00296,0.02782,-0.02822
48,1434120045196,-0.00237,0.02226,-0.03117
49,1434120045197,0.01295,0.01781,-0.02181
50,1434120045234,0.01973,0.01112,-0.02370
51,1434120045235,0.01266,0.01515,-0.03146
52,1434120045283,0.00388,0.01524,-0.04626
53,1434120045333,-0.01174,0.01219,-0.06435
54,1434120045337,-0.00627,0.01601,-0.05773
55,1434120045337,-0.01126,0.01827,-0.04306
56,1434120045338,-0.00901,0.01774,-0.03757
57,1434120045392,-0.00721,0.00560,-0.01521
58,1434120045395,-0.00577,0.00136,0.00970
59,1434120045395,-0.00774,0.00655,0.00464
60,1434120045426,-0.00619,0.01462,-0.00566
61,1434120045427,-0.00808,0.02419,-0.00453
62,1434120045474,-0.00334,0.01936,-0.00050
63,1434120045475,0.01217,0.01861,0.01210
64,1434120045477,0.00974,0.01489,-0.00907
65,1434120045528,0.00232,0.01503,-0.02210
66,1434120045533,0.00498,0.01203,-0.01456
67,1434120045570,0.00633,0.00962,0.00007
68,1434120045572,0.00506,0.01082,-0.00307
69,1434120045574,0.01343,0.01413,-0.00870
70,1434120045626,0.02324,0.00818,-0.00931
71,1434120045628,0.02172,0.00967,-0.00510
72,1434120045674,0.02597,0.01398,-0.00096
73,1434120045674,0.01531,0.01744,-0.00389
74,1434120045675,-0.00651,0.02879,0.01564
75,1434120045725,-0.01458,0.02928,0.03048
76,1434120045727,-0.01401,0.02968,0.03063
77,1434120045775,-0.02371,0.02374,0.02451
78,1434120045777,-0.02209,0.02212,0.01336
79,1434120045779,-0.00205,0.00832,0.00756
80,1434120045820,0.01946,-0.00819,0.00917
81,1434120045821,0.03041,-0.01905,0.01046
82,1434120045865,0.03058,-0.03008,0.00525
83,1434120045867,0.02134,-0.03657,0.00107
84,1434120045870,0.00535,-0.03238,-0.01399
85,1434120045916,-0.01134,-0.02903,-0.01119
86,1434120045917,-0.03642,-0.01697,-0.00270
87,1434120045960,-0.07210,-0.00733,0.01268
88,1434120045962,-0.07253,0.00039,-0.00470
89,1434120045964,-0.03068,-0.00281,-0.03423
90,1434120046015,0.00905,-0.01163,-0.03988
91,1434120046017,0.00724,-0.03040,-0.02878
