index,time,xAxis,yAxis,zAxis
0,1434120044265,0.00130,-0.00109,0.00010
1,1434120044265,0.00099,0.00025,-0.00123
2,1434120044273,-0.00052,-0.00042,-0.00037
3,1434120044288,-0.00042,0.00053,-0.00003
4,1434120044321,-0.00032,0.00043,0.00040
5,1434120044335,0.00083,0.00034,-0.00014
6,1434120044351,-0.00044,0.00027,-0.00031
7,1434120044367,0.00100,0.00022,0.00041
8,1434120044398,0.00079,-0.00005,-0.00123
9,1434120044415,-0.00071,-0.00071,-0.00031
10,1434120044429,0.00055,0.00033,0.00064
11,1434120044449,-0.00068,0.00026,0.00051
12,1434120044478,-0.00054,0.00021,0.00041
13,1434120044496,-0.00043,0.00017,0.00033
14,1434120044508,0.00098,-0.00119,0.00026
15,1434120044540,-0.00054,0.00037,0.00021
16,1434120044556,0.00021,0.00030,0.00017
17,1434120044572,0.00109,-0.00086,-0.00096
18,1434120044589,-0.00067,0.00039,0.00030
19,1434120044618,0.00100,0.00033,0.00027
20,1434120044637,-0.00006,0.00027,0.00021
21,1434120044650,-0.00075,0.00021,-0.00113
22,1434120044682,-0.00041,0.00017,0.00040
23,1434120044703,0.00042,0.00014,-0.00031
24,1434120044713,-0.00060,-0.00097,-0.00011
25,1434120044731,-0.00048,0.00026,0.00040
26,1434120044759,-0.00038,0.00025,0.00032
27,1434120044776,-0.00031,0.00020,0.00026
28,1434120044796,0.00101,0.00016,0.00021
29,1434120044823,-0.00045,0.00013,-0.00123
30,1434120044839,-0.00036,0.00071,0.00041
31,1434120044855,-0.00029,0.00047,0.00033
32,1434120044870,0.00127,-0.00013,0.00026
33,1434120044900,-0.00011,-0.00048,0.00140
34,1434120044916,0.00028,-0.00075,-0.00007
35,1434120044934,-0.00052,0.00014,-0.00006
36,1434120044964,0.00115,-0.00130,-0.00020
37,1434120044986,0.00032,0.00037,-0.00097
38,1434120044994,-0.00071,0.00030,0.00019
39,1434120045011,0.00092,0.00024,0.00015
40,1434120045042,0.00045,0.00019,0.00132
41,1434120045058,-0.00084,-0.00066,-0.00095
42,1434120045084,0.00058,-0.00003,-0.00026
43,1434120045105,-0.00079,0.00185,-0.00003
44,1434120045121,-0.00005,0.00090,-0.00146
45,1434120045141,-0.00007,-0.00128,-0.00015
46,1434120045152,0.00085,-0.00011,0.00043
47,1434120045185,-0.00078,0.00002,0.00034
48,1434120045199,-0.00062,-0.00077,-0.00051
49,1434120045216,0.00073,-0.00140,0.00004
50,1434120045246,-0.00064,0.00045,0.00037
51,1434120045261,-0.00051,0.00036,0.00029
52,1434120045280,-0.00041,-0.00072,0.00024
53,1434120045293,0.00111,0.00031,-0.00126
54,1434120045331,-0.00055,0.00004,0.00044
55,1434120045339,0.00033,0.00034,0.00035
56,1434120045356,0.00106,0.00186,0.00028
57,1434120045393,0.00075,-0.00008,0.00022
58,1434120045403,-0.00087,-0.00006,0.00018
59,1434120045420,-0.00069,-0.00005,-0.00084
60,1434120045434,-0.00056,-0.00004,-0.00125
61,1434120045466,0.00112,-0.00003,0.00056
62,1434120045481,0.00090,-0.00078,0.00120
63,1434120045498,-0.00048,-0.00024,0.00058
64,1434120045530,0.00073,-0.00139,0.00009
65,1434120045545,-0.00038,-0.00059,0.00008
66,1434120045561,0.00074,0.00057,0.00006
67,1434120045576,0.00059,0.00046,0.00005
68,1434120045608,0.00047,0.00037,0.00032
69,1434120045624,0.00038,0.00029,0.00081
70,1434120045639,-0.00087,0.00023,-0.00019
71,1434120045670,-0.00109,0.00019,-0.00009
72,1434120045686,-0.00087,0.00015,0.00093
73,1434120045702,0.00025,0.00012,-0.00032
74,1434120045719,-0.00056,0.00010,0.00113
75,1434120045749,-0.00063,0.00008,-0.00048
76,1434120045766,-0.00051,0.00006,0.00033
77,1434120045779,-0.00040,-0.00111,0.00111
78,1434120045818,-0.00032,0.00023,-0.00067
79,1434120045826,-0.00073,-0.00087,-0.00054
80,1434120045842,-0.00077,0.00040,-0.00043
81,1434120045859,0.00004,0.00032,-0.00172
82,1434120045891,0.00134,0.00000,-0.00000
83,1434120045914,-0.00024,-0.00061,-0.00000
84,1434120045920,0.00095,0.00038,-0.00000
85,1434120045953,0.00116,0.00030,-0.00156
86,1434120045967,-0.00061,0.00024,-0.00078
87,1434120045984,-0.00049,0.00019,0.00047
88,1434120046000,-0.00039,0.00015,-0.00098
89,1434120046031,-0.00031,0.00012,0.00057
90,1434120046047,-0.00025,0.00010,0.00046
91,1434120046064,-0.00020,0.00008,0.00036
92,1434120046078,-0.00016,0.00006,0.00029
93,1434120046114,0.00144,-0.00151,-0.00245
94,1434120046125,0.00026,-0.00032,0.00005
95,1434120046141,-0.00047,-0.00091,-0.00061
96,1434120046172,0.00119,0.00060,0.00084
97,1434120046189,0.00095,0.00048,0.00002
98,1434120046204,0.00076,0.00038,0.00020
99,1434120046219,-0.00093,0.00031,0.00063
100,1434120046251,-0.00077,0.00025,0.00164
101,1434120046266,-0.00061,0.00020,0.00017
102,1434120046282,0.00082,0.00016,0.00145
103,1434120046313,-0.00164,0.00013,-0.00034
104,1434120046329,0.00217,0.00010,-0.00101
105,1434120046346,0.00080,0.00008,0.00012
106,1434120046360,-0.00088,0.00006,0.00010
107,1434120046394,0.00044,0.00005,0.00126
108,1434120046406,-0.00083,0.00004,-0.00097
109,1434120046424,0.00063,0.00132,-0.00025
110,1434120046454,-0.00079,-0.00180,0.00146
111,1434120046470,-0.00063,-0.00144,-0.00022
112,1434120046487,-0.00051,-0.00009,0.00088
113,1434120046503,-0.00040,0.00043,-0.00180
114,1434120046533,0.00006,0.00035,0.00157
115,1434120046550,0.00123,0.00028,0.00043
116,1434120046565,0.00098,0.00022,-0.00039
117,1434120046597,-0.00064,0.00018,-0.00032
118,1434120046611,0.00031,0.00014,-0.00025
119,1434120046627,-0.00071,0.00011,-0.00124
120,1434120046645,0.00091,0.00009,0.00145
121,1434120046675,-0.00075,0.00007,0.00012
122,1434120046694,-0.00060,0.00006,0.00211
123,1434120046705,-0.00048,0.00005,-0.00007
124,1434120046738,-0.00052,0.00004,-0.00067
125,1434120046752,-0.00127,0.00003,-0.00054
126,1434120046770,0.00099,0.00002,-0.00043
127,1434120046784,-0.00013,0.00002,-0.00035
128,1434120046816,-0.00020,0.00002,0.00094
129,1434120046832,-0.00016,0.00001,-0.00046
