index,time,xAxis,yAxis,zAxis
0,1434120044271,-0.27392,-0.01388,0.01708
1,1434120044273,-0.09414,0.02874,0.03241
2,1434120044274,0.00438,0.04409,-0.02329
3,1434120044297,0.00975,0.05636,-0.08894
4,1434120044298,-0.02892,0.05134,-0.08287
5,1434120044347,-0.09345,0.04420,-0.07255
6,1434120044352,-0.10210,0.05098,-0.07054
7,1434120044353,-0.07231,0.05563,-0.04081
8,1434120044394,-0.05238,0.03825,-0.04827
9,1434120044397,-0.03253,0.04623,-0.02924
10,1434120044454,-0.00493,0.01276,0.00395
11,1434120044456,-0.01566,0.01255,-0.02418
12,1434120044459,-0.02190,0.01317,0.00175
13,1434120044504,-0.02065,0.00507,-0.00173
14,1434120044506,-0.01027,0.01890,-0.01623
15,1434120044595,-0.01759,-0.00285,0.02061
16,1434120044598,-0.01720,-0.02103,0.00087
17,1434120044600,-0.02548,-0.02542,0.00694
18,1434120044605,-0.00241,-0.01799,0.01805
19,1434120044644,-0.00193,0.00436,0.00194
20,1434120044651,-0.00779,0.01286,-0.01641
21,1434120044653,-0.02108,0.00716,-0.04126
22,1434120044655,-0.05671,0.01432,-0.05410
23,1434120044698,-0.01490,0.03646,-0.01594
24,1434120044710,0.00058,0.02917,0.00288
25,1434120044747,-0.03938,0.00771,-0.04692
26,1434120044749,-0.07447,0.01867,-0.08597
27,1434120044751,-0.05958,0.02978,-0.03831
28,1434120044799,-0.03829,0.01523,-0.00018
29,1434120044803,-0.03063,0.01453,-0.02436
30,1434120044834,-0.03700,0.00303,-0.08355
31,1434120044843,-0.05070,0.01727,-0.10043
32,1434120044844,-0.06790,0.00756,-0.06550
33,1434120044887,-0.07307,-0.00567,-0.01256
34,1434120044894,-0.06080,-0.00766,-0.01630
35,1434120044944,-0.04630,-0.00925,-0.07710
36,1434120044946,-0.08235,-0.02850,-0.11949
37,1434120044947,-0.13307,-0.03842,-0.09247
38,1434120044988,-0.12755,-0.05808,-0.04976
39,1434120044989,-0.11141,-0.06443,-0.01246
40,1434120045034,-0.13210,-0.03670,-0.05841
41,1434120045039,-0.08380,0.00423,-0.11079
42,1434120045041,-0.01548,-0.03021,-0.07691
43,1434120045085,-0.03348,-0.05151,-0.01544
44,1434120045086,-0.02444,-0.03496,0.04234
45,1434120045136,-0.01643,-0.02484,0.03387
46,1434120045146,-0.01314,-0.02300,-0.03697
47,1434120045147,-0.00426,-0.03090,-0.02957
48,1434120045189,0.03331,-0.03409,0.02869
49,1434120045195,0.05087,-0.03274,0.08389
50,1434120045229,0.05944,-0.03245,0.07336
51,1434120045234,0.08427,-0.02283,0.02509
52,1434120045236,0.04867,-0.03076,-0.02602
53,1434120045277,0.06940,-0.02461,0.01590
54,1434120045284,0.13209,-0.03766,0.07366
55,1434120045333,0.13614,-0.03013,0.06830
56,1434120045334,0.12141,-0.03348,0.02417
57,1434120045335,0.07213,-0.06037,0.00996
58,1434120045375,-0.01183,-0.12486,-0.00140
59,1434120045394,-0.00399,-0.10614,0.00825
60,1434120045423,0.06087,-0.08726,0.02770
61,1434120045425,0.06119,-0.08855,0.03778
62,1434120045427,-0.02136,-0.11928,0.03335
63,1434120045470,-0.00146,-0.11417,-0.00066
64,1434120045473,-0.00742,-0.07259,-0.04662
65,1434120045524,-0.00594,-0.04323,-0.07402
66,1434120045533,-0.00162,-0.02833,-0.04671
67,1434120045535,-0.03489,-0.04063,-0.01003
68,1434120045565,-0.02166,-0.03563,0.00135
69,1434120045567,0.02173,-0.01991,-0.02939
70,1434120045623,0.05723,0.00282,-0.05710
71,1434120045627,0.04891,0.00226,-0.05818
72,1434120045628,0.03600,-0.00445,-0.03717
73,1434120045666,0.00771,-0.01293,-0.01177
74,1434120045669,-0.00321,-0.02206,-0.00004
75,1434120045672,0.00056,-0.02703,-0.00941
76,1434120045721,0.02154,-0.04037,-0.02549
77,1434120045726,0.00551,-0.05027,-0.03290
78,1434120045773,-0.02606,-0.07068,-0.02007
79,1434120045776,-0.02710,-0.06904,0.00504
80,1434120045778,-0.01230,-0.05524,-0.00222
81,1434120045815,0.00500,-0.02544,-0.01974
82,1434120045819,0.01650,-0.00238,-0.04314
83,1434120045864,0.03742,0.04106,-0.03451
84,1434120045868,0.02681,0.03910,-0.03073
85,1434120045869,0.00036,0.03441,-0.03084
86,1434120045916,-0.02472,0.02127,-0.02154
87,1434120045918,-0.01977,0.00764,-0.01724
88,1434120045957,-0.01816,-0.01810,-0.00441
89,1434120045958,-0.00281,-0.04808,0.00819
90,1434120045959,0.02510,-0.04471,0.01280
91,1434120046058,0.04820,-0.01468,0.00712
92,1434120046067,0.05340,0.02498,0.01194
93,1434120046068,0.02788,0.05045,0.01893
94,1434120046069,0.01605,0.05599,0.02999
95,1434120046109,0.00659,0.05416,0.02086
96,1434120046118,-0.00723,0.03396,0.03232
97,1434120046119,-0.02375,0.00295,0.05320
98,1434120046157,-0.02837,-0.03124,0.06990
99,1434120046160,-0.00707,-0.02186,0.06530
100,1434120046163,-0.01816,-0.01749,0.06474
101,1434120046208,-0.03015,-0.00852,0.05413
102,1434120046210,0.01260,0.01193,0.05893
103,1434120046256,0.02570,0.02751,0.05027
104,1434120046258,0.01119,0.04623,0.04647
105,1434120046261,-0.01839,0.05573,0.04030
106,1434120046303,-0.03893,0.06881,0.01974
107,1434120046307,-0.03115,0.08864,0.00954
108,1434120046348,-0.01867,0.09513,0.00763
109,1434120046349,-0.03056,0.09798,0.01236
110,1434120046353,-0.02757,0.09323,0.00676
111,1434120046398,-0.04003,0.07771,0.00541
112,1434120046399,-0.03515,0.06529,-0.01052
113,1434120046444,-0.04999,0.05223,-0.01154
114,1434120046450,-0.04234,0.05429,-0.00376
115,1434120046450,-0.02528,0.05202,0.00324
116,1434120046504,-0.05069,0.03302,0.00259
117,1434120046508,-0.06477,0.03267,-0.01277
118,1434120046551,-0.08541,0.03785,-0.00709
119,1434120046552,-0.10192,0.04278,-0.00567
120,1434120046553,-0.06591,0.05532,-0.00454
121,1434120046601,-0.04726,0.06535,-0.01613
122,1434120046651,-0.01906,0.07728,-0.03400
123,1434120046662,-0.00587,0.08917,-0.03657
124,1434120046665,-0.01407,0.08305,-0.02613
125,1434120046666,-0.03860,0.07582,-0.03341
126,1434120046688,-0.03088,0.07315,-0.02985
127,1434120046696,-0.01611,0.06165,-0.02701
128,1434120046743,-0.00351,0.05557,-0.00598
129,1434120046744,-0.02391,0.04445,0.01006
130,1434120046749,-0.01053,0.01056,0.02992
131,1434120046785,0.02517,0.00533,0.03019
132,1434120046789,0.06623,0.01051,0.00853
133,1434120046837,0.08345,0.02403,-0.01427
134,1434120046839,0.08551,0.02235,-0.03017
135,1434120046840,0.08950,0.01788,-0.01163
136,1434120046882,0.07785,0.01431,0.01491
137,1434120046894,0.05916,0.00832,0.03380
138,1434120046934,0.04420,-0.00584,0.02704
139,1434120046936,0.00802,-0.01093,0.01538
140,1434120046938,-0.00296,-0.00562,0.00918
141,1434120046984,0.00701,0.01426,0.01047
142,1434120046991,0.02670,0.02937,0.03572
143,1434120047035,0.03386,0.03912,0.02858
144,1434120047043,-0.00963,0.04302,0.01036
145,1434120047045,-0.04755,0.01957,0.02704
146,1434120047085,0.00805,-0.01169,0.05210
147,1434120047092,0.06426,-0.00935,0.05965
148,1434120047135,0.09125,-0.00514,0.06022
149,1434120047138,0.06675,-0.03145,0.08802
150,1434120047140,0.05340,-0.03688,0.07901
151,1434120047174,0.06381,-0.02950,0.04211
152,1434120047181,0.05730,-0.00563,0.01807
153,1434120047228,0.03334,-0.00451,0.03633
154,1434120047231,-0.00067,-0.01611,0.05641
155,1434120047231,0.01821,-0.00351,0.05450
156,1434120047279,0.02316,0.00032,0.03735
157,1434120047284,0.02478,0.00963,0.03300
158,1434120047324,0.01982,0.01395,0.02953
159,1434120047327,-0.00836,0.00179,0.02362
160,1434120047329,-0.02544,-0.00170,0.00952
161,1434120047373,-0.01410,-0.00448,0.00137
162,1434120047377,0.01372,0.00892,0.00422
163,1434120047417,0.01332,0.00713,-0.00600
164,1434120047420,-0.01044,0.01196,-0.01339
165,1434120047421,-0.01773,0.00644,-0.01696
166,1434120047478,-0.00481,0.00515,-0.02295
167,1434120047503,0.00241,0.01584,-0.00898
168,1434120047505,0.00505,0.01580,-0.00094
169,1434120047514,-0.01784,0.00951,0.00238
170,1434120047517,-0.03536,-0.00098,-0.00122
171,1434120047572,-0.00720,0.00156,-0.00723
172,1434120047577,0.02237,0.00437,-0.00891
173,1434120047579,0.02336,0.00975,0.00537
174,1434120047620,0.00697,0.00780,0.00430
175,1434120047625,-0.02177,0.00311,-0.00594
176,1434120047673,-0.02054,0.00249,-0.00787
177,1434120047674,0.00154,0.00199,-0.00317
178,1434120047676,0.02545,0.01409,0.00684
179,1434120047715,0.01802,0.01752,0.00234
180,1434120047716,0.00191,0.01402,-0.00438
181,1434120047769,-0.03831,0.00497,-0.01913
182,1434120047771,-0.03690,0.01022,-0.01218
183,1434120047774,-0.00218,0.01130,-0.00349
184,1434120047815,0.01701,0.01451,0.00033
185,1434120047817,0.00111,0.01161,0.00027
186,1434120047860,-0.01396,0.00929,-0.00291
187,1434120047863,-0.02679,0.00509,-0.01170
188,1434120047864,-0.01518,0.00407,-0.00624
189,1434120047906,0.00035,0.00872,-0.00187
190,1434120047908,0.00341,0.00698,-0.00462
191,1434120047967,-0.00977,0.00246,-0.00682
192,1434120047968,-0.00469,0.00197,-0.01171
193,1434120047969,0.00562,-0.00390,0.00626
194,1434120048003,0.01309,-0.00937,0.00813
195,1434120048009,0.00735,-0.01374,0.00338
196,1434120048066,0.00275,-0.01412,-0.00354
197,1434120048069,0.00845,-0.00817,0.00341
198,1434120048070,0.01614,-0.01279,0.02383
199,1434120048113,0.01916,-0.02195,0.02531
200,1434120048115,0.02158,-0.02068,0.00853
201,1434120048158,0.02898,-0.01342,0.00370
202,1434120048165,-0.00103,-0.01074,-0.00329
203,1434120048166,0.01714,0.00313,0.01846
204,1434120048208,0.00512,-0.00062,0.01164
205,1434120048210,-0.01465,0.00575,-0.01178
206,1434120048256,-0.00235,0.00148,-0.02192
207,1434120048259,0.02234,0.01368,-0.00816
208,1434120048260,0.03662,0.02032,-0.01903
209,1434120048307,0.01680,0.01626,-0.02694
210,1434120048308,0.00719,0.00363,-0.00671
211,1434120048355,-0.00597,-0.03694,0.04385
212,1434120048358,0.02882,-0.09674,0.09602
213,1434120048359,0.06212,-0.11411,0.13775
214,1434120048397,0.04969,-0.08191,0.07036
215,1434120048400,0.03116,-0.04444,-0.01403
216,1434120048453,0.01243,-0.03242,-0.03544
217,1434120048455,0.02244,-0.01031,-0.01898
218,1434120048456,-0.00705,-0.00200,-0.02768
219,1434120048495,-0.01423,0.01012,-0.03386
220,1434120048500,0.01596,0.01122,-0.03022
221,1434120048553,0.03074,0.02148,-0.03042
222,1434120048556,0.04334,0.01718,-0.02434
223,1434120048558,0.01592,0.00124,-0.02572
224,1434120048592,-0.05445,-0.00525,-0.03542
225,1434120048596,-0.08887,0.00830,-0.04709
226,1434120048636,-0.07422,0.00664,-0.05251
227,1434120048639,-0.07188,-0.00407,-0.05451
228,1434120048642,-0.04188,-0.00013,-0.03736
229,1434120048686,0.00009,-0.00323,-0.02364
230,1434120048688,-0.00618,-0.00883,-0.04391
231,1434120048739,-0.02916,-0.00707,-0.06560
232,1434120048789,-0.02333,-0.01112,-0.07670
233,1434120048794,-0.01007,-0.01515,-0.07073
234,1434120048796,0.03491,-0.02149,-0.05034
235,1434120048798,0.07402,-0.02657,-0.04652
236,1434120048838,0.08031,-0.02751,-0.04581
237,1434120048843,0.05488,-0.03997,-0.03977
238,1434120048845,-0.00141,-0.06245,-0.04432
239,1434120048883,-0.03160,-0.09293,-0.04483
240,1434120048885,-0.08075,-0.11965,-0.02649
241,1434120048943,-0.10366,-0.13557,-0.01494
242,1434120048944,-0.06496,-0.13267,-0.01820
243,1434120048946,-0.01212,-0.12489,-0.01144
244,1434120048983,-0.02532,-0.15460,0.01819
245,1434120048986,-0.06245,-0.17837,0.01143
246,1434120049036,-0.03824,-0.14269,-0.00257
247,1434120049038,0.03660,-0.12665,0.00653
248,1434120049039,0.06287,-0.11695,0.00210
249,1434120049080,0.03545,-0.12715,0.00168
