index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.000,0.005,0.000,1434128841
2,20150612,0.000,0.016,0.000,1434128842
3,20150612,0.001,0.010,0.000,1434128843
4,20150612,0.023,0.023,0.000,1434128844
5,20150612,0.040,0.039,0.000,1434128845
6,20150612,0.054,0.027,0.000,1434128846
7,20150612,0.056,0.046,0.000,1434128847
8,20150612,0.038,0.026,0.000,1434128848
9,20150612,0.022,0.023,0.000,1434128849
10,20150612,0.022,0.037,0.000,1434128850
11,20150612,0.023,0.029,0.000,1434128851
12,20150612,0.031,0.029,0.000,1434128852
13,20150612,0.024,0.039,0.000,1434128853
14,20150612,0.035,0.029,0.000,1434128854
15,20150612,0.015,0.017,0.000,1434128855
16,20150612,0.036,0.039,0.000,1434128856
17,20150612,0.047,0.032,0.000,1434128857
18,20150612,0.042,0.045,0.000,1434128858
19,20150612,0.031,0.027,0.000,1434128859
20,20150612,0.048,0.039,0.000,1434128860
21,20150612,0.026,0.027,0.000,1434128861
22,20150612,0.023,0.030,0.000,1434128862
23,20150612,0.017,0.037,0.000,1434128863
24,20150612,0.017,0.037,0.000,1434128864
25,20150612,0.020,0.034,0.000,1434128865
26,20150612,0.008,0.043,0.000,1434128866
27,20150612,0.013,0.054,0.000,1434128867
28,20150612,0.015,0.064,0.000,1434128868
29,20150612,0.009,0.036,0.000,1434128869
30,20150612,0.003,0.024,0.000,1434128870
31,20150612,0.002,0.018,0.000,1434128871
32,20150612,0.002,0.013,0.000,1434128872
33,20150612,0.001,0.007,0.000,1434128873
34,20150612,0.005,0.011,0.000,1434128874
35,20150612,0.004,0.007,0.000,1434128875
36,20150612,0.003,0.003,0.000,1434128876
37,20150612,0.006,0.017,0.000,1434128877
38,20150612,0.008,0.027,0.000,1434128878
39,20150612,0.005,0.025,0.000,1434128879
40,20150612,0.009,0.049,0.000,1434128880
41,20150612,0.008,0.063,0.000,1434128881
42,20150612,0.006,0.049,0.000,1434128882
43,20150612,0.002,0.037,0.000,1434128883
44,20150612,0.003,0.043,0.000,1434128884
45,20150612,0.013,0.042,0.000,1434128885
46,20150612,0.008,0.052,0.000,1434128886
47,20150612,0.005,0.063,0.000,1434128887
48,20150612,0.005,0.064,0.000,1434128888
49,20150612,0.005,0.042,0.000,1434128889
50,20150612,0.005,0.041,0.000,1434128890
51,20150612,0.005,0.043,0.000,1434128891
52,20150612,0.006,0.036,0.000,1434128892
53,20150612,0.010,0.044,0.000,1434128893
54,20150612,0.011,0.037,0.000,1434128894
55,20150612,0.017,0.028,0.000,1434128895
56,20150612,0.015,0.028,0.000,1434128896
57,20150612,0.010,0.025,0.000,1434128897
58,20150612,0.003,0.021,0.000,1434128898
59,20150612,0.010,0.032,0.000,1434128899
60,20150612,0.009,0.027,0.000,1434128900
61,20150612,0.004,0.024,0.000,1434128901
62,20150612,0.030,0.015,0.000,1434128902
63,20150612,0.026,0.007,0.000,1434128903
64,20150612,0.013,0.022,0.000,1434128904
65,20150612,0.008,0.023,0.000,1434128905
66,20150612,0.005,0.021,0.000,1434128906
67,20150612,0.005,0.033,0.000,1434128907
68,20150612,0.004,0.024,0.000,1434128908
69,20150612,0.004,0.019,0.000,1434128909
70,20150612,0.016,0.032,0.000,1434128910
71,20150612,0.019,0.034,0.000,1434128911
72,20150612,0.010,0.049,0.000,1434128912
73,20150612,0.013,0.058,0.000,1434128913
74,20150612,0.017,0.059,0.000,1434128914
75,20150612,0.007,0.059,0.000,1434128915
76,20150612,0.017,0.036,0.000,1434128916
77,20150612,0.010,0.037,0.000,1434128917
78,20150612,0.013,0.058,0.000,1434128918
79,20150612,0.008,0.055,0.000,1434128919
80,20150612,0.003,0.050,0.000,1434128920
81,20150612,0.004,0.044,0.000,1434128921
82,20150612,0.004,0.045,0.000,1434128922
83,20150612,0.015,0.059,0.000,1434128923
84,20150612,0.013,0.030,0.000,1434128924
85,20150612,0.005,0.036,0.000,1434128925
86,20150612,0.013,0.051,0.000,1434128926
87,20150612,0.007,0.074,0.000,1434128927
88,20150612,0.004,0.036,0.000,1434128928
89,20150612,0.002,0.027,0.000,1434128929
90,20150612,0.004,0.022,0.000,1434128930
91,20150612,0.010,0.033,0.000,1434128931
92,20150612,0.005,0.025,0.000,1434128932
93,20150612,0.003,0.047,0.000,1434128933
94,20150612,0.007,0.034,0.000,1434128934
95,20150612,0.004,0.050,0.000,1434128935
96,20150612,0.004,0.032,0.000,1434128936
97,20150612,0.016,0.032,0.000,1434128937
98,20150612,0.022,0.023,0.000,1434128938
99,20150612,0.008,0.027,0.000,1434128939
100,20150612,0.008,0.040,0.000,1434128940
101,20150612,0.008,0.045,0.000,1434128941
102,20150612,0.006,0.042,0.000,1434128942
103,20150612,0.007,0.031,0.000,1434128943
104,20150612,0.008,0.046,0.000,1434128944
105,20150612,0.009,0.053,0.000,1434128945
106,20150612,0.006,0.040,0.000,1434128946
107,20150612,0.006,0.018,0.000,1434128947
108,20150612,0.003,0.042,0.000,1434128948
109,20150612,0.005,0.031,0.000,1434128949
110,20150612,0.010,0.065,0.000,1434128950
111,20150612,0.009,0.042,0.000,1434128951
112,20150612,0.003,0.059,0.000,1434128952
113,20150612,0.008,0.060,0.000,1434128953
114,20150612,0.019,0.043,0.000,1434128954
115,20150612,0.006,0.036,0.000,1434128955
116,20150612,0.005,0.032,0.000,1434128956
117,20150612,0.006,0.046,0.000,1434128957
118,20150612,0.004,0.039,0.000,1434128958
119,20150612,0.006,0.064,0.000,1434128959
120,20150612,0.004,0.055,0.000,1434128960
121,20150612,0.011,0.038,0.000,1434128961
122,20150612,0.005,0.039,0.000,1434128962
123,20150612,0.006,0.047,0.000,1434128963
124,20150612,0.003,0.042,0.000,1434128964
125,20150612,0.007,0.072,0.000,1434128965
126,20150612,0.007,0.066,0.000,1434128966
127,20150612,0.004,0.045,0.000,1434128967
128,20150612,0.005,0.046,0.000,1434128968
129,20150612,0.011,0.038,0.000,1434128969
130,20150612,0.013,0.037,0.000,1434128970
131,20150612,0.005,0.037,0.000,1434128971
132,20150612,0.007,0.031,0.000,1434128972
133,20150612,0.006,0.028,0.000,1434128973
134,20150612,0.014,0.048,0.000,1434128974
135,20150612,0.004,0.029,0.000,1434128975
136,20150612,0.004,0.029,0.000,1434128976
137,20150612,0.008,0.037,0.000,1434128977
138,20150612,0.005,0.039,0.000,1434128978
139,20150612,0.007,0.057,0.000,1434128979
140,20150612,0.005,0.060,0.000,1434128980
141,20150612,0.004,0.041,0.000,1434128981
142,20150612,0.003,0.061,0.000,1434128982
143,20150612,0.003,0.044,0.000,1434128983
144,20150612,0.001,0.032,0.000,1434128984
145,20150612,0.004,0.057,0.000,1434128985
146,20150612,0.008,0.043,0.000,1434128986
147,20150612,0.010,0.036,0.000,1434128987
148,20150612,0.019,0.040,0.000,1434128988
149,20150612,0.019,0.030,0.000,1434128989
150,20150612,0.011,0.027,0.000,1434128990
151,20150612,0.022,0.035,0.000,1434128991
152,20150612,0.016,0.025,0.000,1434128992
153,20150612,0.006,0.019,0.000,1434128993
154,20150612,0.005,0.008,0.000,1434128994
155,20150612,0.005,0.012,0.000,1434128995
156,20150612,0.007,0.016,0.000,1434128996
157,20150612,0.004,0.008,0.000,1434128997
158,20150612,0.004,0.013,0.000,1434128998
159,20150612,0.003,0.004,0.000,1434128999
160,20150612,0.003,0.011,0.000,1434129000
161,20150612,0.002,0.008,0.000,1434129001
162,20150612,0.002,0.008,0.000,1434129002
163,20150612,0.003,0.008,0.000,1434129003
164,20150612,0.002,0.007,0.000,1434129004
165,20150612,0.008,0.009,0.000,1434129005
166,20150612,0.010,0.008,0.000,1434129006
167,20150612,0.014,0.009,0.000,1434129007
168,20150612,0.009,0.014,0.000,1434129008
169,20150612,0.010,0.016,0.000,1434129009
170,20150612,0.005,0.013,0.000,1434129010
171,20150612,0.001,0.019,0.000,1434129011
172,20150612,0.002,0.012,0.000,1434129012
173,20150612,0.003,0.011,0.000,1434129013
174,20150612,0.009,0.019,0.000,1434129014
175,20150612,0.009,0.025,0.000,1434129015
176,20150612,0.007,0.016,0.000,1434129016
177,20150612,0.008,0.010,0.000,1434129017
178,20150612,0.006,0.014,0.000,1434129018
179,20150612,0.010,0.014,0.000,1434129019
180,20150612,0.019,0.026,0.000,1434129020
181,20150612,0.012,0.024,0.000,1434129021
182,20150612,0.008,0.013,0.000,1434129022
183,20150612,0.005,0.012,0.000,1434129023
184,20150612,0.005,0.011,0.000,1434129024
185,20150612,0.006,0.010,0.000,1434129025
186,20150612,0.005,0.011,0.000,1434129026
187,20150612,0.002,0.009,0.000,1434129027
188,20150612,0.001,0.011,0.000,1434129028
189,20150612,0.002,0.011,0.000,1434129029
190,20150612,0.011,0.026,0.000,1434129030
191,20150612,0.015,0.056,0.000,1434129031
192,20150612,0.016,0.073,0.000,1434129032
193,20150612,0.018,0.054,0.000,1434129033
194,20150612,0.010,0.057,0.000,1434129034
195,20150612,0.008,0.059,0.000,1434129035
196,20150612,0.010,0.044,0.000,1434129036
197,20150612,0.005,0.020,0.000,1434129037
198,20150612,0.005,0.027,0.000,1434129038
199,20150612,0.016,0.064,0.000,1434129039
200,20150612,0.012,0.061,0.000,1434129040
201,20150612,0.017,0.035,0.000,1434129041
202,20150612,0.009,0.029,0.000,1434129042
203,20150612,0.034,0.027,0.000,1434129043
204,20150612,0.043,0.024,0.000,1434129044
205,20150612,0.023,0.020,0.000,1434129045
206,20150612,0.013,0.016,0.000,1434129046
207,20150612,0.012,0.012,0.000,1434129047
208,20150612,0.006,0.012,0.000,1434129048
209,20150612,0.004,0.012,0.000,1434129049
210,20150612,0.004,0.014,0.000,1434129050
211,20150612,0.005,0.011,0.000,1434129051
212,20150612,0.007,0.013,0.000,1434129052
213,20150612,0.004,0.010,0.000,1434129053
214,20150612,0.006,0.013,0.000,1434129054
215,20150612,0.015,0.008,0.000,1434129055
216,20150612,0.030,0.024,0.000,1434129056
217,20150612,0.028,0.023,0.000,1434129057
218,20150612,0.011,0.017,0.000,1434129058
219,20150612,0.007,0.027,0.000,1434129059
220,20150612,0.006,0.027,0.000,1434129060
221,20150612,0.003,0.023,0.000,1434129061
222,20150612,0.002,0.025,0.000,1434129062
223,20150612,0.002,0.030,0.000,1434129063
224,20150612,0.001,0.018,0.000,1434129064
225,20150612,0.015,0.019,0.000,1434129065
226,20150612,0.015,0.028,0.000,1434129066
227,20150612,0.019,0.023,0.000,1434129067
228,20150612,0.010,0.018,0.000,1434129068
229,20150612,0.005,0.019,0.000,1434129069
230,20150612,0.008,0.013,0.000,1434129070
231,20150612,0.029,0.016,0.000,1434129071
232,20150612,0.026,0.019,0.000,1434129072
233,20150612,0.017,0.017,0.000,1434129073
234,20150612,0.010,0.016,0.000,1434129074
235,20150612,0.005,0.026,0.000,1434129075
236,20150612,0.007,0.021,0.000,1434129076
237,20150612,0.030,0.049,0.000,1434129077
238,20150612,0.021,0.030,0.000,1434129078
239,20150612,0.011,0.040,0.000,1434129079
240,20150612,0.016,0.047,0.000,1434129080
241,20150612,0.018,0.037,0.000,1434129081
242,20150612,0.011,0.031,0.000,1434129082
243,20150612,0.007,0.023,0.000,1434129083
244,20150612,0.010,0.031,0.000,1434129084
245,20150612,0.046,0.039,0.000,1434129085
246,20150612,0.040,0.049,0.000,1434129086
247,20150612,0.028,0.066,0.000,1434129087
248,20150612,0.012,0.044,0.000,1434129088
249,20150612,0.008,0.047,0.000,1434129089
250,20150612,0.015,0.029,0.000,1434129090
251,20150612,0.015,0.028,0.000,1434129091
252,20150612,0.008,0.026,0.000,1434129092
253,20150612,0.009,0.033,0.000,1434129093
254,20150612,0.013,0.025,0.000,1434129094
255,20150612,0.007,0.027,0.000,1434129095
256,20150612,0.008,0.038,0.000,1434129096
257,20150612,0.013,0.043,0.000,1434129097
258,20150612,0.005,0.064,0.000,1434129098
259,20150612,0.007,0.066,0.000,1434129099
260,20150612,0.009,0.040,0.000,1434129100
261,20150612,0.007,0.026,0.000,1434129101
262,20150612,0.006,0.039,0.000,1434129102
263,20150612,0.015,0.035,0.000,1434129103
264,20150612,0.033,0.027,0.000,1434129104
265,20150612,0.015,0.018,0.000,1434129105
266,20150612,0.015,0.041,0.000,1434129106
267,20150612,0.023,0.056,0.000,1434129107
268,20150612,0.013,0.033,0.000,1434129108
269,20150612,0.009,0.033,0.000,1434129109
270,20150612,0.039,0.037,0.000,1434129110
271,20150612,0.020,0.034,0.000,1434129111
272,20150612,0.007,0.028,0.000,1434129112
273,20150612,0.005,0.026,0.000,1434129113
274,20150612,0.003,0.016,0.000,1434129114
275,20150612,0.009,0.038,0.000,1434129115
276,20150612,0.008,0.027,0.000,1434129116
277,20150612,0.004,0.018,0.000,1434129117
278,20150612,0.003,0.018,0.000,1434129118
279,20150612,0.015,0.041,0.000,1434129119
280,20150612,0.016,0.038,0.000,1434129120
281,20150612,0.015,0.028,0.000,1434129121
282,20150612,0.016,0.039,0.000,1434129122
283,20150612,0.005,0.017,0.000,1434129123
284,20150612,0.004,0.010,0.000,1434129124
285,20150612,0.011,0.040,0.000,1434129125
286,20150612,0.019,0.032,0.000,1434129126
287,20150612,0.010,0.040,0.000,1434129127
288,20150612,0.006,0.035,0.000,1434129128
289,20150612,0.005,0.030,0.000,1434129129
290,20150612,0.007,0.023,0.000,1434129130
291,20150612,0.003,0.029,0.000,1434129131
292,20150612,0.004,0.033,0.000,1434129132
293,20150612,0.006,0.041,0.000,1434129133
294,20150612,0.011,0.032,0.000,1434129134
295,20150612,0.026,0.057,0.000,1434129135
296,20150612,0.009,0.043,0.000,1434129136
297,20150612,0.013,0.038,0.000,1434129137
298,20150612,0.015,0.061,0.000,1434129138
299,20150612,0.012,0.031,0.000,1434129139
300,20150612,0.017,0.050,0.000,1434129140
301,20150612,0.016,0.038,0.000,1434129141
302,20150612,0.010,0.034,0.000,1434129142
303,20150612,0.021,0.040,0.000,1434129143
304,20150612,0.018,0.046,0.000,1434129144
305,20150612,0.007,0.037,0.000,1434129145
306,20150612,0.014,0.045,0.000,1434129146
307,20150612,0.021,0.034,0.000,1434129147
308,20150612,0.016,0.031,0.000,1434129148
309,20150612,0.008,0.044,0.000,1434129149
310,20150612,0.008,0.040,0.000,1434129150
311,20150612,0.025,0.025,0.000,1434129151
312,20150612,0.015,0.014,0.000,1434129152
313,20150612,0.016,0.040,0.000,1434129153
314,20150612,0.011,0.029,0.000,1434129154
315,20150612,0.011,0.058,0.000,1434129155
316,20150612,0.008,0.029,0.000,1434129156
317,20150612,0.006,0.023,0.000,1434129157
318,20150612,0.011,0.014,0.000,1434129158
319,20150612,0.008,0.027,0.000,1434129159
320,20150612,0.011,0.052,0.000,1434129160
321,20150612,0.009,0.022,0.000,1434129161
322,20150612,0.007,0.021,0.000,1434129162
323,20150612,0.003,0.019,0.000,1434129163
324,20150612,0.005,0.013,0.000,1434129164
325,20150612,0.019,0.018,0.000,1434129165
326,20150612,0.016,0.009,0.000,1434129166
327,20150612,0.007,0.032,0.000,1434129167
328,20150612,0.014,0.023,0.000,1434129168
329,20150612,0.011,0.034,0.000,1434129169
330,20150612,0.007,0.015,0.000,1434129170
331,20150612,0.007,0.007,0.000,1434129171
332,20150612,0.004,0.012,0.000,1434129172
333,20150612,0.002,0.010,0.000,1434129173
334,20150612,0.001,0.008,0.000,1434129174
