index,time,xAxis,yAxis,zAxis
0,1434128876009,-0.01792,0.01103,0.07972
1,1434128876010,-0.01668,-0.00289,0.09971
2,1434128876011,0.00463,0.00081,0.06180
3,1434128876044,-0.00880,-0.00873,-0.00212
4,1434128876045,-0.01563,-0.00073,-0.00795
5,1434128876092,-0.04063,-0.00058,-0.02198
6,1434128876094,-0.02626,0.00266,0.01288
7,1434128876141,-0.02960,0.00213,0.00406
8,1434128876142,-0.01196,-0.00142,-0.01785
9,1434128876143,-0.05801,0.01683,-0.05100
10,1434128876191,-0.08625,-0.01701,-0.10486
11,1434128876194,-0.06900,-0.01048,-0.04405
12,1434128876241,-0.03098,-0.02635,-0.05633
13,1434128876242,0.02443,-0.03358,-0.04819
14,1434128876243,0.05002,-0.03624,-0.02683
15,1434128876289,0.03376,-0.03524,0.00041
16,1434128876292,0.02076,-0.03679,-0.00280
17,1434128876348,0.01348,-0.05131,-0.01161
18,1434128876350,-0.01031,-0.04417,-0.03038
19,1434128876352,-0.02700,-0.03534,-0.04306
20,1434128876391,-0.03019,-0.02202,-0.06179
21,1434128876393,-0.04290,-0.00824,-0.04318
22,1434128876435,-0.03432,-0.00034,-0.00408
23,1434128876437,-0.01808,-0.02215,0.16158
24,1434128876440,0.00038,-0.01147,-0.11214
25,1434128876485,-0.01454,-0.00605,0.02669
26,1434128876488,-0.01476,-0.02906,0.01823
27,1434128876533,0.00069,-0.01075,-0.00651
28,1434128876535,-0.00570,0.00312,-0.01771
29,1434128876539,-0.00456,0.00562,-0.01417
30,1434128876583,0.01120,0.01700,-0.00821
31,1434128876584,0.02771,0.01360,-0.02532
32,1434128876637,0.04326,0.02260,-0.02885
33,1434128876640,0.06195,0.02433,-0.01683
34,1434128876642,0.06206,0.01946,-0.00487
35,1434128876676,0.05902,0.01557,0.00236
36,1434128876677,0.05894,0.00308,-0.00124
37,1434128876738,0.05028,-0.00066,-0.01896
38,1434128876738,0.05585,0.00572,-0.02454
39,1434128876739,0.04468,0.00145,-0.02276
40,1434128876779,0.02949,-0.00743,-0.01821
41,1434128876782,0.00484,-0.02157,-0.00519
42,1434128876823,-0.01409,-0.03210,-0.00103
43,1434128876823,-0.02612,-0.03193,0.00777
44,1434128876824,-0.03340,-0.04117,0.00622
45,1434128876876,-0.04547,-0.04153,0.01122
46,1434128876878,-0.05434,-0.04572,0.03320
47,1434128876931,-0.05285,-0.04908,0.04843
48,1434128876933,-0.02978,-0.04551,0.03875
49,1434128876934,-0.01132,-0.04188,0.01225
50,1434128876978,-0.00359,-0.03350,-0.00505
51,1434128876980,-0.01772,-0.02680,0.00534
52,1434128877025,-0.03292,-0.01597,0.01599
53,1434128877026,-0.01696,-0.00028,0.03154
54,1434128877027,-0.01045,0.01853,0.04008
55,1434128877071,0.00727,0.02654,0.04144
56,1434128877072,0.02066,0.03686,0.03002
57,1434128877121,0.02903,0.03808,0.02402
58,1434128877122,0.03494,0.03359,0.01922
59,1434128877123,0.03108,0.03000,0.02162
60,1434128877173,0.03736,0.03650,0.01730
61,1434128877177,0.03926,0.04404,0.01071
62,1434128877219,0.03688,0.05086,0.01170
63,1434128877219,0.02950,0.04694,0.01561
64,1434128877220,0.02048,0.04380,0.01249
65,1434128877271,0.01951,0.03191,0.00686
66,1434128877272,0.01873,0.01928,-0.00076
67,1434128877320,0.00639,0.01230,-0.00373
68,1434128877324,0.00199,-0.00266,-0.00611
69,1434128877325,-0.02575,-0.00213,-0.00489
70,1434128877367,-0.04248,-0.01342,0.00546
71,1434128877369,-0.04570,-0.02011,0.00125
72,1434128877418,-0.03109,-0.03171,-0.02635
73,1434128877420,-0.02800,-0.04022,-0.04842
74,1434128877421,-0.04974,-0.05092,-0.03014
75,1434128877465,-0.06089,-0.06496,-0.00224
76,1434128877467,-0.13152,-0.04572,0.01930
77,1434128877512,-0.18100,-0.09438,0.05216
78,1434128877519,-0.09324,-0.10285,-0.00437
79,1434128877520,0.00510,-0.08853,-0.09490
80,1434128877563,0.01345,-0.09270,-0.06967
81,1434128877564,-0.01736,-0.11010,-0.00417
82,1434128877604,-0.02248,-0.11620,0.01854
83,1434128877608,0.00311,-0.08984,-0.01876
84,1434128877609,0.02358,-0.06249,-0.04861
85,1434128877653,0.01339,-0.04687,-0.04513
86,1434128877653,-0.01116,-0.03750,-0.02673
87,1434128877705,-0.01518,-0.02062,0.00596
88,1434128877707,0.00973,-0.00165,0.01961
89,1434128877708,0.02888,0.02915,0.02506
90,1434128877759,0.04420,0.04832,0.03255
91,1434128877761,0.05098,0.06287,0.02604
92,1434128877803,0.04704,0.05967,0.03255
93,1434128877804,0.04388,0.05633,0.01745
94,1434128877805,0.04682,0.04507,-0.00167
95,1434128877857,0.04058,0.03918,-0.02555
96,1434128877858,0.02309,0.02822,-0.02669
97,1434128877905,0.00363,0.01398,-0.01510
98,1434128877907,-0.00335,-0.00132,-0.01833
99,1434128877908,-0.00580,-0.01043,-0.03029
100,1434128877950,0.00161,-0.00834,-0.04220
101,1434128877953,-0.00809,-0.00355,-0.03689
102,1434128878000,-0.02444,0.01591,-0.00842
103,1434128878002,-0.05315,0.03070,0.02374
104,1434128878004,-0.03939,0.03940,0.04399
105,1434128878050,0.02630,0.05965,0.01644
106,1434128878053,0.06948,0.06881,-0.02591
107,1434128878104,0.06496,0.07302,-0.03323
108,1434128878105,0.04259,0.06779,-0.01408
109,1434128878107,0.02548,0.06048,0.00045
110,1434128878145,0.01101,0.07260,0.02458
111,1434128878148,0.00256,0.07058,0.03529
112,1434128878198,-0.00733,0.07131,0.04308
113,1434128878199,-0.01133,0.07580,0.06259
114,1434128878200,-0.00594,0.06064,0.06179
115,1434128878248,-0.01100,0.03914,0.05568
116,1434128878250,-0.00255,0.01881,0.04142
117,1434128878297,-0.00829,-0.00605,0.02689
118,1434128878299,-0.01601,-0.03218,0.01604
119,1434128878302,-0.02531,-0.04996,0.01283
120,1434128878338,-0.02337,-0.06185,0.00714
121,1434128878388,-0.02729,-0.05807,0.00571
122,1434128878389,-0.03121,-0.04958,0.00457
123,1434128878390,-0.03434,-0.04279,0.00053
124,1434128878391,-0.03294,-0.03423,-0.00270
125,1434128878433,-0.02635,-0.03364,-0.01154
126,1434128878434,-0.01874,-0.02066,-0.01548
127,1434128878485,-0.00249,-0.01340,-0.01863
128,1434128878485,0.01363,-0.00447,-0.01178
129,1434128878486,0.01637,-0.00123,-0.01489
130,1434128878533,0.01935,-0.00646,-0.03066
131,1434128878534,0.02173,-0.00829,-0.04250
132,1434128878584,0.01426,-0.01601,-0.04338
133,1434128878586,0.00203,-0.01906,-0.03470
134,1434128878587,0.00475,-0.03009,-0.02151
135,1434128878628,0.00068,-0.03345,-0.01408
136,1434128878628,-0.00493,-0.02988,-0.00814
137,1434128878682,-0.01332,-0.03641,-0.00417
138,1434128878685,-0.00753,-0.04084,-0.00334
139,1434128878686,-0.00290,-0.03267,0.00046
140,1434128878736,0.00940,-0.03239,-0.00276
141,1434128878738,0.02315,-0.02591,0.00404
142,1434128878778,0.02789,-0.01760,0.00948
143,1434128878782,0.02778,-0.01408,0.01384
144,1434128878783,0.01910,-0.00502,0.02357
145,1434128878831,0.01528,-0.00401,0.02745
146,1434128878836,0.01847,-0.00009,0.01883
147,1434128878872,0.02103,0.00540,0.02444
148,1434128878875,0.01995,0.00432,0.02268
149,1434128878877,0.02533,0.00111,0.03924
150,1434128878922,0.02652,-0.00849,0.03764
151,1434128878925,0.02668,-0.01616,0.02386
152,1434128878970,0.02135,-0.00668,0.01596
153,1434128878970,0.01708,-0.01159,0.02840
154,1434128879021,0.00507,-0.02724,0.02272
155,1434128879029,-0.01157,-0.03430,0.01505
156,1434128879029,-0.01238,-0.03056,-0.00046
157,1434128879071,-0.00991,-0.03382,-0.01209
158,1434128879073,-0.01105,-0.03565,-0.01280
159,1434128879120,-0.01196,-0.04102,-0.00711
160,1434128879122,-0.01817,-0.04219,-0.00881
161,1434128879123,-0.01141,-0.03688,-0.01955
162,1434128879170,-0.00678,-0.03185,-0.02189
163,1434128879171,0.01332,-0.02001,-0.02611
164,1434128879217,0.02003,-0.00351,-0.00917
165,1434128879220,0.02150,0.00657,0.00517
166,1434128879223,0.01720,-0.00099,0.01351
167,1434128879265,0.00204,-0.00705,0.01081
168,1434128879267,-0.01712,-0.01501,0.01177
169,1434128879313,-0.01682,-0.00888,0.00942
170,1434128879315,-0.01346,-0.01023,-0.00184
171,1434128879315,-0.02561,-0.02615,-0.00460
172,1434128879377,-0.04783,-0.04514,0.00257
173,1434128879378,-0.07186,-0.06971,-0.00419
174,1434128879416,-0.08171,-0.08311,-0.00023
175,1434128879418,-0.07474,-0.08524,-0.00643
176,1434128879420,-0.05042,-0.06507,0.00110
177,1434128879456,-0.03486,-0.04893,0.00401
178,1434128879459,-0.00289,-0.02664,0.01258
179,1434128879513,0.02191,0.00603,-0.00244
180,1434128879514,0.03549,0.02904,-0.00820
181,1434128879517,0.04714,0.04120,-0.01593
182,1434128879559,0.03459,0.04859,-0.02134
183,1434128879562,0.03392,0.05684,-0.02020
184,1434128879606,0.03261,0.05797,-0.01928
185,1434128879606,0.03546,0.05888,0.00254
186,1434128879608,0.02837,0.06195,0.01453
187,1434128879655,0.02582,0.06518,0.01475
188,1434128879657,0.03003,0.05214,0.01805
189,1434128879708,0.03027,0.04172,0.01757
190,1434128879710,0.02109,0.02400,0.02265
191,1434128879713,0.01063,0.00670,0.01812
192,1434128879754,0.00538,-0.01574,0.00590
193,1434128879756,-0.01679,-0.03681,-0.00778
194,1434128879802,-0.04703,-0.05679,-0.01560
195,1434128879804,-0.09309,-0.07903,-0.04607
196,1434128879806,-0.09557,-0.07885,-0.05170
197,1434128879854,-0.06083,-0.05683,-0.01089
198,1434128879858,-0.02132,-0.03374,0.02800
199,1434128879901,0.00404,-0.01762,0.03725
200,1434128879902,0.01886,0.00153,0.02355
201,1434128879904,0.02055,0.01919,0.00712
202,1434128879951,0.02894,0.03098,0.00257
