index,time,xAxis,yAxis,zAxis
0,1434128876002,0.00177,0.00023,-0.00253
1,1434128876003,-0.00026,0.00303,-0.00017
2,1434128876003,-0.00166,0.00516,0.00097
3,1434128876028,-0.00289,0.00408,0.00085
4,1434128876044,-0.00171,-0.00075,-0.00109
5,1434128876060,0.00065,-0.00462,0.00084
6,1434128876075,0.00252,-0.00621,-0.00184
7,1434128876106,0.00208,-0.00232,0.00082
8,1434128876121,-0.00000,0.00335,-0.00170
9,1434128876138,-0.00274,0.00414,0.00119
10,1434128876169,-0.00248,0.00488,-0.00144
11,1434128876184,-0.00077,0.00269,0.00025
12,1434128876201,0.00130,-0.00283,-0.00082
13,1434128876218,-0.00036,-0.00669,0.00300
14,1434128876248,0.00306,-0.00335,0.00095
15,1434128876263,0.00280,0.00133,0.00040
16,1434128876280,0.00150,0.00382,-0.00021
17,1434128876313,-0.00052,0.00319,-0.00031
18,1434128876328,-0.00182,0.00055,0.00056
19,1434128876343,-0.00250,0.00051,-0.00051
20,1434128876358,-0.00252,0.00093,0.00108
21,1434128876389,-0.00284,-0.00275,-0.00182
22,1434128876405,0.00012,-0.00258,-0.00026
23,1434128876421,0.00387,-0.00006,-0.00147
24,1434128876453,0.00529,0.00026,0.00022
25,1434128876468,0.00080,0.00021,0.00102
26,1434128876483,-0.00034,0.00017,0.00087
27,1434128876500,-0.00175,-0.00135,-0.00025
28,1434128876530,-0.00148,0.00076,-0.00149
29,1434128876546,-0.00038,0.00101,0.00001
30,1434128876564,-0.00080,0.00130,0.00001
31,1434128876593,0.00061,-0.00008,0.00144
32,1434128876609,0.00107,0.00079,0.00030
33,1434128876625,0.00081,-0.00035,0.00020
34,1434128876641,0.00011,-0.00175,-0.00038
35,1434128876670,-0.00111,-0.00029,-0.00030
36,1434128876688,-0.00049,-0.00063,-0.00024
37,1434128876703,-0.00115,0.00150,-0.00019
38,1434128876733,0.00051,0.00152,-0.00016
39,1434128876749,-0.00045,0.00064,-0.00012
40,1434128876765,0.00063,-0.00048,-0.00010
41,1434128876783,0.00050,-0.00038,0.00131
42,1434128876811,0.00040,-0.00031,0.00096
43,1434128876827,0.00032,-0.00024,-0.00053
44,1434128876844,-0.00098,-0.00020,0.00081
45,1434128876875,-0.00111,-0.00016,-0.00059
46,1434128876891,-0.00032,0.00044,0.00010
47,1434128876907,0.00074,0.00034,0.00107
48,1434128876928,-0.00087,-0.00028,0.00086
49,1434128876955,-0.00046,-0.00179,-0.00054
50,1434128876970,0.00086,-0.00064,0.00079
51,1434128876984,0.00069,0.00149,0.00063
52,1434128877019,0.00043,-0.00004,-0.00094
53,1434128877031,-0.00054,-0.00003,0.00014
54,1434128877048,0.00057,-0.00002,0.00011
55,1434128877064,-0.00100,-0.00002,-0.00080
56,1434128877094,-0.00057,-0.00002,-0.00042
57,1434128877109,0.00077,-0.00080,0.00089
58,1434128877125,0.00062,-0.00018,-0.00176
59,1434128877158,-0.00096,0.00018,0.00106
60,1434128877172,0.00068,0.00015,0.00085
61,1434128877188,-0.00046,0.00012,0.00068
62,1434128877204,0.00053,-0.00136,-0.00091
63,1434128877236,-0.00103,0.00037,-0.00050
64,1434128877251,-0.00082,0.00108,0.00005
65,1434128877268,-0.00066,0.00042,-0.00075
66,1434128877298,-0.00042,-0.00001,0.00220
67,1434128877314,0.00057,-0.00000,-0.00260
68,1434128877329,0.00144,-0.00200,-0.00009
69,1434128877345,0.00228,0.00015,-0.00038
70,1434128877376,-0.00006,0.00004,-0.00134
71,1434128877395,-0.00129,-0.00044,0.00064
72,1434128877412,0.00018,0.00045,-0.00028
73,1434128877439,-0.00097,0.00036,-0.00032
74,1434128877456,0.00069,0.00028,-0.00064
75,1434128877470,-0.00044,0.00023,0.00252
76,1434128877486,-0.00092,0.00018,-0.00171
77,1434128877518,0.00082,-0.00017,-0.00175
78,1434128877533,0.00066,-0.00062,0.00408
79,1434128877552,0.00053,0.00030,-0.00357
80,1434128877581,0.00033,0.00015,0.00153
81,1434128877598,-0.00121,-0.00082,-0.00025
82,1434128877612,-0.00097,0.00038,-0.00020
83,1434128877627,0.00065,-0.00113,-0.00159
84,1434128877658,0.00066,0.00053,0.00422
85,1434128877674,0.00053,-0.00034,-0.00064
86,1434128877690,-0.00078,-0.00108,-0.00092
87,1434128877721,0.00058,0.00070,-0.00029
88,1434128877739,0.00046,0.00056,0.00072
89,1434128877758,-0.00060,0.00045,-0.00046
90,1434128877768,-0.00107,0.00036,0.00105
91,1434128877799,-0.00056,-0.00067,0.00068
92,1434128877815,0.00082,0.00124,0.00003
93,1434128877832,0.00065,0.00017,-0.00035
94,1434128877862,0.00052,0.00014,-0.00065
95,1434128877878,0.00042,0.00064,-0.00052
96,1434128877897,-0.00064,0.00058,-0.00042
97,1434128877909,-0.00110,-0.00013,-0.00033
98,1434128877944,-0.00088,0.00086,0.00003
99,1434128877956,0.00004,-0.00110,0.00129
100,1434128877973,0.00085,-0.00006,-0.00134
101,1434128878003,0.00217,0.00003,-0.00019
102,1434128878020,0.00025,0.00100,0.00082
103,1434128878037,-0.00076,-0.00025,-0.00135
104,1434128878051,0.00019,-0.00161,0.00113
105,1434128878084,0.00031,0.00012,-0.00006
106,1434128878103,-0.00049,-0.00064,0.00197
107,1434128878112,-0.00005,-0.00018,0.00007
108,1434128878144,0.00036,0.00026,0.00075
109,1434128878160,0.00029,0.00021,-0.00038
110,1434128878176,0.00023,0.00017,-0.00022
111,1434128878195,0.00018,0.00013,-0.00078
112,1434128878223,-0.00014,0.00138,-0.00062
113,1434128878238,-0.00139,-0.00017,-0.00050
114,1434128878254,0.00007,0.00105,-0.00040
115,1434128878286,0.00037,-0.00034,-0.00025
116,1434128878300,-0.00120,-0.00028,0.00130
117,1434128878317,-0.00096,0.00073,-0.00086
118,1434128878334,0.00062,-0.00159,0.00087
119,1434128878367,0.00013,-0.00032,-0.00053
120,1434128878383,-0.00106,-0.00084,-0.00042
121,1434128878395,-0.00031,0.00018,-0.00034
122,1434128878428,0.00088,0.00019,-0.00023
123,1434128878444,-0.00033,0.00069,0.00085
124,1434128878459,0.00081,-0.00066,-0.00039
125,1434128878474,-0.00074,0.00010,-0.00170
126,1434128878505,-0.00077,-0.00121,0.00002
127,1434128878524,-0.00061,0.00032,-0.00069
128,1434128878536,0.00066,0.00026,0.00090
129,1434128878573,0.00094,0.00021,0.00002
130,1434128878583,0.00075,0.00017,0.00154
131,1434128878602,-0.00032,0.00013,0.00123
132,1434128878617,-0.00090,0.00011,-0.00039
133,1434128878648,0.00085,0.00008,-0.00050
134,1434128878663,0.00068,0.00007,0.00030
135,1434128878680,0.00054,-0.00110,-0.00005
136,1434128878710,-0.00113,0.00027,-0.00045
137,1434128878725,-0.00091,0.00022,-0.00036
138,1434128878740,0.00020,0.00018,-0.00029
139,1434128878755,-0.00057,0.00014,0.00114
140,1434128878787,0.00066,0.00011,-0.00046
141,1434128878806,-0.00009,0.00009,-0.00037
142,1434128878821,-0.00034,0.00007,-0.00029
143,1434128878850,0.00087,0.00006,0.00130
144,1434128878867,0.00070,0.00005,-0.00002
145,1434128878880,0.00056,0.00004,0.00015
146,1434128878898,-0.00092,0.00003,0.00085
147,1434128878929,-0.00068,0.00002,0.00087
148,1434128878944,0.00077,0.00002,-0.00000
149,1434128878960,0.00061,0.00002,-0.00087
150,1434128878992,0.00049,0.00153,0.00087
151,1434128879017,0.00039,-0.00186,0.00022
152,1434128879026,0.00031,-0.00057,0.00001
153,1434128879038,0.00025,0.00019,0.00202
154,1434128879068,0.00020,0.00015,-0.00132
155,1434128879084,0.00016,0.00012,-0.00105
156,1434128879103,0.00013,0.00010,0.00030
157,1434128879131,0.00008,0.00008,-0.00090
158,1434128879150,-0.00148,0.00053,-0.00025
159,1434128879164,-0.00026,0.00060,-0.00003
160,1434128879179,0.00044,-0.00016,-0.00067
161,1434128879210,0.00142,0.00011,-0.00029
162,1434128879225,-0.00150,0.00002,0.00040
163,1434128879244,-0.00120,-0.00172,0.00058
164,1434128879272,-0.00096,0.00019,0.00087
165,1434128879291,-0.00077,0.00061,-0.00085
166,1434128879306,-0.00061,0.00068,0.00024
167,1434128879320,-0.00049,-0.00011,-0.00187
168,1434128879354,-0.00039,-0.00009,0.00100
169,1434128879376,0.00029,-0.00007,0.00006
170,1434128879382,0.00119,-0.00006,0.00207
171,1434128879414,0.00095,-0.00004,-0.00096
172,1434128879431,0.00031,0.00042,0.00078
173,1434128879446,-0.00086,0.00054,-0.00118
174,1434128879460,-0.00069,-0.00023,0.00043
175,1434128879493,0.00101,-0.00041,-0.00167
176,1434128879508,0.00013,-0.00099,0.00132
177,1434128879523,0.00034,0.00010,-0.00072
178,1434128879555,0.00072,0.00008,-0.00058
179,1434128879572,0.00057,0.00006,-0.00046
180,1434128879588,0.00046,0.00005,-0.00037
181,1434128879604,-0.00098,0.00004,-0.00029
182,1434128879635,0.00034,0.00003,0.00133
183,1434128879650,-0.00107,0.00003,0.00039
184,1434128879668,-0.00086,0.00002,-0.00058
185,1434128879681,-0.00069,-0.00154,0.00110
186,1434128879712,0.00057,0.00033,-0.00068
187,1434128879730,0.00022,-0.00062,0.00034
188,1434128879744,-0.00048,0.00015,0.00095
189,1434128879776,0.00074,-0.00099,-0.00059
190,1434128879792,-0.00009,0.00055,0.00088
191,1434128879805,-0.00029,0.00044,-0.00041
192,1434128879823,0.00081,0.00035,0.00071
193,1434128879855,0.00072,0.00028,0.00064
194,1434128879869,0.00058,0.00023,0.00051
195,1434128879885,0.00046,0.00018,0.00041
196,1434128879918,0.00037,0.00014,-0.00123
197,1434128879934,0.00030,0.00012,-0.00099
198,1434128879948,0.00024,0.00009,-0.00079
199,1434128879964,-0.00135,0.00007,-0.00063
200,1434128879994,0.00046,0.00006,-0.00051
201,1434128880009,-0.00052,0.00005,-0.00040
202,1434128880025,-0.00109,0.00004,-0.00032
203,1434128880056,0.00047,0.00003,-0.00004
204,1434128880073,-0.00097,0.00002,0.00131
205,1434128880091,-0.00078,0.00002,-0.00005
206,1434128880104,0.00093,0.00002,0.00105
207,1434128880144,0.00033,0.00001,-0.00071
208,1434128880150,-0.00087,0.00001,-0.00057
209,1434128880167,-0.00070,0.00001,-0.00046
210,1434128880198,-0.00035,0.00001,-0.00037
211,1434128880212,0.00107,-0.00066,-0.00029
212,1434128880228,0.00086,-0.00033,0.00087
213,1434128880244,-0.00087,0.00020,-0.00040
214,1434128880278,0.00086,0.00016,0.00124
215,1434128880290,0.00069,0.00013,0.00011
216,1434128880307,0.00055,-0.00123,0.00073
217,1434128880338,0.00044,0.00035,-0.00074
218,1434128880354,-0.00030,0.00028,-0.00059
219,1434128880371,-0.00005,0.00022,-0.00048
220,1434128880390,-0.00112,0.00018,-0.00038
221,1434128880417,-0.00092,-0.00099,0.00126
222,1434128880432,-0.00073,0.00034,-0.00074
223,1434128880449,-0.00059,0.00027,-0.00065
224,1434128880481,0.00110,0.00022,-0.00028
225,1434128880495,0.00088,0.00017,-0.00022
226,1434128880512,-0.00039,0.00014,-0.00126
227,1434128880528,0.00075,0.00011,0.00005
228,1434128880559,-0.00094,0.00009,0.00121
229,1434128880579,-0.00075,-0.00080,-0.00018
230,1434128880590,-0.00060,-0.00002,-0.00014
231,1434128880624,-0.00029,0.00024,-0.00011
232,1434128880638,0.00114,0.00019,-0.00009
233,1434128880653,-0.00013,0.00015,0.00097
234,1434128880669,0.00091,0.00012,-0.00177
235,1434128880699,0.00076,0.00010,0.00050
236,1434128880717,0.00061,0.00008,0.00069
237,1434128880730,-0.00082,0.00137,0.00115
238,1434128880763,0.00046,-0.00040,0.00100
239,1434128880779,-0.00037,-0.00106,-0.00058
240,1434128880793,0.00063,0.00008,-0.00046
241,1434128880808,0.00051,0.00006,-0.00037
242,1434128880841,-0.00116,0.00121,0.00127
243,1434128880856,-0.00093,-0.00019,0.00016
244,1434128880873,-0.00074,-0.00015,0.00072
245,1434128880904,0.00079,-0.00012,0.00066
246,1434128880918,-0.00012,-0.00010,-0.00023
247,1434128880934,0.00084,-0.00008,-0.00032
248,1434128880951,-0.00085,-0.00006,-0.00075
249,1434128880981,-0.00072,-0.00045,-0.00019
250,1434128880998,-0.00058,0.00018,0.00015
251,1434128881013,-0.00046,0.00027,0.00071
252,1434128881045,0.00101,-0.00143,0.00083
253,1434128881060,-0.00057,0.00024,0.00004
254,1434128881075,-0.00046,0.00019,-0.00091
255,1434128881090,0.00115,0.00015,0.00079
256,1434128881121,-0.00060,-0.00104,-0.00048
257,1434128881137,0.00038,0.00033,-0.00008
258,1434128881157,-0.00029,0.00026,-0.00077
259,1434128881185,0.00089,0.00021,0.00076
260,1434128881200,-0.00004,0.00017,-0.00077
261,1434128881215,0.00090,0.00013,-0.00062
262,1434128881233,-0.00081,0.00011,-0.00049
263,1434128881268,0.00048,0.00009,-0.00080
264,1434128881278,-0.00078,0.00007,-0.00010
265,1434128881295,0.00068,-0.00124,0.00005
266,1434128881326,-0.00058,0.00012,-0.00023
267,1434128881341,0.00030,-0.00005,-0.00018
268,1434128881358,0.00036,0.00079,-0.00014
269,1434128881372,-0.00072,0.00164,0.00140
270,1434128881405,-0.00024,-0.00059,-0.00039
271,1434128881420,0.00098,-0.00080,-0.00032
272,1434128881438,0.00079,-0.00121,-0.00025
273,1434128881467,0.00046,0.00032,0.00119
274,1434128881483,-0.00103,0.00026,0.00018
275,1434128881502,-0.00082,0.00021,0.00003
276,1434128881514,0.00085,0.00017,0.00102
277,1434128881548,0.00074,-0.00026,0.00049
278,1434128881561,0.00059,-0.00138,0.00005
279,1434128881577,-0.00081,0.00018,-0.00051
280,1434128881609,-0.00077,-0.00098,0.00087
281,1434128881634,0.00079,0.00062,0.00009
282,1434128881638,-0.00042,0.00050,-0.00088
283,1434128881657,0.00065,-0.00111,-0.00071
284,1434128881687,0.00058,0.00062,-0.00057
285,1434128881713,-0.00037,0.00049,-0.00045
286,1434128881718,0.00025,0.00167,-0.00164
287,1434128881748,0.00033,0.00006,0.00153
288,1434128881764,-0.00114,0.00005,0.00062
289,1434128881781,-0.00091,0.00004,-0.00046
290,1434128881799,0.00077,0.00003,-0.00037
291,1434128881828,0.00068,-0.00036,-0.00030
292,1434128881851,-0.00028,-0.00064,-0.00024
293,1434128881859,-0.00096,0.00022,0.00108
294,1434128881897,0.00079,0.00018,-0.00041
295,1434128881905,0.00064,0.00014,-0.00032
296,1434128881920,-0.00054,0.00011,-0.00026
297,1434128881936,0.00055,-0.00141,-0.00021
298,1434128881968,0.00051,0.00037,0.00021
299,1434128881985,-0.00042,0.00030,0.00053
300,1434128881999,0.00019,0.00024,-0.00032
301,1434128882034,0.00045,0.00019,-0.00025
302,1434128882046,-0.00024,0.00015,0.00039
303,1434128882063,-0.00116,0.00012,0.00128
304,1434128882079,-0.00093,0.00010,0.00103
305,1434128882109,-0.00037,0.00045,-0.00037
306,1434128882125,0.00008,0.00073,0.00007
307,1434128882141,-0.00068,-0.00016,0.00058
308,1434128882173,-0.00055,-0.00013,0.00047
309,1434128882190,-0.00044,-0.00010,-0.00126
310,1434128882203,0.00069,-0.00112,-0.00012
311,1434128882221,-0.00041,-0.00142,-0.00210
312,1434128882250,0.00079,0.00162,-0.00139
313,1434128882268,-0.00056,0.00010,0.00008
314,1434128882285,-0.00045,0.00008,0.00133
315,1434128882314,-0.00036,0.00007,-0.00006
316,1434128882336,0.00029,0.00005,0.00079
317,1434128882344,0.00122,0.00004,0.00068
318,1434128882362,0.00097,0.00003,0.00108
319,1434128882393,-0.00043,0.00003,-0.00191
320,1434128882406,0.00087,0.00002,-0.00032
321,1434128882428,0.00069,-0.00122,-0.00025
322,1434128882455,0.00055,0.00026,0.00136
323,1434128882474,-0.00013,0.00021,0.00109
324,1434128882485,-0.00007,-0.00086,-0.00118
325,1434128882503,0.00048,0.00024,-0.00055
326,1434128882535,0.00039,-0.00005,0.00122
327,1434128882550,0.00031,-0.00126,0.00019
328,1434128882564,-0.00099,0.00023,-0.00063
329,1434128882595,0.00045,0.00051,-0.00050
330,1434128882612,0.00036,0.00041,-0.00040
331,1434128882627,-0.00073,0.00032,-0.00032
332,1434128882643,-0.00113,0.00026,-0.00026
333,1434128882674,-0.00091,0.00021,0.00102
334,1434128882689,-0.00072,-0.00062,-0.00041
335,1434128882708,0.00186,-0.00127,0.00089
