index,time,xAxis,yAxis,zAxis
0,1434128876007,0.07552,0.05990,-0.05691
1,1434128876010,0.01120,-0.01927,0.10447
2,1434128876011,-0.01839,-0.05526,0.13827
3,1434128876039,-0.03893,-0.05983,0.08874
4,1434128876040,-0.05224,-0.04787,-0.01729
5,1434128876087,-0.06366,-0.01329,-0.05914
6,1434128876091,0.00454,0.01046,-0.01997
7,1434128876093,0.03410,0.02634,-0.00426
8,1434128876187,-0.00006,0.00935,-0.01825
9,1434128876192,0.00307,-0.00189,0.01587
10,1434128876195,-0.01004,-0.02573,0.03379
11,1434128876197,-0.01741,-0.03621,0.04891
12,1434128876234,-0.02565,-0.06569,0.05084
13,1434128876239,-0.06036,-0.05489,0.03208
14,1434128876244,-0.05141,-0.09626,0.06160
15,1434128876288,0.00184,-0.05826,0.11334
16,1434128876293,0.00381,-0.03489,0.04224
17,1434128876294,0.01868,0.03303,-0.03652
18,1434128876338,-0.02490,0.09048,-0.10578
19,1434128876349,-0.07148,0.09739,-0.12681
20,1434128876351,-0.06656,0.08650,-0.09286
21,1434128876385,-0.02591,0.08170,-0.07428
22,1434128876388,-0.04807,-0.01979,0.02026
23,1434128876430,0.01311,0.02948,0.04043
24,1434128876433,0.01049,0.03921,-0.08328
25,1434128876434,-0.05567,0.03996,-0.17991
26,1434128876479,-0.08985,0.02962,-0.11893
27,1434128876481,-0.09922,0.00495,-0.03420
28,1434128876537,-0.11297,0.00708,-0.00627
29,1434128876541,-0.09038,0.02364,-0.02298
30,1434128876543,-0.01137,0.05250,-0.07386
31,1434128876578,0.01513,0.05763,-0.10752
32,1434128876581,-0.03946,0.04610,-0.11961
33,1434128876634,-0.08704,0.04313,-0.08631
34,1434128876636,-0.09697,0.04310,-0.06671
35,1434128876638,-0.08383,0.04698,-0.05337
36,1434128876672,-0.05144,0.06493,-0.05754
37,1434128876673,-0.03178,0.07069,-0.05228
38,1434128876737,-0.03792,0.05968,-0.05432
39,1434128876740,-0.00924,0.05634,-0.05205
40,1434128876740,-0.01911,0.04194,-0.05102
41,1434128876773,-0.04576,0.03668,-0.03769
42,1434128876780,-0.06395,0.02934,-0.02390
43,1434128876818,-0.06366,0.00863,-0.01287
44,1434128876819,-0.06343,-0.01497,-0.01030
45,1434128876821,-0.05387,-0.02369,-0.00824
46,1434128876872,-0.03372,-0.01583,-0.00425
47,1434128876877,-0.03948,-0.02516,0.00598
48,1434128876929,-0.04955,-0.02638,0.00791
49,1434128876932,-0.04901,-0.03595,0.01258
50,1434128876935,-0.02984,-0.04126,0.01006
51,1434128876977,-0.00278,-0.02363,0.00805
52,1434128876979,0.00403,-0.01891,0.00331
53,1434128877025,0.00322,-0.01512,0.00578
54,1434128877027,-0.00055,-0.02460,0.01712
55,1434128877028,0.00269,-0.01030,0.02542
56,1434128877071,0.01153,0.00113,0.02033
57,1434128877073,0.02172,0.00637,-0.00170
58,1434128877113,0.01738,0.01135,-0.02011
59,1434128877119,-0.00797,0.00595,-0.01296
60,1434128877121,-0.01810,0.02664,0.00525
61,1434128877170,-0.01213,0.02990,0.00108
62,1434128877175,0.00592,0.04267,-0.00539
63,1434128877213,0.02036,0.06148,-0.02228
64,1434128877216,0.01629,0.06481,-0.03032
65,1434128877217,0.00990,0.05732,-0.03051
66,1434128877269,0.00480,0.05210,-0.01503
67,1434128877270,0.00384,0.04793,-0.00578
68,1434128877319,-0.00005,0.05085,-0.01087
69,1434128877323,-0.00004,0.03755,-0.01495
70,1434128877324,-0.00003,0.04489,-0.01196
71,1434128877365,-0.01878,0.05466,-0.01269
72,1434128877369,-0.04237,0.08045,0.00235
73,1434128877408,-0.06749,0.09795,0.01360
74,1434128877415,-0.09383,0.07524,0.03275
75,1434128877417,-0.08053,0.05081,0.05980
76,1434128877462,-0.04958,0.05862,0.08143
77,1434128877469,-0.01232,0.08674,0.06514
78,1434128877509,-0.03095,0.08189,0.02712
79,1434128877513,-0.10445,-0.00792,0.02482
80,1434128877516,-0.08356,-0.05790,0.05657
81,1434128877562,-0.03325,0.00212,0.05463
82,1434128877565,0.02262,0.01732,0.04996
83,1434128877607,0.00559,-0.01974,0.02122
84,1434128877610,-0.01974,-0.01892,0.00213
85,1434128877611,0.00842,0.03643,0.01030
86,1434128877649,0.02549,0.03227,0.02699
87,1434128877652,0.05711,0.03831,0.03956
88,1434128877704,0.03944,0.05487,-0.01054
89,1434128877709,-0.04501,0.07124,-0.05453
90,1434128877710,-0.03601,0.05074,-0.01003
91,1434128877759,-0.01943,0.04997,0.02245
92,1434128877760,-0.00617,0.04935,0.01171
93,1434128877803,-0.02681,0.01760,-0.01485
94,1434128877809,-0.07301,-0.01951,-0.02751
95,1434128877810,-0.05216,-0.05467,-0.00951
96,1434128877856,-0.01751,-0.06249,0.01661
97,1434128877858,0.05318,-0.07108,0.03829
98,1434128877903,0.08786,-0.11468,0.00563
99,1434128877909,0.05857,-0.15346,-0.05331
100,1434128877910,0.01638,-0.16183,-0.10671
101,1434128877949,0.10764,-0.17243,-0.07599
102,1434128877952,0.20799,-0.14732,0.00327
103,1434128877997,0.20311,-0.13583,-0.01301
104,1434128878006,0.12264,-0.12429,-0.06509
105,1434128878007,0.11686,-0.12677,-0.07629
106,1434128878052,0.10208,-0.14126,-0.09463
107,1434128878054,-0.00661,-0.12785,-0.03352
108,1434128878100,-0.06623,-0.08431,0.02866
109,1434128878106,-0.06548,-0.06745,0.01355
110,1434128878107,0.08511,-0.02662,0.00459
111,1434128878144,0.01028,-0.00879,-0.05102
112,1434128878150,0.07541,0.01171,-0.10175
113,1434128878151,0.21267,0.10078,-0.05093
114,1434128878193,0.24045,0.11969,0.10847
115,1434128878199,0.19236,0.08715,0.24537
116,1434128878240,0.23592,0.00254,0.32755
117,1434128878249,0.11608,-0.05032,0.16751
118,1434128878251,-0.03526,-0.04260,-0.05193
