index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.000,0.004,0.000,1434119154
2,20150612,0.000,0.002,0.000,1434119155
3,20150612,0.001,0.004,0.000,1434119156
4,20150612,0.001,0.002,0.000,1434119157
5,20150612,0.003,0.008,0.000,1434119158
6,20150612,0.004,0.014,0.000,1434119159
7,20150612,0.003,0.011,0.000,1434119160
8,20150612,0.009,0.004,0.000,1434119161
9,20150612,0.014,0.005,0.000,1434119162
10,20150612,0.003,0.004,0.000,1434119163
11,20150612,0.003,0.004,0.000,1434119164
12,20150612,0.013,0.003,0.000,1434119165
13,20150612,0.009,0.002,0.000,1434119166
14,20150612,0.004,0.003,0.000,1434119167
15,20150612,0.024,0.003,0.000,1434119168
16,20150612,0.013,0.022,0.000,1434119169
17,20150612,0.011,0.018,0.000,1434119170
18,20150612,0.010,0.028,0.000,1434119171
19,20150612,0.014,0.022,0.000,1434119172
20,20150612,0.003,0.024,0.000,1434119173
21,20150612,0.003,0.017,0.000,1434119174
22,20150612,0.002,0.035,0.000,1434119175
23,20150612,0.001,0.025,0.000,1434119176
24,20150612,0.001,0.029,0.000,1434119177
25,20150612,0.007,0.018,0.000,1434119178
26,20150612,0.004,0.017,0.000,1434119179
27,20150612,0.004,0.014,0.000,1434119180
28,20150612,0.002,0.010,0.000,1434119181
29,20150612,0.001,0.010,0.000,1434119182
30,20150612,0.001,0.021,0.000,1434119183
31,20150612,0.001,0.023,0.000,1434119184
32,20150612,0.001,0.022,0.000,1434119185
33,20150612,0.000,0.021,0.000,1434119186
34,20150612,0.002,0.032,0.000,1434119187
35,20150612,0.001,0.026,0.000,1434119188
36,20150612,0.001,0.032,0.000,1434119189
37,20150612,0.001,0.015,0.000,1434119190
38,20150612,0.001,0.016,0.000,1434119191
39,20150612,0.001,0.018,0.000,1434119192
40,20150612,0.001,0.031,0.000,1434119193
41,20150612,0.000,0.021,0.000,1434119194
42,20150612,0.000,0.021,0.000,1434119195
43,20150612,0.000,0.015,0.000,1434119196
44,20150612,0.001,0.063,0.000,1434119197
