index,time,xAxis,yAxis,zAxis
0,1434119166638,0.01738,0.00312,-0.08756
1,1434119166639,0.02875,0.02984,-0.07005
2,1434119166643,-0.00435,0.03325,0.03537
3,1434119166644,-0.00348,0.00863,0.02830
4,1434119166644,-0.00278,-0.00872,0.00467
5,1434119166678,-0.01160,-0.02495,0.01545
6,1434119166679,-0.01240,-0.02308,0.01861
7,1434119166731,-0.00992,-0.02159,0.01176
8,1434119166733,-0.00481,-0.01415,-0.04528
9,1434119166734,-0.00698,0.00978,-0.02997
10,1434119166778,-0.01417,0.01407,-0.01851
11,1434119166778,-0.00275,0.01126,-0.01481
12,1434119166828,-0.00220,0.00588,-0.01731
13,1434119166829,0.00137,-0.00155,-0.00526
14,1434119166830,-0.00516,-0.00124,-0.00421
15,1434119166879,-0.00100,0.00214,-0.02446
16,1434119166881,-0.01877,0.01108,-0.00160
17,1434119166929,-0.03064,0.01512,0.00810
18,1434119166931,-0.03311,-0.00041,0.01898
19,1434119166933,-0.01164,0.00280,-0.02466
20,1434119166981,-0.00619,-0.00714,-0.05020
21,1434119166986,0.01614,0.00054,-0.03703
22,1434119167024,-0.00818,0.00981,-0.03588
23,1434119167073,-0.00967,0.00472,-0.00448
24,1434119167131,-0.00148,-0.00872,0.00891
25,1434119167131,0.00506,-0.01557,0.00713
26,1434119167132,0.00092,-0.01246,-0.01226
27,1434119167133,-0.03598,0.01113,0.01128
28,1434119167176,-0.02566,0.00578,0.03012
29,1434119167178,0.02244,0.00150,-0.00325
30,1434119167179,-0.00080,0.01370,-0.00572
31,1434119167181,0.01186,0.01643,-0.00145
32,1434119167222,0.05793,-0.00170,0.01681
33,1434119167226,0.02837,0.00489,-0.01937
34,1434119167228,0.02270,0.00079,0.01497
35,1434119167268,0.03925,-0.00250,0.03620
36,1434119167269,0.06187,0.00113,-0.01714
37,1434119167318,-0.02941,0.01262,-0.04418
38,1434119167320,-0.08447,0.03197,0.00138
39,1434119167323,-0.04648,0.00683,-0.04734
40,1434119167370,-0.03718,-0.00313,-0.08396
41,1434119167414,-0.06021,0.00062,-0.12811
42,1434119167416,-0.08802,0.04893,-0.07514
43,1434119167417,-0.05244,0.02977,-0.09058
44,1434119167418,-0.02633,0.00897,-0.14590
45,1434119167460,-0.01169,0.00718,-0.12844
46,1434119167464,-0.12576,-0.04660,-0.20353
47,1434119167515,-0.07326,0.11897,-0.05033
48,1434119167516,-0.11955,0.02799,-0.18948
49,1434119167516,-0.09876,0.00989,-0.17346
50,1434119167563,-0.14854,0.01104,-0.16924
51,1434119167566,-0.13133,0.12211,0.00524
52,1434119167605,-0.24882,0.10003,-0.02316
53,1434119167607,-0.07093,0.08315,-0.08571
54,1434119167608,0.01357,0.03605,-0.05919
55,1434119167659,0.01086,0.03509,-0.05986
56,1434119167660,0.01181,0.04057,-0.00179
57,1434119167714,0.03679,0.01996,0.01341
58,1434119167717,0.04818,0.02534,0.01073
59,1434119167718,0.05027,0.02027,0.00233
60,1434119167830,0.04646,0.04669,-0.01923
61,1434119167830,0.02779,0.04673,-0.00601
62,1434119167831,-0.00198,0.07957,-0.06262
63,1434119167831,-0.01643,0.11912,0.05928
64,1434119167861,-0.04674,0.09217,0.17555
65,1434119167863,-0.02255,0.05186,0.26231
66,1434119167864,0.03431,0.01102,0.17391
67,1434119167898,0.05166,0.01194,0.06569
68,1434119167899,0.04446,0.00955,-0.05760
69,1434119167900,0.02306,0.02014,-0.07030
70,1434119167956,0.00673,0.02236,-0.08671
71,1434119167956,0.00539,0.00852,-0.08812
72,1434119167997,0.00665,-0.00256,-0.07909
73,1434119168000,0.00532,-0.01689,-0.05702
74,1434119168000,0.00191,-0.02914,-0.03702
75,1434119168050,-0.00472,-0.02644,-0.00774
76,1434119168052,-0.01002,-0.02115,0.01177
77,1434119168105,-0.01114,-0.02004,0.03051
78,1434119168105,-0.00892,-0.01291,0.04316
79,1434119168107,-0.00088,-0.01345,0.03453
80,1434119168150,-0.00071,-0.00764,0.02137
81,1434119168153,-0.00056,-0.00299,0.00147
82,1434119168195,-0.00358,0.00074,-0.00742
83,1434119168200,0.00026,0.00371,-0.01218
84,1434119168242,0.00334,0.00922,-0.00975
85,1434119168244,0.00579,0.00425,-0.00780
86,1434119168245,0.00151,0.00653,-0.00311
87,1434119168292,-0.00192,0.00835,0.00376
88,1434119168293,-0.00153,0.00043,0.00613
89,1434119168339,0.00190,-0.00278,0.00725
90,1434119168341,-0.00473,0.00090,0.00893
91,1434119168343,-0.01316,0.00072,0.00714
92,1434119168388,-0.01053,-0.00255,0.00571
93,1434119168389,-0.01155,0.00108,0.00457
94,1434119168444,-0.00611,0.00087,0.00678
95,1434119168446,-0.00489,0.00069,0.00542
96,1434119168447,-0.00079,-0.00569,0.00434
97,1434119168495,0.00250,-0.00768,0.00660
98,1434119168497,0.00512,-0.00927,0.00840
99,1434119168544,0.00410,-0.01054,0.00672
100,1434119168546,0.00328,-0.01468,0.00850
101,1434119168547,-0.00050,-0.01721,0.00993
102,1434119168590,0.00272,-0.01690,0.01732
103,1434119168591,-0.00095,-0.01664,0.00135
104,1434119168631,0.00549,-0.01644,-0.00204
105,1434119168634,0.01377,-0.01315,-0.00788
106,1434119168635,0.02273,-0.00740,-0.00943
107,1434119168683,0.02756,-0.00592,-0.00130
108,1434119168685,0.03455,-0.00473,0.01771
109,1434119168731,0.02764,-0.01941,0.03839
110,1434119168735,0.02211,-0.02100,0.07368
111,1434119168736,0.00519,-0.04805,0.02535
112,1434119168792,-0.03257,-0.04078,-0.04378
113,1434119168793,-0.01043,-0.03028,-0.08424
114,1434119168836,0.02525,-0.02423,-0.08849
115,1434119168837,0.04442,-0.01626,-0.06220
116,1434119168839,0.04179,-0.01300,-0.02476
117,1434119168873,0.02093,0.00522,0.02238
118,1434119168874,0.00737,0.01043,0.05775
119,1434119168924,0.01527,0.01147,0.06807
120,1434119168927,0.01534,0.00917,0.06305
121,1434119168929,0.00915,0.00421,0.04732
122,1434119168974,0.01357,0.00650,0.03239
123,1434119168976,-0.00477,-0.00418,0.01341
124,1434119169023,-0.01866,-0.00959,-0.00177
125,1434119169025,-0.04227,-0.00767,-0.00142
126,1434119169026,-0.04944,0.00011,0.01136
127,1434119169072,-0.04580,0.00946,0.00909
128,1434119169073,-0.02727,0.01616,0.01352
129,1434119169125,-0.01244,0.02231,0.01707
130,1434119169126,0.00177,0.02410,0.01912
131,1434119169127,0.00141,0.02553,0.02155
132,1434119169173,-0.00746,0.01417,0.02974
133,1434119169177,-0.00050,0.00821,0.02692
134,1434119169220,-0.00353,-0.00281,0.00903
135,1434119169224,-0.00516,-0.00537,-0.01074
136,1434119169225,-0.00413,-0.00117,-0.01172
137,1434119169266,-0.00643,0.00531,-0.01563
138,1434119169268,-0.01139,0.01050,-0.01563
139,1434119169314,-0.00599,0.00840,-0.03047
140,1434119169317,0.00146,0.00985,-0.03063
141,1434119169323,0.01288,0.01647,-0.03388
142,1434119169371,0.02906,0.00771,-0.03335
143,1434119169373,0.03497,0.00929,-0.03293
144,1434119169417,0.02172,0.00431,-0.04119
145,1434119169418,0.00878,0.00657,-0.03920
146,1434119169419,-0.00860,0.00213,-0.02824
147,1434119169464,-0.01000,0.00171,-0.01321
148,1434119169464,-0.01972,0.00449,-0.00745
149,1434119169509,-0.04312,-0.00266,-0.00049
150,1434119169510,-0.05325,-0.00213,0.02148
151,1434119169512,-0.04885,-0.00795,0.03516
152,1434119169559,-0.03283,-0.01261,0.03125
153,1434119169560,-0.02314,-0.01321,0.02813
154,1434119169609,-0.00288,-0.01682,0.01313
155,1434119169609,0.00941,-0.01580,0.00425
156,1434119169610,0.02315,-0.01889,-0.01144
157,1434119169659,0.02399,-0.01824,-0.03337
158,1434119169665,0.02232,-0.01771,-0.04857
159,1434119169710,0.02723,-0.02042,-0.05995
160,1434119169711,0.02491,-0.01321,-0.06046
161,1434119169711,0.01368,-0.00745,-0.05696
162,1434119169757,0.00157,-0.00283,-0.05495
163,1434119169760,-0.00734,-0.00539,-0.03771
164,1434119169807,-0.00587,-0.00744,-0.01845
165,1434119169809,-0.00470,-0.00907,-0.01788
166,1434119169810,-0.02563,-0.01663,-0.03540
167,1434119169866,-0.02598,-0.01878,-0.02832
168,1434119169866,-0.01766,-0.01815,-0.00156
169,1434119169895,-0.01178,-0.01452,0.01438
170,1434119169897,-0.01177,0.00011,0.02400
171,1434119169898,-0.00395,0.00633,0.04029
172,1434119169947,0.00309,0.01132,0.03224
173,1434119169949,0.00247,0.02702,0.02579
174,1434119169996,0.00823,0.03412,0.02688
175,1434119169998,0.00658,0.03979,0.03322
176,1434119169999,0.00214,0.04043,0.02970
177,1434119170045,0.00484,0.03859,0.03001
178,1434119170048,0.01325,0.03400,0.01151
179,1434119170093,0.01919,0.02095,-0.00251
180,1434119170094,0.01535,0.01051,-0.02076
181,1434119170098,0.01853,0.00294,-0.02833
182,1434119170145,0.00858,-0.00702,-0.04141
183,1434119170145,-0.00486,-0.01499,-0.03625
184,1434119170196,-0.01326,-0.01512,-0.02900
185,1434119170196,-0.00748,-0.01522,-0.03180
186,1434119170197,-0.01224,-0.01765,-0.03481
187,1434119170246,-0.01604,-0.02349,-0.02472
188,1434119170246,-0.02143,-0.02192,-0.01978
189,1434119170293,-0.01402,-0.02378,-0.01270
190,1434119170294,-0.01121,-0.02215,-0.01328
191,1434119170296,-0.00897,-0.01460,-0.01063
192,1434119170345,-0.01343,-0.01480,-0.00538
193,1434119170348,-0.01387,-0.01497,0.00507
194,1434119170390,-0.00797,-0.00885,0.00640
195,1434119170391,-0.00950,-0.00708,-0.00347
196,1434119170393,-0.01072,0.00059,-0.00903
197,1434119170444,-0.00858,0.00047,-0.00410
198,1434119170591,-0.00374,-0.00275,-0.00640
199,1434119170595,0.00326,0.00405,-0.01450
200,1434119170597,0.00573,0.00637,-0.01160
201,1434119170604,0.01318,0.01134,-0.00615
202,1434119170605,0.01992,0.01767,-0.01430
203,1434119170605,0.02531,0.01726,-0.01144
204,1434119170606,0.01712,0.01381,-0.01462
205,1434119170606,0.01057,0.01417,-0.00935
206,1434119170608,-0.00092,0.00821,-0.00123
207,1434119170629,-0.00386,0.00344,-0.00098
208,1434119170631,0.00004,0.00276,-0.00079
209,1434119170677,-0.00622,0.00220,-0.00688
210,1434119170677,-0.01357,-0.00371,-0.00785
211,1434119170678,-0.02023,-0.01859,-0.00393
212,1434119170729,-0.03181,-0.02425,-0.00002
213,1434119170730,-0.02232,-0.02565,-0.00314
214,1434119170776,-0.01473,-0.01739,0.00061
215,1434119170776,-0.00241,-0.00454,0.00361
216,1434119170777,0.01291,0.00574,-0.00023
217,1434119170823,0.02283,0.00772,-0.00331
218,1434119170826,0.02452,0.01243,-0.00265
219,1434119170877,0.02586,0.01228,-0.00212
220,1434119170879,0.02381,0.01608,-0.00170
221,1434119170884,0.01280,0.00974,-0.00683
222,1434119170924,0.00712,0.00779,-0.00234
223,1434119170926,-0.00056,-0.00549,-0.00499
224,1434119170972,-0.00670,-0.00439,-0.00399
225,1434119170974,-0.01161,-0.01289,-0.00945
226,1434119171026,-0.00929,-0.01031,-0.01068
227,1434119171028,-0.00743,-0.00825,0.00395
228,1434119171029,-0.01454,-0.00347,0.00551
229,1434119171069,-0.00850,0.00347,0.00206
230,1434119171074,-0.00368,0.00590,-0.00148
231,1434119171126,-0.00919,0.00472,-0.00118
232,1434119171127,-0.01673,-0.00247,-0.00094
233,1434119171129,-0.02588,-0.00823,0.00237
234,1434119171170,-0.01446,-0.00346,0.00736
235,1434119171171,-0.01157,0.00036,-0.00270
236,1434119171223,-0.01238,-0.00284,-0.00841
237,1434119171226,-0.00678,0.00398,-0.00673
238,1434119171228,0.00395,0.01803,-0.00851
239,1434119171272,0.01254,0.02692,-0.01931
240,1434119171274,0.02487,0.03638,-0.02404
241,1434119171318,0.02927,0.04786,-0.02548
242,1434119171320,0.03279,0.05000,-0.02351
243,1434119171321,0.02858,0.05250,-0.03131
244,1434119171364,0.02286,0.05450,-0.02505
245,1434119171366,0.02142,0.04985,-0.02629
246,1434119171416,0.01166,0.04535,-0.01790
247,1434119171419,-0.00317,0.04253,-0.00807
248,1434119171421,-0.00254,0.03715,-0.00021
249,1434119171467,-0.00828,0.03284,0.00296
250,1434119171469,-0.00350,0.02628,0.00549
251,1434119171507,-0.00592,0.02727,0.01377
252,1434119171509,0.00464,0.01869,0.01648
253,1434119171510,0.00371,0.02120,0.00772
