index,time,xAxis,yAxis,zAxis
0,1434119166628,0.00085,0.00004,-0.00084
1,1434119166629,0.00068,0.00075,0.00004
2,1434119166630,0.00055,-0.00032,-0.00088
3,1434119166636,-0.00110,-0.00026,0.00236
4,1434119166665,0.00024,0.00021,0.00038
5,1434119166681,-0.00009,0.00046,0.00031
6,1434119166696,0.00063,-0.00034,-0.00106
7,1434119166729,-0.00106,-0.00027,0.00027
8,1434119166744,-0.00085,-0.00022,-0.00053
9,1434119166760,-0.00068,0.00090,0.00051
10,1434119166776,0.00098,0.00121,-0.00112
11,1434119166807,0.00046,-0.00023,-0.00093
12,1434119166823,-0.00083,0.00101,0.00089
13,1434119166838,0.00062,-0.00048,0.00092
14,1434119166870,0.00077,-0.00066,0.00046
15,1434119166885,0.00062,-0.00053,0.00036
16,1434119166901,-0.00056,-0.00042,0.00029
17,1434119166918,-0.00096,-0.00034,-0.00126
18,1434119166950,0.00080,0.00130,0.00087
19,1434119166965,-0.00019,0.00020,0.00021
20,1434119166984,-0.00089,0.00071,0.00126
21,1434119167013,0.00085,-0.00071,0.00002
22,1434119167027,0.00008,-0.00057,0.00061
23,1434119167043,-0.00090,-0.00045,-0.00064
24,1434119167060,-0.00072,-0.00036,-0.00155
25,1434119167091,-0.00057,-0.00029,-0.00005
26,1434119167106,-0.00046,-0.00023,-0.00040
27,1434119167129,-0.00037,0.00108,0.00168
28,1434119167153,0.00127,-0.00040,0.00008
29,1434119167173,0.00102,-0.00032,0.00006
30,1434119167183,-0.00022,-0.00026,0.00005
31,1434119167200,-0.00071,-0.00021,0.00004
32,1434119167230,0.00064,0.00067,0.00003
33,1434119167247,-0.00069,-0.00106,0.00003
34,1434119167264,-0.00055,-0.00009,0.00002
35,1434119167294,-0.00044,-0.00007,-0.00142
36,1434119167311,-0.00035,-0.00006,0.00030
37,1434119167325,-0.00028,-0.00005,0.00024
38,1434119167341,-0.00023,0.00143,-0.00127
39,1434119167373,-0.00018,-0.00032,0.00045
40,1434119167389,0.00055,-0.00026,0.00036
41,1434119167402,0.00131,-0.00021,0.00029
42,1434119167434,0.00105,0.00127,-0.00121
43,1434119167449,0.00026,-0.00042,0.00047
44,1434119167466,-0.00174,0.00063,0.00038
45,1434119167481,-0.00199,0.00110,0.00176
46,1434119167513,0.00153,-0.00068,-0.00005
47,1434119167528,0.00044,-0.00055,-0.00004
48,1434119167545,-0.00043,-0.00044,-0.00003
49,1434119167576,0.00111,-0.00024,-0.00003
50,1434119167592,-0.00056,0.00070,-0.00058
51,1434119167606,-0.00045,-0.00044,0.00053
52,1434119167623,-0.00036,-0.00035,0.00011
53,1434119167653,-0.00029,0.00004,-0.00035
54,1434119167669,0.00054,0.00127,-0.00076
55,1434119167686,0.00001,0.00102,0.00019
56,1434119167716,-0.00025,-0.00075,0.00015
57,1434119167732,0.00127,-0.00060,0.00012
58,1434119167750,0.00003,0.00051,-0.00089
59,1434119167764,0.00088,-0.00188,-0.00129
60,1434119167795,0.00052,-0.00115,0.00053
61,1434119167810,-0.00083,0.00159,0.00043
62,1434119167826,-0.00067,0.00007,0.00034
63,1434119167858,0.00094,-0.00031,0.00027
64,1434119167873,-0.00072,-0.00025,-0.00031
65,1434119167889,-0.00058,0.00078,-0.00031
66,1434119167904,-0.00046,0.00121,0.00034
67,1434119167937,0.00119,0.00097,0.00027
68,1434119167955,0.00021,0.00078,0.00022
69,1434119167968,0.00054,-0.00057,0.00136
70,1434119167998,0.00081,0.00059,-0.00010
71,1434119168018,0.00064,-0.00210,0.00034
72,1434119168047,0.00019,-0.00020,0.00109
73,1434119168048,-0.00100,0.00099,-0.00027
74,1434119168078,-0.00060,-0.00069,-0.00031
75,1434119168096,0.00080,-0.00128,-0.00098
76,1434119168109,-0.00054,0.00049,-0.00161
77,1434119168141,-0.00076,0.00112,-0.00118
78,1434119168155,0.00090,-0.00112,0.00157
79,1434119168171,0.00072,-0.00101,0.00019
80,1434119168191,-0.00221,0.00120,0.00016
81,1434119168219,-0.00028,0.00086,-0.00015
82,1434119168235,0.00036,-0.00060,-0.00070
83,1434119168250,-0.00056,-0.00048,-0.00087
84,1434119168283,-0.00045,-0.00035,-0.00110
85,1434119168297,-0.00036,0.00076,-0.00039
86,1434119168314,0.00064,-0.00047,0.00076
87,1434119168330,-0.00023,-0.00037,0.00199
88,1434119168359,0.00119,-0.00004,0.00021
89,1434119168376,0.00095,0.00057,0.00017
90,1434119168391,-0.00039,-0.00041,0.00014
91,1434119168423,-0.00069,-0.00032,0.00008
92,1434119168439,0.00050,-0.00026,-0.00099
93,1434119168454,-0.00068,0.00072,0.00029
94,1434119168470,-0.00055,-0.00015,0.00023
95,1434119168500,-0.00044,-0.00007,0.00150
96,1434119168517,-0.00035,0.00056,0.00058
97,1434119168533,0.00086,-0.00042,0.00020
98,1434119168565,-0.00043,-0.00033,-0.00027
99,1434119168584,0.00073,-0.00027,-0.00022
100,1434119168595,0.00040,-0.00021,-0.00017
101,1434119168611,0.00097,-0.00017,-0.00149
102,1434119168643,-0.00079,0.00120,0.00016
103,1434119168660,0.00004,0.00030,0.00013
104,1434119168675,-0.00020,0.00113,-0.00102
105,1434119168705,-0.00060,-0.00066,-0.00125
106,1434119168722,-0.00048,-0.00053,0.00056
107,1434119168737,0.00046,-0.00126,0.00129
108,1434119168752,0.00241,0.00091,0.00175
109,1434119168790,0.00017,-0.00035,-0.00016
110,1434119168798,-0.00189,0.00038,-0.00013
111,1434119168815,0.00049,0.00010,-0.00010
112,1434119168834,0.00085,0.00117,0.00147
113,1434119168861,0.00025,0.00052,-0.00038
114,1434119168877,-0.00005,0.00016,-0.00030
115,1434119168893,0.00064,0.00082,-0.00024
116,1434119168925,0.00031,0.00045,-0.00135
117,1434119168940,-0.00046,-0.00036,0.00099
118,1434119168956,-0.00054,-0.00046,-0.00121
119,1434119168971,-0.00091,-0.00084,-0.00144
120,1434119169003,-0.00073,-0.00067,0.00041
