index,time,xAxis,yAxis,zAxis
0,1434119166626,0.00225,-0.03257,0.03006
1,1434119166637,0.00493,-0.03778,0.02404
2,1434119166641,-0.02653,-0.01225,0.04970
3,1434119166641,0.01550,0.01129,0.08195
4,1434119166642,0.02724,0.05825,0.02025
5,1434119166674,0.02804,0.07707,-0.01427
6,1434119166676,-0.00491,0.04916,-0.06376
7,1434119166723,-0.03440,0.03073,-0.06898
8,1434119166725,-0.01580,0.00896,-0.06768
9,1434119166733,-0.09467,-0.00221,-0.05961
10,1434119166772,0.03130,0.02870,0.00075
11,1434119166773,-0.02418,-0.01298,-0.03300
12,1434119166825,-0.01622,-0.01663,-0.01390
13,1434119166827,-0.04032,-0.03752,0.00685
14,1434119166829,-0.02288,-0.01205,0.01798
15,1434119166872,0.01216,0.01145,0.02610
16,1434119166880,0.03395,0.02479,0.01776
17,1434119166926,0.01153,0.01671,-0.00689
18,1434119166930,0.01860,-0.00226,-0.00551
19,1434119166934,-0.00309,0.00444,0.00184
20,1434119167023,0.00612,-0.00270,0.01632
21,1434119167025,0.01740,0.02831,0.01305
22,1434119167072,0.05376,-0.00469,0.00497
23,1434119167130,0.01254,0.01187,-0.02102
24,1434119167130,-0.03294,0.00637,-0.03791
25,1434119167133,-0.04744,0.00822,-0.03970
26,1434119167134,-0.00123,0.01283,-0.00442
27,1434119167166,0.03182,0.01026,-0.00041
28,1434119167175,-0.00501,0.01993,-0.00580
29,1434119167177,-0.00948,0.01907,-0.02964
30,1434119167180,0.00414,0.02463,0.00129
31,1434119167218,0.01894,0.02283,0.00338
32,1434119167224,0.02374,0.01201,0.00036
33,1434119167227,0.00727,0.00961,-0.01534
34,1434119167266,-0.02465,0.01394,-0.02477
35,1434119167272,-0.05331,0.01115,-0.02529
36,1434119167320,-0.01843,0.00267,-0.01710
37,1434119167321,-0.00225,-0.00411,-0.02306
38,1434119167322,0.01305,-0.00642,-0.02470
39,1434119167367,-0.01691,-0.00513,-0.00726
40,1434119167372,-0.01977,-0.01036,-0.00581
41,1434119167410,-0.02441,-0.01375,-0.01089
42,1434119167411,0.00156,0.00384,-0.01809
43,1434119167413,0.02547,0.00932,-0.00197
44,1434119167458,0.03913,0.00121,0.01327
45,1434119167461,0.04927,0.00097,0.02311
46,1434119167509,0.03004,0.01015,-0.00260
47,1434119167513,0.02403,0.01437,0.01901
48,1434119167514,0.00438,0.01149,0.03630
49,1434119167560,0.02147,0.01545,0.02592
50,1434119167565,0.03593,0.00611,0.02073
51,1434119167567,-0.03844,-0.00761,0.01346
52,1434119167601,-0.08935,-0.00922,0.02327
53,1434119167602,-0.05898,-0.01675,0.01549
54,1434119167658,-0.02609,-0.01574,0.01552
55,1434119167660,-0.00525,-0.00713,0.01241
56,1434119167661,0.00205,-0.00258,0.00681
57,1434119167712,-0.01086,0.00419,-0.01565
58,1434119167718,-0.00556,0.00648,-0.03986
59,1434119167754,0.00805,-0.00419,-0.02642
60,1434119167754,0.00957,-0.00023,-0.02114
61,1434119167756,0.00765,0.00294,-0.01925
62,1434119167826,0.00300,0.01173,-0.02478
63,1434119167855,0.01412,0.01563,-0.02295
64,1434119167864,0.01129,0.00938,-0.00586
65,1434119167865,0.01528,0.00750,0.01328
66,1434119167873,0.02785,0.00288,0.01688
67,1434119167894,0.02228,0.00855,-0.00212
68,1434119167897,0.02954,0.00372,0.00768
69,1434119167950,0.04551,-0.01265,0.03348
70,1434119167957,-0.00344,-0.03121,0.03616
71,1434119167958,-0.02384,-0.02185,0.02580
72,1434119167996,-0.05032,-0.02373,0.00814
73,1434119168002,-0.02151,-0.01273,0.01902
74,1434119168042,0.01639,-0.00706,0.02771
75,1434119168046,0.03108,-0.01190,0.02217
76,1434119168054,-0.00248,-0.02202,0.02008
77,1434119168102,-0.03245,-0.01449,0.00747
78,1434119168106,-0.01659,-0.01159,-0.00340
79,1434119168146,-0.01952,-0.01865,-0.00584
80,1434119168154,-0.03671,-0.00867,0.00782
81,1434119168154,0.00110,0.00244,0.01251
82,1434119168196,0.03994,-0.00117,-0.00249
83,1434119168199,0.01399,-0.02516,-0.02934
84,1434119168238,-0.05912,-0.01153,-0.06019
85,1434119168241,-0.05902,0.00640,-0.07237
86,1434119168243,-0.04721,0.01762,-0.07977
87,1434119168290,-0.01668,0.02269,-0.07866
88,1434119168291,0.07494,0.01503,-0.02074
89,1434119168340,0.06933,0.00343,-0.02831
90,1434119168343,-0.03595,-0.00663,-0.08046
91,1434119168344,-0.14829,0.00094,-0.13156
92,1434119168383,-0.06941,0.01872,-0.10212
93,1434119168387,-0.07662,0.00014,-0.10982
94,1434119168444,-0.10739,0.00323,-0.10895
95,1434119168445,-0.12263,-0.04663,-0.08716
96,1434119168448,-0.08561,0.04238,-0.08223
97,1434119168490,-0.06223,0.00031,-0.07750
98,1434119168496,-0.11463,-0.02709,-0.09247
99,1434119168541,-0.06983,0.03301,-0.05601
100,1434119168544,-0.07149,-0.02828,-0.02606
101,1434119168546,-0.05719,0.00472,-0.02397
102,1434119168588,-0.02075,0.02487,-0.01058
103,1434119168593,0.00762,-0.00432,0.00091
104,1434119168627,-0.00016,-0.00033,-0.00552
105,1434119168629,-0.01263,-0.00339,-0.02239
106,1434119168631,-0.02182,0.01526,-0.02728
107,1434119168681,-0.03308,-0.02139,-0.02183
108,1434119168684,0.01025,0.00164,-0.02371
109,1434119168729,0.00508,-0.01744,-0.03694
110,1434119168731,0.01656,0.00167,-0.03580
111,1434119168733,0.01638,0.00134,-0.03177
112,1434119168791,0.03419,0.01279,-0.03713
113,1434119168794,0.05782,0.03211,-0.04845
114,1434119168835,0.05251,0.03740,-0.05361
115,1434119168836,0.02326,0.04242,-0.05851
116,1434119168838,0.01314,0.04644,-0.05618
117,1434119168870,0.01051,0.04262,-0.05979
118,1434119168872,0.02638,0.04972,-0.05096
119,1434119168967,0.07032,0.05540,-0.04077
120,1434119168970,0.06485,0.05292,-0.02949
121,1434119168972,0.04641,0.06108,-0.02047
122,1434119168975,0.03088,0.05746,-0.02262
123,1434119169015,0.02158,0.05222,-0.00560
124,1434119169016,0.02664,0.06052,-0.00213
125,1434119169024,0.01506,0.06014,-0.00171
126,1434119169026,0.00267,0.04499,0.01113
127,1434119169070,-0.00411,0.03911,0.03313
128,1434119169074,-0.00329,0.03754,0.03275
129,1434119169119,0.01612,0.03316,0.03245
130,1434119169122,0.00664,0.02653,0.01971
131,1434119169124,-0.00093,0.01497,0.01577
132,1434119169172,-0.01012,0.01198,0.00636
133,1434119169176,0.00440,0.01583,-0.00038
134,1434119169219,0.03087,0.02204,-0.00030
135,1434119169222,0.03094,0.02623,0.00523
136,1434119169226,0.00600,0.02098,0.00106
137,1434119169265,0.01418,0.02303,-0.02650
138,1434119169268,0.04494,0.02155,-0.03604
139,1434119169308,0.08517,0.03287,-0.01712
140,1434119169311,0.07126,0.03801,-0.00432
141,1434119169322,0.00466,0.02494,0.00592
142,1434119169368,-0.02674,0.01370,0.01411
143,1434119169370,0.03017,0.00159,0.03238
144,1434119169374,0.11633,-0.00498,0.05638
145,1434119169415,0.16259,-0.01023,0.09666
146,1434119169416,0.09414,-0.02303,0.11717
147,1434119169458,0.08078,-0.02155,0.16093
148,1434119169461,0.12634,-0.00240,0.19280
149,1434119169463,0.15576,0.01371,0.19409
150,1434119169512,0.06680,-0.01638,0.10293
151,1434119169514,-0.04734,-0.02873,0.05812
152,1434119169558,-0.00428,-0.02611,0.13243
153,1434119169562,0.10907,-0.01464,0.16064
154,1434119169563,0.09351,-0.04218,0.11601
155,1434119169608,-0.00488,-0.07046,0.11156
156,1434119169610,-0.00390,-0.06262,0.11971
157,1434119169664,0.00625,-0.07119,0.09577
158,1434119169664,0.10891,-0.07492,0.15240
159,1434119169666,0.13634,-0.03884,0.11332
160,1434119169705,0.09658,-0.04357,0.06878
161,1434119169712,0.20226,-0.03173,0.12534
162,1434119169756,0.18290,-0.07382,0.17371
163,1434119169758,0.09476,-0.02547,0.12647
