index,time,xAxis,yAxis,zAxis
0,1434122391928,0.01075,0.06047,0.01107
1,1434122391929,-0.02500,0.01479,0.07292
2,1434122391929,0.00500,-0.00302,0.08021
3,1434122392008,-0.01787,0.00306,0.04855
4,1434122392012,-0.01117,0.02119,0.00524
5,1434122392013,-0.00269,0.01383,-0.03252
6,1434122392015,0.00410,0.02356,-0.06821
7,1434122392055,-0.02406,0.01573,-0.12175
8,1434122392057,-0.02863,0.03368,-0.08881
9,1434122392058,-0.05337,0.03632,-0.06167
10,1434122392106,-0.08879,0.06890,-0.04309
11,1434122392107,-0.09213,0.08559,-0.05556
12,1434122392108,-0.10729,0.09269,-0.05383
13,1434122392158,-0.06787,0.02493,-0.06415
14,1434122392160,0.00977,-0.02537,-0.07632
15,1434122392216,-0.01640,-0.03904,-0.02434
16,1434122392219,-0.05844,-0.07655,-0.02572
17,1434122392221,-0.04675,-0.08858,-0.05417
18,1434122392256,0.01104,-0.13493,-0.07693
19,1434122392257,0.02446,-0.14466,-0.08264
20,1434122392304,-0.00544,-0.13448,-0.06299
21,1434122392305,-0.02544,-0.10446,-0.03242
22,1434122392305,-0.04145,-0.06482,-0.03765
23,1434122392355,-0.04566,-0.03076,-0.00278
24,1434122392355,-0.02403,0.00899,0.00715
25,1434122392404,-0.03797,0.03141,0.03619
26,1434122392409,-0.02725,0.02825,0.04692
27,1434122392410,0.01492,-0.01412,-0.01715
28,1434122392450,0.01193,0.02230,-0.04106
29,1434122392452,-0.01780,0.02721,-0.03598
30,1434122392504,-0.04471,0.04912,0.00169
31,1434122392507,-0.03576,0.05179,0.00447
32,1434122392507,0.00498,0.03206,-0.02376
33,1434122392553,0.04070,0.01940,0.01146
34,1434122392555,0.03256,-0.03292,-0.00646
35,1434122392604,0.03777,-0.05446,0.01905
36,1434122392605,0.01537,-0.07091,0.03712
37,1434122392606,0.01230,-0.08407,0.05704
38,1434122392647,0.02156,-0.08210,0.05813
39,1434122392649,0.03912,-0.07818,0.04338
40,1434122392698,0.04614,-0.07192,0.01908
41,1434122392700,0.04941,-0.07238,-0.00271
42,1434122392701,0.03328,-0.07353,-0.01467
43,1434122392740,0.01725,-0.07679,-0.01798
44,1434122392741,0.01692,-0.07706,-0.00814
45,1434122392805,0.01354,-0.05852,0.00287
46,1434122392806,0.01396,-0.04994,0.02026
47,1434122392808,0.02679,-0.02433,0.02871
48,1434122392837,0.03628,-0.00462,0.03234
49,1434122392838,0.04152,-0.00370,0.03759
50,1434122392895,0.04181,-0.00843,0.03945
51,1434122392896,0.04595,-0.01299,0.03468
52,1434122392897,0.04301,-0.01664,0.03400
53,1434122392935,0.05238,-0.01956,0.03267
54,1434122392936,0.06065,-0.01878,0.02926
55,1434122392983,0.05165,-0.02674,0.01481
56,1434122392984,0.05304,-0.03077,0.02044
57,1434122392990,0.04243,-0.03711,0.01636
58,1434122393039,0.02222,-0.02344,0.03496
59,1434122393045,-0.00722,-0.02188,0.03109
60,1434122393085,-0.03000,-0.03235,0.04284
61,1434122393086,-0.03884,-0.03525,0.04365
62,1434122393092,-0.01623,-0.03133,0.04351
63,1434122393137,-0.00673,-0.02194,0.03794
64,1434122393139,0.00086,-0.02692,0.03660
65,1434122393184,-0.01493,-0.03326,0.02303
66,1434122393188,-0.02367,-0.04223,0.02155
67,1434122393189,-0.02831,-0.04941,0.01411
68,1434122393246,-0.02265,-0.04812,0.02067
69,1434122393250,-0.00874,-0.02990,0.02278
70,1434122393278,-0.00387,-0.00830,0.00573
71,1434122393278,-0.01872,-0.00351,-0.00401
72,1434122393279,-0.01810,-0.01531,-0.01259
73,1434122393324,-0.00823,-0.02709,-0.02569
74,1434122393325,0.01138,-0.03417,-0.03227
75,1434122393375,0.01536,-0.02734,-0.03519
76,1434122393376,0.01229,-0.03437,-0.04065
77,1434122393377,0.00983,-0.03609,-0.04112
78,1434122393430,0.01099,-0.02887,-0.03602
79,1434122393433,0.00567,-0.01685,-0.02569
80,1434122393477,-0.02594,-0.01973,-0.00883
81,1434122393482,-0.06372,-0.01891,0.01793
82,1434122393482,-0.07207,-0.02450,0.04169
83,1434122393520,-0.03890,-0.02585,0.03882
84,1434122393522,0.00481,-0.02068,0.01934
85,1434122393573,0.02885,-0.01967,-0.00015
86,1434122393574,0.03167,-0.04308,-0.01497
87,1434122393575,0.04096,-0.06493,-0.02447
88,1434122393623,0.03590,-0.06991,-0.02270
89,1434122393624,0.01622,-0.06218,-0.00879
90,1434122393666,0.00672,-0.03490,0.00859
91,1434122393669,-0.00009,0.00333,0.02484
92,1434122393670,-0.00007,0.01438,0.03238
93,1434122393721,0.00854,0.02713,0.02590
94,1434122393725,0.01933,0.04280,0.02072
95,1434122393767,0.03031,0.04361,0.02517
96,1434122393771,0.02737,0.04348,0.02951
97,1434122393772,0.02815,0.03479,0.01111
98,1434122393818,0.03814,0.02236,-0.00596
99,1434122393820,0.04223,0.02101,0.01008
100,1434122393866,0.04629,0.01915,0.01119
101,1434122393868,0.04328,0.02470,0.01520
102,1434122393870,0.03462,0.02601,0.01216
103,1434122393925,0.03082,0.01456,0.00973
104,1434122393926,0.02778,0.00540,0.00778
105,1434122393967,0.01910,-0.00740,0.01248
106,1434122393969,0.00903,-0.02155,0.01311
107,1434122394013,-0.01152,-0.02896,0.00736
108,1434122394018,-0.02719,-0.02941,0.01839
109,1434122394021,-0.01550,-0.01181,0.03580
110,1434122394064,-0.00068,-0.00633,0.03802
111,1434122394065,0.00570,0.00744,0.03588
112,1434122394108,0.01081,-0.00030,0.02636
113,1434122394110,0.01803,-0.00336,0.00234
114,1434122394110,0.02067,-0.01128,-0.00750
115,1434122394160,0.01654,-0.02778,-0.02710
116,1434122394163,0.00698,-0.04957,-0.03418
117,1434122394209,0.00246,-0.05528,-0.03281
118,1434122394212,0.00197,-0.06844,-0.02937
119,1434122394213,-0.02890,-0.07585,-0.03287
120,1434122394257,-0.05984,-0.07630,-0.01692
121,1434122394263,-0.10881,-0.06417,0.00130
122,1434122394305,-0.18158,-0.03258,0.03151
123,1434122394307,-0.22807,0.01612,0.08615
124,1434122394308,-0.20980,0.08321,0.14236
125,1434122394354,-0.14362,0.16110,0.10763
126,1434122394356,-0.05396,0.17185,0.05251
127,1434122394404,0.02402,0.18045,-0.00330
128,1434122394405,0.05593,0.16858,-0.03936
129,1434122394409,0.06037,0.15595,-0.04711
130,1434122394451,0.05455,0.13726,-0.02832
131,1434122394453,0.06473,0.12231,-0.00156
132,1434122394500,0.09475,0.10957,0.01125
133,1434122394504,0.12424,0.09390,0.00588
134,1434122394509,0.13611,0.08762,-0.00467
135,1434122394547,0.12451,0.08182,-0.02171
136,1434122394548,0.10508,0.05686,-0.02674
137,1434122394597,0.07235,0.03299,-0.01514
138,1434122394599,0.04538,0.00217,-0.01836
139,1434122394602,0.00271,-0.00764,0.00406
140,1434122394645,-0.00408,-0.02408,0.00950
141,1434122394646,-0.00014,-0.03176,0.01619
142,1434122394692,0.01864,-0.04104,0.01920
143,1434122394693,0.02038,-0.06017,-0.00261
144,1434122394694,-0.01104,-0.05126,0.00651
145,1434122394740,-0.03305,-0.04648,0.04193
146,1434122394743,-0.04441,-0.04656,0.05542
147,1434122394791,-0.03006,-0.04350,0.02871
148,1434122394792,-0.02092,-0.02542,-0.00125
149,1434122394793,-0.02221,-0.02971,-0.01663
150,1434122394839,-0.01777,-0.02690,-0.00705
151,1434122394841,-0.01187,-0.03089,0.01233
152,1434122394894,0.01238,-0.02471,0.01924
153,1434122394895,0.01928,-0.02290,0.01539
154,1434122394896,-0.01817,-0.02379,0.00294
155,1434122394939,-0.04266,-0.02215,0.01485
156,1434122394942,-0.05835,-0.01147,0.03610
157,1434122394986,-0.05605,-0.00058,0.04138
158,1434122394990,-0.04172,0.02688,0.04248
159,1434122394993,-0.03650,0.04650,0.03086
160,1434122395034,-0.06514,0.05517,0.02781
161,1434122395037,-0.08336,0.05664,0.01600
162,1434122395081,-0.03544,0.02968,-0.03017
163,1434122395086,0.02946,0.01515,-0.05148
164,1434122395087,0.07201,-0.02460,-0.08415
165,1434122395142,0.08807,-0.03530,-0.09779
166,1434122395145,0.08296,-0.02512,-0.10558
