index,time,xAxis,yAxis,zAxis
0,1434122391918,-0.00279,-0.00226,-0.00165
1,1434122391919,0.00178,0.00421,0.00010
2,1434122391934,0.00544,0.00733,-0.00095
3,1434122391950,0.00395,0.00493,0.00018
4,1434122391981,-0.00232,-0.00258,0.00024
5,1434122391997,-0.00349,-0.00735,-0.00060
6,1434122392014,-0.00079,-0.00140,-0.00125
7,1434122392044,0.00282,0.00478,-0.00222
8,1434122392060,0.00170,0.00728,0.00145
9,1434122392076,-0.00065,0.00482,-0.00085
10,1434122392092,-0.00252,-0.00160,0.00077
11,1434122392123,-0.00338,-0.00789,-0.00083
12,1434122392138,0.00084,-0.00401,-0.00067
13,1434122392156,0.00548,0.00281,0.00068
14,1434122392186,0.00491,0.00625,0.00089
15,1434122392204,-0.00063,0.00044,0.00072
16,1434122392216,-0.00552,-0.00466,-0.00040
17,1434122392234,-0.00561,-0.00349,-0.00091
18,1434122392264,-0.00050,0.00290,0.00055
19,1434122392300,0.00493,0.00615,-0.00009
20,1434122392301,0.00334,0.00156,0.00074
21,1434122392313,-0.00108,-0.00581,0.00059
22,1434122392349,-0.00321,-0.00674,0.00048
23,1434122392359,-0.00265,-0.00155,0.00038
24,1434122392375,0.00269,0.00679,0.00171
25,1434122392407,0.00337,0.00524,-0.00004
26,1434122392421,-0.00190,-0.00186,-0.00076
27,1434122392437,-0.00353,-0.00633,-0.00144
28,1434122392470,-0.00306,-0.00413,0.00036
29,1434122392485,0.00308,0.00272,-0.00123
30,1434122392501,0.00460,0.00538,-0.00098
31,1434122392516,0.00231,0.00293,0.00059
32,1434122392547,-0.00356,-0.00462,-0.00064
33,1434122392562,-0.00404,-0.00560,0.00079
34,1434122392579,-0.00036,-0.00016,0.00063
35,1434122392610,0.00481,0.00579,0.00048
36,1434122392625,0.00290,0.00321,-0.00020
37,1434122392641,-0.00077,-0.00253,0.00018
38,1434122392657,-0.00399,-0.00468,-0.00115
39,1434122392696,-0.00179,-0.00166,-0.00116
40,1434122392703,0.00126,0.00401,-0.00156
41,1434122392721,0.00276,0.00385,0.00074
42,1434122392751,0.00062,-0.00054,0.00104
43,1434122392766,-0.00260,-0.00508,0.00037
