index,time,xAxis,yAxis,zAxis
0,1434122391926,0.07216,-0.01589,0.03312
1,1434122391927,0.02726,-0.01896,0.02649
2,1434122391928,-0.05476,-0.01830,-0.03662
3,1434122391954,-0.14771,0.02521,-0.09961
4,1434122391954,-0.15489,0.02017,-0.15625
5,1434122392002,-0.11454,0.00051,-0.14062
6,1434122392003,-0.13694,-0.01444,-0.13359
7,1434122392006,-0.08846,-0.04827,-0.07641
8,1434122392051,-0.08874,-0.06283,-0.06112
9,1434122392052,-0.04052,-0.05027,-0.06374
10,1434122392100,-0.02070,-0.05271,-0.06974
11,1434122392101,-0.01968,-0.02967,-0.05892
12,1434122392102,-0.00637,-0.02686,-0.05261
13,1434122392151,0.01912,-0.01836,-0.04833
14,1434122392159,0.01842,-0.01157,-0.06914
15,1434122392210,0.02099,-0.01863,-0.05843
16,1434122392218,0.04101,-0.00553,-0.02878
17,1434122392220,0.02968,-0.02317,-0.02927
18,1434122392255,0.06046,-0.02166,-0.00154
19,1434122392258,-0.04928,-0.05405,0.02298
20,1434122392301,-0.01521,-0.03699,0.05823
21,1434122392302,0.03393,-0.02022,0.01924
22,1434122392304,0.06074,-0.03180,-0.00648
23,1434122392352,0.18296,-0.01919,-0.02315
24,1434122392354,0.23778,-0.03957,-0.01852
25,1434122392401,0.15975,-0.05275,-0.01169
26,1434122392408,0.12468,-0.05782,0.02111
27,1434122392411,0.12396,-0.07048,0.06845
28,1434122392449,0.12104,-0.06888,0.08211
29,1434122392451,0.07496,-0.06448,0.04772
30,1434122392497,0.07872,-0.03283,-0.01105
31,1434122392506,0.16376,-0.02939,-0.09399
32,1434122392508,0.19507,-0.11180,-0.15723
33,1434122392551,0.17715,-0.20584,-0.20547
34,1434122392557,0.13547,-0.24358,-0.18859
35,1434122392600,0.11150,-0.25893,-0.09619
36,1434122392604,-0.00533,-0.25324,-0.12304
37,1434122392606,-0.13864,-0.20884,-0.14687
38,1434122392645,-0.12888,-0.16395,-0.10265
39,1434122392649,-0.05779,-0.09444,-0.02665
40,1434122392698,-0.03061,-0.02399,0.00290
41,1434122392699,-0.01824,0.04800,0.00544
42,1434122392701,0.00338,0.09074,0.00748
43,1434122392733,0.02145,0.10931,0.00911
44,1434122392735,0.02263,0.10542,0.00104
45,1434122392806,0.02123,0.07496,-0.01167
46,1434122392807,-0.00098,0.03887,-0.02418
47,1434122392807,-0.01954,0.02797,-0.03809
48,1434122392835,-0.02735,0.05285,-0.05157
49,1434122392839,-0.03438,0.06415,-0.05688
50,1434122392890,-0.04860,0.06617,-0.04785
51,1434122392896,-0.04825,0.06856,-0.03281
52,1434122392897,-0.03860,0.04860,-0.00750
53,1434122392934,-0.02151,0.01153,0.00572
54,1434122392937,-0.00783,0.02720,0.00223
55,1434122392978,-0.00626,0.05223,0.00179
56,1434122392985,0.01296,0.06053,0.01002
57,1434122392989,0.01662,0.03280,0.01739
58,1434122393034,0.02814,0.02311,0.03501
59,1434122393042,0.05298,0.00912,0.07098
60,1434122393084,0.01504,-0.04114,0.07475
61,1434122393088,-0.03016,-0.06338,0.02621
62,1434122393089,0.00634,-0.06008,0.03034
63,1434122393136,0.01992,-0.05119,0.03990
64,1434122393140,0.02531,-0.01048,0.06551
65,1434122393180,0.02650,0.01349,0.07663
66,1434122393191,0.02120,0.02251,0.07380
67,1434122393192,0.00133,0.01488,0.07701
68,1434122393239,-0.00518,0.01191,0.08270
69,1434122393244,0.01460,0.00640,0.08804
70,1434122393249,0.02340,0.01762,0.08215
71,1434122393276,0.01560,0.02035,0.05712
72,1434122393277,0.01560,0.01315,0.03007
73,1434122393318,0.00936,0.00427,-0.00016
74,1434122393320,0.00749,-0.01143,-0.01888
75,1434122393323,0.01224,-0.02789,-0.02370
76,1434122393373,0.01292,-0.01919,-0.02833
77,1434122393374,0.01033,0.00340,-0.03517
78,1434122393432,-0.00345,0.02069,-0.03673
79,1434122393434,-0.01214,0.01655,-0.03563
