index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.000,0.007,0.001,1434130748
2,20150612,0.000,0.004,0.001,1434130749
3,20150612,0.001,0.030,0.003,1434130750
4,20150612,0.001,0.040,0.009,1434130751
5,20150612,0.001,0.020,0.007,1434130752
6,20150612,0.002,0.023,0.003,1434130753
7,20150612,0.002,0.028,0.002,1434130754
8,20150612,0.001,0.022,0.002,1434130755
9,20150612,0.001,0.022,0.002,1434130756
10,20150612,0.005,0.046,0.007,1434130757
11,20150612,0.006,0.028,0.007,1434130758
12,20150612,0.007,0.033,0.025,1434130759
13,20150612,0.009,0.029,0.067,1434130760
14,20150612,0.009,0.028,0.061,1434130761
15,20150612,0.010,0.040,0.059,1434130762
16,20150612,0.011,0.020,0.048,1434130763
17,20150612,0.012,0.022,0.033,1434130764
18,20150612,0.013,0.018,0.023,1434130765
19,20150612,0.012,0.015,0.018,1434130766
20,20150612,0.011,0.010,0.014,1434130767
21,20150612,0.011,0.012,0.013,1434130768
22,20150612,0.012,0.011,0.012,1434130769
23,20150612,0.012,0.013,0.013,1434130770
24,20150612,0.013,0.013,0.013,1434130771
25,20150612,0.012,0.011,0.012,1434130772
26,20150612,0.013,0.012,0.012,1434130773
27,20150612,0.014,0.011,0.012,1434130774
28,20150612,0.010,0.013,0.012,1434130775
29,20150612,0.010,0.013,0.012,1434130776
30,20150612,0.012,0.013,0.013,1434130777
31,20150612,0.014,0.013,0.014,1434130778
32,20150612,0.012,0.012,0.014,1434130779
33,20150612,0.013,0.012,0.013,1434130780
34,20150612,0.012,0.012,0.013,1434130781
35,20150612,0.013,0.014,0.014,1434130782
36,20150612,0.014,0.014,0.014,1434130783
37,20150612,0.014,0.015,0.015,1434130784
38,20150612,0.014,0.012,0.014,1434130785
39,20150612,0.013,0.014,0.013,1434130786
40,20150612,0.013,0.013,0.013,1434130787
41,20150612,0.012,0.011,0.012,1434130788
42,20150612,0.014,0.011,0.013,1434130789
43,20150612,0.013,0.012,0.012,1434130790
44,20150612,0.011,0.011,0.012,1434130791
45,20150612,0.012,0.010,0.012,1434130792
46,20150612,0.013,0.010,0.012,1434130793
47,20150612,0.014,0.013,0.013,1434130794
48,20150612,0.014,0.011,0.013,1434130795
49,20150612,0.014,0.012,0.013,1434130796
50,20150612,0.013,0.012,0.013,1434130797
51,20150612,0.011,0.011,0.013,1434130798
52,20150612,0.012,0.012,0.012,1434130799
53,20150612,0.011,0.010,0.013,1434130800
54,20150612,0.011,0.011,0.012,1434130801
55,20150612,0.012,0.013,0.013,1434130802
56,20150612,0.011,0.013,0.013,1434130803
57,20150612,0.012,0.011,0.012,1434130804
58,20150612,0.011,0.012,0.012,1434130805
59,20150612,0.011,0.011,0.014,1434130806
60,20150612,0.011,0.010,0.012,1434130807
61,20150612,0.011,0.013,0.012,1434130808
62,20150612,0.011,0.011,0.013,1434130809
63,20150612,0.012,0.012,0.012,1434130810
64,20150612,0.011,0.010,0.013,1434130811
65,20150612,0.013,0.012,0.013,1434130812
66,20150612,0.012,0.012,0.013,1434130813
67,20150612,0.012,0.012,0.012,1434130814
68,20150612,0.011,0.015,0.013,1434130815
69,20150612,0.010,0.061,0.017,1434130816
70,20150612,0.014,0.051,0.017,1434130817
71,20150612,0.039,0.040,0.016,1434130818
72,20150612,0.026,0.053,0.009,1434130819
73,20150612,0.036,0.043,0.015,1434130820
74,20150612,0.024,0.026,0.014,1434130821
75,20150612,0.016,0.017,0.012,1434130822
76,20150612,0.013,0.013,0.011,1434130823
77,20150612,0.012,0.012,0.013,1434130824
78,20150612,0.010,0.011,0.012,1434130825
79,20150612,0.010,0.011,0.011,1434130826
80,20150612,0.010,0.011,0.012,1434130827
81,20150612,0.010,0.010,0.012,1434130828
82,20150612,0.012,0.011,0.014,1434130829
83,20150612,0.012,0.010,0.015,1434130830
84,20150612,0.010,0.009,0.013,1434130831
85,20150612,0.012,0.010,0.013,1434130832
86,20150612,0.010,0.009,0.012,1434130833
87,20150612,0.010,0.010,0.012,1434130834
88,20150612,0.010,0.009,0.012,1434130835
89,20150612,0.011,0.010,0.015,1434130836
90,20150612,0.013,0.009,0.017,1434130837
91,20150612,0.012,0.009,0.015,1434130838
92,20150612,0.013,0.009,0.015,1434130839
93,20150612,0.012,0.010,0.016,1434130840
94,20150612,0.011,0.009,0.014,1434130841
95,20150612,0.012,0.010,0.014,1434130842
96,20150612,0.012,0.008,0.014,1434130843
97,20150612,0.012,0.010,0.015,1434130844
98,20150612,0.012,0.010,0.016,1434130845
99,20150612,0.011,0.009,0.015,1434130846
100,20150612,0.011,0.010,0.014,1434130847
101,20150612,0.011,0.010,0.015,1434130848
102,20150612,0.010,0.009,0.014,1434130849
103,20150612,0.011,0.009,0.015,1434130850
104,20150612,0.011,0.009,0.016,1434130851
105,20150612,0.011,0.010,0.016,1434130852
106,20150612,0.011,0.009,0.016,1434130853
107,20150612,0.011,0.009,0.016,1434130854
108,20150612,0.010,0.009,0.014,1434130855
109,20150612,0.011,0.010,0.014,1434130856
110,20150612,0.012,0.009,0.017,1434130857
111,20150612,0.011,0.009,0.017,1434130858
112,20150612,0.011,0.009,0.017,1434130859
113,20150612,0.012,0.009,0.017,1434130860
114,20150612,0.011,0.010,0.017,1434130861
115,20150612,0.010,0.008,0.018,1434130862
116,20150612,0.011,0.008,0.016,1434130863
117,20150612,0.011,0.009,0.015,1434130864
118,20150612,0.011,0.009,0.015,1434130865
119,20150612,0.011,0.007,0.017,1434130866
120,20150612,0.011,0.009,0.017,1434130867
121,20150612,0.011,0.008,0.017,1434130868
122,20150612,0.011,0.009,0.016,1434130869
123,20150612,0.010,0.008,0.016,1434130870
124,20150612,0.011,0.009,0.017,1434130871
125,20150612,0.011,0.010,0.016,1434130872
126,20150612,0.011,0.008,0.018,1434130873
127,20150612,0.011,0.009,0.016,1434130874
128,20150612,0.010,0.009,0.016,1434130875
129,20150612,0.011,0.009,0.019,1434130876
130,20150612,0.010,0.009,0.015,1434130877
131,20150612,0.011,0.009,0.017,1434130878
132,20150612,0.011,0.009,0.017,1434130879
133,20150612,0.010,0.010,0.015,1434130880
134,20150612,0.011,0.009,0.016,1434130881
135,20150612,0.010,0.009,0.015,1434130882
136,20150612,0.011,0.009,0.017,1434130883
137,20150612,0.011,0.009,0.016,1434130884
138,20150612,0.011,0.009,0.016,1434130885
139,20150612,0.010,0.009,0.014,1434130886
140,20150612,0.010,0.009,0.014,1434130887
141,20150612,0.011,0.009,0.015,1434130888
142,20150612,0.011,0.010,0.016,1434130889
143,20150612,0.012,0.010,0.014,1434130890
144,20150612,0.012,0.011,0.017,1434130891
145,20150612,0.011,0.009,0.016,1434130892
146,20150612,0.011,0.009,0.015,1434130893
147,20150612,0.011,0.008,0.016,1434130894
148,20150612,0.010,0.008,0.014,1434130895
149,20150612,0.011,0.008,0.016,1434130896
150,20150612,0.011,0.009,0.016,1434130897
151,20150612,0.011,0.009,0.016,1434130898
152,20150612,0.011,0.008,0.015,1434130899
153,20150612,0.011,0.009,0.016,1434130900
154,20150612,0.011,0.008,0.016,1434130901
155,20150612,0.012,0.010,0.017,1434130902
156,20150612,0.011,0.009,0.017,1434130903
157,20150612,0.011,0.008,0.016,1434130904
158,20150612,0.011,0.008,0.016,1434130905
159,20150612,0.012,0.008,0.017,1434130906
160,20150612,0.011,0.007,0.016,1434130907
