index,time,xAxis,yAxis,zAxis
0,1434130755762,-0.00277,-0.00846,-0.00549
1,1434130755763,-0.00768,-0.01302,-0.00127
2,1434130755785,-0.01552,-0.01589,0.00133
3,1434130755787,-0.00070,-0.00412,0.01044
4,1434130755787,0.01507,-0.01189,-0.00102
5,1434130755835,0.02143,-0.00404,-0.00082
6,1434130755836,0.01402,-0.00011,-0.00066
7,1434130755883,0.00809,-0.00009,-0.00599
8,1434130755884,0.02444,-0.00007,0.00067
9,1434130755885,0.01643,-0.00318,-0.00180
10,1434130755932,0.00455,-0.00489,-0.00144
11,1434130755934,0.00364,-0.00157,-0.00428
12,1434130755990,-0.00334,0.00187,0.00204
13,1434130755992,0.00670,-0.00710,-0.00071
14,1434130755993,0.01083,-0.00568,-0.00994
15,1434130756032,0.00867,-0.00767,-0.00483
16,1434130756033,-0.01416,-0.00301,0.00473
17,1434130756089,-0.03242,0.00619,0.00691
18,1434130756091,-0.01734,0.00495,0.00240
19,1434130756092,0.01425,-0.00463,-0.00667
20,1434130756138,0.02624,-0.00683,-0.00221
21,1434130756140,0.00615,0.00078,-0.00177
22,1434130756187,-0.01383,0.00610,0.00171
23,1434130756191,0.00144,0.00800,0.00137
24,1434130756201,0.00740,0.00640,0.00109
25,1434130756237,0.00592,0.00512,0.00322
26,1434130756237,-0.00151,0.00410,-0.00289
27,1434130756277,-0.02543,0.00328,0.00315
28,1434130756278,-0.02659,0.00575,0.01815
29,1434130756279,0.00607,-0.00478,-0.00111
30,1434130756322,0.02907,-0.00382,-0.01260
31,1434130756323,0.01701,0.00944,-0.01008
32,1434130756374,-0.00124,0.01380,-0.00494
33,1434130756376,-0.01349,0.00479,0.00777
34,1434130756378,0.00171,-0.00242,0.00621
35,1434130756429,0.01621,-0.01053,-0.00362
36,1434130756431,-0.00500,-0.00608,-0.01540
37,1434130756471,-0.02509,0.00451,-0.00607
38,1434130756472,-0.03883,0.00986,0.00452
39,1434130756474,-0.02481,0.01101,0.00596
40,1434130756520,-0.00500,0.00569,-0.00070
41,1434130756521,-0.00635,-0.00483,0.00491
42,1434130756568,-0.00508,0.00239,0.01018
43,1434130756570,0.00766,0.00191,0.00502
44,1434130756574,0.00925,0.00153,0.01026
45,1434130756619,-0.00744,0.00747,0.01446
46,1434130756621,0.00889,0.00598,0.00844
47,1434130756666,0.01961,0.00791,-0.00262
48,1434130756668,0.02741,0.00633,0.00103
49,1434130756670,0.01880,0.01444,-0.00543
50,1434130756715,-0.01230,0.02639,-0.00434
51,1434130756716,-0.10750,0.05783,0.00278
52,1434130756771,-0.12584,0.01580,0.00222
53,1434130756772,-0.00302,-0.01158,0.01115
54,1434130756773,0.10774,-0.00926,0.01517
55,1434130756819,0.12604,-0.01054,-0.04880
56,1434130756822,0.09145,-0.01468,-0.04529
57,1434130756861,-0.00574,0.00623,0.01533
58,1434130756864,-0.07178,0.02061,0.03961
59,1434130756866,-0.08477,0.00398,0.03481
60,1434130756911,-0.06235,-0.00541,-0.01121
61,1434130756912,-0.01941,-0.00433,-0.00663
62,1434130756956,-0.01240,0.04498,0.01345
63,1434130756957,-0.02789,0.01489,0.04748
64,1434130756958,-0.04966,0.01738,0.05908
65,1434130757034,0.02434,-0.01032,0.01054
66,1434130757035,0.04056,-0.03872,-0.04000
67,1434130757056,-0.04099,-0.05207,-0.06560
68,1434130757058,-0.00779,-0.04791,-0.01029
69,1434130757058,0.01174,-0.04458,-0.00511
70,1434130757109,0.03986,-0.02316,-0.00721
71,1434130757111,0.04439,-0.00681,-0.01124
72,1434130757156,-0.05590,0.00393,-0.01524
73,1434130757157,-0.07284,0.01564,-0.00594
74,1434130757203,-0.03952,0.01564,-0.03210
75,1434130757207,0.00510,0.01251,-0.08115
76,1434130757207,0.02517,0.01626,-0.10476
77,1434130757261,0.04748,0.03723,-0.08068
