index,time,xAxis,yAxis,zAxis
0,1434130755754,0.00724,0.00877,0.01888
1,1434130755755,0.01473,-0.00686,0.03294
2,1434130755756,0.02205,-0.00067,0.02228
3,1434130755770,0.00917,-0.00207,0.00513
4,1434130755801,0.00742,-0.00728,-0.02172
5,1434130755817,0.01461,-0.01401,-0.01354
6,1434130755834,0.02337,-0.02400,-0.00773
7,1434130755863,0.01451,-0.02011,-0.01587
8,1434130755879,0.00841,-0.00785,-0.03280
9,1434130755896,0.01161,-0.00436,-0.02533
10,1434130755912,0.01423,-0.01382,0.00554
11,1434130755942,0.01596,-0.01531,0.00885
12,1434130755959,0.00832,-0.00066,0.00314
13,1434130755975,0.00618,0.00498,-0.00177
14,1434130756007,-0.00736,0.01099,0.00504
15,1434130756022,-0.00728,0.01022,0.00203
16,1434130756037,0.01038,0.00818,0.00474
17,1434130756053,0.01570,-0.00082,0.00594
18,1434130756088,-0.00667,-0.00147,0.00102
19,1434130756100,-0.01419,0.00160,-0.02133
20,1434130756115,0.00449,0.00015,-0.02089
21,1434130756147,0.02843,-0.01113,0.00512
22,1434130756163,0.01599,-0.01558,0.02573
23,1434130756186,-0.01231,-0.00744,0.01854
24,1434130756197,-0.03159,0.00644,0.00948
25,1434130756225,-0.02404,0.01510,0.00769
26,1434130756240,-0.00130,0.01777,-0.00810
27,1434130756256,-0.00878,0.02235,-0.05758
28,1434130756287,-0.01076,0.04773,-0.09927
29,1434130756304,-0.03775,0.02005,0.00371
30,1434130756320,0.00163,-0.03614,0.09162
31,1434130756334,0.02670,-0.03996,0.04981
32,1434130756370,0.00570,0.00453,-0.03633
33,1434130756398,-0.00691,0.01092,-0.06168
34,1434130756400,-0.00320,-0.00292,-0.01553
35,1434130756430,0.02027,-0.01899,0.03325
36,1434130756445,0.02614,-0.02833,0.07098
37,1434130756462,0.01319,-0.02991,0.07215
38,1434130756476,-0.01093,-0.00913,0.01853
39,1434130756509,-0.02410,0.01718,-0.02152
40,1434130756523,-0.01355,0.01883,-0.02419
41,1434130756539,-0.01305,0.01387,-0.00849
42,1434130756571,-0.02228,0.01406,-0.01479
43,1434130756586,-0.01869,0.01470,-0.01971
44,1434130756603,-0.01050,0.00294,-0.00189
45,1434130756617,-0.01021,-0.01311,-0.00310
46,1434130756649,-0.00790,-0.01418,-0.00427
47,1434130756664,-0.01472,-0.01810,-0.00013
48,1434130756680,-0.04082,-0.00842,0.02187
49,1434130756712,-0.23698,0.09047,0.48658
50,1434130756727,-0.02014,0.15136,-0.17502
51,1434130756744,0.05593,0.01840,-0.13939
52,1434130756761,0.10853,-0.12257,-0.04014
53,1434130756790,0.09384,-0.16698,-0.08625
54,1434130756807,0.05748,-0.06403,0.00756
55,1434130756820,0.01794,0.00860,-0.05997
56,1434130756853,-0.07724,0.10123,-0.09586
57,1434130756868,-0.06076,0.08238,0.01124
58,1434130756885,0.04823,-0.00535,0.07053
59,1434130756903,0.08531,-0.10116,0.14178
60,1434130756930,-0.15122,0.02137,-0.05642
61,1434130756947,-0.22407,0.18915,-0.15535
62,1434130756962,-0.10756,0.06618,-0.12204
63,1434130756995,-0.02536,-0.02014,0.12132
64,1434130757009,0.06728,-0.05123,0.18610
65,1434130757025,0.18315,-0.11570,0.15699
66,1434130757041,0.13314,-0.09233,0.09068
67,1434130757073,0.09086,-0.05182,-0.04630
68,1434130757089,0.00257,-0.03868,-0.04704
69,1434130757108,-0.12442,0.02611,0.02367
70,1434130757137,-0.01290,0.05630,0.04502
71,1434130757154,0.05506,-0.05197,0.03825
72,1434130757166,0.00520,-0.01858,0.05583
73,1434130757184,-0.03201,-0.00881,0.07548
74,1434130757213,0.02254,-0.06435,0.02158
75,1434130757229,0.04823,-0.11774,0.00647
76,1434130757247,0.03533,-0.16067,0.00060
77,1434130757261,-0.01837,-0.16084,-0.04862
78,1434130757294,-0.05672,-0.11096,-0.15661
79,1434130757308,-0.03990,-0.04788,-0.23578
80,1434130757323,-0.00249,0.00201,-0.17182
81,1434130757342,0.02114,-0.01824,-0.01725
82,1434130757372,0.02636,-0.05184,0.16053
83,1434130757387,0.00795,-0.04950,0.21476
84,1434130757401,0.00308,-0.02990,0.20032
85,1434130757434,-0.02975,0.01406,0.10151
86,1434130757455,-0.02723,0.06459,-0.04930
87,1434130757464,-0.02421,0.09609,-0.14173
88,1434130757496,-0.01424,0.10947,-0.13431
89,1434130757511,0.02586,0.10418,-0.09346
90,1434130757527,0.06887,0.05773,-0.01872
91,1434130757542,0.07433,-0.00256,0.03756
92,1434130757574,0.05416,-0.03291,0.06238
93,1434130757591,0.02743,-0.04363,0.05408
94,1434130757605,0.00146,-0.03001,-0.00757
95,1434130757637,-0.00646,-0.00067,-0.08337
96,1434130757653,-0.01104,0.01368,-0.09760
97,1434130757668,0.01624,0.01567,-0.08280
98,1434130757686,0.03655,0.01857,-0.04512
99,1434130757715,0.01255,0.04710,0.00373
100,1434130757733,-0.00981,0.06541,0.04130
101,1434130757746,-0.01813,0.07099,0.05018
102,1434130757777,0.01379,0.05771,0.04093
103,1434130757793,0.05490,0.02512,0.01936
104,1434130757810,0.04295,0.01762,0.03328
105,1434130757825,0.00530,0.01764,0.06773
106,1434130757857,0.00726,-0.00410,0.06100
107,1434130757873,0.02196,-0.00912,-0.00249
108,1434130757888,-0.02061,0.00885,-0.05328
109,1434130757919,-0.07398,0.03131,-0.07936
110,1434130757937,-0.10678,0.05103,-0.06717
111,1434130757950,-0.12022,0.03000,0.03606
112,1434130757971,-0.08425,-0.02781,0.11694
113,1434130757998,-0.02550,-0.11928,0.13644
114,1434130758014,0.02862,-0.17294,0.08353
115,1434130758028,0.05313,-0.13701,-0.02462
116,1434130758062,0.01000,-0.08373,-0.04575
117,1434130758078,-0.04933,-0.04780,0.00464
118,1434130758092,-0.06341,-0.01818,0.04079
119,1434130758111,-0.05580,0.00335,0.03945
120,1434130758138,-0.04367,0.01433,0.00343
121,1434130758157,-0.03076,0.02976,-0.06348
122,1434130758175,-0.01296,0.04962,-0.11271
123,1434130758202,0.02599,0.05376,-0.12989
124,1434130758218,0.03727,0.04045,-0.10090
125,1434130758232,0.00868,0.02437,-0.05957
126,1434130758250,0.04102,0.00455,-0.03328
127,1434130758280,0.05954,-0.01831,-0.00311
128,1434130758296,0.05159,-0.00945,0.00998
129,1434130758324,-0.01734,0.02229,0.04751
130,1434130758342,-0.07336,0.05330,0.03854
131,1434130758358,-0.05289,0.07014,-0.00238
132,1434130758380,-0.04003,0.10408,0.00523
133,1434130758389,-0.03124,0.15165,0.11469
134,1434130758421,-0.12377,0.17976,0.35056
135,1434130758437,0.00946,0.01827,0.09699
136,1434130758453,0.08851,-0.04297,-0.09230
137,1434130758484,0.13042,-0.09057,-0.24709
138,1434130758500,0.12806,-0.13969,-0.19889
139,1434130758518,0.13403,-0.11270,-0.01167
140,1434130758532,0.18924,-0.05064,-0.01077
141,1434130758567,0.11557,-0.00450,0.02451
142,1434130758578,-0.07548,0.07362,0.13991
143,1434130758596,-0.04756,0.02034,0.08501
144,1434130758614,0.04074,-0.08906,0.17415
145,1434130758642,0.09782,-0.23458,0.05934
146,1434130758658,0.01637,-0.18924,0.04063
147,1434130758672,-0.08342,-0.08427,-0.01329
148,1434130758705,-0.10204,-0.03777,-0.16143
149,1434130758721,-0.19255,-0.00116,-0.10711
150,1434130758736,-0.18643,0.04145,-0.01970
151,1434130758766,0.00634,-0.00989,-0.17687
152,1434130758783,0.04303,-0.02343,-0.18969
153,1434130758798,0.03828,0.01195,-0.09258
154,1434130758813,-0.05117,0.08830,0.03849
155,1434130758848,-0.26924,0.21781,0.03674
156,1434130758862,-0.38779,0.37087,0.03233
157,1434130758875,-0.14236,0.17264,-0.05327
158,1434130758910,-0.02686,-0.12585,-0.02761
159,1434130758923,0.08234,-0.17221,0.12946
160,1434130758943,0.12094,-0.18003,0.15559
161,1434130758969,0.01514,-0.06544,0.09524
162,1434130758987,-0.02213,0.03761,0.02521
163,1434130759004,-0.05475,0.04626,0.01455
164,1434130759016,-0.05590,0.03266,0.03700
