index,time,xAxis,yAxis,zAxis
0,1434130755760,0.01140,0.00575,0.05849
1,1434130755761,-0.05494,-0.02353,-0.05399
2,1434130755762,-0.00411,-0.02429,-0.10413
3,1434130755780,0.08187,0.00166,-0.09580
4,1434130755783,0.11471,0.00758,-0.03367
5,1434130755829,0.10037,0.00919,0.02150
6,1434130755830,0.06232,-0.02624,-0.01015
7,1434130755833,0.09283,-0.03662,-0.03234
8,1434130755881,0.09536,-0.01992,0.00460
9,1434130755881,0.06066,-0.02219,0.02477
10,1434130755927,0.05478,-0.02400,0.01123
11,1434130755929,0.06570,-0.02232,0.00898
12,1434130755933,0.04631,-0.03270,-0.01157
13,1434130755986,0.02767,-0.01679,0.00012
14,1434130755992,-0.01458,0.01391,0.01494
15,1434130756025,-0.02104,0.00801,0.00883
16,1434130756027,-0.03793,-0.00297,-0.00778
17,1434130756031,0.00013,0.01012,0.00862
18,1434130756089,-0.00615,0.01982,0.04049
19,1434130756090,-0.01117,0.01585,0.02692
20,1434130756131,0.00357,0.01268,0.00591
21,1434130756135,-0.06434,0.00155,-0.02261
22,1434130756139,-0.09444,0.00984,-0.03372
23,1434130756179,-0.00211,0.02662,0.00662
24,1434130756199,0.01081,0.03067,0.03577
25,1434130756223,0.00552,0.03313,0.05049
26,1434130756227,-0.02918,0.02963,0.01617
27,1434130756227,-0.09990,0.00886,-0.03003
28,1434130756268,-0.09789,0.01881,-0.05137
29,1434130756274,-0.02988,0.06114,0.03781
30,1434130756317,0.02844,0.03641,0.03962
31,1434130756321,-0.02646,-0.01618,-0.06283
32,1434130756322,0.02180,-0.01607,-0.07136
33,1434130756372,0.06900,-0.03473,-0.11568
34,1434130756377,0.12551,-0.07310,-0.16520
35,1434130756426,0.20119,-0.07410,-0.15716
36,1434130756431,0.23752,-0.07413,-0.14057
37,1434130756432,0.28142,-0.02571,-0.10933
38,1434130756470,0.22514,-0.02369,-0.14840
39,1434130756472,0.24105,-0.05567,-0.27810
40,1434130756515,0.18659,-0.02969,-0.35920
41,1434130756517,0.12193,-0.00813,-0.44361
42,1434130756519,0.22254,-0.01900,-0.49786
43,1434130756567,0.31553,-0.06364,-0.48657
44,1434130756572,0.24930,-0.01419,-0.41425
45,1434130756611,0.15100,0.03396,-0.31265
46,1434130756613,0.12627,0.01232,-0.32043
47,1434130756615,0.12914,0.00986,-0.28369
48,1434130756662,0.06034,0.03210,-0.22070
49,1434130756667,0.14593,0.07178,-0.10703
50,1434130756709,0.16518,0.07539,-0.02703
51,1434130756713,0.02277,0.03922,-0.06459
52,1434130756714,-0.07319,0.15638,0.02176
53,1434130756770,-0.04058,0.07901,-0.03806
54,1434130756773,-0.01137,-0.03133,-0.02420
55,1434130756814,-0.04504,0.00853,0.06658
56,1434130756821,-0.16181,0.01620,0.03139
57,1434130756822,-0.05914,0.06452,-0.11239
58,1434130756859,0.10269,-0.04291,-0.12897
59,1434130756861,0.05168,-0.04917,-0.03912
60,1434130756908,-0.01100,0.00597,0.01714
61,1434130756913,0.02167,-0.05928,0.05043
62,1434130756914,-0.04985,-0.02321,-0.00809
63,1434130756951,-0.00629,0.00643,-0.02835
64,1434130756953,0.04731,0.06608,0.20310
65,1434130757033,0.00738,0.03724,0.15936
66,1434130757037,0.02388,-0.04911,0.08842
67,1434130757039,-0.02074,0.04274,0.06449
68,1434130757055,-0.00722,0.09201,0.05159
69,1434130757056,0.07391,0.00642,0.00143
70,1434130757109,0.06460,0.06685,-0.03558
71,1434130757112,0.03058,0.03161,-0.08627
72,1434130757113,-0.01538,-0.04190,-0.18542
73,1434130757150,-0.04902,0.03367,-0.02881
74,1434130757156,-0.08453,0.03631,-0.03242
75,1434130757198,-0.04965,0.00795,-0.05016
76,1434130757201,-0.08816,-0.00301,-0.08309
77,1434130757205,-0.06193,0.06165,0.02181
78,1434130757260,-0.20502,0.07979,0.02995
79,1434130757267,-0.10620,0.12477,0.12786
80,1434130757303,-0.11855,0.14278,0.15073
81,1434130757311,-0.04875,0.16267,-0.02239
82,1434130757314,0.17194,0.22779,0.03365
83,1434130757349,0.09771,0.01739,0.15817
84,1434130757350,0.18520,0.46313,0.27341
85,1434130757398,0.30988,0.25410,0.23357
86,1434130757400,0.23540,0.00171,0.25717
87,1434130757402,-0.14449,0.05684,0.09246
88,1434130757447,-0.42653,0.04860,0.13881
89,1434130757460,-0.17951,0.24591,0.05245
90,1434130757461,-0.11001,-0.10796,0.07243
91,1434130757488,-0.01223,0.21207,0.00951
92,1434130757492,0.05741,-0.20222,0.12323
93,1434130757536,-0.15798,-0.03678,-0.00220
94,1434130757540,-0.17873,-0.01380,0.01699
95,1434130757544,-0.20392,0.04990,0.07141
96,1434130757588,-0.08345,0.13445,0.18838
97,1434130757593,0.03402,0.26616,0.22101
98,1434130757640,0.02097,0.16683,0.11587
99,1434130757642,0.05037,0.03581,-0.04168
100,1434130757643,-0.04877,-0.00807,-0.06381
101,1434130757685,-0.06636,0.04276,-0.01745
102,1434130757687,-0.17809,-0.01813,-0.11474
103,1434130757736,-0.14559,0.01909,-0.07695
104,1434130757738,-0.08288,0.11292,0.01813
105,1434130757739,-0.06006,0.18800,0.09653
106,1434130757782,-0.20039,0.16915,0.11707
107,1434130757783,-0.21578,0.12907,0.12100
