index,time,xAxis,yAxis,zAxis
0,1434124104653,-0.00406,-0.02132,-0.04958
1,1434124104654,0.01238,-0.00768,0.02439
2,1434124104692,0.02475,-0.00302,0.03827
3,1434124104693,0.02605,0.00696,0.02749
4,1434124104694,0.00287,0.00557,-0.01160
5,1434124104741,-0.00708,-0.01117,-0.03428
6,1434124104742,-0.00566,-0.00894,-0.02430
7,1434124104790,0.00797,0.00222,0.02978
8,1434124104792,-0.00925,0.00490,0.02382
9,1434124104793,-0.01365,-0.00233,-0.00829
10,1434124104844,0.00471,-0.00811,-0.01600
11,1434124104848,0.00376,-0.00649,-0.00030
12,1434124104898,0.00301,-0.00207,0.01148
13,1434124104899,-0.00072,-0.00165,-0.00019
14,1434124104901,0.00255,0.00180,-0.01500
15,1434124104940,0.01142,-0.00481,-0.00575
16,1434124104941,0.00288,0.00240,0.00712
17,1434124104988,-0.00394,-0.00433,-0.00290
18,1434124104989,-0.00940,-0.00034,-0.00857
19,1434124104990,0.00810,-0.00027,-0.00060
20,1434124105039,-0.00289,-0.00022,0.00264
21,1434124105040,-0.00544,-0.00017,0.00446
22,1434124105088,0.00190,-0.00639,-0.00190
23,1434124105089,-0.00161,0.00426,0.00160
24,1434124105091,0.00184,0.00654,-0.00809
25,1434124105138,-0.00478,0.00523,-0.00335
26,1434124105140,0.00868,0.00418,0.00357
27,1434124105193,0.00382,-0.00290,-0.00339
28,1434124105198,-0.02429,0.00080,-0.02147
29,1434124105203,-0.00459,0.00377,-0.01405
30,1434124105236,0.01742,0.00301,0.00439
31,1434124105239,0.01706,-0.00071,0.00976
32,1434124105283,0.01678,-0.00057,0.01328
33,1434124105287,-0.01080,-0.00046,-0.00422
34,1434124105289,0.00386,0.00901,-0.01900
35,1434124105332,0.01168,0.00721,-0.00895
36,1434124105337,0.00075,0.00577,0.02018
37,1434124105375,0.00060,-0.00789,0.00990
38,1434124105377,-0.00577,-0.01256,-0.00693
39,1434124105378,-0.01399,-0.00380,-0.01179
40,1434124105473,-0.02057,-0.00616,-0.01256
41,1434124105477,0.00542,-0.01118,-0.01630
42,1434124105478,0.02231,-0.00582,-0.01538
43,1434124105479,-0.00950,-0.00153,-0.01855
44,1434124105527,-0.00447,-0.00747,0.00625
45,1434124105534,-0.00358,-0.00285,-0.00984
46,1434124105538,0.02136,-0.00541,-0.01725
47,1434124105575,0.01396,-0.01370,-0.00755
48,1434124105580,0.00804,-0.01331,-0.00604
49,1434124105583,0.00331,-0.01064,0.00376
50,1434124105625,0.01202,-0.00305,0.00301
51,1434124105630,0.00337,0.00381,0.00241
52,1434124105675,0.00894,0.00305,0.01130
53,1434124105679,0.00403,-0.00068,0.01842
54,1434124105681,-0.01474,-0.00914,0.00223
55,1434124105719,-0.01805,-0.01044,-0.00446
56,1434124105723,-0.01444,-0.00523,-0.00904
57,1434124105770,-0.01155,0.00754,0.00761
58,1434124105774,-0.00924,0.00603,0.01859
59,1434124105869,-0.00427,0.00170,0.01800
60,1434124105882,-0.00341,0.00448,0.01127
61,1434124105883,-0.00273,0.00671,0.00902
62,1434124105885,0.01032,0.00850,0.00409
63,1434124105923,-0.00425,0.00992,0.00015
64,1434124105929,0.00285,0.00794,-0.00301
65,1434124105930,-0.01334,0.01260,-0.00241
66,1434124105931,-0.00442,0.01008,-0.00505
67,1434124105962,0.00271,0.01431,-0.00092
68,1434124105964,0.00529,0.00520,0.01177
69,1434124106017,-0.00202,0.01275,0.01801
70,1434124106020,-0.00474,-0.00152,0.00816
71,1434124106022,-0.00379,-0.00121,0.00418
72,1434124106063,-0.00616,-0.01659,0.00022
73,1434124106069,-0.00180,-0.01953,0.00018
74,1434124106114,0.00481,-0.01562,0.00561
75,1434124106118,0.02182,-0.01484,0.01386
76,1434124106160,0.03620,-0.00953,0.01734
77,1434124106165,0.01646,-0.02247,0.00137
78,1434124106167,0.02255,-0.01797,-0.00750
79,1434124106214,0.01804,-0.00500,-0.00912
