index,time,xAxis,yAxis,zAxis
0,1434124104648,0.10910,0.04544,0.01200
1,1434124104648,-0.01177,-0.02367,-0.05377
2,1434124104652,-0.11790,-0.04984,-0.03772
3,1434124104683,-0.07128,-0.01109,0.01706
4,1434124104698,0.03051,0.01387,0.01617
5,1434124104714,0.07258,0.02031,-0.00623
6,1434124104745,0.03372,0.00310,-0.02122
7,1434124104761,-0.03319,-0.02451,-0.00315
8,1434124104777,-0.03329,-0.00984,0.03776
9,1434124104792,0.01518,0.00852,0.01728
10,1434124104825,0.05540,0.02962,-0.03087
11,1434124104840,0.05635,0.03197,-0.03072
12,1434124104855,-0.00216,-0.00731,-0.00142
13,1434124104890,-0.02916,-0.01026,0.04933
14,1434124104902,0.00043,0.00367,0.02994
15,1434124104921,0.02578,0.00584,-0.01146
16,1434124104936,0.03951,0.02484,-0.03162
17,1434124104965,0.02348,0.01188,-0.03381
18,1434124104987,0.00748,-0.00455,0.00576
19,1434124104996,-0.00643,-0.01174,0.02380
20,1434124105029,-0.01075,-0.00674,0.02317
21,1434124105043,0.00621,0.00675,0.03044
22,1434124105060,0.05594,0.01321,-0.00659
23,1434124105076,0.05469,-0.02051,-0.06489
24,1434124105107,0.00895,-0.00609,-0.01366
25,1434124105123,-0.01274,0.03820,0.00769
26,1434124105139,0.01133,0.03527,-0.00008
27,1434124105170,0.04520,0.00100,0.01962
28,1434124105186,0.10650,-0.06657,-0.03810
29,1434124105201,0.08900,-0.10012,-0.05107
30,1434124105217,0.00290,-0.05654,0.00118
31,1434124105249,-0.04574,-0.01332,0.01417
32,1434124105264,-0.05971,-0.04082,0.05308
33,1434124105279,-0.04727,-0.07385,0.03579
34,1434124105311,-0.04227,-0.06846,0.01384
35,1434124105328,-0.02533,-0.02056,0.00494
36,1434124105342,-0.01263,-0.00936,0.01787
37,1434124105356,-0.02462,-0.02729,0.01931
38,1434124105389,-0.00234,-0.03474,0.02789
39,1434124105405,0.01435,-0.01085,0.00882
40,1434124105420,0.00367,-0.01628,0.00378
41,1434124105453,-0.01106,-0.01890,0.01373
42,1434124105467,-0.03008,-0.00131,0.01555
43,1434124105482,-0.01235,-0.03272,-0.01744
44,1434124105500,0.01676,-0.09012,-0.05343
45,1434124105530,0.02105,-0.07386,0.02926
46,1434124105545,-0.00056,-0.01786,0.02024
47,1434124105562,0.01924,0.02138,-0.11619
48,1434124105593,0.04902,-0.00220,-0.12826
49,1434124105609,0.07916,-0.03365,-0.06008
50,1434124105627,0.06699,-0.03675,-0.01202
51,1434124105641,0.12296,-0.06211,-0.03435
52,1434124105671,0.11681,-0.06862,-0.14245
53,1434124105686,0.26245,-0.07965,-0.16460
54,1434124105704,0.21058,-0.09942,-0.10026
55,1434124105735,-0.04428,-0.07554,0.20457
56,1434124105751,-0.13595,-0.05165,-0.07195
57,1434124105768,0.00932,-0.04643,-0.32485
58,1434124105781,0.20728,-0.04244,-0.16289
59,1434124105815,0.41022,-0.09037,0.12043
60,1434124105827,0.22314,-0.02900,0.14895
61,1434124105844,0.17991,-0.06946,0.00626
62,1434124105876,0.20801,-0.09294,-0.03635
63,1434124105891,0.17740,-0.09952,-0.07505
64,1434124105906,0.23801,-0.04472,-0.10955
65,1434124105929,0.26144,-0.03181,-0.07756
66,1434124105955,0.17134,-0.09846,0.03244
67,1434124105969,0.22351,-0.09152,-0.03500
68,1434124105985,0.19702,-0.02843,-0.05378
69,1434124106001,0.15505,-0.07797,-0.18513
70,1434124106033,0.08951,-0.01819,-0.19346
71,1434124106048,-0.06684,-0.09510,-0.23565
72,1434124106067,-0.18049,-0.12784,-0.29589
73,1434124106097,-0.03652,-0.10134,-0.33247
74,1434124106111,0.25395,-0.16598,-0.17370
75,1434124106125,0.04849,-0.31916,0.05458
76,1434124106142,-0.27839,-0.26954,0.08835
77,1434124106173,-0.21105,-0.12959,-0.17568
78,1434124106189,-0.12560,-0.09743,-0.10587
79,1434124106206,-0.19225,-0.12379,0.04025
80,1434124106241,-0.19533,-0.07382,0.06781
81,1434124106251,-0.16528,-0.03097,0.04057
82,1434124106267,-0.04068,-0.10913,-0.00506
83,1434124106283,-0.06756,-0.03627,-0.07015
84,1434124106314,-0.14399,-0.04877,-0.02334
85,1434124106330,-0.08963,-0.03437,-0.03369
86,1434124106346,0.01484,-0.05573,-0.10260
87,1434124106378,0.05974,-0.07327,-0.15387
88,1434124106394,-0.00918,-0.06935,-0.20257
89,1434124106408,-0.05396,-0.02611,-0.21285
90,1434124106423,-0.01440,-0.01483,0.00271
91,1434124106454,0.11960,-0.11602,-0.11326
92,1434124106470,0.01149,-0.08068,-0.20109
93,1434124106487,-0.09440,-0.00240,-0.18971
94,1434124106518,-0.04170,-0.00400,-0.08576
95,1434124106533,-0.02891,-0.03641,-0.03443
96,1434124106549,0.00820,-0.10119,0.05410
97,1434124106565,-0.07492,-0.16718,0.08038
98,1434124106597,-0.06001,-0.11757,0.03841
99,1434124106613,-0.10457,-0.01631,-0.02874
100,1434124106628,-0.14737,0.08475,-0.06558
101,1434124106660,0.02765,0.06478,0.03191
102,1434124106675,0.03711,-0.08284,0.16790
103,1434124106691,-0.08461,-0.17245,0.27148
104,1434124106707,-0.20419,-0.12584,0.06722
105,1434124106738,-0.07868,0.05717,-0.10121
106,1434124106753,0.05297,0.15534,-0.08874
107,1434124106770,0.05786,0.09109,-0.07910
108,1434124106800,-0.04314,0.06502,-0.01282
109,1434124106818,-0.14572,0.09071,-0.06094
110,1434124106832,-0.11139,0.09975,-0.16531
111,1434124106848,0.01467,0.07942,-0.18277
112,1434124106880,0.05267,-0.04605,-0.05313
113,1434124106897,-0.00320,-0.12434,0.06412
114,1434124106910,-0.05389,-0.18772,0.18186
115,1434124106945,0.02952,-0.17934,0.19351
116,1434124106957,0.12749,-0.07799,0.07757
117,1434124106976,0.19229,-0.01919,-0.04489
118,1434124106988,0.08626,0.14430,-0.03214
119,1434124107022,-0.13354,0.34555,0.00346
120,1434124107035,-0.21817,0.39435,-0.04744
121,1434124107052,-0.25479,0.41820,-0.05686
122,1434124107083,-0.26246,0.36082,-0.04400
123,1434124107097,-0.11458,-0.00403,-0.10609
124,1434124107116,0.33376,-1.51555,-0.23659
125,1434124107131,0.27402,-1.88715,0.01204
126,1434124107161,-0.10584,-0.49265,-0.00780
127,1434124107177,-0.31752,0.42127,-0.02195
128,1434124107195,-0.24996,0.61061,-0.02994
129,1434124107222,-0.09524,0.54825,0.04595
130,1434124107239,-0.05885,0.38164,0.06776
131,1434124107256,0.03821,0.19511,0.08633
132,1434124107271,0.22958,-0.22955,0.14782
133,1434124107304,0.21864,-0.28044,0.28948
134,1434124107317,0.10903,-0.06730,0.23321
135,1434124107332,0.01020,0.17471,0.07811
136,1434124107364,-0.03489,0.25851,-0.00588
137,1434124107380,0.03528,0.15459,-0.04470
138,1434124107396,0.13446,0.01340,-0.11029
139,1434124107412,0.14006,-0.02341,-0.13295
140,1434124107443,0.02469,0.03517,-0.03546
141,1434124107460,-0.02374,0.05896,0.02851
142,1434124107476,-0.02086,0.03870,0.06379
143,1434124107509,-0.02487,0.00715,0.07275
144,1434124107523,-0.03122,0.00207,0.04623
145,1434124107537,-0.02665,-0.00465,-0.00789
146,1434124107552,-0.01289,-0.01187,-0.07761
147,1434124107584,-0.01065,-0.01185,-0.04653
148,1434124107600,-0.00836,-0.01149,0.02478
149,1434124107619,-0.02109,-0.00517,0.05960
150,1434124107647,-0.03798,0.00845,0.06761
151,1434124107665,-0.03532,0.01024,0.06798
152,1434124107677,-0.03125,0.00624,0.05647
153,1434124107695,-0.02902,-0.00390,0.03830
154,1434124107725,-0.03099,-0.01097,0.01725
155,1434124107740,-0.02675,-0.01480,-0.00978
156,1434124107759,-0.01104,-0.01544,-0.02662
157,1434124107787,0.00131,-0.00431,-0.01845
158,1434124107814,0.00519,0.00956,0.00280
159,1434124107818,0.01517,0.01280,0.01537
160,1434124107834,0.02135,0.01024,0.01951
161,1434124107869,0.01734,0.00446,0.01138
162,1434124107882,0.01037,-0.00269,-0.00242
163,1434124107902,0.00227,-0.01219,-0.02077
164,1434124107929,-0.00589,-0.01297,-0.03477
165,1434124107944,-0.01219,-0.00329,-0.02470
166,1434124107960,-0.00783,0.00259,-0.00675
167,1434124107976,0.00057,-0.00075,0.00584
168,1434124108014,0.00634,-0.00347,0.00146
169,1434124108023,0.00835,0.00051,-0.00774
170,1434124108038,0.00516,0.01069,-0.01796
171,1434124108070,-0.00931,0.02729,-0.01925
172,1434124108085,-0.01202,0.01932,-0.00577
173,1434124108104,-0.00170,0.00319,0.00754
174,1434124108116,0.00032,-0.00130,0.00771
175,1434124108151,0.00303,0.00219,-0.00532
176,1434124108164,0.01391,-0.00056,-0.01831
177,1434124108180,0.02634,-0.00816,-0.02754
178,1434124108210,0.03052,-0.00435,-0.02897
179,1434124108226,0.02441,0.00459,-0.01616
180,1434124108243,0.01672,0.00380,-0.00477
181,1434124108259,0.01150,-0.00035,0.00222
182,1434124108288,0.00191,0.00639,0.00257
183,1434124108304,-0.00225,0.00975,0.00408
184,1434124108320,0.00221,0.00747,0.00178
185,1434124108353,0.00583,0.00245,-0.00094
186,1434124108366,0.01010,0.00196,-0.00031
187,1434124108384,0.01033,0.00251,0.00275
188,1434124108399,0.00688,0.00125,0.00622
189,1434124108431,-0.00301,0.00369,0.01106
190,1434124108447,-0.00431,0.00094,0.01689
191,1434124108462,-0.00144,-0.00356,0.02039
192,1434124108494,0.00085,-0.00403,0.01278
193,1434124108509,0.00126,0.00127,0.00372
194,1434124108525,-0.00301,0.00152,0.00047
195,1434124108543,-0.00642,-0.00618,0.00849
196,1434124108578,-0.01071,-0.01042,0.01452
197,1434124108587,-0.01326,-0.00697,0.01357
198,1434124108603,-0.01551,-0.00042,0.00998
199,1434124108635,-0.01322,0.00093,0.00957
200,1434124108650,-0.00254,-0.00282,0.01030
201,1434124108666,0.00600,-0.00155,0.00713
202,1434124108683,0.01149,0.00278,0.00436
203,1434124108714,0.01342,0.00578,0.00640
204,1434124108731,0.01274,0.00529,0.00312
205,1434124108746,0.00818,0.00513,-0.00354
206,1434124108762,0.00455,0.00102,-0.00881
207,1434124108790,0.00519,-0.00637,-0.01068
208,1434124108805,0.00504,-0.00465,-0.00966
209,1434124108823,0.00604,0.00230,-0.00237
210,1434124108855,0.00662,0.00499,0.00726
211,1434124108872,0.00464,-0.00266,0.00980
212,1434124108886,0.00060,-0.01128,0.00856
213,1434124108901,-0.00199,-0.01597,0.00484
214,1434124108932,-0.00797,-0.01950,-0.00407
215,1434124108949,-0.01777,-0.01419,-0.01295
216,1434124108965,-0.02920,-0.00921,-0.02126
217,1434124108995,-0.03012,-0.02154,-0.01643
218,1434124109014,-0.02810,-0.03001,-0.00921
219,1434124109028,-0.02104,-0.01913,0.00395
220,1434124109042,-0.01234,0.00959,0.00955
221,1434124109078,-0.01532,0.03580,0.00728
222,1434124109088,-0.01372,0.03161,0.00811
223,1434124109108,-0.01027,0.01329,0.01319
224,1434124109135,-0.02209,0.00923,0.00471
225,1434124109152,-0.02342,0.01322,-0.00281
226,1434124109168,-0.01210,0.02464,-0.01647
227,1434124109184,-0.00157,0.01848,-0.01395
228,1434124109215,0.03130,-0.00300,0.00659
229,1434124109229,0.05694,-0.00817,0.00335
230,1434124109246,0.07038,0.00257,-0.04404
231,1434124109278,0.07526,0.03659,-0.11225
232,1434124109302,0.06035,0.05254,-0.08874
233,1434124109311,0.05287,0.01338,-0.01404
234,1434124109326,0.05436,-0.03755,0.03787
235,1434124109354,0.02936,0.00995,0.01819
236,1434124109371,-0.00649,0.07943,-0.05828
237,1434124109386,0.00466,0.04150,-0.09726
