index,time,xAxis,yAxis,zAxis
0,1434124109474,-0.43359,-0.63828,0.17344
1,1434124109475,-0.31641,-0.52859,0.13875
2,1434124109477,-0.22578,-0.44475,0.09928
3,1434124109523,-0.14703,-0.35580,0.07630
4,1434124109529,-0.08091,-0.29323,0.06963
5,1434124109571,-0.04051,-0.25646,0.05258
6,1434124109577,-0.02303,-0.21142,0.04519
7,1434124109578,-0.01842,-0.15351,0.03068
8,1434124109618,-0.00849,-0.09234,0.01517
9,1434124109623,0.01118,-0.07075,-0.00974
10,1434124109667,0.00269,-0.12378,-0.01951
11,1434124109675,0.00840,-0.10840,-0.01561
12,1434124109677,0.05282,-0.05313,-0.04295
13,1434124109715,0.06335,-0.03625,-0.06483
14,1434124109717,0.02021,-0.02900,-0.06749
15,1434124109763,0.04039,-0.00758,-0.03837
16,1434124109769,0.07528,-0.03419,-0.00023
17,1434124109772,0.06647,-0.10313,-0.00018
18,1434124109819,0.02583,-0.11922,-0.01264
19,1434124109821,0.01129,-0.08913,-0.01949
20,1434124109861,0.03013,-0.08380,-0.02106
21,1434124109865,0.04832,-0.07329,-0.01997
22,1434124109868,0.06678,-0.07660,0.00199
23,1434124109914,0.04405,-0.11363,0.00159
24,1434124109922,-0.01085,-0.15184,-0.00498
25,1434124109958,-0.03290,-0.13631,-0.00398
26,1434124109962,0.00415,-0.04499,0.00619
27,1434124109964,0.04316,0.03120,0.01745
28,1434124110008,0.06812,-0.02114,0.01709
29,1434124110012,0.01153,-0.08722,0.01679
30,1434124110054,-0.03609,-0.04243,0.01344
31,1434124110059,0.01957,0.00902,-0.00175
32,1434124110061,0.07034,0.07753,-0.01078
33,1434124110103,0.04768,0.09874,0.00075
34,1434124110110,-0.00483,0.03603,0.01857
35,1434124110161,-0.04058,-0.01102,-0.00936
36,1434124110165,-0.04496,-0.02054,0.00189
37,1434124110166,0.01950,-0.00471,0.06557
38,1434124110207,0.08591,0.01498,0.04308
39,1434124110212,-0.01408,0.01511,-0.03897
40,1434124110249,-0.09330,0.01834,0.01804
41,1434124110253,0.02302,0.05373,0.07225
42,1434124110255,0.10357,0.09845,0.05155
43,1434124110312,0.04926,0.07564,0.00764
44,1434124110314,0.01207,-0.01918,-0.02123
45,1434124110350,-0.00832,-0.04581,-0.03808
46,1434124110353,0.00819,-0.06087,-0.02109
47,1434124110359,0.04015,-0.04244,-0.00515
48,1434124110398,0.06571,-0.02770,-0.01350
49,1434124110403,-0.01774,-0.03154,-0.03189
50,1434124110444,0.01002,-0.01898,0.01433
51,1434124110448,0.08458,-0.02456,0.05131
52,1434124110451,0.14423,-0.04699,0.04964
53,1434124110491,0.08491,-0.18134,0.13190
54,1434124110492,-0.15238,-0.09586,-0.20932
55,1434124110541,0.07653,-0.06497,0.03723
56,1434124110543,0.14404,-0.04885,0.02353
57,1434124110545,0.11523,-0.05392,-0.09133
58,1434124110595,0.01562,-0.13220,-0.05431
59,1434124110596,-0.07891,-0.09951,-0.11064
60,1434124110597,-0.11235,-0.06398,-0.16820
61,1434124110640,0.13590,-0.06056,0.06700
62,1434124110642,0.11497,-0.04220,0.04735
63,1434124110694,0.01620,-0.04001,0.04101
64,1434124110695,-0.09095,-0.04451,0.03906
65,1434124110698,-0.04229,-0.01686,0.00390
66,1434124110744,-0.04321,0.03183,0.05156
67,1434124110748,-0.15644,0.02546,0.03578
68,1434124110794,-0.16187,0.07584,0.05909
69,1434124110800,-0.16622,0.07239,0.06212
70,1434124110801,-0.12672,0.10088,0.06219
71,1434124110838,-0.15919,0.09867,0.04663
72,1434124110840,-0.18282,0.10081,0.03418
73,1434124110884,-0.17673,0.03768,0.03359
74,1434124110889,-0.12888,0.04265,-0.00047
75,1434124110891,-0.11248,0.13490,0.00822
76,1434124110930,-0.07123,0.16261,0.02845
77,1434124110931,-0.15777,0.10899,0.03448
78,1434124111032,-0.11684,0.08719,0.10102
79,1434124111036,0.00653,0.13069,0.03785
80,1434124111041,0.06382,0.14440,-0.04550
81,1434124111043,-0.04348,0.12724,-0.09109
82,1434124111089,0.04725,0.16585,-0.03068
83,1434124111096,0.19327,0.17878,-0.03627
84,1434124111098,0.18508,0.10943,-0.11495
85,1434124111098,0.07541,0.07504,-0.19274
86,1434124111132,-0.02248,0.09675,-0.18466
87,1434124111145,0.11639,0.08053,-0.02585
88,1434124111181,0.13608,0.00036,0.02541
89,1434124111191,0.02605,-0.03643,-0.01639
90,1434124111192,0.00287,-0.01977,0.06970
91,1434124111229,0.06636,-0.04629,0.18701
92,1434124111230,-0.05082,-0.07062,0.13711
93,1434124111280,-0.09534,-0.05962,0.08547
94,1434124111285,-0.08565,-0.05082,0.10197
95,1434124111286,-0.08102,-0.03128,0.11517
96,1434124111319,-0.07966,-0.00706,0.15932
97,1434124111321,-0.06998,-0.02049,0.14855
98,1434124111369,-0.06223,0.00158,0.09775
99,1434124111374,-0.11072,0.04111,0.08367
100,1434124111376,-0.08545,0.06335,0.13100
101,1434124111425,-0.04102,0.06553,0.15402
102,1434124111430,-0.09375,0.04695,0.14431
103,1434124111469,-0.09922,0.11022,0.12482
104,1434124111481,-0.03094,0.11317,0.18267
105,1434124111483,0.06665,0.12648,0.24067
106,1434124111522,0.09942,0.14415,0.24410
107,1434124111524,0.10375,0.18876,0.18590
108,1434124111571,0.17441,0.16897,0.20419
109,1434124111573,0.20125,0.12659,0.21804
110,1434124111575,0.25240,0.13721,0.16193
111,1434124111618,0.27536,0.08242,0.00767
112,1434124111621,0.22576,0.12687,-0.12199
113,1434124111662,0.36107,0.16009,-0.08509
114,1434124111663,0.40136,0.09448,-0.00401
115,1434124111665,0.30937,0.04512,0.00851
116,1434124111711,0.15609,0.07828,-0.00491
117,1434124111717,0.14909,0.10872,-0.12033
118,1434124111763,0.08255,0.08385,-0.19080
119,1434124111764,0.31292,0.14677,-0.11592
120,1434124111766,0.33002,0.18148,-0.02242
121,1434124111811,0.09292,0.20924,-0.07888
122,1434124111813,0.09543,0.09708,-0.28341
123,1434124111861,0.09197,0.13235,-0.28454
124,1434124111869,0.27514,0.13635,-0.11123
125,1434124111870,0.06699,0.21924,-0.03117
126,1434124111917,0.09968,0.08945,-0.07415
127,1434124111919,0.18365,0.11766,-0.14761
128,1434124111962,0.12583,0.05741,-0.20949
129,1434124111965,0.07566,0.10061,-0.12775
130,1434124111968,-0.00978,0.15393,-0.01079
131,1434124112009,0.08436,0.08955,-0.13051
132,1434124112018,0.06124,0.09039,-0.29425
133,1434124112058,-0.00335,0.12700,-0.20415
134,1434124112061,-0.07846,0.16566,-0.08129
135,1434124112063,0.07707,0.05597,-0.12909
136,1434124112101,-0.02037,0.05102,-0.13374
137,1434124112102,0.04464,0.01972,0.00316
138,1434124112154,-0.04944,0.05797,0.07206
139,1434124112157,0.06669,-0.01456,0.03030
140,1434124112159,0.19711,0.05241,0.03987
141,1434124112204,0.23112,0.00834,0.11705
142,1434124112206,0.12708,0.04026,0.11786
143,1434124112249,0.14073,0.04783,-0.07915
144,1434124112254,0.14618,0.09608,-0.22191
145,1434124112257,0.13569,0.09249,-0.22362
146,1434124112300,0.14840,0.08571,-0.11796
147,1434124112303,0.09997,0.06544,-0.11234
148,1434124112304,-0.00206,0.06798,-0.08128
149,1434124112355,-0.03211,-0.01280,-0.02830
150,1434124112359,-0.08975,-0.01337,-0.01327
151,1434124112405,-0.13040,0.01040,0.01673
152,1434124112409,-0.19572,0.05754,0.13213
153,1434124112409,-0.28158,0.04916,0.13071
154,1434124112448,-0.25573,0.04870,0.13503
155,1434124112451,-0.25068,0.02646,0.22053
156,1434124112491,-0.27632,-0.07024,0.17095
157,1434124112495,-0.15075,0.14225,0.13676
158,1434124112498,-0.24950,0.07708,0.02660
159,1434124112548,-0.13242,0.23510,-0.08888
160,1434124112551,-0.11765,0.20058,-0.12579
161,1434124112598,-0.11600,0.11437,-0.07954
162,1434124112608,-0.05920,0.12275,-0.06363
163,1434124112608,-0.05049,0.11929,-0.12356
164,1434124112639,-0.08258,0.07668,-0.12619
165,1434124112643,-0.03559,0.02775,-0.00330
166,1434124112681,-0.09566,0.00111,-0.00576
167,1434124112685,-0.02497,-0.01708,-0.12414
168,1434124112687,0.13003,-0.02929,-0.12353
169,1434124112734,0.12511,-0.08125,0.01680
170,1434124112738,0.08525,-0.09234,0.12047
171,1434124112783,0.12289,-0.11997,0.14872
172,1434124112785,0.19909,-0.11394,0.08851
