index,time,xAxis,yAxis,zAxis
0,1434120432376,0.00876,0.00399,-0.01046
1,1434120432376,0.00389,-0.00540,0.00023
2,1434120432408,-0.00002,-0.00744,0.00331
3,1434120432410,-0.00001,-0.00595,-0.00048
4,1434120432410,-0.00001,-0.00476,-0.00038
5,1434120432458,-0.01485,-0.00381,0.00594
6,1434120432459,-0.00251,0.00008,0.00788
7,1434120432508,-0.00201,0.00319,0.00318
8,1434120432509,-0.00160,0.00802,0.00254
9,1434120432510,0.00731,0.00095,-0.00422
10,1434120432555,0.00897,-0.00237,-0.01197
11,1434120432558,0.01030,0.00123,0.00215
12,1434120432608,-0.00426,0.00333,-0.00141
13,1434120432610,-0.00887,0.00266,-0.00113
14,1434120432613,0.00774,0.00213,-0.00403
15,1434120432652,0.02495,-0.00376,-0.00869
16,1434120432653,-0.00504,0.00871,-0.00148
17,1434120432705,-0.03138,0.00072,0.01756
18,1434120432706,-0.01260,-0.00177,0.00468
19,1434120432706,-0.01008,0.00093,0.00374
20,1434120432749,0.00365,0.00074,-0.00013
21,1434120432751,0.02167,0.00059,-0.00323
22,1434120432799,0.00171,0.00672,0.00367
23,1434120432801,-0.00722,0.00225,0.00918
24,1434120432803,-0.00578,-0.00367,0.00422
25,1434120432852,-0.01712,-0.00293,0.00963
26,1434120432855,-0.00745,-0.00235,0.01708
27,1434120432899,0.00342,-0.00813,0.01054
28,1434120432903,0.00820,-0.00650,-0.01657
29,1434120432905,0.02844,-0.00208,-0.01873
30,1434120432953,0.05322,0.01943,0.02408
31,1434120432954,-0.00039,0.00305,0.02864
32,1434120432997,-0.02766,0.00556,-0.02318
33,1434120432998,-0.04010,0.01070,0.07911
34,1434120433051,-0.02661,-0.00394,0.03907
35,1434120433055,0.12559,-0.02425,-0.02343
36,1434120433056,0.12469,-0.00065,-0.11015
37,1434120433101,0.14897,0.02995,-0.17406
38,1434120433106,0.07308,0.03255,-0.10878
39,1434120433145,-0.05716,0.04167,0.02938
40,1434120433153,-0.14338,0.01771,0.09382
41,1434120433154,-0.06314,-0.01943,0.08990
42,1434120433188,-0.10833,0.00008,0.09379
43,1434120433193,-0.11166,-0.02415,0.07191
44,1434120433238,-0.01902,-0.01932,0.03878
45,1434120433239,0.00979,-0.02171,-0.01116
46,1434120433240,0.04689,-0.00799,-0.05190
47,1434120433289,0.08048,0.00845,-0.05402
48,1434120433297,0.08860,0.01614,-0.04009
49,1434120433336,0.08338,0.01291,-0.04145
50,1434120433337,0.00577,0.01658,-0.04175
51,1434120433338,-0.05085,0.00389,-0.03653
52,1434120433383,-0.02506,-0.02423,-0.02610
53,1434120433387,0.01667,-0.02876,-0.02400
54,1434120433439,0.01334,-0.00192,-0.05280
55,1434120433441,-0.04714,0.04769,-0.09146
56,1434120433444,-0.15099,0.06549,-0.08488
57,1434120433488,-0.23017,0.07349,-0.05931
58,1434120433491,-0.21539,0.06504,-0.06229
59,1434120433529,-0.12309,0.03094,-0.08655
60,1434120433532,0.00543,0.01850,-0.12393
61,1434120433535,-0.00503,0.04527,-0.09289
62,1434120433578,-0.04074,0.06356,-0.00166
63,1434120433580,-0.11775,0.06022,0.02055
64,1434120433630,-0.10357,0.04505,-0.00856
65,1434120433635,-0.08911,0.02667,-0.08263
66,1434120433677,-0.00098,-0.02710,-0.05751
67,1434120433680,0.04844,-0.01856,-0.02413
68,1434120433682,0.05359,-0.02735,-0.00446
69,1434120433783,0.01241,-0.00625,0.02143
70,1434120433786,-0.02054,0.02547,0.02574
71,1434120433786,-0.02893,-0.00150,0.00575
72,1434120433788,-0.02002,-0.00120,-0.01728
73,1434120433831,-0.02461,-0.00096,-0.02242
74,1434120433831,-0.01735,0.00236,-0.02106
75,1434120433833,-0.01935,0.01439,-0.02310
76,1434120433835,-0.02798,0.00213,-0.02160
77,1434120433877,-0.02551,0.00796,-0.02353
78,1434120433877,-0.01728,0.00637,-0.01570
79,1434120433926,-0.01070,0.01134,-0.00319
80,1434120433928,-0.02418,0.02704,0.00683
81,1434120433929,-0.00060,0.02788,0.02031
82,1434120433977,0.00265,0.02856,0.02249
83,1434120433980,0.01384,0.02910,0.01487
84,1434120434027,0.01732,0.03500,0.00565
85,1434120434030,0.02323,0.04050,0.00452
86,1434120434032,0.04593,0.01990,0.02236
87,1434120434073,0.04299,0.01045,0.02336
88,1434120434074,0.04377,0.00211,0.00384
89,1434120434116,0.03502,0.00794,-0.00317
90,1434120434118,0.01551,0.00869,-0.00879
91,1434120434121,0.02178,-0.00476,-0.00703
92,1434120434172,0.03540,-0.01944,0.00375
93,1434120434174,0.03144,-0.03039,0.00300
94,1434120434214,0.03453,-0.03681,-0.00073
95,1434120434220,0.01825,-0.03570,-0.00683
96,1434120434221,0.01460,-0.03169,-0.00234
97,1434120434266,0.01480,-0.02847,0.00750
98,1434120434275,0.00247,-0.02512,-0.00337
99,1434120434324,-0.00974,-0.01775,-0.00270
100,1434120434327,-0.03592,-0.00170,0.00409
101,1434120434334,-0.04046,0.03223,0.02437
102,1434120434364,-0.03549,0.06250,0.02887
103,1434120434364,-0.01355,0.07735,0.02310
104,1434120434407,0.02276,0.05563,-0.00262
105,1434120434408,0.05805,0.00778,-0.02944
106,1434120434409,0.07066,-0.02112,-0.03605
107,1434120434456,0.06903,-0.02549,-0.02572
108,1434120434457,0.04897,-0.02039,-0.00260
109,1434120434510,0.03918,-0.02256,0.02526
110,1434120434512,0.02275,-0.02742,0.03583
111,1434120434513,0.01507,-0.02819,0.04664
112,1434120434557,0.00268,-0.03193,0.04356
113,1434120434558,-0.02832,-0.00992,0.04110
114,1434120434614,-0.05625,0.02566,0.03600
115,1434120434616,-0.05438,0.03850,0.02880
116,1434120434617,-0.01616,0.02533,0.02929
117,1434120434660,-0.00043,0.01401,0.04140
118,1434120434663,-0.00347,0.00809,0.05734
119,1434120434712,-0.03012,0.00647,0.06150
120,1434120434713,-0.04519,0.00205,0.03123
121,1434120434715,-0.02756,-0.00149,0.01248
122,1434120434760,-0.00642,-0.01916,0.00686
123,1434120434763,0.02221,-0.03720,-0.00389
124,1434120434806,0.03886,-0.04460,-0.01483
125,1434120434808,0.03734,-0.03568,-0.02124
126,1434120434810,0.03300,-0.00745,-0.01699
127,1434120434847,0.03265,0.00966,-0.01672
128,1434120434849,0.06284,0.00773,0.00225
129,1434120434906,0.05027,0.01790,0.00415
130,1434120434909,0.01834,0.00573,-0.00215
131,1434120434910,-0.00330,0.00693,-0.00172
132,1434120434950,-0.02373,0.00320,-0.01700
133,1434120434953,-0.02523,-0.01619,-0.01985
134,1434120435000,-0.02331,-0.04030,-0.02760
135,1434120435005,-0.00693,-0.05333,-0.01896
136,1434120435006,-0.01726,-0.05517,-0.02454
137,1434120435045,-0.01381,-0.03788,-0.01338
138,1434120435049,-0.01730,0.00954,-0.01696
139,1434120435095,-0.00446,0.03497,-0.00731
140,1434120435098,0.00815,0.05532,0.00274
141,1434120435099,0.02214,0.06535,0.00532
142,1434120435138,0.03021,0.06478,-0.00434
143,1434120435140,0.03902,0.04870,-0.00972
144,1434120435196,0.02184,0.01787,-0.02965
145,1434120435197,0.00263,-0.03493,-0.05107
146,1434120435198,-0.00415,-0.08575,-0.05882
147,1434120435241,-0.04629,-0.08423,-0.05956
148,1434120435243,-0.06750,-0.04863,-0.03515
149,1434120435297,-0.06884,-0.01781,-0.01327
150,1434120435298,-0.05507,0.00450,0.00188
151,1434120435299,-0.04718,0.02469,0.01947
152,1434120435341,-0.04712,0.03226,0.02808
153,1434120435343,-0.04395,0.02815,0.01309
154,1434120435394,0.01094,-0.01108,0.02297
155,1434120435396,0.02125,-0.03308,0.01525
156,1434120435398,0.04122,-0.03506,0.02470
157,1434120435437,-0.00687,-0.03117,0.01351
158,1434120435438,0.00700,-0.00697,0.02878
159,1434120435481,-0.01627,0.01239,0.02615
160,1434120435482,-0.00677,0.03179,0.02092
161,1434120435484,0.00084,0.03481,0.01673
162,1434120435536,0.01551,0.02160,0.01339
163,1434120435541,0.01866,0.01415,0.00212
164,1434120435578,0.02430,0.00195,-0.01081
165,1434120435580,0.02569,0.00156,-0.02115
166,1434120435581,0.02368,-0.00813,-0.04114
167,1434120435628,0.02441,-0.01822,-0.04541
168,1434120435629,0.01406,-0.03020,-0.03945
169,1434120435682,-0.00438,-0.02729,-0.02531
170,1434120435683,-0.03397,-0.00933,-0.01400
171,1434120435684,-0.05452,0.01363,-0.00495
172,1434120435735,-0.05612,0.03825,-0.00708
173,1434120435736,-0.05661,0.04310,0.00058
174,1434120435775,-0.03982,0.04385,0.00359
175,1434120435779,-0.01311,0.03196,0.00912
176,1434120435828,-0.00423,0.02557,0.00730
177,1434120435832,0.00286,0.02983,-0.00354
178,1434120435833,0.00776,0.01761,-0.00908
179,1434120435875,0.01246,0.01721,-0.00726
180,1434120435880,0.03418,0.02002,0.00356
181,1434120435926,0.04610,0.03399,0.00598
182,1434120435928,0.05172,0.03344,0.01337
183,1434120435929,0.04138,0.04472,0.02632
184,1434120435979,0.02998,0.04828,0.02106
185,1434120435980,0.02164,0.05346,0.01997
186,1434120436018,0.01419,0.06777,0.02223
