index,time,xAxis,yAxis,zAxis
0,1434120432368,-0.00111,0.00042,0.00100
1,1434120432369,-0.00089,0.00012,0.00070
2,1434120432381,0.00006,-0.00114,0.00010
3,1434120432397,0.00084,0.00031,0.00087
4,1434120432428,-0.00080,0.00059,0.00069
5,1434120432443,0.00083,0.00048,0.00002
6,1434120432460,0.00067,-0.00058,-0.00101
7,1434120432476,0.00053,-0.00107,-0.00081
8,1434120432507,0.00043,0.00041,-0.00035
9,1434120432522,-0.00040,-0.00094,0.00099
10,1434120432538,0.00004,-0.00075,0.00079
11,1434120432570,0.00041,0.00096,0.00063
12,1434120432585,0.00033,0.00077,0.00050
13,1434120432603,0.00026,-0.00033,0.00040
14,1434120432617,0.00021,0.00051,0.00032
15,1434120432648,0.00017,0.00058,-0.00104
16,1434120432663,0.00014,-0.00024,0.00047
17,1434120432679,0.00011,-0.00105,-0.00078
18,1434120432710,-0.00148,0.00226,0.00050
19,1434120432727,-0.00024,0.00027,-0.00113
20,1434120432741,0.00108,0.00022,0.00001
21,1434120432758,-0.00114,-0.00118,0.00065
22,1434120432789,0.00021,0.00041,0.00052
23,1434120432805,-0.00049,0.00033,-0.00026
24,1434120432821,0.00050,0.00026,0.00002
25,1434120432837,0.00196,-0.00135,0.00047
26,1434120432868,-0.00043,0.00048,0.00081
27,1434120432884,-0.00059,-0.00050,0.00001
28,1434120432901,0.00021,-0.00108,-0.00135
29,1434120432931,-0.00119,0.00070,0.00048
30,1434120432949,0.00041,0.00056,0.00038
31,1434120432962,0.00033,-0.00064,0.00031
32,1434120432980,0.00026,0.00054,-0.00128
33,1434120433009,-0.00095,0.00047,0.00050
34,1434120433025,0.00040,0.00037,0.00040
35,1434120433042,0.00032,-0.00099,-0.00097
36,1434120433073,-0.00131,0.00050,-0.00105
37,1434120433093,-0.00043,0.00040,-0.00084
38,1434120433104,0.00060,0.00032,0.00039
39,1434120433119,0.00048,-0.00125,-0.00069
40,1434120433151,0.00000,0.00050,-0.00023
41,1434120433167,-0.00036,-0.00042,0.00100
42,1434120433181,0.00172,0.00019,0.00080
43,1434120433214,0.00011,0.00031,-0.00092
44,1434120433231,0.00009,-0.00059,-0.00074
45,1434120433244,0.00007,-0.00052,-0.00059
46,1434120433260,0.00006,0.00052,-0.00047
47,1434120433294,-0.00117,0.00086,0.00084
48,1434120433307,0.00028,0.00034,0.00024
49,1434120433324,0.00022,-0.00007,-0.00025
50,1434120433355,0.00018,-0.00118,-0.00200
51,1434120433371,-0.00041,0.00052,0.00041
