index,time,xAxis,yAxis,zAxis
0,1434120432372,-0.43440,0.02541,-0.14428
1,1434120432374,-0.21314,0.06642,-0.09042
2,1434120432403,0.02167,0.07423,-0.03640
3,1434120432404,0.04468,0.07501,-0.06506
4,1434120432405,-0.00957,0.06313,-0.07392
5,1434120432451,-0.08422,0.04738,-0.12320
6,1434120432453,-0.10097,0.05900,-0.11653
7,1434120432500,-0.06593,0.05032,-0.05416
8,1434120432501,-0.01602,0.06448,-0.06442
9,1434120432504,-0.03704,0.05471,-0.04529
10,1434120432550,-0.01713,0.06798,-0.05185
11,1434120432554,0.01676,0.03329,-0.04148
12,1434120432600,-0.03268,0.02039,-0.03866
13,1434120432604,-0.02615,0.02256,0.01126
14,1434120432605,-0.00217,0.03055,0.01526
15,1434120432647,-0.00798,0.03928,0.00283
16,1434120432650,-0.02201,0.03767,-0.01883
17,1434120432702,-0.02933,0.03326,-0.00881
18,1434120432704,-0.00862,0.02661,-0.00705
19,1434120432707,-0.01861,0.01191,-0.01189
20,1434120432746,-0.01255,0.01578,-0.00326
21,1434120432748,-0.01238,0.01575,0.00364
22,1434120432795,-0.03491,0.02198,-0.00959
23,1434120432797,-0.03652,0.02305,-0.01704
24,1434120432799,-0.03234,0.00672,-0.02223
25,1434120432848,-0.01728,-0.00400,-0.00607
26,1434120432853,-0.00445,-0.00320,0.00765
27,1434120432894,-0.00668,-0.00568,0.01237
28,1434120432897,-0.00222,-0.00455,0.00989
29,1434120432904,0.01697,-0.00989,0.01651
30,1434120432946,0.02842,-0.01963,0.01633
31,1434120432951,0.01961,-0.01570,0.01619
32,1434120432995,0.02819,-0.01256,0.02545
33,1434120432999,0.02880,-0.01005,0.03833
34,1434120433000,0.01367,-0.00492,0.04316
35,1434120433047,0.00156,-0.01643,0.02516
36,1434120433053,-0.01672,-0.02565,0.02013
37,1434120433098,-0.02588,-0.02911,0.01923
38,1434120433105,-0.01445,-0.03579,0.01226
39,1434120433106,0.01578,-0.02863,0.01293
40,1434120433142,0.01575,-0.02290,0.01347
41,1434120433148,0.01573,-0.02770,0.00452
42,1434120433154,-0.02414,-0.01278,-0.01747
43,1434120433187,-0.03728,-0.01023,-0.02335
44,1434120433190,-0.01498,-0.01443,-0.02493
45,1434120433239,-0.00573,-0.01780,-0.03167
46,1434120433240,-0.00146,-0.01111,-0.03471
47,1434120433241,-0.00429,-0.00264,-0.02152
48,1434120433295,-0.00656,-0.00211,-0.00862
49,1434120433296,-0.01150,-0.01419,-0.01549
50,1434120433330,-0.00295,-0.01135,-0.03114
51,1434120433334,0.01873,-0.01455,-0.03038
52,1434120433335,0.01186,-0.02101,-0.00634
53,1434120433378,0.00715,-0.01369,0.00977
54,1434120433381,0.00259,-0.02032,0.02657
55,1434120433437,-0.01980,-0.02563,0.01501
56,1434120433439,-0.02209,-0.01738,0.00888
57,1434120433440,-0.05127,-0.02250,0.01648
58,1434120433487,-0.02851,-0.01800,0.01006
59,1434120433489,0.00141,-0.02065,0.00492
60,1434120433525,0.02613,-0.01964,0.00394
61,1434120433531,0.02403,-0.02197,-0.00310
62,1434120433534,0.01922,-0.03242,0.00064
63,1434120433576,0.02397,-0.02906,0.00052
64,1434120433579,0.01293,-0.02950,-0.00271
65,1434120433627,0.00175,-0.02360,-0.01076
66,1434120433633,-0.00798,-0.03138,-0.00314
67,1434120433636,-0.00951,-0.02510,0.02795
68,1434120433672,-0.00448,-0.02008,0.02861
69,1434120433675,-0.00046,-0.01294,0.00805
70,1434120433722,0.00901,-0.00098,-0.00294
71,1434120433724,-0.00217,0.00547,0.00078
72,1434120433725,-0.02049,0.01297,0.00375
73,1434120433826,-0.01014,0.01662,0.00300
74,1434120433836,0.01923,0.02267,-0.00385
75,1434120433836,0.04898,0.03611,-0.01871
76,1434120433837,0.03372,0.03826,-0.03293
77,1434120433871,0.02385,0.05170,-0.01385
78,1434120433878,-0.00827,0.04761,0.01314
79,1434120433879,-0.03786,0.04747,0.03473
80,1434120433923,-0.01467,0.04422,0.03716
81,1434120433927,0.00624,0.04163,0.03598
82,1434120433930,0.03311,0.03877,0.02253
83,1434120433975,0.03196,0.02789,0.00865
84,1434120433978,0.03182,0.02544,-0.00245
85,1434120434026,0.02233,0.02348,-0.01368
86,1434120434029,-0.00011,0.02503,-0.01407
87,1434120434031,-0.01571,0.03252,-0.00813
88,1434120434069,-0.01257,0.02602,-0.00651
89,1434120434077,0.00245,0.02394,-0.00833
90,1434120434111,-0.00429,0.01603,-0.00041
91,1434120434114,-0.00656,0.02142,0.00279
92,1434120434118,-0.01150,0.01401,0.02020
93,1434120434166,-0.00920,0.01746,0.01304
94,1434120434168,0.00202,0.01084,0.00106
95,1434120434213,0.01099,0.01805,-0.00150
96,1434120434216,0.01192,0.02381,0.00114
97,1434120434220,-0.00297,0.02218,0.00404
98,1434120434264,-0.02034,0.01774,0.00323
99,1434120434278,-0.01940,0.00169,-0.00601
100,1434120434316,-0.02489,-0.01349,-0.00481
101,1434120434333,-0.02304,-0.00845,0.00162
102,1434120434333,-0.03328,-0.01223,0.00755
103,1434120434359,-0.04225,-0.01603,-0.00255
104,1434120434365,-0.01817,-0.01908,-0.02079
105,1434120434402,0.01281,-0.00901,-0.05648
106,1434120434405,0.01025,-0.00096,-0.07253
107,1434120434408,-0.00118,0.02345,-0.08537
108,1434120434452,-0.00407,0.02814,-0.07142
109,1434120434455,-0.00950,0.04048,-0.05713
110,1434120434500,-0.01073,0.04176,-0.05508
111,1434120434506,-0.02030,0.03653,-0.04719
112,1434120434508,-0.02874,0.02610,-0.02838
113,1434120434554,-0.03471,0.01463,-0.00083
114,1434120434556,-0.02777,-0.00626,0.00793
115,1434120434613,-0.02847,-0.01751,0.01572
116,1434120434616,-0.02277,-0.01088,0.02195
117,1434120434618,-0.00962,-0.01496,0.02069
118,1434120434710,-0.01004,-0.00259,0.01967
119,1434120434714,-0.02366,0.00965,0.01261
120,1434120434716,-0.03377,0.01709,0.01009
121,1434120434717,-0.03014,0.01367,0.00807
122,1434120434750,-0.02411,0.00781,0.01193
123,1434120434764,-0.01070,0.00313,0.01267
124,1434120434765,0.00082,0.00875,0.00466
125,1434120434805,0.01862,0.01013,-0.00877
126,1434120434807,0.02740,0.02060,-0.03123
127,1434120434809,0.02192,0.02820,-0.04061
128,1434120434842,0.01753,0.03193,-0.04733
129,1434120434843,0.00153,0.02867,-0.04724
130,1434120434845,-0.01675,0.02919,-0.04092
131,1434120434904,-0.03449,0.02335,-0.02336
132,1434120434907,-0.04947,0.01556,-0.00384
133,1434120434943,-0.05129,-0.00318,0.01880
134,1434120434946,-0.05353,-0.02051,0.03301
135,1434120434949,-0.04908,-0.02266,0.04438
136,1434120434996,-0.01739,-0.01813,0.04175
137,1434120435003,0.02281,-0.00825,0.03653
138,1434120435043,0.03934,0.00824,0.02297
139,1434120435047,0.04085,0.02534,0.00041
140,1434120435048,0.06002,0.03199,-0.00905
141,1434120435094,0.04802,0.03184,-0.01661
142,1434120435098,0.01107,0.03485,-0.02189
143,1434120435135,-0.00677,0.02476,-0.01126
144,1434120435137,-0.00229,0.01043,0.01521
145,1434120435139,-0.00496,-0.00650,0.04264
146,1434120435191,-0.00084,-0.02083,0.06145
147,1434120435196,0.01417,-0.02291,0.06166
148,1434120435237,0.04493,-0.01208,0.04621
149,1434120435244,0.07266,0.00596,0.04009
150,1434120435244,0.08001,0.01649,0.02582
151,1434120435296,0.06400,0.03194,0.01128
152,1434120435297,0.04495,0.06227,-0.00035
153,1434120435336,0.05081,0.08029,0.00285
154,1434120435339,0.06877,0.08845,-0.00397
155,1434120435343,0.08861,0.08013,-0.01490
156,1434120435393,0.07089,0.06411,-0.02129
157,1434120435397,-0.00188,0.06300,-0.02328
158,1434120435435,-0.06557,0.06603,-0.03035
159,1434120435439,-0.10089,0.05907,-0.03990
160,1434120435440,-0.03228,0.06210,-0.01005
161,1434120435480,0.05074,0.04656,0.01306
162,1434120435480,-0.02347,-0.02994,-0.01690
163,1434120435533,-0.21409,-0.08177,-0.07211
164,1434120435539,-0.17127,-0.07713,-0.03269
165,1434120435540,-0.02452,-0.03124,0.01916
166,1434120435577,0.07257,0.00235,0.03095
167,1434120435579,0.10337,-0.01062,0.00054
168,1434120435626,-0.06652,-0.03271,-0.08550
169,1434120435643,-0.13915,0.02852,-0.09887
170,1434120435644,-0.02851,0.05016,-0.03300
171,1434120435675,0.03500,0.06200,-0.01156
172,1434120435681,0.04675,0.05273,-0.05456
173,1434120435726,-0.06338,0.00546,-0.13818
174,1434120435735,-0.11164,-0.01126,-0.13242
175,1434120435737,-0.01041,-0.00588,-0.03562
176,1434120435774,0.05886,-0.01955,0.03869
177,1434120435778,0.01975,-0.05236,-0.00577
178,1434120435827,0.00330,-0.05751,-0.04993
179,1434120435829,0.01826,-0.07960,-0.05557
180,1434120435830,-0.03773,-0.10899,-0.05070
181,1434120435873,-0.07237,-0.10595,-0.05228
182,1434120435878,-0.08524,-0.12772,-0.10589
183,1434120435922,-0.20569,-0.14437,-0.19799
184,1434120435927,-0.14346,-0.14596,-0.18886
185,1434120435928,0.04382,-0.19958,-0.04093
186,1434120435977,0.05068,-0.24482,-0.02103
187,1434120435979,0.05227,-0.22945,-0.06838
188,1434120436016,0.22228,-0.21403,-0.06721
189,1434120436017,0.63876,-0.20482,0.18139
190,1434120436017,0.84617,-0.28026,0.50527
191,1434120436061,0.71678,-0.22421,0.55656
192,1434120436064,0.40545,-0.12077,0.38431
193,1434120436107,0.35796,-0.06615,0.30120
194,1434120436109,0.07933,-0.10526,0.08549
195,1434120436110,0.03534,-0.08968,-0.09020
196,1434120436158,-0.00454,-0.06940,-0.15732
197,1434120436160,0.28309,-0.05786,0.12727
198,1434120436206,0.30850,-0.05567,0.02213
199,1434120436211,0.17336,-0.08750,-0.08620
200,1434120436216,-0.15428,-0.07625,0.02869
201,1434120436258,0.26486,0.03978,0.44170
202,1434120436260,0.15642,0.04745,0.25258
203,1434120436304,0.12201,0.23327,-0.01825
204,1434120436315,0.02730,0.14052,-0.06303
205,1434120436324,-0.06645,0.03586,-0.04105
206,1434120436365,-0.04066,0.05994,0.02497
207,1434120436367,-0.07862,0.03857,-0.02924
208,1434120436408,0.01679,-0.00586,-0.05074
209,1434120436411,0.07125,0.02266,-0.08043
210,1434120436416,0.06012,0.07047,-0.11903
