index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.000,0.006,0.000,1434128509
2,20150612,0.000,0.006,0.000,1434128510
3,20150612,0.007,0.007,0.000,1434128511
4,20150612,0.023,0.008,0.000,1434128512
5,20150612,0.015,0.014,0.000,1434128513
6,20150612,0.012,0.009,0.000,1434128514
7,20150612,0.012,0.005,0.000,1434128515
8,20150612,0.007,0.004,0.000,1434128516
9,20150612,0.004,0.008,0.000,1434128517
10,20150612,0.004,0.010,0.000,1434128518
11,20150612,0.020,0.018,0.000,1434128519
12,20150612,0.036,0.021,0.000,1434128520
13,20150612,0.035,0.023,0.000,1434128521
14,20150612,0.032,0.050,0.000,1434128522
15,20150612,0.018,0.049,0.000,1434128523
16,20150612,0.047,0.024,0.000,1434128524
17,20150612,0.051,0.034,0.000,1434128525
18,20150612,0.036,0.042,0.000,1434128526
19,20150612,0.026,0.035,0.000,1434128527
20,20150612,0.015,0.012,0.000,1434128528
21,20150612,0.009,0.018,0.000,1434128529
22,20150612,0.006,0.007,0.000,1434128530
23,20150612,0.005,0.024,0.000,1434128531
24,20150612,0.003,0.022,0.000,1434128532
25,20150612,0.007,0.029,0.000,1434128533
26,20150612,0.010,0.025,0.000,1434128534
27,20150612,0.017,0.033,0.000,1434128535
28,20150612,0.041,0.046,0.000,1434128536
29,20150612,0.058,0.048,0.000,1434128537
30,20150612,0.045,0.041,0.000,1434128538
31,20150612,0.023,0.043,0.000,1434128539
32,20150612,0.021,0.040,0.000,1434128540
33,20150612,0.026,0.038,0.000,1434128541
34,20150612,0.022,0.036,0.000,1434128542
35,20150612,0.048,0.022,0.000,1434128543
36,20150612,0.035,0.028,0.000,1434128544
37,20150612,0.046,0.046,0.000,1434128545
38,20150612,0.055,0.059,0.000,1434128546
39,20150612,0.071,0.066,0.000,1434128547
40,20150612,0.054,0.045,0.000,1434128548
41,20150612,0.056,0.053,0.000,1434128549
42,20150612,0.044,0.041,0.000,1434128550
43,20150612,0.039,0.042,0.000,1434128551
44,20150612,0.048,0.039,0.000,1434128552
45,20150612,0.038,0.044,0.000,1434128553
46,20150612,0.025,0.022,0.000,1434128554
47,20150612,0.016,0.023,0.000,1434128555
48,20150612,0.012,0.024,0.000,1434128556
49,20150612,0.024,0.013,0.000,1434128557
50,20150612,0.026,0.026,0.000,1434128558
51,20150612,0.017,0.048,0.000,1434128559
52,20150612,0.016,0.038,0.000,1434128560
53,20150612,0.024,0.039,0.000,1434128561
54,20150612,0.052,0.043,0.000,1434128562
55,20150612,0.046,0.025,0.000,1434128563
56,20150612,0.038,0.043,0.000,1434128564
57,20150612,0.028,0.041,0.000,1434128565
58,20150612,0.030,0.040,0.000,1434128566
59,20150612,0.049,0.072,0.000,1434128567
60,20150612,0.064,0.056,0.000,1434128568
61,20150612,0.043,0.053,0.000,1434128569
62,20150612,0.027,0.035,0.000,1434128570
63,20150612,0.041,0.021,0.000,1434128571
64,20150612,0.040,0.016,0.000,1434128572
65,20150612,0.032,0.049,0.000,1434128573
66,20150612,0.025,0.039,0.000,1434128574
67,20150612,0.026,0.035,0.000,1434128575
68,20150612,0.026,0.039,0.000,1434128576
69,20150612,0.042,0.041,0.000,1434128577
70,20150612,0.033,0.033,0.000,1434128578
71,20150612,0.026,0.030,0.000,1434128579
72,20150612,0.017,0.021,0.000,1434128580
73,20150612,0.014,0.022,0.000,1434128581
74,20150612,0.006,0.009,0.000,1434128582
75,20150612,0.016,0.009,0.000,1434128583
76,20150612,0.015,0.022,0.000,1434128584
77,20150612,0.023,0.026,0.000,1434128585
78,20150612,0.008,0.023,0.000,1434128586
79,20150612,0.023,0.028,0.000,1434128587
80,20150612,0.036,0.024,0.000,1434128588
81,20150612,0.021,0.018,0.000,1434128589
82,20150612,0.018,0.016,0.000,1434128590
83,20150612,0.022,0.012,0.000,1434128591
84,20150612,0.020,0.043,0.000,1434128592
85,20150612,0.024,0.035,0.000,1434128593
86,20150612,0.018,0.039,0.000,1434128594
87,20150612,0.011,0.036,0.000,1434128595
88,20150612,0.008,0.032,0.000,1434128596
89,20150612,0.013,0.029,0.000,1434128597
90,20150612,0.014,0.024,0.000,1434128598
91,20150612,0.008,0.025,0.000,1434128599
92,20150612,0.013,0.046,0.000,1434128600
93,20150612,0.021,0.025,0.000,1434128601
94,20150612,0.024,0.017,0.000,1434128602
95,20150612,0.022,0.019,0.000,1434128603
96,20150612,0.019,0.038,0.000,1434128604
97,20150612,0.033,0.030,0.000,1434128605
98,20150612,0.030,0.032,0.000,1434128606
99,20150612,0.024,0.027,0.000,1434128607
100,20150612,0.024,0.032,0.000,1434128608
101,20150612,0.017,0.041,0.000,1434128609
102,20150612,0.022,0.046,0.000,1434128610
103,20150612,0.035,0.050,0.000,1434128611
104,20150612,0.029,0.043,0.000,1434128612
105,20150612,0.033,0.033,0.000,1434128613
106,20150612,0.021,0.027,0.000,1434128614
107,20150612,0.032,0.032,0.000,1434128615
108,20150612,0.035,0.029,0.000,1434128616
109,20150612,0.017,0.024,0.000,1434128617
110,20150612,0.012,0.015,0.000,1434128618
111,20150612,0.013,0.020,0.000,1434128619
112,20150612,0.012,0.010,0.000,1434128620
113,20150612,0.035,0.044,0.000,1434128621
114,20150612,0.024,0.037,0.000,1434128622
115,20150612,0.013,0.059,0.000,1434128623
116,20150612,0.013,0.057,0.000,1434128624
117,20150612,0.020,0.041,0.000,1434128625
118,20150612,0.014,0.024,0.000,1434128626
119,20150612,0.024,0.020,0.000,1434128627
120,20150612,0.030,0.020,0.000,1434128628
121,20150612,0.029,0.036,0.000,1434128629
122,20150612,0.008,0.053,0.000,1434128630
123,20150612,0.013,0.052,0.000,1434128631
124,20150612,0.024,0.037,0.000,1434128632
125,20150612,0.038,0.046,0.000,1434128633
126,20150612,0.046,0.039,0.000,1434128634
127,20150612,0.032,0.023,0.000,1434128635
128,20150612,0.041,0.015,0.000,1434128636
129,20150612,0.035,0.038,0.000,1434128637
130,20150612,0.022,0.029,0.000,1434128638
131,20150612,0.025,0.034,0.000,1434128639
132,20150612,0.036,0.037,0.000,1434128640
133,20150612,0.027,0.032,0.000,1434128641
134,20150612,0.014,0.014,0.000,1434128642
135,20150612,0.015,0.030,0.000,1434128643
136,20150612,0.012,0.018,0.000,1434128644
137,20150612,0.009,0.016,0.000,1434128645
138,20150612,0.006,0.018,0.000,1434128646
139,20150612,0.004,0.026,0.000,1434128647
140,20150612,0.003,0.020,0.000,1434128648
141,20150612,0.003,0.034,0.000,1434128649
142,20150612,0.007,0.027,0.000,1434128650
143,20150612,0.005,0.016,0.000,1434128651
144,20150612,0.004,0.035,0.000,1434128652
145,20150612,0.004,0.021,0.000,1434128653
146,20150612,0.004,0.017,0.000,1434128654
147,20150612,0.007,0.015,0.000,1434128655
148,20150612,0.008,0.025,0.000,1434128656
149,20150612,0.032,0.044,0.000,1434128657
150,20150612,0.027,0.042,0.000,1434128658
151,20150612,0.033,0.048,0.000,1434128659
152,20150612,0.049,0.070,0.000,1434128660
153,20150612,0.039,0.051,0.000,1434128661
154,20150612,0.035,0.040,0.000,1434128662
155,20150612,0.015,0.063,0.000,1434128663
156,20150612,0.015,0.067,0.000,1434128664
157,20150612,0.050,0.043,0.000,1434128665
158,20150612,0.045,0.053,0.000,1434128666
159,20150612,0.032,0.046,0.000,1434128667
