index,time,xAxis,yAxis,zAxis
0,1434128516684,0.02680,0.00069,0.01105
1,1434128516686,-0.02700,0.00367,-0.00991
2,1434128516705,-0.03097,-0.01269,-0.01418
3,1434128516707,0.00257,-0.00390,0.00116
4,1434128516707,0.01455,0.00001,0.00092
5,1434128516751,0.00539,-0.00625,-0.00551
6,1434128516752,-0.01756,0.00438,0.00497
7,1434128516801,-0.00467,0.00038,0.00710
8,1434128516802,-0.00061,0.00655,-0.00057
9,1434128516805,0.01826,0.01462,-0.00046
10,1434128516853,-0.01039,0.00857,-0.00037
11,1434128516855,-0.04816,-0.00565,-0.01514
12,1434128516901,-0.05337,-0.01389,-0.03398
13,1434128516909,0.01824,0.00764,0.00641
14,1434128516910,0.02709,0.01861,0.00513
15,1434128516952,0.03652,0.01176,0.01660
16,1434128516953,-0.01610,0.00941,0.00703
17,1434128516996,-0.05585,0.00440,-0.04359
18,1434128516999,-0.06890,0.01212,-0.06222
19,1434128517044,-0.03715,0.02219,-0.02790
20,1434128517047,-0.01722,0.01463,-0.00748
21,1434128517049,0.00732,0.00233,0.00339
22,1434128517094,0.01523,0.02374,0.02068
23,1434128517094,-0.02766,0.02524,-0.03814
24,1434128517150,-0.01900,0.02254,-0.02739
25,1434128517150,-0.01520,0.01256,-0.02191
26,1434128517151,0.00268,0.01864,-0.02065
27,1434128517198,0.00840,0.04304,-0.01652
28,1434128517200,0.00359,0.03443,-0.00697
29,1434128517241,-0.01510,-0.00917,-0.01182
30,1434128517291,-0.02145,-0.01046,-0.00321
31,1434128517293,-0.01091,0.00960,-0.01194
32,1434128517294,-0.02357,0.02018,-0.02127
33,1434128517295,-0.00714,0.01614,-0.01467
34,1434128517341,0.00054,0.01604,-0.01408
35,1434128517345,0.01293,0.00658,0.00358
36,1434128517347,0.01034,0.02011,0.00286
37,1434128517388,0.01374,0.01062,0.01166
38,1434128517388,0.02037,0.00224,0.01246
39,1434128517442,-0.04464,-0.00758,-0.02050
40,1434128517443,-0.02321,-0.00606,-0.01640
41,1434128517445,-0.01857,-0.00798,-0.00765
42,1434128517483,0.00936,-0.00326,0.01575
43,1434128517487,0.01687,-0.00573,0.00323
44,1434128517541,0.01584,0.00167,0.01508
45,1434128517542,0.00095,-0.00492,0.00582
46,1434128517543,-0.00549,-0.00393,0.00153
47,1434128517582,-0.00439,-0.00002,-0.01128
48,1434128517585,-0.00976,0.00311,-0.00277
49,1434128517638,-0.00469,-0.00064,-0.00534
50,1434128517641,-0.01547,-0.01535,-0.00115
51,1434128517643,-0.01862,-0.01541,-0.00092
52,1434128517681,-0.01177,-0.00373,-0.00699
53,1434128517685,0.00230,0.00639,0.00066
54,1434128517729,0.01434,0.00199,0.00365
55,1434128517736,0.00522,-0.00154,-0.00020
56,1434128517738,0.00418,0.00190,0.00296
57,1434128517773,-0.00291,-0.00473,0.00550
58,1434128517778,-0.01092,-0.00379,-0.00185
59,1434128517838,-0.02124,0.00010,-0.01086
60,1434128517839,0.00098,0.00320,0.00069
61,1434128517842,-0.00781,-0.00056,-0.00257
62,1434128517876,0.01797,-0.00358,0.00732
63,1434128517878,-0.00672,-0.00599,0.00273
64,1434128517937,-0.02412,-0.00166,-0.01266
65,1434128517943,0.00179,0.00179,-0.00154
66,1434128517946,0.00456,0.00144,0.00190
67,1434128517978,0.00365,-0.00198,0.00152
68,1434128517980,-0.00567,-0.00158,-0.00504
69,1434128518024,-0.01704,-0.00127,-0.00715
70,1434128518025,-0.00426,0.00211,0.00053
71,1434128518026,0.00284,0.00482,0.00042
72,1434128518091,0.00228,-0.00240,0.00034
73,1434128518093,-0.01068,-0.00504,-0.00286
74,1434128518128,-0.01479,-0.00403,-0.00541
75,1434128518129,-0.00558,0.00302,-0.00120
76,1434128518130,-0.00134,-0.00383,-0.00096
77,1434128518167,-0.00420,0.00006,-0.00077
78,1434128518168,-0.00336,-0.00308,-0.00374
79,1434128518214,-0.00894,0.00379,0.00951
80,1434128518216,0.00222,0.00928,-0.00724
81,1434128518217,0.01115,0.00117,-0.00892
82,1434128518263,0.01127,-0.01078,-0.00166
83,1434128518263,-0.00895,0.00310,0.00179
84,1434128518318,0.00221,0.00248,-0.00716
85,1434128518319,-0.00761,0.00198,-0.01198
86,1434128518321,-0.00296,-0.00701,-0.00021
87,1434128518364,-0.00549,-0.01186,0.00218
88,1434128518365,-0.00127,-0.00949,-0.00060
89,1434128518416,-0.00414,0.01038,-0.00048
90,1434128518417,-0.01581,0.01768,0.00508
91,1434128518418,0.00923,0.01414,-0.00453
92,1434128518464,0.02222,-0.00119,0.00497
93,1434128518466,0.02403,-0.00407,0.00710
94,1434128518513,0.01297,-0.00638,0.02443
95,1434128518518,-0.00759,0.00427,0.00705
96,1434128518520,-0.00295,-0.00284,-0.01233
97,1434128518558,0.01249,0.00086,-0.01299
