index,time,xAxis,yAxis,zAxis
0,1434128516669,-0.00032,0.00166,-0.00052
1,1434128516669,0.00099,-0.00130,-0.00118
2,1434128516670,0.00268,-0.00292,-0.00000
3,1434128516671,-0.00088,0.00068,-0.00303
4,1434128516701,-0.00394,0.00221,0.00025
5,1434128516715,-0.00231,0.00093,-0.00269
6,1434128516732,0.00016,0.00002,0.00153
7,1434128516763,0.00338,-0.00155,0.00500
8,1434128516778,0.00189,-0.00183,-0.00022
9,1434128516794,0.00248,-0.00138,0.00088
10,1434128516810,0.00049,-0.00059,-0.00178
11,1434128516844,-0.00356,-0.00010,0.00119
12,1434128516858,-0.00522,0.00193,-0.00105
13,1434128516873,-0.00037,0.00102,0.00095
14,1434128516906,0.00216,0.00052,-0.00177
15,1434128516920,0.00113,-0.00018,-0.00082
16,1434128516949,0.00098,-0.00111,0.00031
17,1434128516951,-0.00014,-0.00089,0.00025
18,1434128516983,0.00051,0.00242,0.00057
19,1434128516998,0.00197,0.00111,0.00083
20,1434128517017,-0.00042,-0.00110,-0.00133
21,1434128517045,-0.00050,-0.00105,0.00018
22,1434128517062,0.00043,0.00058,-0.00044
23,1434128517076,-0.00167,0.00150,-0.00029
24,1434128517092,-0.00186,0.00024,0.00029
25,1434128517124,0.00007,-0.00145,-0.00289
26,1434128517138,0.00087,-0.00116,-0.00069
27,1434128517155,0.00145,0.00026,-0.00024
28,1434128517190,-0.00183,-0.00112,-0.00056
29,1434128517201,-0.00063,-0.00115,-0.00045
30,1434128517218,-0.00045,0.00207,0.00170
31,1434128517238,0.00018,0.00219,0.00095
32,1434128517265,-0.00022,0.00139,0.00067
33,1434128517282,-0.00058,-0.00090,-0.00026
34,1434128517296,0.00155,-0.00148,-0.00097
35,1434128517328,0.00155,-0.00118,0.00209
36,1434128517342,0.00066,-0.00037,-0.00120
37,1434128517359,-0.00148,0.00069,0.00109
38,1434128517374,-0.00172,0.00055,-0.00099
39,1434128517408,0.00210,0.00079,0.00059
40,1434128517422,0.00130,0.00105,-0.00112
41,1434128517439,-0.00049,0.00007,0.00129
42,1434128517470,-0.00196,-0.00138,-0.00101
43,1434128517484,-0.00100,0.00034,0.00064
44,1434128517500,0.00020,0.00027,0.00051
45,1434128517515,0.00162,0.00022,-0.00105
46,1434128517546,0.00140,0.00017,0.00062
47,1434128517563,0.00032,-0.00066,0.00049
48,1434128517579,0.00073,-0.00005,0.00040
49,1434128517609,-0.00066,-0.00104,0.00020
50,1434128517628,-0.00053,0.00205,-0.00072
51,1434128517640,-0.00042,0.00164,0.00042
52,1434128517656,-0.00034,-0.00161,0.00034
53,1434128517687,-0.00183,-0.00149,-0.00095
54,1434128517704,-0.00068,-0.00041,0.00046
55,1434128517720,0.00146,0.00045,0.00037
56,1434128517751,0.00150,0.00036,0.00029
57,1434128517768,0.00065,-0.00027,0.00024
58,1434128517781,-0.00149,-0.00022,0.00019
59,1434128517797,-0.00176,0.00039,0.00015
60,1434128517836,0.00172,-0.00158,0.00168
61,1434128517845,0.00138,-0.00250,0.00058
62,1434128517860,-0.00011,0.00043,0.00210
63,1434128517893,-0.00054,0.00104,-0.00075
64,1434128517908,-0.00134,0.00138,-0.00060
65,1434128517927,-0.00006,0.00112,-0.00148
66,1434128517940,-0.00005,-0.00111,-0.00031
67,1434128517971,0.00028,-0.00069,-0.00045
68,1434128517985,0.00147,0.00069,-0.00007
69,1434128518002,-0.00004,-0.00066,0.00154
70,1434128518032,-0.00038,0.00068,-0.00170
71,1434128518049,-0.00085,0.00001,0.00104
72,1434128518072,-0.00072,-0.00003,-0.00020
73,1434128518087,0.00001,0.00055,-0.00016
74,1434128518111,0.00125,0.00044,-0.00013
75,1434128518126,-0.00025,0.00035,-0.00086
76,1434128518142,-0.00020,0.00028,-0.00028
77,1434128518173,-0.00009,0.00016,0.00013
78,1434128518190,0.00142,-0.00083,0.00010
79,1434128518207,0.00016,0.00036,0.00008
80,1434128518221,-0.00046,0.00029,-0.00136
81,1434128518256,-0.00162,-0.00133,-0.00092
82,1434128518268,-0.00004,-0.00031,0.00052
83,1434128518284,0.00116,0.00056,0.00042
