index,time,xAxis,yAxis,zAxis
0,1434128516675,-0.01208,-0.00237,-0.01077
1,1434128516681,-0.01279,0.02857,-0.01799
2,1434128516681,-0.08601,0.05958,-0.04799
3,1434128516696,-0.02975,0.02579,-0.02902
4,1434128516697,-0.10895,0.01750,-0.06618
5,1434128516747,-0.02623,-0.01959,-0.03185
6,1434128516756,-0.01161,-0.00005,-0.01298
7,1434128516759,-0.01553,0.01168,0.00212
8,1434128516797,0.01492,-0.01487,0.01341
9,1434128516801,-0.01229,-0.01190,0.00448
10,1434128516850,-0.02545,0.00611,-0.01751
11,1434128516852,-0.05083,0.00176,-0.04135
12,1434128516859,-0.04613,-0.01422,-0.04558
13,1434128516899,-0.00331,-0.01137,-0.01772
14,1434128516908,-0.03078,0.00028,-0.02355
15,1434128516952,-0.02775,-0.00290,-0.02509
16,1434128516953,-0.01595,-0.00545,-0.02320
17,1434128516954,-0.01588,-0.00123,-0.01856
18,1434128516998,-0.04005,-0.00411,-0.03906
19,1434128516999,-0.03204,-0.00641,-0.04063
20,1434128517040,-0.03188,-0.01138,-0.04734
21,1434128517042,-0.05285,-0.00598,-0.06522
22,1434128517048,-0.05087,-0.01338,-0.06155
23,1434128517090,-0.04695,-0.01695,-0.06487
24,1434128517093,-0.04693,-0.01356,-0.06674
25,1434128517147,-0.04380,-0.01397,-0.07214
26,1434128517149,-0.04129,-0.01118,-0.07568
27,1434128517149,-0.06037,0.00043,-0.07304
28,1434128517197,-0.05455,-0.00590,-0.05531
29,1434128517200,-0.02801,0.00153,-0.03800
30,1434128517239,-0.00132,0.00669,-0.01790
31,1434128517242,-0.00965,0.00848,-0.00573
32,1434128517243,-0.00225,-0.00181,0.00167
33,1434128517290,0.01383,-0.01395,0.01696
34,1434128517292,0.03528,-0.00803,0.03466
35,1434128517340,0.02822,-0.00330,0.02461
36,1434128517344,0.02570,-0.00264,0.02906
37,1434128517348,0.00572,-0.00524,0.00762
38,1434128517383,0.01004,-0.01044,0.01235
39,1434128517387,-0.00368,-0.00835,-0.00497
40,1434128517442,-0.00920,-0.00043,-0.01022
41,1434128517443,-0.01986,-0.00035,-0.02068
42,1434128517444,-0.01901,0.00910,-0.02279
43,1434128517480,-0.01208,0.01040,-0.00573
44,1434128517486,-0.00967,0.00520,0.00166
45,1434128517530,0.00789,0.00103,0.01071
46,1434128517538,0.00006,0.00395,0.00856
47,1434128517541,0.00630,0.00629,0.00685
48,1434128517583,0.00192,0.01050,0.01095
49,1434128517584,0.00466,-0.00020,0.00876
50,1434128517637,0.00373,-0.00328,0.00701
51,1434128517640,0.00298,0.00362,0.00248
52,1434128517642,0.00551,0.00837,-0.00036
53,1434128517680,-0.00497,0.00123,0.00206
54,1434128517684,-0.00397,-0.00214,0.00165
55,1434128517731,0.00620,-0.00484,0.00132
56,1434128517733,0.00808,-0.00700,-0.00129
57,1434128517735,0.00959,-0.00247,0.00131
58,1434128517775,0.01002,0.00427,0.01042
59,1434128517779,-0.01308,0.00342,0.00209
60,1434128517780,0.00204,-0.01289,-0.00692
61,1434128517838,-0.00462,-0.01656,-0.01179
62,1434128517844,-0.00370,-0.00700,-0.01256
63,1434128517866,-0.01233,-0.00248,-0.01004
64,1434128517869,-0.00674,0.00427,-0.01429
65,1434128517874,-0.00539,0.00029,-0.01143
66,1434128517935,0.00506,-0.00289,0.00023
67,1434128517942,-0.00220,0.00081,0.00019
68,1434128517978,0.01074,0.00065,0.01187
69,1434128517980,-0.00391,0.00052,0.00090
70,1434128517981,0.01250,-0.00271,0.00385
71,1434128518020,-0.00875,0.00721,-0.00005
72,1434128518022,-0.00388,0.00577,0.00309
73,1434128518090,-0.01248,0.00774,-0.01003
74,1434128518092,-0.01623,-0.00318,-0.01740
75,1434128518095,-0.01298,0.00683,-0.01939
76,1434128518118,-0.00726,0.00781,0.00246
77,1434128518128,-0.00581,0.00937,0.00822
78,1434128518164,0.00473,0.00203,0.00657
79,1434128518167,-0.00247,-0.00150,-0.00724
80,1434128518168,0.01053,-0.00120,0.00671
81,1434128518211,0.00530,0.01076,0.00849
82,1434128518213,0.00111,0.00861,0.00367
83,1434128518264,0.00401,-0.00171,0.00293
84,1434128518266,0.00321,-0.00449,-0.00078
85,1434128518269,0.01194,0.00187,0.00875
86,1434128518315,0.00018,0.01400,0.00935
87,1434128518320,-0.00923,0.00807,0.00201
88,1434128518364,-0.00113,-0.00838,0.00161
89,1434128518367,0.00534,-0.00983,0.00129
90,1434128518368,0.01365,-0.00474,0.00650
91,1434128518411,0.00154,0.00480,0.00520
92,1434128518414,-0.00189,0.00072,0.00181
93,1434128518462,0.00474,-0.00177,-0.00167
94,1434128518467,0.00379,-0.00454,0.00725
95,1434128518469,-0.00009,0.00184,0.00268
96,1434128518510,-0.00007,-0.00088,0.00214
97,1434128518516,-0.00943,0.00164,-0.00375
98,1434128518557,0.00495,-0.00103,-0.00300
99,1434128518559,0.00396,0.00152,0.00072
100,1434128518560,0.00004,-0.00425,0.00605
101,1434128518604,0.00629,-0.00340,0.00484
102,1434128518606,0.00190,0.00040,-0.00160
103,1434128518647,0.00777,-0.00593,-0.00440
104,1434128518648,0.02731,0.00151,0.00507
105,1434128518649,-0.01487,0.00668,0.00406
106,1434128518694,0.02170,0.00534,0.01262
107,1434128518694,-0.00373,0.01365,0.01322
108,1434128518749,-0.03033,0.00467,-0.00192
109,1434128518753,-0.00942,-0.01736,-0.00701
110,1434128518758,-0.02863,-0.01701,-0.02748
111,1434128518796,-0.03540,-0.03783,-0.04620
112,1434128518801,-0.02520,-0.04901,-0.07368
113,1434128518850,-0.00219,-0.05405,-0.06520
114,1434128518854,0.01075,-0.03387,-0.02716
115,1434128518856,0.00860,-0.00913,0.01734
116,1434128518907,-0.02047,0.00520,0.00528
117,1434128518909,0.00472,-0.00209,0.01594
118,1434128518948,0.01003,-0.01105,0.03697
119,1434128518950,0.02365,-0.02993,0.02958
120,1434128518953,0.03064,-0.06066,-0.00915
121,1434128518994,0.00029,-0.08838,-0.08388
122,1434128518997,-0.03649,-0.16211,-0.14054
123,1434128519048,-0.09638,-0.19375,-0.12728
124,1434128519049,-0.11929,-0.29250,-0.14479
125,1434128519052,-0.02902,-0.28244,-0.19865
126,1434128519092,-0.03806,-0.27829,-0.25892
127,1434128519095,0.02736,-0.12810,-0.15245
128,1434128519142,0.04064,-0.15717,0.04289
129,1434128519147,0.07157,-0.06480,0.05228
130,1434128519150,0.03304,-0.02762,0.00823
131,1434128519193,0.02018,0.02400,-0.01451
132,1434128519195,0.04661,0.06217,-0.01786
133,1434128519240,0.10135,0.07708,-0.00491
134,1434128519249,0.02327,0.13197,-0.03752
135,1434128519250,-0.01498,0.14464,-0.05189
136,1434128519288,0.04896,0.13446,-0.03214
137,1434128519292,0.07276,0.14741,-0.04681
138,1434128519338,0.04024,0.16324,-0.07104
139,1434128519340,0.01969,0.12747,-0.05996
140,1434128519343,-0.01472,0.09885,-0.05421
141,1434128519393,-0.01802,0.06736,-0.03400
142,1434128519396,-0.00504,0.03826,-0.03970
143,1434128519428,-0.07122,0.05249,-0.07707
144,1434128519430,-0.11167,0.05058,-0.05619
145,1434128519434,-0.10496,0.01937,-0.02308
146,1434128519475,-0.07459,0.04597,-0.04268
147,1434128519476,-0.07764,0.07974,-0.04664
148,1434128519534,-0.06524,0.04192,-0.03731
149,1434128519546,-0.03735,0.03666,-0.02673
150,1434128519547,-0.05097,0.00823,-0.01826
151,1434128519578,-0.06187,0.01284,0.00961
