index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.001,0.010,0.000,1434118335
2,20150612,0.001,0.017,0.000,1434118336
3,20150612,0.001,0.011,0.000,1434118337
4,20150612,0.009,0.008,0.000,1434118338
5,20150612,0.003,0.005,0.000,1434118339
6,20150612,0.002,0.002,0.000,1434118340
7,20150612,0.001,0.002,0.000,1434118341
8,20150612,0.001,0.013,0.000,1434118342
9,20150612,0.002,0.014,0.000,1434118343
10,20150612,0.001,0.016,0.000,1434118344
11,20150612,0.000,0.044,0.000,1434118345
12,20150612,0.000,0.027,0.000,1434118346
13,20150612,0.000,0.016,0.000,1434118347
14,20150612,0.001,0.034,0.000,1434118348
15,20150612,0.026,0.014,0.001,1434118349
16,20150612,0.065,0.016,0.019,1434118350
17,20150612,0.031,0.027,0.039,1434118351
18,20150612,0.016,0.016,0.022,1434118352
19,20150612,0.013,0.007,0.011,1434118353
20,20150612,0.027,0.024,0.014,1434118354
21,20150612,0.023,0.027,0.004,1434118355
22,20150612,0.013,0.016,0.003,1434118356
23,20150612,0.007,0.008,0.002,1434118357
24,20150612,0.005,0.007,0.003,1434118358
25,20150612,0.002,0.004,0.002,1434118359
26,20150612,0.001,0.002,0.001,1434118360
27,20150612,0.001,0.001,0.001,1434118361
28,20150612,0.003,0.002,0.002,1434118362
29,20150612,0.001,0.001,0.002,1434118363
30,20150612,0.001,0.002,0.001,1434118364
31,20150612,0.001,0.001,0.001,1434118365
32,20150612,0.001,0.001,0.001,1434118366
33,20150612,0.001,0.001,0.001,1434118367
34,20150612,0.000,0.000,0.001,1434118368
35,20150612,0.000,0.000,0.000,1434118369
36,20150612,0.000,0.000,0.001,1434118370
37,20150612,0.001,0.000,0.001,1434118371
38,20150612,0.001,0.001,0.001,1434118372
39,20150612,0.001,0.001,0.001,1434118373
40,20150612,0.001,0.001,0.001,1434118374
41,20150612,0.001,0.000,0.001,1434118375
42,20150612,0.003,0.002,0.004,1434118376
43,20150612,0.027,0.012,0.026,1434118377
44,20150612,0.014,0.018,0.010,1434118378
45,20150612,0.008,0.019,0.010,1434118379
46,20150612,0.008,0.010,0.006,1434118380
47,20150612,0.013,0.024,0.010,1434118381
48,20150612,0.012,0.025,0.010,1434118382
49,20150612,0.003,0.028,0.003,1434118383
50,20150612,0.010,0.022,0.011,1434118384
51,20150612,0.014,0.024,0.009,1434118385
52,20150612,0.013,0.019,0.007,1434118386
53,20150612,0.007,0.021,0.013,1434118387
54,20150612,0.068,0.030,0.023,1434118388
55,20150612,0.036,0.037,0.021,1434118389
56,20150612,0.029,0.041,0.010,1434118390
57,20150612,0.036,0.064,0.006,1434118391
58,20150612,0.039,0.046,0.004,1434118392
59,20150612,0.052,0.052,0.002,1434118393
60,20150612,0.050,0.034,0.001,1434118394
61,20150612,0.036,0.028,0.001,1434118395
62,20150612,0.024,0.018,0.001,1434118396
63,20150612,0.052,0.017,0.000,1434118397
64,20150612,0.040,0.018,0.000,1434118398
65,20150612,0.028,0.032,0.000,1434118399
66,20150612,0.016,0.019,0.000,1434118400
67,20150612,0.008,0.022,0.000,1434118401
68,20150612,0.021,0.020,0.000,1434118402
69,20150612,0.035,0.015,0.000,1434118403
70,20150612,0.027,0.040,0.000,1434118404
71,20150612,0.019,0.026,0.000,1434118405
72,20150612,0.022,0.043,0.000,1434118406
73,20150612,0.022,0.020,0.000,1434118407
74,20150612,0.028,0.023,0.000,1434118408
75,20150612,0.037,0.030,0.000,1434118409
76,20150612,0.018,0.018,0.000,1434118410
77,20150612,0.024,0.033,0.000,1434118411
78,20150612,0.027,0.033,0.000,1434118412
79,20150612,0.020,0.022,0.000,1434118413
80,20150612,0.010,0.021,0.000,1434118414
81,20150612,0.011,0.019,0.000,1434118415
82,20150612,0.013,0.019,0.000,1434118416
83,20150612,0.015,0.017,0.000,1434118417
84,20150612,0.044,0.033,0.000,1434118418
85,20150612,0.028,0.044,0.000,1434118419
86,20150612,0.059,0.058,0.000,1434118420
87,20150612,0.031,0.048,0.000,1434118421
88,20150612,0.028,0.036,0.000,1434118422
89,20150612,0.029,0.038,0.000,1434118423
90,20150612,0.051,0.022,0.000,1434118424
91,20150612,0.033,0.036,0.000,1434118425
92,20150612,0.032,0.031,0.000,1434118426
93,20150612,0.040,0.030,0.000,1434118427
94,20150612,0.023,0.044,0.000,1434118428
95,20150612,0.027,0.022,0.000,1434118429
96,20150612,0.022,0.021,0.000,1434118430
97,20150612,0.033,0.026,0.000,1434118431
98,20150612,0.017,0.018,0.001,1434118432
99,20150612,0.014,0.016,0.001,1434118433
100,20150612,0.040,0.023,0.002,1434118434
101,20150612,0.038,0.016,0.000,1434118435
102,20150612,0.023,0.007,0.000,1434118436
103,20150612,0.012,0.005,0.000,1434118437
104,20150612,0.012,0.004,0.000,1434118438
105,20150612,0.013,0.003,0.000,1434118439
106,20150612,0.011,0.002,0.000,1434118440
107,20150612,0.008,0.002,0.000,1434118441
108,20150612,0.013,0.011,0.000,1434118442
109,20150612,0.059,0.034,0.000,1434118443
110,20150612,0.042,0.060,0.000,1434118444
111,20150612,0.037,0.057,0.000,1434118445
112,20150612,0.026,0.030,0.000,1434118446
113,20150612,0.025,0.036,0.000,1434118447
114,20150612,0.010,0.024,0.000,1434118448
115,20150612,0.034,0.051,0.000,1434118449
116,20150612,0.036,0.037,0.000,1434118450
117,20150612,0.037,0.041,0.000,1434118451
118,20150612,0.043,0.030,0.000,1434118452
119,20150612,0.027,0.022,0.000,1434118453
120,20150612,0.020,0.043,0.000,1434118454
121,20150612,0.035,0.037,0.000,1434118455
122,20150612,0.060,0.058,0.000,1434118456
123,20150612,0.053,0.039,0.000,1434118457
124,20150612,0.034,0.024,0.000,1434118458
125,20150612,0.020,0.014,0.000,1434118459
126,20150612,0.011,0.009,0.000,1434118460
127,20150612,0.008,0.005,0.000,1434118461
