index,time,xAxis,yAxis,zAxis
0,1434118466193,0.01599,-0.01795,0.02668
1,1434118466194,0.05185,-0.02374,0.05494
2,1434118466198,0.04148,-0.02211,0.05567
3,1434118466221,-0.04259,-0.00832,-0.02890
4,1434118466222,-0.08329,-0.00665,-0.06843
5,1434118466271,-0.08460,0.00405,-0.05162
6,1434118466274,-0.06456,0.00871,-0.02333
7,1434118466274,-0.01493,-0.00475,0.01181
8,1434118466319,0.01228,-0.00068,0.01569
9,1434118466320,-0.03002,-0.00054,0.00318
10,1434118466371,-0.00839,-0.00043,-0.01542
11,1434118466372,-0.00671,0.00825,-0.00296
12,1434118466373,0.00010,-0.01137,0.00310
13,1434118466417,-0.01789,0.00887,-0.00612
14,1434118466422,-0.00494,0.00163,0.02870
15,1434118466471,-0.01020,0.00130,-0.00751
16,1434118466472,-0.00816,-0.00833,-0.01538
17,1434118466474,-0.01278,-0.00042,0.00879
18,1434118466519,-0.01647,0.00279,0.00078
19,1434118466520,-0.01630,0.00223,0.00375
20,1434118466569,-0.01617,-0.01384,-0.00247
21,1434118466577,-0.00981,-0.00795,-0.00198
22,1434118466578,-0.00785,-0.00011,-0.01096
23,1434118466615,-0.00003,0.01163,0.00920
24,1434118466616,-0.01487,0.00618,0.01361
25,1434118466666,-0.01502,0.00495,-0.02270
26,1434118466668,-0.00342,0.00396,-0.00254
27,1434118466668,-0.01758,-0.00230,0.00656
28,1434118466714,-0.02969,-0.01434,-0.01272
29,1434118466717,-0.04797,-0.01147,-0.03127
30,1434118466764,-0.04775,-0.00605,-0.01955
31,1434118466765,-0.04054,-0.01109,-0.02111
32,1434118466766,-0.03556,-0.01200,-0.00829
33,1434118466809,-0.03157,-0.01897,-0.00976
34,1434118466809,-0.02213,-0.00893,-0.01327
35,1434118466865,-0.00286,0.00223,0.00110
36,1434118466866,0.00708,0.00491,0.00400
37,1434118466866,-0.00683,0.00393,-0.00305
38,1434118466906,0.01016,0.00314,0.01944
39,1434118466906,0.01125,-0.00061,0.02102
40,1434118466953,0.03010,0.01514,0.01994
41,1434118466955,0.01158,0.00273,0.01595
42,1434118466956,-0.01808,-0.00094,-0.00208
43,1434118467001,-0.04806,-0.01013,-0.02354
44,1434118467004,-0.05954,-0.01748,-0.03055
45,1434118467051,-0.07810,-0.02570,-0.04866
46,1434118467053,-0.04764,-0.02056,-0.03893
47,1434118467054,-0.05920,-0.02270,-0.02802
48,1434118467105,-0.03486,-0.01816,0.00180
49,1434118467111,-0.01617,-0.00515,-0.02277
50,1434118467153,0.03003,0.00760,-0.03384
51,1434118467154,0.03028,0.00295,-0.03020
52,1434118467156,0.11875,0.02736,0.08287
53,1434118467200,0.11609,0.03048,0.11161
54,1434118467203,0.09600,0.01892,0.05569
55,1434118467246,0.09243,0.01513,0.01721
56,1434118467250,0.08253,0.01523,0.02939
57,1434118467254,0.03243,0.00906,0.02039
58,1434118467296,0.00798,0.00100,-0.01416
59,1434118467297,-0.01471,0.00705,-0.02695
60,1434118467345,-0.04536,0.00251,-0.06687
61,1434118467346,-0.09723,0.00514,-0.07225
62,1434118467397,-0.02622,0.01583,0.00939
63,1434118467398,0.02746,-0.00531,0.05360
64,1434118467401,0.07431,-0.02612,0.01554
65,1434118467444,0.26648,-0.03261,0.12181
66,1434118467448,0.14912,0.02860,0.02479
67,1434118467496,0.13805,0.09006,0.10499
68,1434118467499,0.09481,-0.00686,0.11446
69,1434118467503,-0.06087,0.01873,-0.02406
70,1434118467539,-0.13151,-0.01861,-0.12315
71,1434118467541,-0.15989,-0.03910,-0.12040
72,1434118467589,-0.11620,-0.01644,-0.07444
73,1434118467590,-0.05936,0.00794,-0.02284
74,1434118467591,-0.01702,0.02510,0.05439
75,1434118467645,-0.04721,0.00446,-0.05415
76,1434118467649,-0.00417,0.03716,-0.03707
77,1434118467686,-0.04240,0.02973,0.02269
78,1434118467687,-0.04955,0.00581,-0.00997
79,1434118467689,-0.03339,0.01090,0.04437
80,1434118467738,-0.01187,0.00560,0.04174
81,1434118467796,-0.09152,0.03495,-0.06114
82,1434118467798,-0.20447,0.03968,-0.11375
83,1434118467800,-0.21514,0.03174,-0.08163
84,1434118467800,-0.21820,0.01367,-0.01608
