index,time,xAxis,yAxis,zAxis
0,1434118466184,0.00164,-0.00014,0.00115
1,1434118466185,0.00292,0.00164,0.00129
2,1434118466198,-0.00097,0.00061,0.00033
3,1434118466214,-0.00279,-0.00037,0.00056
4,1434118466246,0.00205,-0.00030,-0.00227
5,1434118466261,0.00117,0.00070,-0.00088
6,1434118466277,-0.00105,0.00186,0.00060
7,1434118466292,-0.00287,-0.00055,-0.00020
8,1434118466324,0.00037,-0.00301,-0.00016
9,1434118466339,0.00038,0.00153,-0.00012
10,1434118466355,0.00204,0.00122,-0.00124
11,1434118466387,-0.00150,-0.00061,0.00169
12,1434118466403,-0.00027,-0.00157,-0.00019
13,1434118466418,0.00198,0.00075,-0.00015
14,1434118466435,0.00159,-0.00009,-0.00012
15,1434118466466,-0.00053,0.00105,0.00123
16,1434118466481,-0.00107,-0.00049,-0.00034
17,1434118466497,0.00003,0.00073,0.00085
18,1434118466531,0.00002,0.00101,-0.00044
19,1434118466545,0.00002,-0.00074,0.00074
20,1434118466566,0.00001,-0.00150,-0.00117
21,1434118466576,0.00135,-0.00052,-0.00027
22,1434118466608,-0.00182,-0.00019,-0.00045
23,1434118466621,-0.00078,-0.00015,-0.00102
24,1434118466638,0.00138,-0.00012,0.00119
25,1434118466655,-0.00001,-0.00010,0.00140
26,1434118466685,-0.00113,0.00104,0.00000
27,1434118466703,0.00021,-0.00029,-0.00066
28,1434118466716,0.00017,0.00110,-0.00188
29,1434118466749,-0.00008,-0.00157,0.00028
30,1434118466764,-0.00141,0.00077,0.00157
31,1434118466779,-0.00002,-0.00029,0.00015
32,1434118466794,0.00199,-0.00023,-0.00034
33,1434118466826,0.00004,-0.00018,-0.00027
34,1434118466841,-0.00085,-0.00015,-0.00022
35,1434118466857,-0.00003,-0.00012,-0.00017
36,1434118466888,0.00021,-0.00009,0.00007
37,1434118466904,0.00017,-0.00008,0.00141
38,1434118466919,0.00013,0.00104,0.00003
39,1434118466934,-0.00145,-0.00026,-0.00044
40,1434118466966,0.00083,0.00135,0.00078
41,1434118466982,0.00091,0.00108,-0.00051
42,1434118466997,0.00005,-0.00046,-0.00041
43,1434118467029,0.00004,-0.00061,-0.00033
44,1434118467045,-0.00062,0.00017,0.00039
45,1434118467060,-0.00031,0.00104,0.00013
46,1434118467076,-0.00133,-0.00071,-0.00036
47,1434118467109,0.00048,-0.00173,-0.00185
48,1434118467124,-0.00048,0.00063,-0.00061
49,1434118467139,-0.00108,0.00120,0.00152
50,1434118467170,0.00090,0.00056,-0.00010
51,1434118467186,0.00144,-0.00100,-0.00008
52,1434118467203,0.00023,-0.00004,-0.00006
53,1434118467218,-0.00135,-0.00051,-0.00005
54,1434118467252,-0.00070,0.00074,0.00111
55,1434118467265,0.00059,-0.00142,-0.00026
56,1434118467280,-0.00083,-0.00053,0.00109
57,1434118467311,0.00064,-0.00017,0.00095
58,1434118467327,0.00115,0.00050,-0.00062
59,1434118467343,-0.00031,0.00025,-0.00050
60,1434118467360,0.00031,-0.00181,0.00113
61,1434118467393,0.00029,0.00008,-0.00062
62,1434118467406,-0.00062,0.00176,-0.00050
