index,time,xAxis,yAxis,zAxis
0,1434118466190,-0.00551,-0.02718,0.04236
1,1434118466191,-0.09581,-0.04597,0.08623
2,1434118466192,-0.06415,0.00541,0.08695
3,1434118466216,0.01899,0.05355,0.03909
4,1434118466217,0.04566,0.05768,-0.04529
5,1434118466265,0.03653,0.04302,-0.10342
6,1434118466267,0.01672,0.01957,-0.10383
7,1434118466273,0.01963,0.00941,-0.06509
8,1434118466314,0.00633,0.01378,-0.03020
9,1434118466315,-0.01603,0.01415,-0.01791
10,1434118466367,-0.00970,0.00819,-0.02683
11,1434118466369,-0.00463,0.00655,-0.01521
12,1434118466370,-0.00371,0.00212,-0.00279
13,1434118466414,-0.00922,-0.00456,-0.00536
14,1434118466416,0.01685,0.00886,-0.00741
15,1434118466466,0.02285,0.02193,-0.01218
16,1434118466469,-0.00281,0.01442,-0.02537
17,1434118466473,-0.01788,0.01153,-0.01717
18,1434118466512,-0.01430,0.00610,-0.01686
19,1434118466515,-0.00207,0.01113,-0.01661
20,1434118466567,0.02569,0.01828,-0.00392
21,1434118466568,0.02368,0.02087,0.01562
22,1434118466575,-0.00840,0.01357,0.01562
23,1434118466610,-0.03719,0.00148,-0.00626
24,1434118466616,-0.03288,-0.00194,-0.01985
25,1434118466664,0.00417,0.00783,-0.01041
26,1434118466667,0.02130,0.01251,0.01042
27,1434118466669,0.01392,0.01313,0.00834
28,1434118466713,-0.00684,0.01363,-0.00583
29,1434118466718,-0.02422,0.00778,-0.02576
30,1434118466758,-0.01937,0.00622,-0.04482
31,1434118466766,-0.01550,0.00810,-0.04836
32,1434118466767,-0.00927,0.01508,-0.02931
33,1434118466803,0.00821,0.02769,-0.01173
34,1434118466808,0.00969,0.02527,-0.00314
35,1434118466865,-0.01725,0.00772,-0.01501
36,1434118466897,-0.03489,-0.00867,-0.03310
37,1434118466900,-0.02479,-0.01318,-0.03820
38,1434118466905,-0.01358,-0.01055,-0.03368
39,1434118466905,0.00085,0.00328,-0.00273
40,1434118466952,0.02256,0.01200,0.01579
41,1434118466952,0.02742,0.00647,0.01263
42,1434118466954,-0.00931,-0.00107,-0.01412
43,1434118466995,-0.01292,0.00539,-0.03551
44,1434118466996,-0.00174,0.01369,-0.02528
45,1434118467045,-0.01624,0.00470,-0.02648
46,1434118467047,-0.03174,-0.00874,-0.02431
47,1434118467049,-0.01289,-0.00933,-0.01007
48,1434118467099,0.00766,-0.00512,-0.00493
49,1434118467103,-0.00559,-0.00410,-0.01332
50,1434118467107,-0.01698,-0.00875,-0.01066
51,1434118467144,-0.01983,-0.01012,-0.00227
52,1434118467151,-0.02446,-0.00497,0.00677
53,1434118467194,-0.02894,-0.00398,0.01479
54,1434118467196,-0.01378,-0.00943,0.03605
55,1434118467199,0.00070,-0.01067,0.01087
56,1434118467241,0.01618,-0.00541,-0.00693
57,1434118467244,0.01607,0.00192,-0.00788
58,1434118467294,-0.00902,-0.00159,-0.00396
59,1434118467298,-0.02206,-0.01065,0.00308
60,1434118467299,-0.01765,-0.01477,0.00559
