index,time,xAxis,yAxis,zAxis
0,1434122000120,0.01858,0.01837,-0.00822
1,1434122000122,0.00549,0.01469,0.01530
2,1434122000197,-0.00732,0.02660,0.03021
3,1434122000199,-0.00273,0.01269,0.02729
4,1434122000200,0.00406,-0.00860,-0.00239
5,1434122000200,-0.00925,-0.01313,-0.00503
6,1434122000247,-0.01053,-0.01050,-0.00090
7,1434122000249,-0.00530,0.00097,-0.00697
8,1434122000251,-0.01049,-0.00235,-0.00870
9,1434122000254,-0.00526,0.00125,-0.01634
10,1434122000296,-0.00734,0.01350,-0.00369
11,1434122000296,-0.01212,0.02877,0.00954
12,1434122000346,-0.00657,0.02926,-0.00174
13,1434122000348,-0.01463,0.03279,-0.04436
14,1434122000350,0.04376,0.02310,-0.07221
15,1434122000404,0.00454,0.03020,-0.08511
16,1434122000405,0.01848,0.03354,-0.12590
17,1434122000446,-0.06725,0.06667,-0.11010
18,1434122000447,-0.14208,0.07756,-0.06933
19,1434122000448,-0.17538,0.00111,-0.09530
20,1434122000495,-0.31374,0.05245,-0.13093
21,1434122000496,-0.26975,0.05446,0.09682
22,1434122000544,-0.03845,-0.04471,0.11652
23,1434122000569,0.08799,-0.05140,-0.00757
24,1434122000571,-0.03898,-0.00752,-0.04824
25,1434122000595,-0.00384,-0.04821,-0.04797
26,1434122000596,0.07583,-0.08153,-0.05087
27,1434122000640,0.12473,-0.09257,-0.05242
28,1434122000642,0.14588,-0.11390,-0.08803
29,1434122000643,0.14404,-0.11534,-0.13136
30,1434122000688,0.19805,-0.12899,-0.14493
31,1434122000690,0.34125,-0.11257,-0.26204
32,1434122000738,0.12613,0.02557,-0.27682
33,1434122000739,-0.02410,0.10639,-0.14802
34,1434122000739,-0.04975,0.18590,-0.01529
35,1434122000782,-0.02730,0.28309,0.04949
36,1434122000783,-0.07418,0.39679,-0.00963
37,1434122000834,-0.26638,0.42134,-0.04130
38,1434122000835,-0.52482,0.42301,0.00681
39,1434122000838,-0.46829,0.35950,0.00857
40,1434122000884,-0.18870,0.18682,0.02482
41,1434122000887,0.07795,0.03617,0.02298
42,1434122000936,0.19673,-0.08669,-0.03005
43,1434122000937,0.20036,-0.10607,-0.05451
44,1434122000938,0.15403,-0.10595,-0.03501
45,1434122000984,0.14745,-0.10038,-0.00614
46,1434122000985,0.11483,-0.09515,-0.00803
47,1434122001031,0.04655,-0.09175,-0.04002
48,1434122001032,0.02162,-0.06715,-0.07499
49,1434122001033,-0.07411,-0.00215,-0.07796
50,1434122001083,-0.10538,0.04124,-0.06862
51,1434122001085,-0.05696,0.01815,-0.06427
52,1434122001133,-0.00885,0.00515,-0.06626
53,1434122001135,0.01167,0.00099,-0.06551
54,1434122001177,-0.00942,0.01642,-0.02819
55,1434122001180,-0.00753,0.00064,-0.00380
56,1434122001183,0.00022,-0.01199,0.00243
57,1434122001221,-0.00295,-0.02131,0.00819
58,1434122001222,-0.00861,-0.02017,0.00655
59,1434122001277,-0.01860,-0.01926,0.00212
60,1434122001279,-0.02738,-0.02166,-0.01002
61,1434122001283,0.01169,-0.03295,0.00057
62,1434122001325,0.01247,-0.04121,0.00046
63,1434122001327,0.03420,-0.04547,0.01287
64,1434122001367,0.03986,-0.04184,0.02826
65,1434122001371,0.02876,-0.03660,0.03824
66,1434122001372,0.01988,-0.02381,0.04309
67,1434122001418,0.00653,-0.02452,0.03135
