index,time,xAxis,yAxis,zAxis
0,1434122000115,-0.00043,-0.00028,0.00040
1,1434122000126,0.00002,0.00178,-0.00080
2,1434122000141,0.00122,0.00262,-0.00026
3,1434122000157,0.00097,0.00084,-0.00096
4,1434122000188,-0.00093,-0.00120,0.00066
5,1434122000204,-0.00216,-0.00096,-0.00032
6,1434122000220,-0.00071,-0.00076,0.00073
7,1434122000236,0.00144,-0.00061,0.00058
8,1434122000267,-0.00031,-0.00049,-0.00075
9,1434122000283,-0.00025,-0.00039,-0.00017
10,1434122000299,-0.00020,-0.00031,0.00032
11,1434122000330,-0.00016,-0.00025,-0.00098
12,1434122000347,0.00042,-0.00130,-0.00023
13,1434122000363,0.00036,-0.00307,0.00083
14,1434122000379,-0.00028,-0.00102,-0.00077
15,1434122000409,0.00197,0.00622,0.00018
16,1434122000426,0.00407,0.01447,-0.00082
17,1434122000441,-0.00157,0.00514,0.00095
18,1434122000474,-0.00729,-0.00941,0.00067
19,1434122000488,-0.00383,-0.01386,-0.00041
20,1434122000504,0.00283,-0.00319,0.00070
21,1434122000519,0.00806,0.00808,0.00056
22,1434122000555,0.00430,0.00916,0.00016
23,1434122000566,-0.00331,-0.00143,-0.00114
24,1434122000582,-0.00714,-0.00764,0.00027
25,1434122000614,-0.00429,-0.00351,-0.00097
26,1434122000632,0.00340,0.00443,-0.00077
27,1434122000661,0.00469,0.00568,-0.00029
28,1434122000662,0.00262,0.00000,0.00091
29,1434122000693,-0.00451,-0.00846,-0.00048
30,1434122000708,-0.00349,-0.00521,0.00020
31,1434122000725,0.00122,0.00269,0.00047
32,1434122000755,0.00492,0.00959,-0.00078
33,1434122000771,0.00249,0.00423,-0.00014
34,1434122000785,-0.00310,-0.00557,0.00005
35,1434122000802,-0.00376,-0.00902,0.00076
36,1434122000833,-0.00227,-0.00281,0.00056
37,1434122000849,0.00351,0.00772,-0.00018
38,1434122000866,0.00456,0.00767,-0.00040
39,1434122000896,0.00050,-0.00060,-0.00075
40,1434122000912,-0.00362,-0.00759,-0.00060
41,1434122000934,-0.00421,-0.00650,0.00221
42,1434122000943,-0.00003,0.00283,0.00109
43,1434122000975,0.00333,0.00920,-0.00248
44,1434122000989,0.00066,0.00201,0.00002
45,1434122001006,-0.00148,-0.00531,0.00203
46,1434122001025,-0.00320,-0.00561,-0.00105
47,1434122001052,0.00100,-0.00005,-0.00041
48,1434122001073,0.00281,0.00422,0.00168
49,1434122001084,0.00293,0.00406,-0.00194
50,1434122001117,0.00018,-0.00204,0.00222
51,1434122001132,-0.00330,-0.00508,-0.00023
52,1434122001148,-0.00172,-0.00097,-0.00002
53,1434122001163,0.00322,0.00477,0.00046
54,1434122001195,0.00267,0.00506,-0.00120
55,1434122001211,0.00042,0.00033,-0.00096
56,1434122001224,-0.00238,-0.00446,-0.00077
57,1434122001258,-0.00338,-0.00514,0.00095
58,1434122001273,0.00007,0.00129,0.00076
59,1434122001288,0.00112,0.00399,-0.00045
60,1434122001305,0.00140,0.00370,-0.00086
61,1434122001336,-0.00082,-0.00250,0.00087
62,1434122001353,-0.00184,-0.00436,-0.00013
63,1434122001366,0.00106,0.00032,-0.00084
64,1434122001398,0.00144,0.00285,-0.00053
65,1434122001414,0.00115,0.00310,0.00159
66,1434122001429,-0.00011,-0.00159,0.00121
67,1434122001446,-0.00062,-0.00286,-0.00104
68,1434122001476,-0.00014,-0.00193,0.00064
69,1434122001492,0.00110,0.00126,0.00052
70,1434122001508,0.00212,0.00378,0.00041
71,1434122001539,0.00033,-0.00003,-0.00123
72,1434122001556,-0.00174,-0.00290,-0.00042
73,1434122001570,-0.00239,-0.00232,0.00066
74,1434122001587,-0.00046,0.00105,-0.00093
75,1434122001618,0.00131,0.00385,-0.00085
76,1434122001634,0.00104,0.00107,0.00010
77,1434122001650,-0.00039,-0.00237,0.00086
78,1434122001682,-0.00221,-0.00404,-0.00077
79,1434122001697,-0.00068,-0.00068,0.00139
80,1434122001713,0.00149,0.00248,0.00016
81,1434122001745,0.00119,0.00399,-0.00103
82,1434122001762,-0.00061,-0.00042,-0.00082
83,1434122001774,-0.00124,-0.00360,0.00010
84,1434122001790,-0.00060,-0.00129,-0.00031
85,1434122001821,-0.00004,0.00134,-0.00062
86,1434122001838,0.00145,0.00256,-0.00049
87,1434122001855,0.00020,0.00012,0.00057
88,1434122001868,-0.00044,-0.00110,-0.00176
89,1434122001905,-0.00138,-0.00218,0.00244
90,1434122001922,0.00087,0.00078,-0.00064
91,1434122001933,0.00090,0.00252,0.00063
92,1434122001963,-0.00049,0.00022,-0.00783
93,1434122001978,-0.00090,-0.00485,0.01330
94,1434122001995,0.00141,0.00580,0.00100
95,1434122002009,0.00252,0.00960,-0.01530
96,1434122002041,-0.00149,-0.00491,0.00691
