index,time,xAxis,yAxis,zAxis
0,1434122000119,0.05622,-0.01417,-0.01701
1,1434122000121,0.03247,0.00663,-0.02532
2,1434122000144,-0.03183,-0.01891,0.01880
3,1434122000147,-0.05047,-0.00576,0.01192
4,1434122000148,-0.04897,0.03211,-0.02094
5,1434122000191,-0.05167,0.03741,-0.03784
6,1434122000192,-0.04446,0.01821,-0.02715
7,1434122000198,-0.04495,0.01144,-0.01547
8,1434122000241,-0.02346,0.00290,-0.02800
9,1434122000246,-0.02502,0.00545,-0.03177
10,1434122000289,0.00733,-0.01127,-0.00354
11,1434122000294,-0.02148,-0.02386,-0.00284
12,1434122000295,-0.01406,-0.03159,0.00945
13,1434122000337,-0.00812,-0.02839,0.00522
14,1434122000344,-0.02759,-0.04068,-0.02708
15,1434122000403,-0.03457,-0.03255,-0.02713
16,1434122000405,-0.06438,-0.03854,-0.03108
17,1434122000406,-0.09369,-0.03395,-0.02799
18,1434122000445,0.00083,-0.10295,-0.10755
19,1434122000448,-0.08449,-0.06751,-0.17510
20,1434122000494,-0.05587,-0.13292,-0.16430
21,1434122000497,-0.06579,-0.10321,-0.13144
22,1434122000499,-0.02217,-0.09507,-0.07156
23,1434122000544,-0.02086,-0.07918,-0.05412
24,1434122000563,-0.01669,-0.07272,-0.03392
25,1434122000594,0.00228,-0.03083,-0.02089
26,1434122000596,0.03229,0.01518,-0.03233
27,1434122000597,0.04693,0.03089,-0.01649
28,1434122000639,0.09301,0.03018,0.00477
29,1434122000641,0.13847,0.06399,0.01319
30,1434122000684,0.14124,0.07619,-0.02616
31,1434122000686,0.11612,0.06955,-0.05140
32,1434122000687,0.12024,0.04392,0.00185
33,1434122000735,0.05947,-0.02658,0.04992
34,1434122000737,0.04133,-0.04236,0.09228
35,1434122000779,0.12447,-0.04561,0.10117
36,1434122000784,0.13942,-0.07945,0.04734
37,1434122000785,0.05997,-0.13388,-0.03244
38,1434122000832,0.11204,-0.15319,-0.04470
39,1434122000837,0.15370,-0.19209,-0.02639
40,1434122000882,0.14717,-0.23336,-0.03908
41,1434122000886,0.12086,-0.25700,-0.07423
42,1434122000889,0.12091,-0.24232,-0.10782
43,1434122000934,0.12095,-0.20870,-0.11985
44,1434122000935,0.09988,-0.17633,-0.13260
45,1434122000983,0.06819,-0.15044,-0.13655
46,1434122000986,0.03267,-0.13832,-0.13736
47,1434122000986,-0.00745,-0.10441,-0.12474
48,1434122001027,-0.03018,-0.02884,-0.10916
49,1434122001030,-0.05149,0.05662,-0.09046
50,1434122001080,-0.05994,0.11170,-0.05361
51,1434122001085,-0.06592,0.12061,-0.01555
52,1434122001086,-0.05586,0.11758,0.00553
53,1434122001128,-0.05094,0.13078,-0.01042
54,1434122001134,-0.04935,0.12885,-0.00834
55,1434122001175,-0.02776,0.10620,0.01755
56,1434122001178,-0.01283,0.08809,0.03826
57,1434122001179,0.01083,0.08531,0.05248
58,1434122001221,0.02429,0.06513,0.07558
59,1434122001223,0.04990,0.04663,0.09406
60,1434122001276,0.05789,0.02793,0.10259
61,1434122001281,0.05569,0.00984,0.10317
62,1434122001284,0.06564,-0.01009,0.10675
63,1434122001324,0.05876,-0.01745,0.11040
64,1434122001326,0.05951,-0.01083,0.10004
65,1434122001363,0.04136,0.00071,0.07378
66,1434122001369,0.00262,0.01853,0.04106
67,1434122001373,-0.00728,0.02420,0.03285
68,1434122001417,-0.02379,0.01311,0.03565
69,1434122001422,-0.01591,0.01674,0.03165
