index,time,xAxis,yAxis,zAxis
0,1434131130210,-0.00145,-0.00010,-0.01593
1,1434131130211,0.01134,-0.00946,0.00288
2,1434131130244,0.00907,-0.01069,0.00230
3,1434131130244,0.00101,-0.00855,0.00809
4,1434131130245,0.00706,-0.00919,-0.01228
5,1434131130293,-0.00060,-0.00735,-0.01295
6,1434131130294,-0.00048,-0.00900,-0.00098
7,1434131130339,-0.00039,-0.00720,0.00546
8,1434131130340,-0.00656,-0.00889,0.00437
9,1434131130342,0.00100,-0.00399,0.00350
10,1434131130388,-0.00232,-0.00319,-0.01517
11,1434131130389,0.00439,0.00057,-0.00042
12,1434131130448,0.00039,0.00046,0.00904
13,1434131130449,-0.00281,-0.00276,0.01036
14,1434131130452,0.00087,-0.00846,0.01454
15,1434131130491,0.00382,-0.00364,-0.00400
16,1434131130494,-0.00007,-0.00291,-0.00320
17,1434131130543,-0.00005,-0.01170,0.00057
18,1434131130544,-0.00004,-0.00311,0.00358
19,1434131130548,0.00622,-0.00249,0.00599
20,1434131130588,0.00185,-0.00199,0.00479
21,1434131130591,-0.00790,-0.00159,-0.00242
22,1434131130642,-0.01257,-0.00128,-0.00193
23,1434131130648,0.00245,-0.00102,-0.00155
24,1434131130649,0.00821,-0.00082,-0.00749
25,1434131130682,0.00032,-0.00690,-0.00599
26,1434131130685,0.00025,0.00073,0.01396
27,1434131130738,-0.00292,0.00058,-0.00133
28,1434131130742,-0.00234,-0.00578,-0.01044
29,1434131130744,0.01063,-0.00463,0.01040
30,1434131130787,-0.00087,0.00255,0.00207
31,1434131130790,-0.00070,-0.00109,-0.00772
32,1434131130830,-0.00368,0.00226,-0.00305
33,1434131130831,-0.00920,-0.00132,-0.01182
34,1434131130833,-0.00423,-0.00731,-0.00633
35,1434131130880,-0.00026,-0.00897,-0.01131
36,1434131130884,0.00292,-0.00718,0.00345
37,1434131130933,0.00546,-0.00574,0.00276
38,1434131130934,0.00124,-0.00147,-0.00404
39,1434131130937,0.01037,0.00508,-0.00011
40,1434131130982,0.01142,-0.00844,-0.00634
41,1434131130984,-0.00336,0.00262,-0.01054
42,1434131131024,0.00668,0.00210,-0.00843
43,1434131131030,0.01082,-0.00457,-0.00128
44,1434131131031,0.01490,0.01197,-0.00649
45,1434131131073,0.00880,-0.01230,-0.01457
46,1434131131076,-0.00781,0.00578,-0.00540
47,1434131131127,-0.00312,0.00150,0.00115
48,1434131131128,0.00063,0.00120,-0.00143
49,1434131131129,0.00910,0.01034,-0.00114
50,1434131131175,0.00415,0.00827,-0.00716
51,1434131131178,0.00332,0.01287,-0.00261
52,1434131131219,0.00031,0.01264,-0.01146
53,1434131131221,0.01822,0.01323,-0.00917
54,1434131131222,0.02395,0.01059,-0.00733
55,1434131131269,0.02541,0.00534,-0.00274
56,1434131131270,0.02580,-0.00119,-0.00532
57,1434131131324,0.00892,-0.00408,-0.01051
58,1434131131327,0.01026,-0.02514,-0.00215
59,1434131131329,0.00508,-0.02011,-0.00797
60,1434131131368,-0.01468,-0.02468,-0.02122
61,1434131131370,-0.02659,-0.02287,-0.02323
62,1434131131421,-0.03377,-0.01517,-0.02483
63,1434131131424,-0.03014,-0.02151,-0.01987
64,1434131131427,-0.01161,-0.01721,-0.00105
65,1434131131467,0.00868,-0.01064,-0.00084
66,1434131131469,0.00069,0.00633,0.01495
67,1434131131508,0.00055,0.00819,0.02759
68,1434131131509,0.00669,0.01280,0.03379
69,1434131131510,0.00848,0.01337,0.01219
70,1434131131565,0.00991,0.01069,-0.00275
71,1434131131570,0.00793,0.00543,-0.00532
72,1434131131611,0.00634,0.00434,-0.00113
73,1434131131614,0.01445,0.00660,-0.00403
74,1434131131616,0.01781,0.01465,-0.01807
75,1434131131660,0.01425,0.01485,-0.02071
76,1434131131663,0.01140,0.01500,-0.01969
77,1434131131709,0.02084,0.01435,-0.00091
78,1434131131710,0.01979,0.01148,0.00865
79,1434131131712,0.01584,0.00059,0.00067
80,1434131131760,0.01579,0.00672,0.00054
81,1434131131762,0.00951,-0.00712,0.00043
82,1434131131811,-0.00411,-0.00570,-0.00278
83,1434131131813,-0.01891,-0.00768,-0.01394
84,1434131131813,-0.01513,-0.01552,-0.02991
85,1434131131858,-0.01835,-0.01789,-0.02939
86,1434131131860,-0.02406,-0.02368,-0.02976
87,1434131131909,-0.03409,-0.03770,-0.02069
88,1434131131910,-0.02102,-0.03328,-0.00796
89,1434131131911,-0.00822,-0.02350,-0.00011
90,1434131131953,0.00905,-0.02427,0.00303
91,1434131131954,0.00099,-0.01707,0.00243
92,1434131132004,-0.01093,-0.00741,-0.00431
93,1434131132006,-0.00327,-0.00280,-0.00345
94,1434131132061,-0.00809,0.01026,-0.00588
95,1434131132062,-0.02522,0.01133,-0.02267
96,1434131132063,-0.04127,0.02078,-0.04548
97,1434131132099,-0.06036,0.03225,-0.06139
98,1434131132100,-0.08188,0.02580,-0.07645
99,1434131132149,-0.05691,0.03549,-0.04866
100,1434131132154,-0.00881,0.05651,-0.03268
101,1434131132155,0.04217,0.07255,-0.02614
102,1434131132195,0.08530,0.07914,0.00643
103,1434131132197,0.07761,0.08753,0.05124
104,1434131132248,0.04647,0.07002,0.08005
105,1434131132249,0.02858,0.10211,0.07342
106,1434131132250,0.03146,0.09106,0.04936
107,1434131132289,-0.01155,0.05098,0.03089
108,1434131132290,-0.03971,0.00719,0.03018
109,1434131132349,-0.04661,-0.00597,0.03665
110,1434131132351,-0.02792,-0.02665,0.05354
111,1434131132353,0.01986,-0.03304,0.06470
112,1434131132390,0.05573,-0.06627,0.07286
113,1434131132391,0.08443,-0.06239,0.08875
114,1434131132440,0.08551,-0.05617,0.08663
