index,time,xAxis,yAxis,zAxis
0,1434131130200,0.03370,-0.00326,-0.03245
1,1434131130201,-0.00645,-0.01473,0.03768
2,1434131130207,0.01842,-0.01651,0.00955
3,1434131130222,0.01657,0.00024,-0.00563
4,1434131130254,0.00851,0.00247,-0.01236
5,1434131130269,0.01117,-0.00570,0.00234
6,1434131130285,0.01634,-0.01052,0.01681
7,1434131130316,0.01382,-0.01546,0.01775
8,1434131130331,-0.00246,-0.00652,0.01813
9,1434131130347,-0.02082,0.00991,0.00304
10,1434131130363,-0.02644,0.01941,-0.01651
11,1434131130394,-0.01293,0.00217,-0.00405
12,1434131130410,-0.00029,-0.01614,-0.00290
13,1434131130427,-0.00448,-0.00134,-0.00456
14,1434131130447,-0.01507,0.00581,0.00086
15,1434131130473,-0.01104,0.00097,0.01146
16,1434131130489,-0.00777,-0.00562,-0.00369
17,1434131130505,0.00136,-0.00799,-0.03106
18,1434131130536,-0.01125,-0.00957,0.00671
19,1434131130551,-0.03439,-0.00514,0.04544
20,1434131130568,-0.02308,-0.00066,0.01253
21,1434131130599,0.01009,-0.00508,-0.02131
22,1434131130616,-0.00438,-0.00007,0.00072
23,1434131130631,-0.02413,0.01697,0.00113
24,1434131130646,-0.02189,0.01624,-0.01505
25,1434131130678,-0.01788,0.00858,0.01648
26,1434131130693,-0.00836,0.00727,-0.00069
27,1434131130709,0.00150,0.00126,-0.01747
28,1434131130741,-0.00389,0.00110,-0.00630
29,1434131130755,0.00423,-0.00657,-0.00529
30,1434131130781,-0.00166,-0.00509,0.00391
31,1434131130788,-0.00145,0.00195,0.02107
32,1434131130821,0.00178,-0.00265,0.00403
33,1434131130834,0.01028,0.00632,0.01082
34,1434131130849,-0.00371,0.00487,0.00857
35,1434131130882,0.00556,0.00601,0.00043
36,1434131130897,0.00851,-0.00349,-0.00621
37,1434131130913,0.00988,-0.00875,-0.00585
38,1434131130929,0.01269,-0.01082,-0.00316
39,1434131130962,0.01731,-0.01971,0.00131
40,1434131130976,0.02165,-0.02380,0.01262
41,1434131130991,0.01899,-0.02093,-0.00777
42,1434131131022,0.01354,-0.01674,-0.02252
43,1434131131038,-0.00100,-0.01665,-0.00850
44,1434131131054,0.00312,-0.01229,0.00436
45,1434131131070,0.00936,-0.00608,0.01157
46,1434131131102,-0.00046,-0.00132,0.00902
47,1434131131120,-0.01394,0.00822,0.00656
48,1434131131131,-0.02237,0.00734,0.00964
49,1434131131169,-0.01049,-0.01267,0.01203
50,1434131131183,0.00887,-0.02312,-0.00751
51,1434131131195,0.01112,-0.02266,-0.01138
52,1434131131211,0.00578,-0.02182,-0.00619
53,1434131131243,-0.00020,-0.01131,-0.01403
54,1434131131258,0.01790,-0.01756,-0.00922
55,1434131131274,0.03406,-0.03058,-0.00895
56,1434131131304,0.03564,0.00017,-0.01186
57,1434131131322,0.01697,0.03306,0.01009
58,1434131131336,0.01028,0.03368,0.02516
59,1434131131352,0.01645,0.02473,0.04884
60,1434131131383,0.02049,0.01293,0.07388
61,1434131131399,0.02059,0.00834,0.04766
62,1434131131414,0.01389,0.00584,-0.00190
63,1434131131446,-0.00792,0.00578,-0.02033
64,1434131131464,-0.00433,-0.01095,-0.03482
65,1434131131477,-0.00622,-0.02312,-0.04381
66,1434131131499,-0.01999,-0.01117,-0.03636
67,1434131131525,-0.03313,0.00880,-0.02739
68,1434131131541,-0.01930,0.01790,0.00177
69,1434131131558,-0.00002,0.00183,0.01289
70,1434131131587,0.01179,-0.01361,0.00065
71,1434131131607,0.00949,-0.01906,0.01009
72,1434131131618,0.00716,-0.01725,0.01466
73,1434131131635,0.00901,-0.02541,0.00149
74,1434131131666,0.00609,-0.03356,0.00626
75,1434131131682,0.00827,-0.02939,0.01926
76,1434131131699,0.00123,-0.01379,-0.01201
77,1434131131730,-0.00663,0.00612,-0.04190
78,1434131131745,-0.00176,0.01279,-0.02952
79,1434131131759,0.00061,0.00599,-0.02597
80,1434131131775,0.00791,0.00550,-0.01049
81,1434131131810,0.00417,0.00828,0.02365
82,1434131131823,-0.00393,0.02675,0.05703
83,1434131131840,0.01186,0.03761,0.05102
84,1434131131870,0.02530,0.02917,0.01740
85,1434131131887,0.03117,0.02468,0.01572
86,1434131131902,0.01779,0.02666,0.01346
87,1434131131916,0.00084,0.03070,0.00675
88,1434131131948,-0.00161,0.02577,0.00057
89,1434131131965,0.00542,0.00585,-0.00503
90,1434131131979,0.01127,-0.00586,0.00914
91,1434131131998,0.01038,-0.01382,-0.00039
92,1434131132027,-0.01212,-0.00475,-0.00531
93,1434131132048,-0.02914,0.00685,0.06165
94,1434131132058,-0.02217,-0.00912,0.13642
95,1434131132089,0.00620,-0.04871,0.16458
96,1434131132104,0.02325,-0.07678,0.13424
97,1434131132120,0.01152,-0.06950,0.06305
98,1434131132142,-0.01807,-0.06742,0.01112
99,1434131132167,-0.02998,-0.10658,-0.02492
100,1434131132184,-0.01136,-0.14434,-0.07903
101,1434131132198,-0.01260,-0.12853,-0.13710
102,1434131132231,-0.08260,-0.04314,-0.10594
103,1434131132246,-0.14056,0.02919,-0.05881
104,1434131132262,-0.13404,0.05059,-0.04748
105,1434131132278,-0.08804,0.05326,-0.02339
106,1434131132310,-0.03415,0.04399,0.01940
107,1434131132325,0.00579,0.02431,0.01271
108,1434131132341,0.02818,0.01254,-0.05959
109,1434131132372,0.04633,0.00339,-0.13605
110,1434131132388,0.06120,0.01207,-0.17776
111,1434131132403,0.06449,0.04053,-0.17809
112,1434131132418,0.04320,0.06311,-0.13225
113,1434131132449,0.02478,0.06538,-0.07014
114,1434131132465,0.00351,0.05784,-0.00947
115,1434131132482,-0.03801,0.05337,0.04513
116,1434131132512,-0.06722,0.04465,0.06335
117,1434131132529,-0.07050,0.02404,0.05573
118,1434131132543,-0.05415,0.01530,0.03110
119,1434131132562,-0.04273,0.01320,-0.00660
120,1434131132591,-0.03655,0.03473,-0.01059
121,1434131132610,-0.02849,0.06478,0.00338
122,1434131132624,0.00026,0.06080,0.03445
123,1434131132655,0.03995,0.00502,0.07968
124,1434131132674,0.07546,-0.03181,0.14099
125,1434131132684,0.06220,-0.02140,0.15793
126,1434131132701,0.04042,-0.01199,0.15488
127,1434131132732,0.05391,-0.03734,0.13436
128,1434131132748,0.07689,-0.05190,0.05961
129,1434131132768,0.04508,-0.01008,-0.00194
130,1434131132796,0.04173,-0.01610,0.10259
131,1434131132813,0.07277,-0.07355,0.17865
132,1434131132830,0.04440,-0.14611,0.18417
133,1434131132841,-0.04380,-0.19330,0.11995
134,1434131132875,-0.08415,-0.07477,-0.13285
135,1434131132889,-0.11656,0.05398,-0.32476
136,1434131132908,0.01446,-0.02440,-0.23697
137,1434131132935,0.11655,-0.18941,-0.07428
138,1434131132952,0.07826,-0.13113,0.19232
139,1434131132971,0.19891,-0.09545,-0.26017
140,1434131132983,0.10142,-0.02894,-0.27703
141,1434131133018,0.07096,0.04081,0.00732
142,1434131133029,0.22407,-0.06237,-0.03092
143,1434131133045,0.01838,0.00322,-0.29748
144,1434131133078,-0.04939,0.12780,-0.19310
145,1434131133093,-0.05746,0.14647,-0.09914
146,1434131133113,-0.00149,0.12561,-0.04348
147,1434131133124,0.08370,0.06176,0.07198
148,1434131133157,0.04066,-0.02126,0.07213
149,1434131133171,0.12238,-0.04239,0.07808
150,1434131133188,0.08880,0.04374,0.04225
151,1434131133219,0.04918,0.02722,0.12130
152,1434131133234,0.03734,-0.06878,0.14805
153,1434131133250,0.01578,-0.03935,0.02447
154,1434131133266,0.01287,0.06993,-0.01772
155,1434131133300,0.20423,0.05058,-0.04088
156,1434131133317,0.25460,0.08793,0.05056
157,1434131133327,0.08413,0.02965,-0.00281
158,1434131133359,-0.10110,-0.08050,-0.15059
159,1434131133375,-0.16021,-0.11484,-0.03561
160,1434131133390,-0.13711,-0.16798,-0.22463
161,1434131133408,0.01621,-0.14379,0.13521
162,1434131133438,0.09233,-0.16827,0.18478
163,1434131133458,-0.17005,-0.04643,-0.15285
164,1434131133469,-0.21592,-0.04712,-0.21032
165,1434131133501,-0.14907,-0.11546,-0.15729
166,1434131133515,0.00689,-0.23678,0.04756
167,1434131133535,0.19221,-0.32795,0.33073
168,1434131133549,0.20523,-0.30554,0.24167
169,1434131133580,0.32964,-0.08632,-0.24780
170,1434131133599,0.48510,0.12458,-0.25361
171,1434131133611,0.40072,0.01371,-0.00331
172,1434131133643,0.50035,-0.05778,0.07696
173,1434131133663,0.43557,-0.00749,-0.00089
174,1434131133672,0.21525,-0.09162,-0.03454
175,1434131133689,0.02214,-0.12752,-0.15645
176,1434131133722,0.09325,-0.01067,-0.42605
177,1434131133738,0.11726,0.09553,-0.41400
178,1434131133751,-0.04951,-0.07269,-0.12009
179,1434131133767,-0.35899,-0.23018,0.03118
180,1434131133799,-0.40021,-0.21673,-0.05391
181,1434131133814,-0.14516,-0.10890,-0.27925
182,1434131133830,0.14403,-0.04615,-0.52586
183,1434131133865,0.09589,-0.11063,-0.18124
184,1434131133876,-0.01529,-0.25954,-0.16817
185,1434131133896,0.05670,-0.11364,-0.12088
186,1434131133908,0.00362,-0.06324,-0.09230
187,1434131133940,-0.14719,-0.04113,0.04066
188,1434131133955,-0.11280,-0.12807,0.21650
189,1434131133970,-0.11970,-0.19981,0.07253
190,1434131134002,-0.09135,-0.07376,-0.03838
191,1434131134018,0.03242,-0.12453,-0.03654
192,1434131134033,-0.05605,-0.09208,0.00348
193,1434131134049,0.02343,-0.14188,0.02786
194,1434131134083,0.06135,-0.16863,-0.11819
195,1434131134097,-0.04122,-0.08430,0.01623
196,1434131134114,-0.06423,-0.09794,0.09799
197,1434131134144,-0.08300,0.00065,0.06564
198,1434131134159,-0.28648,0.08020,0.04894
199,1434131134175,-0.34770,0.03955,0.08128
200,1434131134191,-0.25598,0.07248,-0.01751
201,1434131134223,-0.15018,0.09860,-0.25298
202,1434131134238,-0.13117,0.12719,-0.14855
203,1434131134253,0.00348,-0.00027,-0.19933
204,1434131134286,-0.04396,-0.08117,-0.24447
205,1434131134300,-0.02929,-0.04361,-0.15085
206,1434131134317,0.05838,-0.12009,-0.05697
207,1434131134332,0.14748,-0.10586,-0.05993
208,1434131134362,0.02754,-0.09938,-0.06406
209,1434131134379,-0.05830,-0.12305,-0.03859
210,1434131134394,-0.03549,-0.05610,-0.04945
211,1434131134428,-0.06222,0.02838,-0.07654
212,1434131134441,-0.09715,-0.04461,0.00820
213,1434131134457,-0.07012,0.01755,0.04325
214,1434131134478,-0.12434,0.10812,-0.01059
215,1434131134504,-0.08628,0.17687,-0.06911
216,1434131134521,-0.15877,0.29075,-0.06329
217,1434131134538,-0.13704,0.27915,-0.05799
218,1434131134569,-0.07066,0.18866,-0.06093
219,1434131134584,-0.01481,0.00744,-0.21837
220,1434131134599,0.19497,-0.36575,-0.40377
221,1434131134616,0.17816,-0.53404,-0.34813
222,1434131134646,-0.00330,-0.18629,-0.18899
223,1434131134662,0.11741,-0.12233,-0.00100
224,1434131134679,0.14396,-0.15952,0.03161
225,1434131134708,-0.07647,0.01468,0.05476
226,1434131134729,0.02460,0.04736,0.16447
227,1434131134739,-0.03568,-0.10886,0.24409
228,1434131134755,-0.15753,0.05600,0.30518
229,1434131134786,-0.01301,0.29064,0.16813
230,1434131134803,-0.06156,0.36280,0.02817
231,1434131134818,-0.19760,0.45037,0.25816
232,1434131134849,-0.19303,0.38579,0.18241
233,1434131134866,-0.15014,0.24787,0.23440
234,1434131134881,-0.08578,0.18122,0.21267
235,1434131134897,-0.23842,-0.17854,0.35307
236,1434131134928,-0.40008,-1.37715,-0.02474
237,1434131134943,-0.47588,-1.63067,0.39678
238,1434131134959,0.06094,0.16138,0.34984
239,1434131134992,0.27456,0.36791,0.00958
240,1434131135008,0.17736,0.43972,-0.45088
241,1434131135023,0.09951,0.35452,-0.32712
242,1434131135037,0.03978,0.05733,-0.03426
243,1434131135069,-0.01131,-0.05484,0.06998
244,1434131135088,0.09569,0.07027,0.07109
245,1434131135101,0.10238,0.02959,0.08096
246,1434131135132,-0.01597,0.01169,0.01132
247,1434131135147,-0.02045,-0.04153,-0.19270
248,1434131135166,0.02255,-0.00603,-0.22446
249,1434131135178,0.05104,0.01985,-0.05933
250,1434131135210,0.08969,0.05388,0.04862
251,1434131135225,0.14458,0.02057,0.16653
252,1434131135243,0.16408,-0.06362,0.18476
253,1434131135272,0.18204,-0.03556,0.13172
254,1434131135289,0.20108,0.02864,0.09040
255,1434131135307,0.18571,-0.02188,0.05920
256,1434131135319,0.08172,-0.28429,-0.09351
257,1434131135355,-0.03841,-0.26497,-0.13860
258,1434131135367,-0.08111,-0.04902,-0.15377
259,1434131135383,-0.02180,0.05126,-0.07956
260,1434131135415,0.00016,0.01251,-0.03204
261,1434131135431,-0.05448,-0.01449,-0.02922
262,1434131135446,-0.11397,-0.02582,0.02898
263,1434131135462,-0.14842,-0.10173,0.09188
264,1434131135495,-0.19056,-0.12289,0.03411
265,1434131135508,-0.22823,-0.14768,-0.11745
266,1434131135523,-0.14638,-0.06248,-0.18656
267,1434131135556,-0.04473,0.16857,-0.09907
268,1434131135570,0.01154,0.33126,-0.01100
269,1434131135586,0.04064,0.38568,0.03606
270,1434131135603,0.03449,0.36484,0.04235
271,1434131135635,0.01092,0.28964,0.01836
