index,time,xAxis,yAxis,zAxis
0,1434131130208,0.04126,-0.00702,-0.00757
1,1434131130208,0.01504,-0.01187,0.00020
2,1434131130236,-0.00672,-0.00012,0.00875
3,1434131130239,-0.02022,0.00616,0.00153
4,1434131130243,-0.00992,-0.00133,-0.00190
5,1434131130286,0.00065,-0.00106,-0.00777
6,1434131130287,0.00990,-0.00085,-0.00622
7,1434131130334,-0.00693,-0.00693,-0.00185
8,1434131130336,-0.01179,0.00383,0.00790
9,1434131130339,-0.00943,-0.00318,-0.00618
10,1434131130382,-0.00130,0.00683,0.00130
11,1434131130385,-0.00729,-0.00391,-0.00833
12,1434131130443,0.01526,0.00312,-0.00979
13,1434131130446,0.01534,0.00250,-0.00783
14,1434131130451,-0.00882,0.00200,0.00623
15,1434131130487,-0.02893,0.00160,-0.00126
16,1434131130493,-0.02002,0.00753,-0.00414
17,1434131130542,-0.01602,0.00290,-0.00331
18,1434131130546,0.00906,-0.00081,0.00360
19,1434131130547,0.01272,0.00248,-0.00024
20,1434131130586,0.00158,-0.00427,-0.00644
21,1434131130594,-0.00186,0.00284,-0.00828
22,1434131130639,-0.00149,-0.00398,-0.01287
23,1434131130640,-0.00432,-0.00631,-0.01030
24,1434131130647,0.00592,-0.00505,-0.01683
25,1434131130676,0.01646,0.00221,-0.01659
26,1434131130679,0.00379,-0.00448,-0.01640
27,1434131130734,0.00069,-0.00671,-0.01624
28,1434131130743,-0.01507,-0.00224,-0.00362
29,1434131130745,-0.01518,0.00133,0.00335
30,1434131130784,-0.00277,0.00106,0.01128
31,1434131130789,0.00716,-0.00227,0.00043
32,1434131130822,0.00260,-0.00494,0.00269
33,1434131130829,-0.01042,0.00230,-0.00019
34,1434131130832,-0.01146,-0.00441,-0.00328
35,1434131130877,-0.01229,0.00584,0.00284
36,1434131130881,-0.00046,0.00780,-0.00007
37,1434131130928,0.01213,0.00624,-0.00943
38,1434131130936,0.00658,0.00499,-0.01379
39,1434131130938,-0.00411,0.00399,-0.01104
40,1434131130981,-0.00329,0.00866,-0.00570
41,1434131130985,-0.00576,0.00693,-0.00144
42,1434131131027,-0.00460,0.00867,0.00197
43,1434131131028,-0.00368,0.00694,-0.00155
44,1434131131029,-0.00295,0.01492,-0.00124
45,1434131131067,-0.00548,0.01194,-0.00411
46,1434131131071,-0.00439,0.01268,0.00296
47,1434131131122,0.00274,0.01014,0.00237
48,1434131131129,-0.00406,0.00811,0.00189
49,1434131131130,-0.00012,0.00649,-0.00474
50,1434131131173,-0.00010,0.00207,-0.00691
51,1434131131177,-0.00320,0.00478,-0.00553
