index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.005,-1.000,0.003,1434127961
2,20150612,0.003,-1.000,0.006,1434127962
3,20150612,0.044,-1.000,0.036,1434127963
4,20150612,0.040,-1.000,0.016,1434127964
5,20150612,0.027,-1.000,0.010,1434127965
6,20150612,0.015,-1.000,0.006,1434127966
7,20150612,0.008,-1.000,0.004,1434127967
8,20150612,0.005,-1.000,0.002,1434127968
9,20150612,0.003,-1.000,0.001,1434127969
10,20150612,0.002,-1.000,0.001,1434127970
11,20150612,0.001,-1.000,0.001,1434127971
12,20150612,0.017,-1.000,0.000,1434127972
13,20150612,0.021,-1.000,0.000,1434127973
14,20150612,0.012,-1.000,0.000,1434127974
15,20150612,0.012,-1.000,0.000,1434127975
16,20150612,0.018,-1.000,0.000,1434127976
17,20150612,0.012,-1.000,0.000,1434127977
18,20150612,0.011,-1.000,0.000,1434127978
19,20150612,0.009,-1.000,0.001,1434127979
20,20150612,0.016,-1.000,0.000,1434127980
21,20150612,0.011,-1.000,0.000,1434127981
22,20150612,0.006,-1.000,0.000,1434127982
23,20150612,0.007,-1.000,0.000,1434127983
24,20150612,0.005,-1.000,0.000,1434127984
25,20150612,0.004,-1.000,0.000,1434127985
26,20150612,0.003,-1.000,0.000,1434127986
27,20150612,0.022,-1.000,0.000,1434127987
28,20150612,0.040,-1.000,0.000,1434127988
29,20150612,0.040,-1.000,0.000,1434127989
30,20150612,0.057,-1.000,0.000,1434127990
31,20150612,0.029,-1.000,0.000,1434127991
32,20150612,0.042,-1.000,0.000,1434127992
33,20150612,0.037,-1.000,0.000,1434127993
34,20150612,0.026,-1.000,0.000,1434127994
35,20150612,0.018,-1.000,0.000,1434127995
36,20150612,0.011,-1.000,0.000,1434127996
37,20150612,0.012,-1.000,0.000,1434127997
38,20150612,0.021,-1.000,0.000,1434127998
39,20150612,0.030,-1.000,0.000,1434127999
40,20150612,0.016,-1.000,0.000,1434128000
41,20150612,0.012,-1.000,0.000,1434128001
42,20150612,0.033,-1.000,0.000,1434128002
43,20150612,0.034,-1.000,0.000,1434128003
44,20150612,0.030,-1.000,0.000,1434128004
45,20150612,0.039,-1.000,0.000,1434128005
46,20150612,0.026,-1.000,0.000,1434128006
47,20150612,0.031,-1.000,0.000,1434128007
48,20150612,0.025,-1.000,0.000,1434128008
49,20150612,0.045,-1.000,0.000,1434128009
50,20150612,0.065,-1.000,0.000,1434128010
51,20150612,0.061,-1.000,0.000,1434128011
52,20150612,0.054,-1.000,0.000,1434128012
53,20150612,0.040,-1.000,0.000,1434128013
54,20150612,0.038,-1.000,0.000,1434128014
55,20150612,0.037,-1.000,0.000,1434128015
56,20150612,0.036,-1.000,0.000,1434128016
57,20150612,0.016,-1.000,0.000,1434128017
58,20150612,0.028,-1.000,0.000,1434128018
59,20150612,0.028,-1.000,0.000,1434128019
60,20150612,0.019,-1.000,0.000,1434128020
61,20150612,0.027,-1.000,0.000,1434128021
62,20150612,0.032,-1.000,0.000,1434128022
63,20150612,0.041,-1.000,0.000,1434128023
64,20150612,0.036,-1.000,0.000,1434128024
65,20150612,0.073,-1.000,0.000,1434128025
66,20150612,0.069,-1.000,0.000,1434128026
67,20150612,0.025,-1.000,0.000,1434128027
68,20150612,0.036,-1.000,0.000,1434128028
69,20150612,0.026,-1.000,0.000,1434128029
70,20150612,0.020,-1.000,0.000,1434128030
71,20150612,0.019,-1.000,0.000,1434128031
72,20150612,0.014,-1.000,0.000,1434128032
73,20150612,0.034,-1.000,0.000,1434128033
74,20150612,0.018,-1.000,0.000,1434128034
75,20150612,0.024,-1.000,0.000,1434128035
76,20150612,0.025,-1.000,0.000,1434128036
77,20150612,0.030,-1.000,0.000,1434128037
78,20150612,0.029,-1.000,0.000,1434128038
79,20150612,0.016,-1.000,0.000,1434128039
80,20150612,0.026,-1.000,0.000,1434128040
81,20150612,0.025,-1.000,0.000,1434128041
82,20150612,0.023,-1.000,0.000,1434128042
83,20150612,0.022,-1.000,0.000,1434128043
84,20150612,0.035,-1.000,0.000,1434128044
85,20150612,0.047,-1.000,0.000,1434128045
86,20150612,0.031,-1.000,0.000,1434128046
87,20150612,0.022,-1.000,0.000,1434128047
88,20150612,0.023,-1.000,0.000,1434128048
89,20150612,0.020,-1.000,0.000,1434128049
90,20150612,0.037,-1.000,0.000,1434128050
91,20150612,0.037,-1.000,0.000,1434128051
92,20150612,0.022,-1.000,0.000,1434128052
93,20150612,0.016,-1.000,0.000,1434128053
94,20150612,0.043,-1.000,0.000,1434128054
