index,time,xAxis,yAxis,zAxis
0,1434127986350,-0.05154,-0.02112,0.02461
1,1434127986351,-0.06233,-0.02627,0.00797
2,1434127986390,-0.02564,0.00086,-0.02487
3,1434127986393,-0.02677,0.00303,-0.04099
4,1434127986395,0.01843,0.00242,-0.03904
5,1434127986438,0.02725,0.00506,-0.01561
6,1434127986440,-0.02430,0.01968,0.00548
7,1434127986494,-0.02803,0.00012,0.00126
8,1434127986499,-0.00133,-0.01163,0.00101
9,1434127986500,-0.00107,-0.00618,0.00706
10,1434127986534,0.00540,-0.00807,0.01502
11,1434127986535,-0.04178,0.00527,0.02452
12,1434127986583,-0.06701,0.00421,-0.00851
13,1434127986584,-0.04111,-0.00835,-0.05212
14,1434127986585,-0.01492,0.00504,-0.03310
15,1434127986633,-0.01819,0.01028,-0.02648
16,1434127986634,-0.00830,0.00198,-0.00556
17,1434127986681,-0.01601,-0.01014,0.00805
18,1434127986684,-0.08859,0.00361,-0.02168
19,1434127986687,-0.08337,0.02164,-0.01969
20,1434127986737,-0.03623,0.04153,0.00534
21,1434127986740,-0.02586,0.03947,0.00115
22,1434127986783,-0.01756,0.01908,-0.03893
23,1434127986785,-0.01405,0.00901,-0.03739
24,1434127986835,-0.02062,0.01033,-0.02991
25,1434127986838,-0.09852,0.03014,-0.10284
26,1434127986839,-0.20694,0.13036,-0.09164
27,1434127986882,-0.10149,0.17148,0.02747
28,1434127986890,0.00396,0.07000,0.00088
29,1434127986931,-0.01792,0.01068,-0.08211
30,1434127986934,-0.02059,0.00855,-0.09616
31,1434127986940,-0.01022,-0.00566,-0.11989
32,1434127986974,-0.02380,-0.02250,-0.12326
33,1434127986975,-0.07060,-0.00941,-0.11658
34,1434127987023,-0.06898,-0.01924,-0.09951
35,1434127987026,-0.05206,-0.03102,-0.09758
36,1434127987031,-0.02915,-0.04591,-0.07806
37,1434127987083,-0.03894,-0.04610,-0.08745
38,1434127987086,-0.03975,-0.04313,-0.07855
39,1434127987127,-0.03805,-0.03997,-0.05737
40,1434127987130,-0.04294,-0.02651,-0.06699
41,1434127987133,-0.06795,-0.02433,-0.02625
42,1434127987177,-0.04498,-0.00697,0.00400
43,1434127987179,-0.03911,-0.00870,0.00007
44,1434127987221,-0.02816,-0.01008,-0.01244
45,1434127987225,-0.03191,-0.00807,-0.01308
46,1434127987228,-0.01615,0.01542,0.00829
47,1434127987270,-0.02229,0.02406,0.00897
48,1434127987274,0.00404,-0.00185,-0.00766
49,1434127987319,0.00323,-0.00148,-0.02488
50,1434127987321,0.00259,0.00819,-0.02537
51,1434127987322,0.00754,0.03077,-0.00546
52,1434127987368,0.00056,0.05821,0.01126
53,1434127987369,0.00592,0.08954,0.03323
54,1434127987418,0.02348,0.09272,0.00549
55,1434127987468,0.03988,0.07105,-0.05108
56,1434127987519,0.01706,0.04747,-0.05883
57,1434127987520,-0.02619,0.06532,-0.02910
58,1434127987523,-0.02721,0.08585,-0.00140
59,1434127987525,0.03917,0.09368,0.01060
60,1434127987617,0.04384,0.11166,-0.03996
61,1434127987619,-0.10868,0.07995,-0.17259
62,1434127987620,-0.12991,0.05459,-0.20214
63,1434127987622,-0.07580,0.05617,-0.26249
64,1434127987682,-0.07314,0.01994,-0.29827
65,1434127987683,-0.12883,-0.03249,-0.28784
66,1434127987683,-0.15462,-0.06896,-0.18105
67,1434127987684,-0.00807,-0.09189,-0.09015
68,1434127987713,0.07323,-0.13132,-0.02290
69,1434127987719,0.06171,-0.19959,-0.01520
70,1434127987720,0.13765,-0.22998,0.02144
71,1434127987723,0.13746,-0.13477,0.03824
72,1434127987758,0.12559,-0.13828,0.02122
73,1434127987759,0.10048,-0.19344,0.12401
74,1434127987807,-0.04774,-0.17897,0.03202
75,1434127987810,-0.10226,-0.06661,-0.05095
76,1434127987814,0.00647,-0.08142,-0.16576
77,1434127987856,-0.13857,-0.08310,-0.21151
78,1434127987864,-0.24836,-0.04226,-0.08718
79,1434127987910,-0.07290,-0.09162,0.07401
80,1434127987917,0.06980,-0.10689,0.13811
81,1434127987918,-0.04494,-0.06129,-0.03873
82,1434127987952,-0.12736,-0.15216,-0.00051
83,1434127987956,-0.09642,-0.04595,0.19803
84,1434127988005,-0.08260,-0.04613,-0.04939
85,1434127988008,0.00970,0.04278,-0.07936
86,1434127988011,0.02963,-0.03609,-0.08145
87,1434127988052,0.03543,0.08754,0.15124
88,1434127988056,0.09865,-0.01278,0.09678
89,1434127988099,0.03049,-0.17195,-0.21555
90,1434127988101,0.00564,-0.25006,-0.24275
91,1434127988101,0.05685,0.05933,-0.02311
92,1434127988149,0.03611,0.34043,0.01511
93,1434127988151,-0.17580,0.38797,-0.00354
94,1434127988198,-0.26252,0.35335,0.06123
95,1434127988202,-0.06939,0.17877,0.35445
96,1434127988208,0.08746,0.09145,0.46403
97,1434127988248,0.04575,0.02394,0.33763
98,1434127988251,-0.11028,0.01603,0.53807
99,1434127988296,-0.10931,-0.06374,0.26874
100,1434127988301,-0.04448,-0.11505,0.12046
101,1434127988303,0.01598,-0.14673,-0.02238
102,1434127988344,0.00966,-0.14160,-0.17337
103,1434127988350,0.03507,-0.12266,-0.23089
104,1434127988394,0.02259,-0.13797,-0.29408
105,1434127988399,0.08213,-0.17131,-0.32120
106,1434127988401,-0.00461,-0.22533,-0.26868
107,1434127988438,0.24631,-0.15917,-0.12354
108,1434127988440,0.23064,-0.10234,-0.06524
109,1434127988488,0.14780,-0.15218,-0.06469
110,1434127988493,0.02371,-0.20143,-0.04550
111,1434127988497,-0.08807,-0.06974,0.01829
112,1434127988539,-0.10092,-0.05892,-0.01272
113,1434127988542,-0.07136,-0.06198,-0.05861
114,1434127988681,-0.06646,-0.08005,-0.08361
115,1434127988684,-0.03755,-0.09138,-0.01845
116,1434127988685,-0.03004,-0.11920,0.03134
117,1434127988687,-0.01778,-0.12583,0.02507
118,1434127988740,-0.00876,-0.18270,-0.00729
119,1434127988747,0.03284,-0.17741,-0.06364
120,1434127988748,0.03877,-0.20599,-0.02357
121,1434127988749,0.11930,-0.21948,-0.06495
122,1434127988780,0.11419,-0.14824,-0.03634
123,1434127988783,0.09369,-0.10609,-0.02282
124,1434127988787,0.07496,-0.09112,-0.01279
125,1434127988788,0.04200,-0.09087,-0.00085
126,1434127988829,0.01797,-0.06722,0.04541
127,1434127988834,0.06047,-0.04753,0.13086
128,1434127988883,-0.00631,0.04791,0.05547
129,1434127988887,0.11370,0.03208,0.04125
130,1434127988890,0.07612,0.04676,0.05800
131,1434127988932,0.11246,0.03741,0.08546
132,1434127988938,0.09309,-0.05211,0.05040
133,1434127988980,0.04400,-0.05106,0.02235
134,1434127988983,0.05942,-0.08929,-0.00087
135,1434127988985,0.07488,-0.06283,0.02040
136,1434127989030,-0.03775,-0.07449,-0.01962
137,1434127989032,-0.19504,-0.07756,0.07571
138,1434127989076,-0.03963,-0.09876,0.20979
139,1434127989079,-0.04733,-0.06729,0.06705
140,1434127989081,-0.01052,-0.12962,0.04739
141,1434127989128,0.04393,-0.14666,0.12072
142,1434127989131,0.07733,-0.07749,0.08095
143,1434127989173,0.09311,-0.13855,0.04992
144,1434127989177,0.22059,-0.05615,0.07978
145,1434127989178,0.09131,-0.03555,-0.03383
146,1434127989222,-0.07070,0.05984,-0.01535
147,1434127989228,-0.17844,0.11194,-0.11306
148,1434127989270,0.31506,0.04111,0.03221
149,1434127989276,0.24893,0.18836,0.00389
150,1434127989278,0.09211,0.26944,-0.03361
151,1434127989319,0.03384,0.26477,-0.05735
152,1434127989323,-0.05183,0.40400,-0.13416
153,1434127989370,0.02572,0.35055,-0.24171
154,1434127989371,-0.06223,0.39372,-0.22696
155,1434127989372,-0.01307,0.39076,-0.18469
156,1434127989418,-0.04092,0.34932,-0.14775
157,1434127989419,-0.26790,0.16071,-0.11820
158,1434127989468,-0.10728,0.01294,-0.13128
159,1434127989474,-0.03739,0.03145,-0.06518
160,1434127989480,-0.13616,0.17438,0.01817
161,1434127989516,-0.29565,0.37778,0.09657
162,1434127989519,0.05098,0.15848,0.04991
163,1434127989561,-0.09984,0.33772,-0.03273
164,1434127989563,0.08497,0.19674,-0.07853
165,1434127989669,0.12891,0.32223,-0.16360
166,1434127989671,0.05157,0.38591,-0.09104
167,1434127989672,-0.04468,0.44935,-0.04549
168,1434127989673,-0.08731,0.65558,-0.01451
169,1434127989706,-0.40891,0.87837,0.07354
170,1434127989707,-0.47322,0.70894,-0.09976
171,1434127989708,0.04252,-0.01566,-0.00949
172,1434127989709,1.96292,-2.30784,-0.05681
173,1434127989762,-0.55701,0.78107,-0.82983
174,1434127989766,-0.33858,-0.30248,0.49942
175,1434127989810,0.24164,-0.27871,0.23704
176,1434127989811,0.15347,0.41453,0.00682
177,1434127989813,0.29387,-1.58165,0.61248
178,1434127989860,-1.55944,2.49171,-1.04751
179,1434127989863,1.87433,0.94024,0.66355
180,1434127989903,1.39555,-0.38921,-0.11056
181,1434127989904,1.02191,-0.44575,0.17717
182,1434127989906,0.52769,0.37309,0.04408
183,1434127989949,0.11434,0.04535,-0.15380
184,1434127989951,-0.30853,-0.03403,-0.39179
185,1434127990000,-0.12807,-0.07645,-0.23062
186,1434127990002,0.56004,-0.06975,0.11160
187,1434127990003,0.32616,0.09654,0.19240
188,1434127990047,-0.41720,0.06786,-0.61483
189,1434127990048,-0.04938,-0.24181,-0.16217
190,1434127990104,0.31127,-0.15985,0.40386
191,1434127990106,-0.13223,-0.04507,0.36605
192,1434127990109,-0.43547,0.11004,0.20769
193,1434127990144,-0.59603,0.19506,-0.12369
194,1434127990146,-0.84870,0.12558,-0.29739
195,1434127990197,-0.27974,-0.07688,-0.14338
196,1434127990201,-0.25114,-0.18025,-0.12408
197,1434127990202,-0.42044,-0.24186,-0.05005
198,1434127990247,-0.23870,-0.26380,-0.15957
199,1434127990250,-0.12377,-0.21104,-0.23156
200,1434127990298,-0.22089,-0.10164,-0.20009
201,1434127990300,-0.25328,-0.07507,-0.31554
202,1434127990302,0.09347,-0.01474,-0.06337
203,1434127990344,0.27634,0.00383,0.28211
204,1434127990347,0.05623,0.01244,0.30460
205,1434127990391,0.27389,-0.02364,0.57649
206,1434127990394,-0.07386,-0.04313,0.35729
207,1434127990397,0.37685,-0.19076,0.21005
