index,time,xAxis,yAxis,zAxis
0,1434127986346,0.00270,0.00031,0.00014
1,1434127986354,0.00015,0.00365,-0.00340
2,1434127986370,-0.00136,0.00091,-0.00125
3,1434127986386,-0.00011,-0.00226,-0.00002
4,1434127986401,0.00192,-0.00156,0.00199
5,1434127986432,0.00511,-0.00267,-0.00079
6,1434127986448,0.00535,-0.00066,0.00116
7,1434127986463,0.00070,-0.00007,-0.00229
8,1434127986498,-0.00211,-0.00028,0.00056
9,1434127986511,-0.00221,0.00276,-0.00007
10,1434127986527,-0.00281,0.00221,-0.00014
11,1434127986543,-0.00225,-0.00104,0.00049
12,1434127986577,0.00033,-0.00144,0.00039
13,1434127986590,0.00355,-0.00171,0.00031
14,1434127986606,0.00485,0.00065,0.00142
15,1434127986636,0.00114,-0.00071,-0.00003
16,1434127986652,0.00041,-0.00208,-0.00003
17,1434127986668,-0.00073,-0.00072,-0.00002
18,1434127986684,-0.00059,0.00004,-0.00002
19,1434127986716,-0.00047,-0.00024,-0.00001
20,1434127986732,0.00034,-0.00148,-0.00001
21,1434127986746,0.00228,-0.00118,0.00116
22,1434127986778,0.00232,0.00071,-0.00024
23,1434127986793,0.00391,0.00360,-0.00019
24,1434127986810,-0.00182,0.00475,-0.00296
25,1434127986830,-0.00610,0.00368,0.00126
26,1434127986857,-0.00838,-0.00037,-0.00294
27,1434127986878,-0.00531,-0.00169,0.00114
28,1434127986892,0.00091,-0.00308,0.00182
29,1434127986920,0.00515,-0.00249,0.00021
30,1434127986940,0.00612,-0.00306,0.00077
31,1434127986950,0.00508,0.00047,-0.00066
32,1434127986967,0.00206,0.00304,0.00012
33,1434127986997,0.00071,0.00239,-0.00122
34,1434127987013,-0.00477,-0.00010,0.00034
35,1434127987030,-0.00556,-0.00209,-0.00086
36,1434127987061,-0.00443,-0.00209,0.00044
37,1434127987077,0.00043,-0.00012,0.00079
38,1434127987092,0.00441,0.00081,0.00086
39,1434127987110,0.00485,0.00131,-0.00132
40,1434127987139,0.00231,-0.00052,0.00006
41,1434127987155,0.00118,-0.00041,-0.00062
42,1434127987171,-0.00107,-0.00033,0.00263
43,1434127987186,-0.00442,-0.00027,-0.00168
44,1434127987220,-0.00511,-0.00021,0.00021
45,1434127987233,-0.00235,-0.00017,-0.00070
46,1434127987248,0.00084,0.00119,0.00007
47,1434127987281,0.00425,0.00097,-0.00084
48,1434127987296,0.00409,-0.00057,0.00137
49,1434127987313,0.00127,-0.00156,-0.00091
50,1434127987327,-0.00100,-0.00016,0.00035
51,1434127987361,-0.00280,-0.00011,0.00030
52,1434127987374,-0.00425,0.00078,0.00024
53,1434127987391,-0.00278,0.00132,-0.00112
54,1434127987422,-0.00021,0.00106,0.00042
55,1434127987438,0.00248,0.00020,0.00098
56,1434127987453,0.00383,-0.00185,0.00062
57,1434127987470,0.00459,-0.00195,0.00001
58,1434127987502,0.00017,-0.00000,0.00001
59,1434127987518,-0.00187,-0.00000,0.00087
60,1434127987530,-0.00351,0.00130,0.00010
61,1434127987564,-0.00307,0.00112,-0.00156
62,1434127987579,-0.00183,-0.00112,0.00076
63,1434127987595,0.00055,-0.00075,-0.00061
64,1434127987611,0.00245,-0.00011,0.00005
65,1434127987642,0.00317,0.00031,-0.00031
66,1434127987662,0.00053,0.00057,-0.00057
67,1434127987671,0.00099,0.00103,-0.00103
68,1434127987705,-0.00206,-0.00047,0.00047
69,1434127987719,-0.00165,0.00024,0.00038
70,1434127987734,-0.00132,-0.00099,-0.00076
71,1434127987751,0.00046,-0.00028,0.00040
72,1434127987782,0.00198,-0.00017,-0.00002
73,1434127987798,0.00158,-0.00014,-0.00035
74,1434127987813,0.00255,-0.00011,0.00045
75,1434127987845,0.00047,0.00005,0.00036
76,1434127987862,-0.00186,0.00086,-0.00032
77,1434127987877,-0.00158,-0.00027,-0.00017
78,1434127987892,-0.00178,-0.00022,0.00038
79,1434127987924,-0.00068,-0.00017,0.00031
80,1434127987939,0.00184,-0.00014,-0.00057
81,1434127987955,0.00147,-0.00011,0.00006
82,1434127987986,0.00103,-0.00009,0.00049
83,1434127988002,-0.00059,0.00052,0.00064
84,1434127988016,-0.00047,0.00036,-0.00041
85,1434127988034,-0.00038,-0.00025,0.00020
86,1434127988065,-0.00187,-0.00020,-0.00104
87,1434127988081,-0.00149,0.00065,0.00037
88,1434127988097,-0.00119,0.00003,0.00030
89,1434127988128,0.00217,-0.00029,0.00167
90,1434127988145,0.00174,-0.00023,-0.00010
91,1434127988158,0.00037,-0.00019,-0.00008
92,1434127988175,0.00122,-0.00015,-0.00006
93,1434127988207,-0.00084,-0.00012,-0.00039
94,1434127988222,-0.00189,0.00070,-0.00074
95,1434127988238,-0.00028,0.00133,0.00018
96,1434127988269,0.00011,0.00095,0.00014
97,1434127988284,0.00065,-0.00069,0.00011
98,1434127988300,0.00152,-0.00156,-0.00091
99,1434127988316,0.00122,-0.00036,-0.00129
100,1434127988349,0.00064,-0.00140,0.00053
101,1434127988362,-0.00072,0.00011,0.00043
102,1434127988378,-0.00180,0.00009,0.00034
103,1434127988410,-0.00178,-0.00003,0.00027
104,1434127988425,-0.00142,-0.00094,0.00022
105,1434127988442,-0.00015,0.00125,0.00017
106,1434127988456,0.00189,0.00015,0.00014
107,1434127988478,0.00164,0.00148,-0.00139
108,1434127988502,0.00021,0.00015,-0.00007
109,1434127988519,-0.00029,-0.00034,0.00040
110,1434127988550,-0.00023,-0.00036,-0.00124
111,1434127988567,-0.00019,-0.00123,-0.00099
112,1434127988582,-0.00015,0.00005,-0.00079
113,1434127988598,-0.00012,0.00004,0.00220
114,1434127988630,0.00020,0.00003,-0.00078
115,1434127988647,0.00068,0.00002,-0.00010
116,1434127988660,-0.00027,0.00120,-0.00090
117,1434127988691,-0.00022,-0.00022,0.00084
118,1434127988709,-0.00017,-0.00018,0.00015
119,1434127988723,-0.00014,0.00082,0.00101
120,1434127988744,-0.00011,-0.00015,0.00060
121,1434127988772,-0.00009,-0.00028,0.00007
122,1434127988786,-0.00007,-0.00022,0.00002
123,1434127988804,0.00112,-0.00018,0.00187
124,1434127988832,-0.00184,-0.00014,0.00144
125,1434127988850,-0.00097,-0.00011,-0.00036
126,1434127988864,-0.00067,-0.00009,-0.00123
127,1434127988880,0.00023,-0.00007,-0.00160
128,1434127988912,0.00037,-0.00006,-0.00101
129,1434127988929,0.00030,-0.00005,0.00048
130,1434127988942,0.00139,0.00112,0.00039
131,1434127988974,-0.00157,-0.00026,0.00031
132,1434127988992,0.00075,-0.00021,0.00025
133,1434127989007,0.00076,-0.00017,0.00112
134,1434127989021,-0.00003,0.00124,0.00017
135,1434127989053,-0.00003,0.00093,-0.00006
136,1434127989072,-0.00002,-0.00057,-0.00075
137,1434127989083,-0.00002,-0.00045,0.00082
138,1434127989118,-0.00001,0.00118,-0.00008
139,1434127989132,-0.00001,-0.00060,-0.00114
140,1434127989147,-0.00001,-0.00048,0.00109
141,1434127989163,-0.00001,0.00097,0.00017
142,1434127989195,-0.00001,-0.00058,0.00126
143,1434127989212,-0.00000,-0.00046,-0.00032
144,1434127989227,-0.00000,-0.00037,-0.00026
145,1434127989259,-0.00000,-0.00030,-0.00175
146,1434127989274,-0.00000,-0.00024,0.00171
147,1434127989287,-0.00000,-0.00019,0.00047
148,1434127989306,-0.00133,0.00117,-0.00029
149,1434127989335,0.00026,0.00096,0.00089
150,1434127989352,0.00154,-0.00058,-0.00131
151,1434127989367,0.00081,-0.00046,-0.00126
152,1434127989384,-0.00181,-0.00037,0.00009
153,1434127989414,-0.00103,-0.00030,-0.00104
154,1434127989429,0.00031,-0.00024,0.00029
155,1434127989445,0.00025,-0.00151,0.00023
156,1434127989478,0.00020,0.00147,0.00134
157,1434127989495,0.00016,0.00047,-0.00100
158,1434127989511,0.00013,0.00129,0.00012
159,1434127989522,0.00010,-0.00205,0.00163
160,1434127989558,0.00008,-0.00055,-0.00023
161,1434127989571,0.00006,-0.00071,0.00068
162,1434127989588,0.00005,0.00013,-0.00005
163,1434127989619,-0.00133,0.00010,-0.00012
164,1434127989633,0.00094,0.00072,0.00064
165,1434127989649,0.00060,0.00042,-0.00042
166,1434127989666,-0.00000,-0.00015,-0.00033
167,1434127989698,-0.00115,0.00104,-0.00027
168,1434127989710,0.00023,-0.00032,-0.00107
169,1434127989726,0.00018,-0.00026,-0.00026
170,1434127989759,0.00015,-0.00021,-0.00133
171,1434127989775,0.00072,0.00044,-0.00029
172,1434127989792,0.00046,0.00024,-0.00011
173,1434127989805,-0.00012,0.00121,-0.00111
174,1434127989837,-0.00010,-0.00054,0.00062
175,1434127989852,-0.00092,-0.00043,0.00050
176,1434127989870,-0.00146,0.00094,0.00297
177,1434127989899,0.00040,-0.00054,-0.00144
178,1434127989917,0.00032,-0.00043,0.00105
179,1434127989930,0.00026,-0.00034,-0.00012
180,1434127989946,0.00170,-0.00027,-0.00159
181,1434127989977,-0.00132,-0.00022,0.00179
182,1434127989993,0.00013,-0.00018,0.00061
183,1434127990009,-0.00117,-0.00014,-0.00025
184,1434127990040,0.00048,0.00004,-0.00020
185,1434127990056,0.00121,0.00085,0.00043
186,1434127990074,0.00103,-0.00029,-0.00075
187,1434127990088,0.00135,-0.00023,-0.00018
188,1434127990119,-0.00048,-0.00019,0.00030
189,1434127990134,0.00042,0.00066,0.00063
190,1434127990149,0.00110,0.00003,-0.00150
191,1434127990182,-0.00069,-0.00029,0.00005
192,1434127990201,-0.00055,-0.00023,0.00004
193,1434127990212,-0.00044,-0.00018,0.00003
194,1434127990229,-0.00035,-0.00015,0.00003
195,1434127990260,-0.00028,-0.00012,-0.00033
196,1434127990276,-0.00023,-0.00009,-0.00069
197,1434127990294,-0.00018,-0.00008,-0.00101
198,1434127990324,-0.00159,0.00138,0.00043
199,1434127990339,0.00017,-0.00034,0.00034
200,1434127990353,0.00014,-0.00027,0.00128
201,1434127990371,0.00011,-0.00022,-0.00133
202,1434127990401,0.00009,-0.00017,0.00028
203,1434127990417,0.00007,0.00064,0.00100
204,1434127990435,0.00006,0.00007,0.00036
205,1434127990464,0.00151,0.00118,0.00151
206,1434127990480,-0.00026,0.00003,0.00066
207,1434127990495,-0.00020,0.00004,-0.00048
208,1434127990510,-0.00016,-0.00053,-0.00039
209,1434127990541,-0.00013,-0.00043,-0.00031
210,1434127990557,-0.00010,-0.00034,-0.00025
211,1434127990574,-0.00008,-0.00027,-0.00020
212,1434127990605,-0.00007,-0.00022,0.00131
213,1434127990621,0.00048,0.00036,-0.00042
214,1434127990637,0.00043,0.00033,-0.00034
215,1434127990653,-0.00024,-0.00031,-0.00027
216,1434127990683,0.00011,0.00005,-0.00148
217,1434127990699,0.00059,0.00130,0.00008
218,1434127990715,-0.00033,-0.00016,0.00006
219,1434127990746,-0.00018,-0.00049,-0.00143
220,1434127990762,0.00134,0.00014,0.00087
221,1434127990777,0.00010,0.00017,0.00173
222,1434127990793,-0.00051,-0.00045,-0.00003
223,1434127990825,0.00085,-0.00036,-0.00017
224,1434127990840,-0.00058,0.00045,-0.00014
225,1434127990855,0.00072,-0.00001,-0.00011
226,1434127990890,-0.00061,-0.00038,-0.00009
227,1434127990902,0.00002,-0.00030,-0.00007
228,1434127990918,0.00012,-0.00024,-0.00006
229,1434127990933,-0.00052,-0.00019,0.00276
230,1434127990966,-0.00169,-0.00016,-0.00060
231,1434127990980,-0.00007,0.00060,-0.00048
232,1434127990998,-0.00006,0.00132,-0.00038
233,1434127991031,-0.00005,-0.00053,-0.00031
234,1434127991047,-0.00004,-0.00155,-0.00024
235,1434127991075,-0.00003,-0.00009,-0.00020
236,1434127991076,-0.00002,-0.00007,-0.00016
237,1434127991107,-0.00002,0.00124,0.00118
238,1434127991122,-0.00002,-0.00031,0.00035
239,1434127991138,0.00114,-0.00025,-0.00002
