index,time,xAxis,yAxis,zAxis
0,1434124427837,0.02143,-0.01389,0.01611
1,1434124427840,-0.01020,-0.00799,0.01601
2,1434124427861,-0.03316,-0.00326,0.00343
3,1434124427864,-0.01715,-0.00574,0.00275
4,1434124427866,0.01987,0.00166,-0.00640
5,1434124427909,0.03152,0.00133,0.00035
6,1434124427909,0.00022,0.00106,-0.00519
7,1434124427958,-0.02404,0.00085,-0.00415
8,1434124427959,-0.02236,0.00068,0.00840
9,1434124427960,0.01258,-0.00258,0.00672
10,1434124428014,0.02256,-0.00831,-0.01572
11,1434124428022,0.00243,-0.00978,-0.01882
12,1434124428060,-0.00978,-0.00157,0.00916
13,1434124428066,-0.02657,0.01124,0.01045
14,1434124428068,0.02171,-0.00351,-0.00101
15,1434124428107,0.02362,-0.00905,-0.00940
16,1434124428108,0.00952,-0.00412,0.00107
17,1434124428156,-0.01348,0.00296,0.01648
18,1434124428163,-0.00766,0.00549,0.01006
19,1434124428202,0.00872,-0.00811,-0.00992
20,1434124428207,0.00697,-0.00649,-0.01419
21,1434124428208,0.00870,0.00106,0.00974
22,1434124428250,-0.00476,0.00397,0.01092
23,1434124428254,-0.01318,0.00318,-0.00611
24,1434124428305,-0.00429,-0.00058,-0.00489
25,1434124428307,0.00516,-0.00359,-0.00391
26,1434124428308,0.00100,0.00338,0.00234
27,1434124428350,-0.00467,0.00270,0.01750
28,1434124428351,-0.00686,0.00529,0.00775
29,1434124428403,-0.00861,0.00110,-0.00864
30,1434124428404,0.00483,-0.00849,0.00168
31,1434124428405,-0.00161,-0.00054,0.01072
32,1434124428455,-0.00128,-0.00356,0.01482
33,1434124428458,0.00210,0.00340,-0.00377
34,1434124428500,-0.00457,-0.00040,-0.00926
35,1434124428502,0.00259,-0.00345,-0.00429
36,1434124428503,0.00754,0.00037,0.00907
37,1434124428550,0.00057,-0.00283,0.00726
38,1434124428552,-0.00267,0.00398,0.00268
39,1434124428593,-0.01151,-0.00306,-0.00411
40,1434124428595,0.00016,-0.00557,-0.00953
41,1434124428596,0.00013,0.00179,-0.00763
42,1434124428648,-0.00302,0.00143,-0.00298
43,1434124428649,0.00383,0.00427,0.01012
44,1434124428694,-0.00631,0.01592,0.00497
45,1434124428696,-0.00505,0.01586,-0.00227
46,1434124428697,0.00534,0.00644,-0.00182
47,1434124428752,0.01599,-0.00423,0.00792
48,1434124428756,0.01592,-0.00338,0.01571
49,1434124428798,-0.01149,-0.00270,0.00632
50,1434124428799,-0.01544,0.00096,-0.00120
51,1434124428800,-0.00298,-0.00548,-0.00721
52,1434124428842,0.01246,-0.00126,0.00674
53,1434124428844,0.01622,0.01774,0.02023
54,1434124428888,-0.01749,-0.01081,-0.00803
55,1434124428889,-0.02024,-0.02036,-0.03065
56,1434124428890,0.01427,-0.01629,-0.00655
57,1434124428934,0.01142,-0.00444,0.00414
58,1434124428937,0.02476,-0.00355,0.01268
59,1434124428982,-0.01379,-0.01456,-0.04220
60,1434124428985,0.01944,0.00945,-0.02126
61,1434124428986,0.00305,0.00131,-0.00138
62,1434124429032,0.02432,0.02605,0.04421
63,1434124429033,0.00383,0.05131,0.02365
64,1434124429082,-0.01803,0.04417,-0.01233
65,1434124429084,-0.03942,0.04080,-0.01221
66,1434124429086,-0.01279,0.05139,0.07539
67,1434124429131,0.03274,0.07471,0.09703
68,1434124429137,0.03478,0.05039,-0.00206
69,1434124429181,-0.00264,0.05594,-0.05321
70,1434124429182,-0.15133,0.01116,-0.03085
71,1434124429183,-0.06325,0.07299,0.01516
72,1434124429230,-0.04748,-0.00255,-0.04568
73,1434124429233,0.00499,0.03156,-0.04592
74,1434124429277,0.09852,0.05259,0.01873
75,1434124429279,0.11241,0.03270,0.05717
76,1434124429283,0.03133,0.05350,0.08246
77,1434124429334,-0.13040,0.07639,-0.03794
78,1434124429337,-0.02463,0.03065,-0.04520
79,1434124429373,-0.07439,0.05811,-0.03616
80,1434124429375,-0.09936,0.07696,0.06873
81,1434124429378,0.02129,0.11938,0.16202
82,1434124429424,-0.01656,0.05644,0.08352
83,1434124429426,-0.08043,0.03578,0.07932
