index,time,xAxis,yAxis,zAxis
0,1434124427830,-0.00732,-0.03842,-0.01440
1,1434124427831,-0.04743,-0.04583,-0.08776
2,1434124427832,-0.04979,-0.02564,-0.06414
3,1434124427845,-0.00648,-0.00461,0.02905
4,1434124427875,0.03207,0.01045,0.05033
5,1434124427891,0.05851,0.02241,0.03492
6,1434124427907,0.05704,0.03159,0.00994
7,1434124427922,0.02723,0.02910,-0.00109
8,1434124427953,0.00415,0.02356,0.01204
9,1434124427971,0.01463,0.00931,-0.00330
10,1434124427987,0.02316,0.00133,-0.02685
11,1434124428018,0.00709,0.00115,-0.00710
12,1434124428033,-0.01426,-0.01505,0.01587
13,1434124428052,-0.03695,-0.03394,0.00611
14,1434124428065,-0.03115,-0.03028,-0.02647
15,1434124428096,-0.00200,0.00137,-0.03235
16,1434124428111,0.02647,0.02541,-0.01958
17,1434124428127,0.02148,0.00404,0.00156
18,1434124428159,-0.01551,-0.04469,0.02630
19,1434124428174,-0.00340,-0.03894,0.03590
20,1434124428191,0.02394,0.00023,0.02474
21,1434124428206,0.04897,0.00358,0.00110
22,1434124428237,0.04349,0.02007,-0.01050
23,1434124428252,0.01733,-0.01554,0.02034
24,1434124428269,-0.02100,-0.03306,0.06190
25,1434124428300,-0.03451,-0.02749,0.04247
26,1434124428315,0.00051,0.00172,-0.01115
27,1434124428331,0.02315,0.02208,-0.03227
28,1434124428348,0.01058,-0.00586,-0.04293
29,1434124428378,-0.01139,-0.01930,-0.02642
30,1434124428398,-0.01141,-0.01372,0.02078
31,1434124428408,0.00000,-0.00696,0.03606
32,1434124428443,0.00632,-0.00229,-0.00838
33,1434124428456,-0.00579,-0.01280,-0.01744
34,1434124428472,-0.03583,-0.02989,0.00333
35,1434124428490,-0.04561,-0.02580,0.01516
36,1434124428520,-0.02648,-0.01817,0.02356
37,1434124428535,-0.00060,-0.01099,-0.00544
38,1434124428551,0.01220,-0.02978,-0.02954
39,1434124428580,-0.01054,-0.04393,-0.02465
40,1434124428597,-0.02859,-0.04068,0.04143
41,1434124428613,-0.04187,-0.02824,0.07439
42,1434124428629,-0.03483,-0.00083,0.00562
43,1434124428660,-0.00560,0.02359,-0.03532
44,1434124428677,0.01953,-0.00371,-0.02754
45,1434124428692,0.00335,-0.02805,0.01294
46,1434124428723,-0.01338,-0.03171,0.07350
47,1434124428739,-0.01574,-0.01811,0.03898
48,1434124428755,0.02348,0.01982,0.00240
49,1434124428770,0.06132,0.02165,-0.01875
50,1434124428800,0.03773,-0.00586,-0.02218
51,1434124428817,0.00892,-0.02260,0.00556
52,1434124428836,-0.00653,-0.02114,0.02518
53,1434124428865,-0.00182,-0.00820,-0.01408
54,1434124428880,0.02108,0.01526,-0.02750
55,1434124428894,0.03759,0.00839,-0.02983
56,1434124428911,0.00801,-0.00687,-0.01885
57,1434124428941,-0.00826,-0.00857,0.02378
58,1434124428958,-0.00377,-0.00788,0.02887
59,1434124428976,0.00101,0.01253,-0.00833
60,1434124429008,0.02396,0.03522,0.00259
61,1434124429021,0.04366,0.05201,0.05577
62,1434124429036,0.03941,0.00470,0.01585
63,1434124429052,-0.01049,-0.03805,-0.00559
64,1434124429083,-0.03258,-0.02450,-0.01003
65,1434124429100,-0.00419,0.00548,-0.02258
66,1434124429115,-0.00065,0.00590,-0.04892
67,1434124429146,0.10655,-0.05240,-0.03721
68,1434124429162,0.20156,-0.09946,-0.12051
69,1434124429178,-0.01233,0.00364,-0.04012
70,1434124429193,-0.14634,0.04711,0.06546
71,1434124429225,0.09140,-0.05733,0.14479
72,1434124429240,0.35071,-0.08906,0.06444
73,1434124429256,0.31420,-0.05392,-0.10978
74,1434124429287,-0.26744,0.02516,0.02392
75,1434124429306,-0.41116,-0.11591,0.22661
76,1434124429330,0.13142,-0.08965,0.02540
77,1434124429333,0.25777,0.07510,-0.23784
78,1434124429365,0.19952,0.03318,0.01917
79,1434124429380,0.11916,-0.05300,0.21155
80,1434124429398,0.05377,-0.01950,0.04268
81,1434124429428,0.09162,0.11160,-0.16128
82,1434124429445,0.06385,0.16772,-0.22343
83,1434124429459,0.04098,0.16131,-0.26504
