index,time,xAxis,yAxis,zAxis
0,1434124427837,0.10020,0.00603,0.00722
1,1434124427838,0.05282,-0.00377,-0.01219
2,1434124427839,-0.01946,-0.00614,-0.00975
3,1434124427856,0.00318,-0.00804,0.00157
4,1434124427857,-0.00058,-0.00018,0.00438
5,1434124427905,0.02688,-0.00639,0.00038
6,1434124427906,-0.00272,-0.00199,-0.00594
7,1434124427908,-0.02092,0.00388,-0.00476
8,1434124427956,-0.03783,0.00623,-0.00693
9,1434124427957,-0.00917,0.00811,0.00696
10,1434124428008,0.00829,0.00336,0.00869
11,1434124428021,0.00663,-0.00044,-0.00867
12,1434124428023,0.02015,-0.00894,-0.00694
13,1434124428059,0.00752,-0.00403,-0.00243
14,1434124428064,0.00914,-0.00322,0.00431
15,1434124428104,0.00107,0.00055,0.00032
16,1434124428106,0.00085,0.00044,0.00338
17,1434124428108,0.01553,-0.00278,-0.00354
18,1434124428149,0.00070,0.00090,-0.00908
19,1434124428154,-0.01819,0.00619,-0.00727
20,1434124428161,-0.00830,0.00495,0.00669
21,1434124428200,0.00898,-0.00151,0.00222
22,1434124428205,0.00719,-0.01058,-0.00760
23,1434124428249,0.01434,0.00326,-0.00920
24,1434124428253,0.00601,0.00026,-0.00736
25,1434124428255,0.00168,-0.00292,-0.00276
26,1434124428302,-0.01741,-0.00546,-0.00534
27,1434124428310,-0.02564,-0.00437,-0.01052
28,1434124428347,0.00058,0.00276,-0.01388
29,1434124428351,0.02781,-0.00092,0.00061
30,1434124428352,0.01600,-0.00074,0.00986
31,1434124428402,-0.00205,-0.00684,0.00477
32,1434124428406,0.00461,-0.00860,-0.00244
33,1434124428452,0.01853,-0.00688,0.00743
34,1434124428457,0.01483,0.00075,-0.00968
35,1434124428459,-0.01548,0.00372,-0.02572
36,1434124428499,-0.01239,0.00845,-0.03307
37,1434124428501,0.00259,0.00129,-0.00458
38,1434124428545,0.01379,-0.00209,0.01118
39,1434124428547,0.02353,-0.01105,0.01832
40,1434124428548,-0.00539,-0.00259,-0.00644
41,1434124428587,0.00116,0.01277,-0.03328
42,1434124428591,0.00405,0.00709,-0.04772
43,1434124428642,0.01886,-0.00292,-0.02567
44,1434124428650,0.02447,-0.00859,-0.00569
45,1434124428651,0.01957,0.00251,0.01107
46,1434124428685,0.00316,0.00201,-0.00052
47,1434124428691,0.00253,0.01332,-0.01292
48,1434124428747,-0.00110,0.01066,-0.02830
49,1434124428756,-0.00401,-0.00319,-0.01639
50,1434124428757,-0.00633,-0.00568,-0.01936
51,1434124428792,0.01056,-0.00767,-0.00612
52,1434124428799,-0.00093,-0.00926,-0.01427
53,1434124428841,-0.00387,-0.00428,-0.01141
54,1434124428843,-0.00309,0.00282,-0.01226
55,1434124428845,0.00065,-0.00399,0.00270
56,1434124428886,0.01302,-0.00632,-0.00722
57,1434124428888,0.02526,-0.00505,-0.00578
58,1434124428932,0.01708,-0.00092,-0.01712
59,1434124428936,-0.00118,-0.00073,-0.01057
60,1434124428938,0.00765,-0.00059,0.00092
61,1434124428981,0.01237,0.00265,0.00698
62,1434124428984,0.00130,0.00212,-0.00691
63,1434124429029,0.00104,-0.00768,-0.00553
64,1434124429030,0.04927,-0.00927,0.02292
65,1434124429030,0.00895,-0.01366,0.00037
66,1434124429079,-0.06628,0.01094,-0.03955
67,1434124429081,-0.01943,0.01188,-0.03164
68,1434124429126,0.00868,0.00325,-0.02219
69,1434124429134,0.02569,0.00573,0.00647
70,1434124429137,0.05415,-0.00167,-0.00967
71,1434124429175,0.06441,0.01976,0.00086
72,1434124429180,0.02731,-0.00529,0.03428
73,1434124429274,-0.01175,-0.00735,-0.00851
74,1434124429280,0.03357,-0.02698,0.04788
75,1434124429282,0.10264,-0.00986,0.03518
76,1434124429283,0.06414,-0.01726,-0.03592
77,1434124429331,-0.00650,0.04478,-0.18108
78,1434124429333,-0.01145,0.00223,-0.14799
79,1434124429335,-0.18963,-0.04743,0.02145
80,1434124429336,0.02877,-0.03170,-0.06487
81,1434124429368,-0.02933,-0.01598,-0.20424
82,1434124429372,0.03825,0.05987,-0.10870
83,1434124429422,-0.06158,-0.03413,-0.07446
84,1434124429425,0.06401,0.00004,0.07402
85,1434124429427,-0.03395,0.01253,0.08422
86,1434124429476,0.04238,0.01002,0.20175
87,1434124429479,-0.01141,0.03849,0.20671
88,1434124429518,-0.02163,0.09798,0.10756
89,1434124429519,-0.01730,0.01744,0.11339
90,1434124429531,0.02600,0.02880,0.06962
91,1434124429571,-0.03076,0.02616,0.00023
92,1434124429575,0.02070,0.05140,-0.00216
93,1434124429629,-0.05063,0.00128,0.00999
94,1434124429630,-0.07722,0.01352,0.01737
95,1434124429632,-0.03990,-0.02590,0.00452
96,1434124429671,-0.01395,-0.03010,0.00986
97,1434124429682,-0.08460,-0.00533,-0.04367
98,1434124429716,-0.07315,-0.00739,-0.02322
99,1434124429718,-0.02492,-0.03950,0.03377
100,1434124429719,-0.01760,-0.05895,0.03561
101,1434124429760,-0.02267,-0.04091,0.01364
102,1434124429762,0.00921,-0.02101,0.02263
103,1434124429816,-0.00513,-0.01681,0.02436
104,1434124429825,-0.04942,0.00531,0.00464
105,1434124429826,0.03625,-0.02310,0.06153
106,1434124429858,-0.05303,-0.00989,0.00313
107,1434124429859,0.00054,-0.01416,0.02750
108,1434124429909,0.02465,0.00117,0.01263
109,1434124429910,0.00722,0.00406,0.02182
110,1434124429914,-0.00360,-0.00925,0.05105
111,1434124429955,0.00337,-0.01912,0.05021
112,1434124429957,0.00895,-0.00670,0.02533
113,1434124429963,0.01028,0.00401,-0.00161
114,1434124430004,0.01135,0.00946,0.00808
115,1434124430012,-0.00654,0.00444,0.02444
116,1434124430052,-0.00524,-0.00582,0.04455
117,1434124430059,-0.02528,-0.00466,0.01689
118,1434124430063,-0.02023,0.00878,-0.02008
119,1434124430103,-0.00056,0.00077,-0.03091
120,1434124430105,0.02065,-0.00876,0.01746
121,1434124430160,0.02277,-0.02810,0.05694
122,1434124430163,-0.00053,-0.00686,0.03071
123,1434124430166,-0.00043,0.02498,-0.00590
124,1434124430209,0.00591,0.04108,-0.02972
