index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150612,0.000,0.005,0.015,1434131520
2,20150612,0.001,0.003,0.008,1434131521
3,20150612,0.001,0.003,0.006,1434131522
4,20150612,0.009,0.003,0.005,1434131523
5,20150612,0.003,0.003,0.005,1434131524
6,20150612,0.003,0.002,0.003,1434131525
7,20150612,0.011,0.012,0.018,1434131526
8,20150612,0.044,0.042,0.074,1434131527
9,20150612,0.047,0.043,0.056,1434131528
10,20150612,0.030,0.037,0.042,1434131529
11,20150612,0.028,0.027,0.026,1434131530
12,20150612,0.017,0.018,0.021,1434131531
13,20150612,0.011,0.012,0.018,1434131532
14,20150612,0.012,0.010,0.017,1434131533
15,20150612,0.011,0.008,0.018,1434131534
16,20150612,0.012,0.008,0.018,1434131535
17,20150612,0.014,0.008,0.017,1434131536
18,20150612,0.013,0.009,0.018,1434131537
19,20150612,0.014,0.009,0.017,1434131538
20,20150612,0.014,0.007,0.018,1434131539
21,20150612,0.013,0.011,0.018,1434131540
22,20150612,0.012,0.009,0.017,1434131541
23,20150612,0.013,0.008,0.017,1434131542
24,20150612,0.013,0.010,0.019,1434131543
25,20150612,0.011,0.011,0.018,1434131544
26,20150612,0.011,0.010,0.018,1434131545
27,20150612,0.013,0.010,0.018,1434131546
28,20150612,0.014,0.009,0.018,1434131547
29,20150612,0.012,0.009,0.017,1434131548
30,20150612,0.013,0.010,0.019,1434131549
31,20150612,0.011,0.009,0.019,1434131550
32,20150612,0.013,0.009,0.018,1434131551
33,20150612,0.012,0.009,0.020,1434131552
34,20150612,0.013,0.009,0.020,1434131553
35,20150612,0.014,0.010,0.020,1434131554
36,20150612,0.012,0.011,0.019,1434131555
37,20150612,0.013,0.010,0.019,1434131556
38,20150612,0.013,0.010,0.020,1434131557
39,20150612,0.012,0.010,0.019,1434131558
40,20150612,0.012,0.011,0.018,1434131559
41,20150612,0.013,0.011,0.019,1434131560
42,20150612,0.014,0.011,0.020,1434131561
43,20150612,0.012,0.010,0.018,1434131562
44,20150612,0.012,0.011,0.017,1434131563
45,20150612,0.013,0.011,0.018,1434131564
46,20150612,0.013,0.009,0.019,1434131565
47,20150612,0.010,0.009,0.018,1434131566
48,20150612,0.011,0.009,0.016,1434131567
49,20150612,0.012,0.011,0.016,1434131568
50,20150612,0.013,0.010,0.019,1434131569
51,20150612,0.013,0.010,0.020,1434131570
52,20150612,0.012,0.010,0.019,1434131571
53,20150612,0.012,0.009,0.020,1434131572
54,20150612,0.013,0.010,0.020,1434131573
55,20150612,0.013,0.011,0.021,1434131574
56,20150612,0.014,0.009,0.022,1434131575
57,20150612,0.012,0.009,0.019,1434131576
58,20150612,0.011,0.008,0.019,1434131577
59,20150612,0.012,0.011,0.018,1434131578
60,20150612,0.013,0.011,0.018,1434131579
61,20150612,0.013,0.011,0.018,1434131580
62,20150612,0.012,0.010,0.018,1434131581
63,20150612,0.013,0.011,0.018,1434131582
64,20150612,0.013,0.009,0.019,1434131583
65,20150612,0.012,0.009,0.016,1434131584
66,20150612,0.013,0.010,0.016,1434131585
67,20150612,0.015,0.011,0.018,1434131586
68,20150612,0.015,0.013,0.019,1434131587
69,20150612,0.013,0.010,0.020,1434131588
70,20150612,0.013,0.012,0.020,1434131589
71,20150612,0.012,0.010,0.020,1434131590
72,20150612,0.012,0.009,0.021,1434131591
73,20150612,0.013,0.010,0.020,1434131592
74,20150612,0.015,0.009,0.021,1434131593
75,20150612,0.014,0.009,0.023,1434131594
76,20150612,0.014,0.011,0.022,1434131595
77,20150612,0.013,0.011,0.022,1434131596
78,20150612,0.014,0.012,0.023,1434131597
79,20150612,0.013,0.011,0.020,1434131598
80,20150612,0.020,0.018,0.026,1434131599
81,20150612,0.012,0.011,0.020,1434131600
82,20150612,0.012,0.009,0.020,1434131601
83,20150612,0.012,0.009,0.020,1434131602
84,20150612,0.014,0.011,0.021,1434131603
85,20150612,0.013,0.008,0.019,1434131604
86,20150612,0.014,0.010,0.022,1434131605
87,20150612,0.012,0.016,0.019,1434131606
88,20150612,0.010,0.015,0.017,1434131607
89,20150612,0.009,0.010,0.016,1434131608
90,20150612,0.009,0.009,0.019,1434131609
91,20150612,0.011,0.010,0.021,1434131610
92,20150612,0.011,0.010,0.023,1434131611
93,20150612,0.012,0.010,0.019,1434131612
94,20150612,0.013,0.011,0.022,1434131613
95,20150612,0.013,0.009,0.022,1434131614
96,20150612,0.012,0.009,0.019,1434131615
97,20150612,0.013,0.011,0.022,1434131616
98,20150612,0.013,0.011,0.022,1434131617
99,20150612,0.014,0.014,0.022,1434131618
100,20150612,0.011,0.009,0.022,1434131619
101,20150612,0.012,0.010,0.020,1434131620
102,20150612,0.012,0.010,0.021,1434131621
103,20150612,0.014,0.010,0.020,1434131622
104,20150612,0.013,0.011,0.022,1434131623
105,20150612,0.012,0.010,0.022,1434131624
106,20150612,0.012,0.009,0.021,1434131625
107,20150612,0.012,0.009,0.020,1434131626
108,20150612,0.010,0.008,0.019,1434131627
109,20150612,0.011,0.010,0.019,1434131628
110,20150612,0.012,0.010,0.021,1434131629
