index,time,xAxis,yAxis,zAxis
0,1434131525020,0.01775,-0.02174,0.00383
1,1434131525025,0.02670,-0.01192,0.01869
2,1434131525026,-0.00286,-0.00954,0.02980
3,1434131525030,-0.01166,0.01112,0.01524
4,1434131525032,-0.02730,0.00265,-0.02140
5,1434131525084,-0.00699,-0.00101,-0.02962
6,1434131525085,0.00690,0.00232,-0.00807
7,1434131525085,0.02037,0.00185,0.00526
8,1434131525122,0.00457,0.00148,-0.01063
9,1434131525123,0.01225,0.00119,-0.00304
10,1434131525177,0.02230,0.00095,0.00694
11,1434131525178,-0.00013,0.00076,-0.01866
12,1434131525179,0.00849,-0.00564,-0.01181
13,1434131525229,0.00133,-0.00451,-0.01569
14,1434131525231,-0.00519,-0.00049,-0.00631
15,1434131525274,-0.00103,-0.00039,0.00433
16,1434131525275,0.00230,0.00281,0.00346
17,1434131525278,0.00184,0.00538,0.01137
18,1434131525318,-0.01415,0.01055,0.00284
19,1434131525319,-0.00507,0.00844,-0.00632
20,1434131525372,0.00219,0.00363,0.00119
21,1434131525373,-0.00450,0.00603,0.00955
22,1434131525375,-0.01610,0.01107,0.01389
23,1434131525419,-0.01913,0.00573,0.01424
24,1434131525420,-0.01843,-0.00166,0.00826
25,1434131525466,-0.03583,-0.00758,-0.00823
26,1434131525467,-0.03492,0.00331,0.00826
27,1434131525515,-0.04278,0.00265,0.01286
28,1434131525517,-0.01000,0.00212,0.02279
29,1434131525520,0.01622,-0.00768,0.01510
30,1434131525563,0.02235,-0.00927,0.00896
31,1434131525566,0.02725,-0.01367,0.01342
32,1434131525619,0.02493,-0.01093,0.00761
33,1434131525621,0.02307,0.00063,0.00921
34,1434131525621,0.02705,-0.00262,-0.00513
35,1434131525663,0.02789,-0.00522,-0.01035
36,1434131525664,0.01919,-0.00418,-0.01141
37,1434131525713,0.00363,-0.00022,-0.01538
38,1434131525715,0.00837,-0.00017,-0.00605
39,1434131525717,0.00670,-0.00326,0.00141
40,1434131525761,0.01473,-0.00886,0.00113
41,1434131525766,0.00554,-0.00709,-0.00847
42,1434131525811,-0.00416,-0.00880,0.00572
43,1434131525813,0.00214,-0.00938,0.01395
44,1434131525817,0.02358,-0.00750,0.02601
45,1434131525858,0.02512,-0.01225,0.02080
46,1434131525859,0.00447,-0.00980,0.01352
47,1434131525910,0.00045,-0.01097,0.01706
48,1434131525911,-0.00589,-0.00877,0.02615
49,1434131525912,-0.00159,-0.00702,0.01467
50,1434131525952,-0.01064,0.00923,0.00549
51,1434131525955,-0.01086,0.00426,0.00126
52,1434131526010,-0.02431,0.00341,0.00101
53,1434131526010,-0.01007,0.00272,0.00706
54,1434131526011,-0.00181,0.00843,0.01190
55,1434131526060,-0.01395,0.00674,-0.00611
56,1434131526065,-0.02678,0.00227,-0.01348
57,1434131526100,-0.03940,0.00182,-0.02953
58,1434131526103,-0.03464,0.00145,-0.03300
59,1434131526103,-0.04256,-0.00743,-0.02953
60,1434131526149,-0.06764,-0.01532,-0.05409
61,1434131526150,-0.08224,-0.01226,-0.06749
62,1434131526201,-0.08688,0.00816,-0.06337
63,1434131526202,-0.08748,0.01278,-0.06241
64,1434131526203,-0.09186,0.02897,-0.07181
65,1434131526249,-0.06723,0.05677,-0.05979
66,1434131526250,-0.03816,0.06964,-0.06658
67,1434131526294,-0.01569,0.10415,-0.06264
68,1434131526295,0.01167,0.12316,-0.04386
69,1434131526298,0.04918,0.15087,0.00788
70,1434131526345,0.07919,0.13867,0.02115
71,1434131526347,0.12741,0.09531,0.01692
72,1434131526392,0.11990,0.07078,-0.01381
73,1434131526395,0.12951,0.05350,0.02880
74,1434131526398,0.11924,0.06702,0.05351
75,1434131526442,0.11648,0.05986,0.07015
76,1434131526444,0.10256,0.06273,0.04752
77,1434131526498,0.00236,0.06269,-0.11198
78,1434131526500,0.01126,0.05953,-0.06537
79,1434131526502,0.10667,0.00465,-0.07964
80,1434131526550,0.12518,0.00997,0.01285
81,1434131526551,0.06342,0.00173,0.02513
82,1434131526598,-0.02270,-0.02284,0.02323
83,1434131526599,0.04043,-0.02139,-0.01189
84,1434131526601,-0.00125,-0.01712,-0.09467
85,1434131526645,-0.03225,-0.00744,-0.05151
86,1434131526647,-0.05002,0.01514,-0.00137
87,1434131526690,-0.13454,0.00586,-0.05578
88,1434131526691,-0.11935,0.02031,-0.06963
89,1434131526692,-0.04080,0.03422,0.03336
90,1434131526731,-0.00842,0.03363,0.05091
91,1434131526736,-0.01923,0.01128,0.00088
92,1434131526783,-0.02086,0.02777,0.04680
93,1434131526785,-0.05653,0.04644,0.03432
94,1434131526787,-0.07882,0.08324,0.01183
95,1434131526831,-0.10290,0.08144,-0.06632
96,1434131526832,-0.15888,0.08937,-0.07806
97,1434131526887,-0.06539,0.11446,0.01412
98,1434131526887,-0.12575,0.18923,0.09958
99,1434131526888,-0.16778,0.21544,0.14372
100,1434131526938,-0.04595,0.19970,0.12435
101,1434131526938,0.02106,0.20585,0.06589
102,1434131526986,0.04184,0.23812,0.09255
103,1434131526987,0.00301,0.17800,0.08576
104,1434131526988,0.05084,0.10255,0.14517
105,1434131527037,0.09536,0.04532,0.14661
106,1434131527039,0.05520,0.03079,0.13604
107,1434131527084,0.07463,0.04260,0.03852
108,1434131527085,0.08704,0.09189,-0.08559
109,1434131527091,0.10323,0.13133,-0.06222
110,1434131527128,0.05836,0.11756,0.09710
111,1434131527129,0.03732,0.10342,0.18393
112,1434131527172,-0.04593,0.12805,0.10808
113,1434131527175,-0.07659,0.11494,0.05834
114,1434131527176,-0.01596,0.08258,0.11698
115,1434131527230,0.04583,0.04497,0.20062
116,1434131527231,0.21010,0.01176,0.29174
117,1434131527272,0.11652,-0.00934,0.22402
118,1434131527272,-0.05679,-0.03169,0.07843
119,1434131527273,-0.04777,-0.07692,0.04790
120,1434131527318,0.04694,-0.10138,0.01957
121,1434131527319,-0.06636,-0.12407,0.07972
122,1434131527371,0.02348,-0.01644,0.15284
123,1434131527377,-0.03044,0.02903,0.05508
124,1434131527377,-0.08216,0.06619,0.00735
125,1434131527420,-0.20948,0.09280,-0.03396
126,1434131527424,-0.19493,0.07736,-0.04827
127,1434131527470,-0.07313,0.07049,-0.07221
128,1434131527471,0.00243,0.11811,-0.09448
129,1434131527474,0.08710,0.13667,-0.07246
130,1434131527515,0.21968,0.10934,0.10687
131,1434131527518,0.16325,0.14841,0.23159
132,1434131527620,-0.04597,0.23513,0.12434
133,1434131527622,-0.22037,0.23029,-0.11381
134,1434131527622,-0.09973,0.13267,-0.21917
135,1434131527623,0.17647,0.09129,-0.16050
136,1434131527660,0.21149,-0.03712,-0.10105
137,1434131527662,0.11138,0.06483,-0.09881
138,1434131527709,0.00316,0.10343,-0.11264
139,1434131527710,0.18300,-0.00554,-0.02293
140,1434131527710,0.43312,-0.13255,0.01838
141,1434131527712,0.33399,-0.21620,-0.03764
142,1434131527757,0.18829,-0.27609,-0.06683
143,1434131527758,0.05610,-0.29743,-0.08393
144,1434131527762,-0.06215,-0.19185,-0.08824
145,1434131527806,-0.04660,-0.07457,-0.04325
146,1434131527808,-0.03728,-0.03232,-0.00726
147,1434131527854,-0.02123,0.01087,0.03716
148,1434131527857,0.06271,0.03291,0.09067
149,1434131527906,0.02282,0.11852,0.12175
150,1434131527907,-0.00284,0.14638,0.14272
151,1434131527907,-0.02727,0.16632,0.15402
152,1434131527952,-0.14369,0.16040,0.06540
153,1434131527954,-0.19464,0.16738,-0.01799
154,1434131528002,-0.21352,0.12844,-0.11517
155,1434131528006,-0.06379,0.06916,-0.08276
156,1434131528008,-0.18228,0.12251,-0.07246
157,1434131528053,-0.20051,0.08551,-0.01500
158,1434131528055,-0.05103,0.00435,0.05831
159,1434131528099,0.14823,0.00035,0.15915
160,1434131528101,0.23499,0.07997,0.14841
161,1434131528104,0.08096,0.08507,0.03982
162,1434131528149,-0.03601,0.00712,-0.00798
163,1434131528150,-0.00381,-0.04899,0.01158
164,1434131528196,0.05789,-0.02123,0.04911
165,1434131528200,0.14709,0.01974,0.10022
166,1434131528203,0.17549,0.09157,0.12940
167,1434131528248,0.05445,0.10451,0.09414
168,1434131528250,-0.03847,0.09220,0.07531
169,1434131528292,0.20751,0.02532,0.17041
170,1434131528296,0.10194,-0.12037,0.10586
171,1434131528298,0.09640,-0.16036,0.03234
172,1434131528342,0.03415,-0.20485,-0.06241
173,1434131528343,-0.03049,-0.24278,-0.11711
174,1434131528391,-0.06111,-0.23095,-0.10853
175,1434131528393,-0.00280,-0.20898,-0.02902
176,1434131528396,0.01261,-0.18593,0.03148
177,1434131528439,0.02884,-0.19093,0.06815
178,1434131528442,0.00744,-0.11681,0.06624
179,1434131528495,-0.06358,-0.06220,0.03190
180,1434131528498,-0.11492,0.01118,0.02864
181,1434131528499,-0.12319,0.08473,0.09323
182,1434131528540,-0.09230,0.11387,0.16911
183,1434131528540,0.01210,0.17626,0.19310
184,1434131528590,-0.14657,0.25429,0.05683
185,1434131528590,-0.29382,0.29796,0.03921
186,1434131528592,-0.22334,0.25087,0.06184
187,1434131528635,-0.07476,0.09679,0.10806
188,1434131528639,-0.06294,0.17821,0.09504
189,1434131528688,0.00512,0.04491,-0.04896
190,1434131528689,0.16269,-0.11094,-0.16417
191,1434131528690,0.19109,-0.06454,-0.16493
192,1434131528788,0.18334,0.00384,-0.14132
193,1434131528791,0.07011,-0.00318,-0.17712
194,1434131528796,-0.06579,0.00683,-0.15029
195,1434131528797,-0.10419,0.00234,-0.14836
196,1434131528836,0.31040,-0.12625,0.03757
197,1434131528838,0.28191,-0.10413,0.09411
198,1434131528839,-0.01900,-0.12627,-0.01065
199,1434131528884,0.03402,-0.14711,-0.04524
200,1434131528889,-0.07982,-0.15675,-0.11509
201,1434131528890,0.07911,-0.19571,-0.07411
202,1434131528930,0.14610,-0.20266,-0.02882
203,1434131528932,0.10438,-0.19260,0.06913
204,1434131528981,0.14444,-0.18142,0.06078
205,1434131528982,-0.04929,-0.08420,-0.07950
206,1434131528984,-0.18240,0.00608,-0.09095
207,1434131529023,-0.19514,0.04783,-0.03604
208,1434131529026,-0.28970,0.11717,-0.04446
209,1434131529077,-0.14661,0.29842,0.05350
210,1434131529078,-0.25791,0.29968,-0.05798
211,1434131529078,-0.23055,0.23974,0.06299
212,1434131529125,-0.04381,0.17617,0.22461
213,1434131529127,-0.00771,0.13547,0.24688
214,1434131529179,0.02118,0.00759,0.09984
215,1434131529180,0.15757,-0.06111,0.06738
216,1434131529181,0.07684,0.10658,0.09999
217,1434131529238,0.07084,0.11261,0.10734
218,1434131529239,0.14808,0.04477,0.07650
219,1434131529268,0.13409,0.04441,0.00963
220,1434131529270,0.21352,0.04803,-0.00479
221,1434131529271,0.26222,0.04467,0.02429
222,1434131529321,0.05744,0.02949,-0.05088
223,1434131529324,-0.02983,-0.03422,-0.16258
224,1434131529368,0.10426,-0.18363,-0.19178
225,1434131529371,0.29981,-0.18284,0.01767
226,1434131529373,-0.09921,-0.14393,-0.20852
227,1434131529418,-0.32937,-0.26436,-0.27072
228,1434131529420,-0.20256,-0.28180,-0.17361
229,1434131529464,-0.06752,-0.24028,-0.08733
230,1434131529466,0.02880,-0.19848,-0.03627
231,1434131529469,0.04726,-0.14081,-0.00714
232,1434131529511,0.03781,-0.06343,0.00601
233,1434131529513,0.05759,0.03129,0.01418
234,1434131529568,0.05232,0.11956,0.01135
235,1434131529569,0.02076,0.21205,0.01220
236,1434131529570,-0.02323,0.27355,0.02460
237,1434131529616,-0.02796,0.34696,0.04781
238,1434131529619,-0.04034,0.40882,0.06559
239,1434131529668,-0.03227,0.38174,0.05560
240,1434131529672,-0.04144,0.31477,0.06245
241,1434131529676,-0.09409,0.31900,0.07730
242,1434131529709,-0.10574,0.25833,0.09543
243,1434131529710,-0.04787,0.10588,0.06697
244,1434131529759,0.03748,-0.09264,0.01139
245,1434131529761,0.03936,-0.15927,-0.02761
246,1434131529762,0.02836,-0.04851,-0.01271
247,1434131529806,0.06566,-0.01146,0.00780
248,1434131529807,0.12284,-0.01464,0.01249
249,1434131529854,0.10452,0.00938,0.00374
250,1434131529855,0.08049,-0.01984,-0.02122
251,1434131529857,0.09486,-0.07681,-0.02323
252,1434131529900,0.08214,-0.12863,-0.04593
253,1434131529902,0.07118,-0.16697,-0.07034
254,1434131529953,0.06319,-0.17029,-0.07189
255,1434131529958,0.07243,-0.16670,-0.05751
256,1434131529959,0.08216,-0.15758,-0.05226
257,1434131530002,0.08682,-0.14794,-0.05353
258,1434131530004,0.07571,-0.12773,-0.03970
259,1434131530058,0.05744,-0.08968,-0.02004
260,1434131530058,0.03970,-0.05612,-0.00353
261,1434131530060,0.03176,-0.03005,-0.00908
262,1434131530102,0.02854,-0.01467,-0.02523
263,1434131530104,0.01111,0.03123,-0.03581
264,1434131530152,-0.00361,0.09764,-0.05599
265,1434131530153,-0.00914,0.16405,-0.04167
266,1434131530154,-0.03153,0.22265,-0.01537
267,1434131530193,-0.05257,0.26953,0.04005
268,1434131530194,-0.04830,0.12421,0.16642
269,1434131530243,-0.00817,0.00171,0.23938
270,1434131530244,0.06377,0.04434,0.13369
271,1434131530293,0.08774,0.03235,0.01867
