index,time,xAxis,yAxis,zAxis
0,1434131525013,0.01688,0.00428,-0.03349
1,1434131525013,-0.00040,-0.00446,-0.08797
2,1434131525032,-0.02272,-0.01384,-0.03907
3,1434131525047,-0.01688,-0.01396,0.00528
4,1434131525063,0.00254,-0.01318,0.01725
5,1434131525082,0.00974,-0.00730,0.01927
6,1434131525110,0.00812,0.00173,-0.00852
7,1434131525126,-0.00123,0.00586,-0.00928
8,1434131525142,-0.00768,0.00304,0.02230
9,1434131525174,0.00898,0.00527,0.00839
10,1434131525189,0.02126,0.01226,0.00652
11,1434131525205,0.02610,0.01288,0.00832
12,1434131525223,0.01341,0.00255,-0.00167
13,1434131525253,-0.00443,-0.00581,0.00457
14,1434131525268,-0.00326,-0.00914,-0.00972
15,1434131525282,-0.00342,-0.00811,-0.01658
16,1434131525314,-0.00528,-0.01127,-0.00276
17,1434131525330,-0.01186,-0.01103,-0.01280
18,1434131525347,-0.01762,-0.00789,-0.01248
19,1434131525368,-0.01773,-0.00268,-0.00149
20,1434131525393,-0.02919,-0.00430,-0.00021
21,1434131525409,-0.03165,0.00232,0.00838
22,1434131525424,-0.02852,0.01032,-0.00687
23,1434131525456,-0.02794,-0.00002,0.01073
24,1434131525472,-0.01535,0.00312,0.03717
25,1434131525487,-0.01310,0.00971,0.03448
26,1434131525503,-0.02498,0.00977,0.01435
27,1434131525534,-0.01049,0.02382,0.00068
28,1434131525550,-0.00725,0.02443,-0.01130
29,1434131525565,-0.01273,0.00996,-0.01351
30,1434131525598,-0.01030,0.00062,-0.01764
31,1434131525617,0.00238,-0.01260,-0.02066
32,1434131525628,0.02380,-0.02422,-0.02552
33,1434131525644,0.04795,-0.02301,0.00320
34,1434131525675,0.05325,-0.01841,0.01955
35,1434131525692,0.00011,-0.01832,0.00366
36,1434131525708,-0.00395,-0.00954,-0.00915
37,1434131525739,0.01995,0.00508,-0.02495
38,1434131525757,0.01247,0.00709,-0.00391
39,1434131525769,-0.00598,-0.00413,0.00764
40,1434131525785,-0.01869,-0.00903,-0.00563
41,1434131525816,-0.01810,-0.00637,-0.01587
42,1434131525832,-0.01206,-0.00840,-0.02662
43,1434131525848,0.00556,-0.00641,-0.02438
44,1434131525879,0.01199,-0.00637,-0.00333
45,1434131525894,-0.00806,-0.00814,0.00140
46,1434131525909,-0.01217,0.00101,0.00099
47,1434131525925,0.00459,0.01133,-0.00827
48,1434131525957,0.04104,0.00276,-0.01251
49,1434131525974,0.03074,-0.00030,0.01981
50,1434131525990,-0.01349,-0.00097,0.03751
51,1434131526020,-0.03920,-0.00321,0.01789
52,1434131526038,-0.03330,-0.01262,0.02757
53,1434131526059,-0.02818,-0.01642,0.03026
54,1434131526067,-0.02749,-0.00966,0.05114
55,1434131526098,-0.04164,0.00190,0.07046
56,1434131526121,-0.04051,0.01228,0.08671
57,1434131526129,-0.01560,0.01389,0.12910
58,1434131526161,0.01939,0.01922,0.21469
59,1434131526178,0.08839,-0.04178,0.13173
60,1434131526196,0.13771,-0.02575,0.03524
61,1434131526208,0.13200,-0.02425,0.07143
62,1434131526240,0.04764,-0.06310,0.09894
63,1434131526255,0.11446,-0.11464,0.06345
64,1434131526272,0.14912,-0.14773,-0.00712
65,1434131526302,0.09006,-0.15684,-0.08815
66,1434131526318,0.04378,-0.14010,-0.05288
67,1434131526337,0.06113,-0.09906,-0.06766
68,1434131526350,0.04946,-0.05650,-0.07933
69,1434131526382,0.06900,-0.03286,-0.03044
70,1434131526397,0.05491,-0.07715,-0.24191
71,1434131526418,-0.05003,-0.05805,-0.30809
72,1434131526429,0.06882,-0.01700,-0.10373
73,1434131526460,0.09390,-0.03302,-0.11722
74,1434131526475,0.08185,-0.00795,0.00530
75,1434131526491,0.08749,-0.00423,-0.00411
76,1434131526523,0.05816,-0.03653,-0.10599
77,1434131526543,0.07326,0.02105,-0.09414
78,1434131526553,0.07085,0.08822,-0.08736
79,1434131526569,0.08834,0.05764,0.02975
80,1434131526600,0.05136,-0.01160,-0.00345
81,1434131526616,0.07318,-0.00217,-0.04438
82,1434131526635,0.09160,-0.00936,-0.01503
83,1434131526665,0.13770,0.03147,-0.05220
84,1434131526687,0.13528,0.10178,-0.10290
85,1434131526694,0.11284,0.04867,-0.10334
86,1434131526711,0.07885,-0.00256,-0.08323
87,1434131526741,0.13158,0.02615,-0.07263
88,1434131526758,0.16379,0.02881,-0.02641
89,1434131526776,0.13202,0.02124,-0.05731
90,1434131526805,0.15051,0.02138,-0.11194
91,1434131526823,0.07913,-0.01994,-0.09381
92,1434131526835,0.10444,-0.12807,0.05504
93,1434131526851,0.20279,-0.13300,-0.01390
94,1434131526885,0.09559,-0.10144,-0.18648
95,1434131526898,0.05201,-0.20342,-0.14432
96,1434131526913,0.03184,-0.28818,-0.13932
97,1434131526944,0.01052,-0.32966,-0.23397
98,1434131526961,0.12400,-0.39051,-0.17237
99,1434131526981,0.24165,-0.33572,-0.12822
100,1434131526991,0.13159,-0.35587,-0.08921
101,1434131527024,-0.00375,-0.47703,-0.12620
102,1434131527039,0.00923,-0.41090,-0.27367
103,1434131527055,0.14690,-0.24570,-0.19823
104,1434131527086,0.13704,-0.22359,-0.12492
105,1434131527102,-0.01405,-0.29500,-0.08903
106,1434131527121,0.07620,-0.20372,-0.12238
107,1434131527133,0.39759,-0.06390,0.00490
108,1434131527168,0.41014,-0.08185,0.14938
109,1434131527180,0.06734,-0.10153,0.16869
110,1434131527195,-0.11965,0.05265,0.04269
111,1434131527229,-0.10979,0.28923,-0.14120
112,1434131527243,-0.06926,0.30026,-0.12860
113,1434131527261,-0.19162,0.31119,-0.04506
