index,time,xAxis,yAxis,zAxis
0,1434131525015,0.00743,-0.00849,0.00390
1,1434131525015,-0.03702,-0.01617,-0.01563
2,1434131525028,-0.04446,-0.00668,-0.01563
3,1434131525029,0.00427,-0.01160,-0.00938
4,1434131525031,0.00342,-0.00303,0.00187
5,1434131525068,-0.01914,0.01242,0.00150
6,1434131525070,-0.02156,-0.00178,-0.00818
7,1434131525071,-0.02272,0.00170,-0.00654
8,1434131525118,-0.00958,-0.00176,-0.00211
9,1434131525119,0.01421,-0.00766,0.00456
10,1434131525169,0.00512,0.00012,0.00678
11,1434131525176,0.00409,0.00010,0.00855
12,1434131525181,0.00953,-0.00305,0.00684
13,1434131525227,0.00450,-0.00556,-0.00391
14,1434131525231,0.00047,0.00180,0.00000
15,1434131525273,0.00038,0.00456,0.00938
16,1434131525279,-0.00595,0.00678,0.00125
17,1434131525280,0.00462,-0.00395,-0.00837
18,1434131525316,-0.00568,-0.00629,-0.01295
19,1434131525317,-0.01705,0.00434,-0.00723
20,1434131525371,-0.01911,-0.00277,0.00046
21,1434131525373,-0.02153,-0.00534,-0.00901
22,1434131525375,-0.01723,-0.01365,-0.01580
23,1434131525415,-0.01378,-0.01717,-0.02201
24,1434131525421,-0.01415,-0.02546,-0.02074
25,1434131525465,-0.01132,-0.02974,-0.01659
26,1434131525467,0.00891,-0.02379,-0.01327
27,1434131525470,0.01650,-0.01903,-0.01062
28,1434131525510,0.01633,-0.01835,-0.00537
29,1434131525512,0.01306,-0.01781,0.00742
30,1434131525558,0.00108,-0.02362,0.01219
31,1434131525561,-0.01086,-0.02436,0.00350
32,1434131525564,-0.00869,-0.01090,0.00905
33,1434131525613,-0.00382,0.00066,0.00724
34,1434131525618,0.00241,0.00990,0.00579
35,1434131525661,0.00193,0.01417,-0.00162
36,1434131525665,-0.00393,0.01446,-0.01301
37,1434131525666,-0.02189,0.00844,-0.01978
38,1434131525713,0.00358,0.01847,-0.00645
39,1434131525718,0.01536,0.02415,0.01593
40,1434131525759,0.00292,0.00995,0.00337
41,1434131525765,-0.00314,-0.00689,-0.00590
42,1434131525765,-0.01188,0.00074,-0.00784
43,1434131525809,-0.01576,0.00606,-0.00315
44,1434131525815,-0.01573,0.01110,0.00373
45,1434131525851,-0.00946,0.00888,0.00533
46,1434131525857,-0.01382,0.00710,-0.00121
47,1434131525860,-0.01730,-0.00057,-0.01346
48,1434131525907,-0.02869,-0.00045,-0.01702
49,1434131525908,-0.00186,-0.00349,-0.00737
50,1434131525951,0.00164,0.00971,0.01207
51,1434131525953,-0.01119,0.00152,0.00419
52,1434131525954,-0.00583,-0.01363,-0.01540
53,1434131526006,-0.00779,-0.00778,-0.03341
54,1434131526009,0.00315,-0.00075,-0.01735
55,1434131526058,0.01502,-0.00295,-0.01701
56,1434131526066,0.01514,-0.01798,-0.02298
57,1434131526068,0.00274,-0.02064,-0.03635
58,1434131526098,0.00219,-0.03448,-0.05408
59,1434131526101,0.01738,-0.04008,-0.06124
60,1434131526142,0.04984,-0.04378,-0.06461
61,1434131526146,0.10159,-0.02643,-0.04544
62,1434131526148,0.08987,0.02182,-0.02073
63,1434131526199,0.07814,0.04168,-0.02283
64,1434131526205,0.11720,0.03334,-0.03702
65,1434131526248,0.12423,0.04230,-0.03508
66,1434131526251,0.11188,0.12837,-0.02806
67,1434131526252,0.12623,0.13004,-0.06542
68,1434131526293,0.07989,0.13138,-0.04609
69,1434131526297,-0.09781,0.07776,-0.06187
70,1434131526344,-0.10012,0.11064,-0.02137
71,1434131526346,-0.06760,0.14086,0.01962
72,1434131526349,-0.06970,0.11269,0.01804
73,1434131526390,-0.07373,0.11437,-0.00041
74,1434131526391,-0.08320,0.11024,-0.03705
75,1434131526440,-0.06344,0.08507,-0.01167
76,1434131526445,-0.02341,0.04306,0.02191
77,1434131526447,-0.09841,0.06257,0.03238
78,1434131526496,-0.04826,0.03756,-0.00769
79,1434131526501,-0.01986,0.04254,0.02119
80,1434131526548,-0.05886,0.03404,0.00523
81,1434131526549,-0.04396,-0.00949,-0.00831
82,1434131526550,-0.05939,-0.02009,0.00585
83,1434131526595,-0.00845,0.00502,0.02577
84,1434131526599,0.00574,-0.00145,0.00812
85,1434131526641,0.04756,-0.01054,0.00103
86,1434131526643,0.06227,0.00095,0.00316
87,1434131526646,0.07716,0.02810,0.04550
88,1434131526688,0.03438,0.01935,0.06999
89,1434131526689,0.03688,0.00611,0.05912
90,1434131526734,0.01701,0.02051,0.07776
91,1434131526736,0.04720,0.02500,0.08956
92,1434131526737,0.04713,0.02000,0.05055
93,1434131526781,0.05880,0.02225,0.03419
94,1434131526788,0.04079,0.03030,0.04298
95,1434131526830,0.03576,0.02737,0.00626
96,1434131526832,0.02861,0.01877,-0.01921
97,1434131526833,0.08070,0.04861,0.04244
98,1434131526886,0.05284,0.05998,0.06442
99,1434131526889,0.05711,0.06048,-0.02112
100,1434131526934,0.03710,0.11245,-0.02939
101,1434131526939,-0.03438,0.13215,0.00695
102,1434131526939,0.01781,0.15806,0.00556
103,1434131526985,0.13924,0.19364,0.02007
